식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,추가 장비,영상,QR 코드 결제,X (트위터),외국어 지원,맥주 제작자,온라인 예약
シュラスコ＆ビアレストラン ALEGRIA gotanda アレグリア五反田,Churrasco & Beer Restaurant Alegria Gotanda Alegria Gotanda,https://retty.me/area/PRE13/ARE13/SUB1303/100001388183/,050-5303-2965,Churrasco Yakiniku,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-22:30 L.O. 22:00
[Sun, Saturday, Holidays, 휴일 전]
점심 11:30-15:00 L.O. 14:30
[태양, 토요일, 휴일]
저녁 식사 16:00-22:30 L.O. 22:00",12 월 31 일 -1 월 3 일,"점심 : ~ 5,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gotanda B1F, 1-30-2 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (180m)
오사키 히로 코지 역에서 도쿄 이케 가미 라인 / 도보 3 분 (240m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (840m)","없음
근처 (할인 없음) 사용 가능","53 석
(앉을 때 53 명, 서있을 때 70 명)",,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
예약 할 수있는 제한된 수의 사람들 : 52 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 65 명",https://alegriagotanda.owst.jp/,,,"가격은 2025 년 6 월 2 일 월요일부터 개정됩니다.
최근 가격 상승으로 인해 최근 원자재가 증가함에 따라 현재 가격을 계속 유지하기가 어려워졌습니다.

고객에게 고품질을 계속 제공하기 위해 가격을 검토하기로 결정했습니다. 이해해 주셔서 감사합니다.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔 All-You-Can-Drink 코스를위한 All-You-Can-Drink가 포함되어 있습니다.","우리는 고기 요리, 수입 재료, 채식 메뉴 및 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"연회 및 음주 파티 점심 점심 식사를 마시는 모든 멍청한 저녁 식사 점심 식사 점심 아이들과 함께 즐기십시오.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,"예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",,,예,03-6417-0300,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001388183/archive/2482590-61494F31607C7.JPG,PayPay,,,,
五反田寿司 SUSHI TOKYO 81,Gotanda Sushi Sushi 도쿄 81,https://retty.me/area/PRE13/ARE13/SUB1303/100001490724/,050-5262-8183,초밥,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-19:00
저녁 식사 19 : 30-21 : 30
[낮]
저녁 식사 17:00-23:00 L.O. 22:30
마감 시간은 하루에 따라 다를 수 있습니다","불규칙한 휴일
새해 휴일 (확인하십시오)
시장 폐쇄에 따라 Obon과 New Year Holidays 기간 동안 일부 매장이 폐쇄되었습니다.","점심 : ~ 10,000 엔
저녁 식사 : ~ 20,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-20-9 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (220m)
도쿄 이케 가미 라인 / 오사키 히로 코지 스테이션 7 분 도보 (550m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (710m)","없음
근처 (할인 없음) 사용 가능","38 석
(8 개의 카운터 좌석, 2 층 최대 30 개의 테이블 좌석)","예
(복장 규정이 없습니다. 자유롭게 오십시오. 우리는 어린이의 사용을 받아들이지만, 우리는 당신이 당신의 주문을 떠날 수있는 과정을 주문하도록 요청합니다. 가족이나 지인이있는 개인 파티라면 저희에게 연락하십시오.)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명",https://www.sushi-tokyo81.com/,,,"카운터 좌석은 7 명 이상의 사람들을 위해 예약 할 수 있습니다.
2 시간 시스템이 될 것입니다. 3 시간 이상 서비스를 사용하는 경우 별도로 문의하십시오.","8,000 엔 이상의 코스",,우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 특히 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"날짜, 개인 실, 여자 밤 출시, 결혼 기념일, 기념일, 저녁 식사, 점심, 점심, 한 사람 OK, 크리스마스 저녁 식사, PayPay Points 온라인 예약 가능, 연말 파티, 새해 파티, 세련된, 새해 파티 받기
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,불가능합니다,예,03-6450-3087,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001490724/archive/2211374-601914596E2B9.png,,,,,
お忍びダイニング たくみ 五反田本店,비밀 다이닝 타쿠미 고 탄드 메인 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001310940/,050-5303-9756,이자카야 해산물과 해산물 요리 일본 음식,"[하루 종일]
 17:00-23:00 L.O. 22:00",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Duros Higashi-Gotanda Building 3F, 1-13-3 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (59m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (460m)
JR Yamanote Line / Osaki Station에서 도보 10 분 (800m)",없음,150 석,예,"예
완전히 흡연이 허용됩니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://brands.olivedining.jp/takumi/tokyo/9474664,,https://www.facebook.com/pg/takumi.gotanda.3/posts/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink Course에는 5,000 엔 이상, All-You-Can-Drink",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",없음,,,,없음,03-6277-2839,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001310940/archive/2662088-62451511c3475.jpg,PayPay,,,,
鶏割烹 五反田 スエヒロガリ,치킨 카포 고드타 수 히로 가리,https://retty.me/area/PRE13/ARE13/SUB1303/100001500370/,03-6910-4755,야키토리 치킨 요리,"[하루 종일]
 17:00-24:00 L.O. 23:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-2-8 Nishigotanda, Shinagawa-Ku, 도쿄 펀드 Gotanda 2f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (37m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 5 분 (330m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (850m)",없음,38 석,,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(전자 담배는 담배를 피울 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,불가능합니다,,,,,,,,,사용 가능한 예약,"싱글 링크 연회/음주 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",,,,,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001500370/archive/1329728-5dea422f8bf37.jpg,PayPay,,,,
h:armonia,H : 아르만니아,https://retty.me/area/PRE13/ARE13/SUB1303/100001476218/,03-6431-8960,이탈리아 요리 현지 요리 쇠고기 요리,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 18:00-23:00 L.O. 21:00
[토요일/휴일]
저녁 식사 17:00-23:00 L.O. 21:00
자세한 내용은 공식 FB를 확인하십시오.","매주 일요일
가게가 닫히면 상점에 확인하십시오.
일요일 + 불규칙한 휴일.","점심 : ~ 1,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f, 5th Gotanda, 2-31-5 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 5 분 도보 (350m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (410m)
Tokyu Meguro Line / Fudomae 역에서 도보로 10 분 (730m)","없음
근처 (할인 없음) 사용 가능",16 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해","예
최대 24 명을 임대 할 수 있습니다
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 30 명",https://www.armonia2019.com/,https://www.instagram.com/h.armonia2019/,https://www.facebook.com/h.armonia2019/,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 요리사가 해외에서 훈련을 받고, 요리사는 유명한 식당에서 훈련 경험을 가지고, 요리사가 훈련 경험, 주인 요리사 및 매장 준비에 특히 도움이됩니다.",맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"점심, 날짜, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 주차장, 아이들과 함께 즐기십시오
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",평상복,"예
미취학 아동이 허용되며 초등학생은 허용됩니다",불가능합니다,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001476218/archive/112207-5d78e6e6425e0.jpeg,PayPay,,,,
ぽるこ,돼지고기,https://retty.me/area/PRE13/ARE13/SUB1303/100000840680/,03-6753-6472,돼지 요리 비스트로 미트 바 이탈리아 요리 식당,"[tue-fri-sat]
점심 11:30-14:00 L.O. 13:30
[Sun, 화요일, 금요일, 토요일]
저녁 식사 17:30-23:00","매주 월요일
점심은 일요일에도 문을 닫았습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Nanaco, Rakuten Edy, Waon","Piloti Gotanda 1f, 2-9-7 Higashi Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 4 분 도보 (280m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (470m)
JR Yamanote Line / Osaki Station에서 도보로 7 분 (550m)",없음,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,불가능합니다,,,https://www.facebook.com/porco0819,,,,"우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.",와인과 칵테일이 있습니다,사용 가능한 예약,"점심, 데이트, 개인 객실, 싱글 룸, 크리스마스 저녁 식사, 와인, 와인, 아이들과 함께 즐기기, 세련된 저녁 식사, 쌀, 고기, 비 흡연, 개인 객실 점심, 개인 방 날짜, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오","단독 주택 레스토랑
숨는 곳","소믈리에가 있습니다
테이크 아웃 가능성",,예,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29171450.jpg,PayPay,,,,
幻の和牛と三崎港直送鮮魚 モルゲン 五反田駅前店,Misaki Port Morgen Gotanda Ekimae Store의 신비한 와규 쇠고기와 신선한 생선,https://retty.me/area/PRE13/ARE13/SUB1303/100001595386/,080-6289-0751,이자카야,"[Sun, Monday 및 Holidays]
저녁 식사 17:00-22:15 L.O. 21:45
[Tue-Fri, Sat, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
[마지막 주문] 음식 : 마감 시간 30 분, 음료 : 마감 시간 15 분 전","매주 일요일
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.
예약이 필요합니다","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Icoca, Rakuten Edy, Quicpay","Gotanda Ex Building 7F, 1-18-1 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (99m)
JR Yamanote Line / Gotanda Station 4 분 도보 (250m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",없음,"70 석
(최대 연회 용량 50 명 (좌석 및 서있는 경우) ★ 좌석 전용 및 싱글 링크 예약의 경우 1 인당 두 가지 음식 주문이 필요합니다.)",예,"불가능합니다
(현재 흡연 구역이 없습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,https://www.instagram.com/morgen_gotanda/,,"사용 가능 : ID PayPay Line Pay Wechat Pay Alipay Air Pay Apple Pay Quicpay +
*우리의 매장은 모바일 주문 시스템입니다. 이해 해주셔서 감사합니다.

[신용 카드] Discover, UnionPay
[전자 돈/QR 코드 지불] Rakuten Edy, Pasmo, ID, Quicpay, ApplePay, Coin+, Paypay, DPAY, AU Pay, Alipay, Wechat Payment

*우리의 상점은 배달에 대해 495 엔을 청구합니다.","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 요리사가 유명한 레스토랑에서 훈련을 받았으며, 유명한 요리사, 요리사, 요리사 및 매장 요리에 대한 요리사가 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 링크 연회/음주 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",평상복,"예
초등학생들은 환영합니다",불가능합니다,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001595386/archive/2835262-6314573712d07.jpg,PayPay,https://x.com/morgen_gotanda,"영어 독일어
직원과 함께 언어 지원 메뉴가 있습니다",,
Radicare,Radicare,https://retty.me/area/PRE13/ARE13/SUB1303/100001344658/,03-6874-0946,이탈리아 요리 파스타 카페,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일, 휴일 전 및 휴일 전]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 18:00-23:00 L.O. 22:00
*우리는 또한 예산에 따라 점심 연회 및 기타 큰 거래에 대한 정보를 제공 할 수 있습니다!
저희에게 전화 해주세요
점심 연회와 여자 밤 예산은 2,800 엔 (세금 포함)부터 시작합니다. (예약 필수)","매주 수요일
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-20-2 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 2 분 (96m)
JR Yamanote Line / Gotanda Station 4 분 도보 (270m)
JR Yamanote Line / 오사키 역에서 도보로 8 분 (580m)","없음
근처 (할인 없음) 사용 가능",22 석,"없음
(없음)","불가능합니다
(모든 좌석은 금연합니다. Ashtrays는 외부에서 이용할 수 있습니다. 협력 해 주셔서 감사합니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://radicare.jp/,,,"◆ 가격 비고
저녁 식사를 위해 코퍼토에 대해 250 엔을 청구합니다.","2,999 엔 미만, 3,000 엔 ~ 3,999 엔",,,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 연회 및 음주 파티, 약혼 저녁 식사 파티, 싱글은 환영합니다
다른 사용 장면을 참조하십시오","개방성이 있습니다
숨는 곳","놀라운 응답 가능
축하 가능성",,예,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001344658/archive/1985846-5f8933becc376.jpg,,,,,
田なか屋本店 五反田駅前店,Tanakaya Main Store Gotanda Ekimae 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001013387/,03-3442-3353,Motsunabe Shabu Shabu 쇠고기 혀 Izakaya,,,"점심:-
저녁 식사 : ~ 4,000 엔",,,"Duros Gotanda B1, 1-13-3 Higashi Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (63m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (460m)
JR Yamanote Line / Osaki Station에서 도보 10 분 (800m)",,"180 석
(8 ~ 88 명을위한 개인 실을 이용할 수 있습니다. 대형 연회에는 권장됩니다.)",,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,,,,"all-you-can-drink 개인 객실 Sake 이용 가능한 흡연 허용 Shochu 스타일리시 캐주얼 성인의 연말 파티 퀵 엔드 파티 성인의 새해 파티 퀵 엔드 파티 퀵 엔드 파티
다른 사용 장면을 참조하십시오",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001013387/archive/128346-5dd4d74b61459.jpg,,,,,
ヴィエ ボン,Vier Bonn,https://retty.me/area/PRE13/ARE13/SUB1303/100001287992/,03-6420-3380,이탈리아 파스타,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17 : 30-23 : 00 L.O. 21:00
[토요일/휴일]
저녁 식사 17:00-22:30 L.O. 21:00","일요일마다 불규칙한 휴일
한 달에 한두 번 불규칙한 휴일이 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-25-6 Nishigotanda, Shinagawa-ku, 도쿄 7 학년 No. 10 Gotanda Room 102
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 5 분 도보 (340m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (430m)
Tokyu Meguro Line / Fudomae 역에서 도보로 10 분 (730m)","없음
근처 (할인 없음) 사용 가능","20 석
(카운터에서 4 석, 테이블에서 16 석)",예,"불가능합니다
(가게에 재떨이가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,,,,요리사는 해외 훈련 경험이 있습니다,"맥주, 와인, 칵테일",사용 가능한 예약,"데이트 점심 저녁 식사 크리스마스 저녁 식사 날짜 급여 지불 지불 이용 가능한 연말 파티 새해 파티 성인 날짜
다른 사용 장면을 참조하십시오",숨는 곳,"놀라운 응답 가능
축하 가능성",,,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001287992/archive/290357-6364c95d75b92.png,PayPay,,,,
ワインと点心 TUITUI,와인과 딤섬 Tuitui,https://retty.me/area/PRE13/ARE13/SUB1303/100001427387/,03-6431-9726,와인 바 딤섬 딤섬,"[월요일부터 금요일과 토요일]
 17:30-23:30",매주 일요일,"점심:-
저녁 식사 : ~ 4,000 엔",예,,"승리 Gotanda Building 1f, 1-30-2 Nishigotanda, Shinagawa-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (180m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보로 4 분 거리 (250m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (840m)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,https://www.facebook.com/wine 및 딤섬 Tuitui--416287072214241/,,,,,,,"와인 음료수 저녁 식사 저녁 식사 비 흡연 페이 페이 지불 이용 가능한 캐주얼 성인의 연말 파티 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33503816.jpg,PayPay,,,,
タント タント ザ・ガーデンズ五反田店,탄토 탄토 정원 Gotanda 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001421205/,03-5447-8118,이탈리아 요리,"[일요일, 월요일부터 금요일까지]
저녁 식사 17:30-22:00 L.O. 21:00
[토요일, 축하, 휴일 전]
저녁 식사 17:00-22:00 L.O. 21:00",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",,"Mitsui Garden Hotel Gotanda 1f, 2-2-6 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 2 분 도보 (82m)
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 5 분 (380m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",예,"136 석
(상점 88 석 (24 개의 개인 실), 테라스에 48 석)",,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://www.gardenhotels.co.jp/gotanda/restaurant/,,,,,,,,,"연회 및 음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 세련된 저녁 식사 쌀을 마시는 세련된 개인 실
다른 사용 장면을 참조하십시오",,,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001421205/archive/2056351-5fa39870a5b05.png,,,,,
話食 よし 五反田,음식을 이야기합니다,https://retty.me/area/PRE13/ARE13/SUB1303/100001605745/,03-5938-1515,이자카야,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",,,"2F, Libio Gotanda Pragma G Tower, 1-7-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (57m)
오사키 히로코지 역에서 도우 키 이케 가미 라인 / 도보 4 분 (290m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (720m)",,,,,,,,,,,,,,,,PayPay 지불 가능 캐주얼,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28403927.jpg,PayPay,,,,
沖縄バル 花naha,오키나와 바 하나나,https://retty.me/area/PRE13/ARE13/SUB1303/100001551353/,03-6417-3622,오키나와 요리,,,"점심:-
저녁 식사 : ~ 4,000 엔",,,"벨빌 3 위와 4 층, 1-26-8 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 3 분 도보 (220m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (730m)",,,,,,,,,,,,,,,,PayPay 지불 가능 캐주얼,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30415200.jpg,PayPay,,,,
