식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
草花木果,꽃 과일,https://retty.me/area/PRE13/ARE7/SUB703/100000061810/,03-5722-1055,이자카야 오키나와 요리,"[월요일부터 금요일과 토요일]
 17:00-1:00
[축하해요]
 17:00-0:00 L.O. 23:00
오후 11시 이후 전화로 예약하면 더 쉬울 것입니다.",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Waon, Quicpay","2-7-11-2f Kamimeguro, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (700m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","54 석
((12 개의 개인 실, 18 개의 타타미 룸 (최대 22 석), 16 개의 테이블 좌석, 8 개의 카운터 좌석))))",예,"연기 분리
(흡연 또는 금연 좌석을 선택하더라도 요청을 충족시키지 못할 수 있습니다. 좌석을 예약하려면 직접 상점에 전화하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://sokabokka.foodre.jp/","*좌석 만 예약하는 경우
품목이 바쁘면 예약 시점부터 2.5 시간 일정 (2 시간 동안 마지막 순서)을 사용합니다. 이해 해주셔서 감사합니다.
위의 시간이 충분하지 않거나 좌석이있는 경우 상점에 직접 연락하십시오.
*흡연 또는 금연 좌석을 선택하더라도 귀하의 요청을 충족시키지 못할 수 있습니다.
좌석을 예약하려면 직접 상점에 전화하십시오.","4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.",,"맥주, Shochu, Awamori",사용 가능한 예약,"데이트 전일-마시는 연회/음료 파티 개인 방 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 어린이들과 함께 즐거운 주차장이 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000061810/archive/1706895-5ee03ae4a13f3.jpg,,,"4,000 엔에서 4,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 모든 싱크 링크, 2 시간 동안 전세계 점점을 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
THE BURGER VOWS,버거가 서약합니다,https://retty.me/area/PRE13/ARE7/SUB703/100001272704/,03-5734-1100,햄버거 맥주 바,"[tue-fri, 축하, 축하 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30
[태양/토요일]
 11:30-23:00 L.O. 22:30",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,,"Nakameguro Plum Heights 1f, 2-10-11 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 8 분 (640m)
JR Yamanote Line / Ebisu Station 11 분 도보 (850m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (870m)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://theburgervows.com/,,,,,,"점심, 연회 및 음주 파티, 싱글 OK, FOREWELL PARTY, 환영 파티, 연말 파티, 새해 파티, 스타일리쉬, 저녁 식사, 쌀, 비 연습, 세련된 점심, 급여 지불 지불, 캐주얼, 빠르고 쉬운 연도 파티, 빠르고 쉬운 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33713654.jpg,,,,,,,,
博多ちょうすけ 中目黒店,Hakata Chosuke Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001310694/,050-5462-8053,이자카야 우동,"[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 15:00-23:00 L.O. 22:30
*상황에 따라 제품이 변경 될 수 있습니다.",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Nanaco, Waon, Quicpay","3-5-29 Kamimeguro, Meguro-Ku, 도쿄 52 Nakameguro 엘리베이터 아래
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (180m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (830m)
Tokyu Toyoko Line / Yutenji 역에서 도보 13 분 (970m)",없음,32 석,예,"불가능합니다
(흡연은 상점 밖에 소유되어 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,"서비스 요금이 없습니다
전채 요금 : 400 엔 (세금 포함)","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",생선 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"쌀, 저녁 식사, 마실, 음료수, 음료, 연회 및 음료 파티, 솔로 환영 파티, 벚꽃 시청이있는 레스토랑, 연말 파티, 새해 파티, 밤 늦게 개장, 급여 지불 가능, 캐주얼
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,예,,없음,03-6452-4170,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001310694/archive/3560374-67e0488f94c9f.jpg,https://www.instagram.com/hakatachosuketokyo/,https://www.facebook.com/niwakayachosuke/,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.",,,,,온라인 예약
TRATTORIYA,트라 토리 야,https://retty.me/area/PRE13/ARE7/SUB703/100001471315/,03-6303-3575,이자카야,"[하루 종일]
점심 11:00-17:00
저녁 식사 17:00-23:00 L.O. 22:30",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,,"1-22-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (81m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (510m)
JR Yamanote Line / Ebisu Station 12 분 도보 (920m)",없음,168 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 온전한 링크, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 새해 파티, 와인을 마시고, 어린이와 함께 즐길 수 있으며, 예약, 저녁 식사, 쌀, 비 흡연, 무료 WiFi, 성인, 성인 연말 파티, 퀵 엔드 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
골목을 향합니다","놀라운 응답 가능
축하 가능성",없음,예,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001471315/archive/1097360-5d6e88c07cee8.jpg,,,"3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 또는 그 이상을위한 모든 코스를 포함하는 코스가 포함 된 코스가 있습니다.",,,,,
しゃぶしゃぶれたす 中目黒店,Shabu Shaburesu Nakameguro 지점,https://retty.me/area/PRE13/ARE7/SUB703/100001379695/,03-6451-2920,뜨거운 냄비 Shabu-Shabu Izakaya,"[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-24:00 L.O. 23:00
[태양, 토요일, 휴일]
 11:30-24:00 L.O. 23:00
*1 월 8 일부터 시간까지
[모든 날]
점심 시간 11 : 00-15 : 00 (L.O. 14:00) 저녁 시간
17 : 00-20 : 00 (L.O. 19:30) (마지막 참가 19:00)

*알코올은 오후 7 시까 지 이용할 수 있습니다","하루 종일 개점
∎ 점심을 열면 오후 10시 이후에 입장 할 수 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2-12-1 Kamimeguro, Meguro-Ku, 도쿄, 도끼 빌딩 Nakameguro 2f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (750m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",없음,"49 석
((24 벤치 좌석, 9 개의 카운터 좌석, 16 개의 테이블 좌석)))",예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,야채 요리 전문,"술, 쇼치, 와인",사용 가능한 예약,"점심, 모든 음식, 데이트, 소녀의 밤 외출, 솔로, 크리스마스 저녁, 아이들과의 즐거움, 세련된, 저녁 식사, 비 흡연, 점심 날짜, 점심, 여자의 밤, 세련된 점심, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30976190.jpg,,,,,,,,
クラブハウスエニ 中目黒,클럽 하우스 모든 Nakameguro,https://retty.me/area/PRE13/ARE7/SUB703/100000769243/,03-5428-8238,이탈리아 요리 해산물과 해산물 파스타 굴 바,"[월요일부터 금요일까지]
점심 11:30-15:00
저녁 식사 18 : 00-25 : 00 L.O. 24:00
[태양, 토요일, 휴일]
 11:30-25:00 L.O. 24:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"1-12-15 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (240m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 6 분 (450m)
JR Yamanote Line / Ebisu 역에서 도보로 12 분 (930m)",,42 석,"예
(카운터에서 6 석)","불가능합니다
(흡연은 테라스에서 허용됩니다. 흡연 구역을 이용할 수 있습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,"점심, 데이트, 여자 파티, 모든 링크, 연회 및 음주 파티, 개인 객실, 싱글 OK, 싱글, 작별 파티, 환영 파티, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 식당, 세련된 식당.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000769243/archive/260252-598561065004f.jpg,,,,,,,,
焼鳥スエヒロガリ,Yakitori Suehirogari,https://retty.me/area/PRE13/ARE7/SUB703/100001222196/,03-6712-2233,야키토리 오믈렛 라이스,"[하루 종일]
저녁 식사 17:00-23:30",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"3-6-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (770m)
도쿄 도요코 라인 / 유텐지 스테이션 13 분 도보 (1.0km)","없음
근처 (할인 없음) 사용 가능",10 석,"예
(카운터 시트는 주로 사용됩니다)","불가능합니다
(모든 좌석은 금연합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.",야채 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"데이트 소녀의 밤 연회 및 음주 파티 싱글 싱글 OK 성인 은신처 작별 파티를 환영 파티 체리 꽃보기 및 레스토랑 벚꽃과 함께 크리스마스 저녁 식사 연말 파티를 마시는 새해 파티를 마시는 와인을 마시는 주차
다른 사용 장면을 참조하십시오",,,,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001222196/archive/725475-5c789354aa5c8.jpg,,,,,,,,
マロリーポークステーキ 中目黒店,Mallory Pork Steak Nakameguro Branch,https://retty.me/area/PRE13/ARE7/SUB703/100001618033/,070-4085-8041,스테이크,"[하루 종일]
 11:30-14:00
 17:00-22:30","불규칙한 휴일
・ 새해 휴일","점심 : ~ 4,000 엔
저녁 식사 : ~ 5,000 엔",,PayPay,,"3-5-20 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (300m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (850m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (940m)",,,,,,,https://mallorypork.com/,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 와인, 저녁 식사, 쌀, 고기, 급여 지불 제공, 캐주얼, 세련된, 메리 클리 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32661181.jpg,,,,,,,,
アカベコ,아카베코,https://retty.me/area/PRE13/ARE7/SUB703/100000880992/,03-5794-8283,오덴이자 카야 술 바,"[하루 종일]
 17:30-23:30 L.O. 22:45",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"2-12-3 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (160m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (760m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",예,50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://tabelog.com/tokyo/a1317/a131701/13166514/,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 제공됩니다.",고기 요리 전문,맥주와 술이 있습니다,사용 가능한 예약,"데이트 소녀의 밤 연회와 음주 파티 싱글 싱글 OK 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 포도주 마시는 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000880992/archive/27796-59b37f3f2c236.jpg,,https://www.facebook.com/akabeko-26488487035656/,"ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 5,000 엔 이상, 2 시간 동안 온전한 링크",,,,,
PIZZERIA 8 中目黒店,Pizzeria 8 Nakameguro 매장,https://retty.me/area/PRE13/ARE7/SUB703/100001578686/,03-6451-0062,이탈리아 피자 파스타,"[태양, 월요일부터 금요일, 토요일]
점심 11:00-15:00
저녁 15 : 00-24 : 00","명확하지 않습니다
새해 연말 연시","점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",,PayPay,,"B5A 섹션, 1-22-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (75m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (520m)
JR Yamanote Line / Ebisu Station 12 분 도보 (920m)",,,,,,,,,,,,,"점심, 솔로, 저녁 식사, 쌀, 급여 지불 지불 가능, 캐주얼, 요리 및 연말 파티, 요리 및 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32583774.jpg,,,,,,,,
もつやき みのる,Motsuyaki Minoru,https://retty.me/area/PRE13/ARE7/SUB703/100001720674/,03-5708-5502,Izakaya Motsu 요리,"[월요일부터 금요일과 토요일]
 17:00-23:00 L.O. 22:00
LO22 : 30을 마신다",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 5,000 엔",,,,"친구 빌딩 401, 2-16-12 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (230m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (880m)
도쿄 도요코 라인 / 유텐지 스테이션 12 분 도보 (930m)",,,,,,,https://motsuyakiminoru.crayonsite.net/,,,,,,저녁 식사 캐주얼,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36300730.jpg,,,,,,,,
ホルモン松田 HANARE,호르몬 Matsuda Hanare,https://retty.me/area/PRE13/ARE7/SUB703/100001491194/,03-6303-3405,호르몬 야키니 쿠,"[하루 종일]
 17:00-24:00 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",,,,"2F Takanobu Building, 2-18-9 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 5 분 (330m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (860m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (960m)",,40 석,"없음
(한 사람이 허용됩니다)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,,,,,,,"개인 실, 싱글 룸, 크리스마스 저녁 식사, 저녁 식사, 쌀, 고기, 비 조화, 개인 룸 엔터테인먼트, 캐주얼",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32203417.jpg,https://www.instagram.com/horumonmatsudahanare/,,,,,,,
焼売酒場 なかめ,Shumari Bar Nakame,https://retty.me/area/PRE13/ARE7/SUB703/100001585872/,03-6452-3177,중국 음식 이자카야,"[월요일부터 금요일까지]
 11:00-15:00
 17:00-5:00
[태양, 토요일, 휴일]
 11:00-5:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",,PayPay,,"1-3-1 Higashiyama, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 9 분 (690m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)
Tokyu Denentoshi Line / Ikejiri Ohashi Station 14 분 도보 (1.1km)",,,,,,,,,,,,,"점심, 솔로, 크리스마스 저녁, 세련된, 세련된, 첫 번째 기차, 저녁 식사, 쌀, 세련된, 점심, 늦은 밤에 오픈, 급여 지불 지불, 캐주얼, 바삭 바삭한, 연말 파티, 선명한, 새해 파티까지.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31965010.jpg,https://www.instagram.com/shumai_nakame/,,,,,,,
鳥小屋 本店,조류 메인 상점,https://retty.me/area/PRE13/ARE7/SUB703/100000008851/,050-5303-7076,Izakaya 일본 요리 Motsunabe,"[Sun, 월요일, 수요일, 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-24:00 L.O. 23:00",매주 화요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"2-14-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (110m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (750m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",없음,140 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,"[공식적인]
https://torigoya-honten.foodre.jp/
http://www.torigoya.co.jp/pc/honten/index.html",,,,,사용 가능한 예약,"개인 룸 엔터테인먼트, 저녁 식사, 늦은 밤에 오픈, 아이들과 함께 즐길 수 있고, 한 사람이 즐길 수 있고, 술을 마시고, 흡연 허용, 환영 파티, 생일, 쿠폰 이용 가능, 크래프트 맥주, 이용 가능, 연말 파티, 새해 파티
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,,불가능합니다,예,03-3710-6760,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/10000008851/archive/953615-5CF659B7D95BB.JPEG,https://www.instagram.com/torigoyahonten/,,,,,,,
元祖やきとり串八珍 中目黒店,원래 Yakitori Kushihachijin Nakameguro 지점,https://retty.me/area/PRE13/ARE7/SUB703/100000008574/,03-5768-4951,Izakaya Yakitori Skewer는 담배를 피 웠습니다,"[Sun, 화요일, 금요일, 토요일, 공휴일 및 휴일 전]
 16:00-23:00 L.O. 22:15",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
JCB",PayPay,,"B-117, 1-26-1 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (140m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (560m)
JR Yamanote Line / Ebisu Station 11 분 도보 (880m)",,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.webhosofoods.jp/,,,,,,"저녁 식사, 맛있고 저렴한 레스토랑 비 흡연 페이 페이 지불 가능 캐주얼",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29819375.jpg,,,,,,,,
シュマッツ ビアダイニング 中目黒,Schmatz Beer Dining Nakameguro,https://retty.me/area/PRE13/ARE7/SUB703/100001472416/,03-6412-8770,크래프트 맥주 바 이자카야,"[하루 종일]
 11:30-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"Ekimaeguro 1-22-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (73m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (520m)
JR Yamanote Line / Ebisu 역에서 도보로 12 분 (910m)",,96 석,예,,,,,,,,,,"점심, 솔로, 엔터테인먼트, 체리 꽃보기, 체리 꽃보기와 함께 레스토랑, 크리스마스 저녁 식사, 저녁 식사, 쌀, 세련된 점심, 크래프트 맥주, 지불금 지불 가능, 캐주얼, 바삭한, 연말 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34564504.jpg,,,,,,,,
