식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
BEER BOMB,맥주 폭탄,https://retty.me/area/PRE13/ARE1/SUB112/100001517494/,03-5937-6907,이자카야 이탈리아 요리 맥주 홀 크래프트 맥주 바 함부르크 스테이크 바 식당 바 이탈리아 바 이탈리아 바이드 고기 비스트로,"[하루 종일]
 15:00-23:00 L.O. 22:30",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"No.12 Yamakyo Building의 1f, 7-13-5 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 2 분 (140m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (230m)
JR Yamanote Line / Shinjuku 역에서 도보로 3 분 거리 (230m)","없음
근처 (할인 없음) 사용 가능","36 석
(8 개의 스탠딩 좌석)",예,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 32 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 15 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 45 명",,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","우리는 제작 지역, 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 매장 내에서 훈련했습니다.","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"all-you-can-drink banquets/drink parties 싱글 OK farewell 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음주 음료 와인이 있습니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
활발한 상점
숨는 곳
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",불가능합니다,"예
매장 내에서 사용할 수 있으며 외부에서 사용할 수 있으며 물이 제공됩니다",예 (무료),예,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001517494/archive/1350273-5dfc65416cae6.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"5,000 엔 이상을위한 전산 된 코스가 포함되어 있으며, 2 시간 동안 온 All-You-Can-Drink, 2.5 시간 동안 온 All-You-Can-Drink, 3 시간 이상 싱글 링크가 있습니다.",없음,,"TV/모니터, 오디오 장비, 놀이",,,,
デュオフルシェット,Duochruchet,https://retty.me/area/PRE13/ARE1/SUB112/100000067431/,03-5322-8151,프랑스 이탈리아 요리,"[하루 종일]
 11:30-21:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
*우리는 현재 새로운 예약을 받고 있지 않습니다.
*마지막 항목은 오후 7 시까 지입니다",하루 종일 개점,"점심 : ~ 15,000 엔
저녁 식사 : ~ 15,000 엔",Amex,,"Keio Plaza Hotel Main Building 44F, 2-2-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Tochomae Station에서 도보 2 분 (110m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보로 4 분 거리 (250m)",예,"18 석
(개인 실 2 개 (요금이 적용 됨))",없음,예,,,"*전화 번호는 식당 예약으로 직접입니다.
식당 예약 영업 시간 : 10 : 00-20 : 00

*우리는 현재 새로운 예약을 받고 있지 않습니다.",,,,,"점심, 데이트, 소녀의 밤, 결혼 기념일, 연회 및 음주 파티, 개인 방, 약혼 저녁 식사, 싱글, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 마시는 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000067431/archive/1071476-5d56202deb6f5.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
中国西安料理と火鍋 XI'AN エステックビル店,Xi'an 중국 요리와 뜨거운 냄비 Xi'an Esthetic Building,https://retty.me/area/PRE13/ARE1/SUB112/100001412008/,03-6911-2100,Izakaya Hotpot DIM SOM DIM SOM 만두 중국 요리,"[월요일부터 금요일까지]
 11:30-14:30 L.O. 14:00
 17:30-23:00 L.O. 22:00
[토양]
 11:30-15:00 L.O. 14:30
 17:30-22:00 L.O. 21:00","매주 일요일과 공휴일
경우에 따라 건물이 폐쇄되면 폐쇄됩니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"미적 정보 구축 B2F, 1-24-1 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 1 분 (45m)
Toei Oedo Line / Tochomae Station에서 도보 2 분 (160m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (260m)","예
특별 P 사용 가능",28 석,없음,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 18 명
예약 할 수있는 제한된 수의 사람들 (앉음) : 34 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 34 명",,PayPay,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 매우 매운 메뉴 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",저녁 식사 시간에만 사용할 수 있습니다,"점심, 연회 및 음주 파티, 싱글은 괜찮은 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술 마시기, 와인, 주차, 어린이와 함께 즐거움, 세련된, 영어권 이용 가능
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기",테이크 아웃 가능성,예,,,예,,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001412008/archive/1026281-5d3413531fdf9png,,"예
(mit 흡연은 점심 시간 동안 허용되지 않습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 2 시간 동안 2,000-2,999 엔, 2 시간 반 동안 완전히 흠뻑 적시고, 3 시간 이상 싱글 링크",,,,,,,
韓国料理豚ブザ 新宿店,한국 돼지 고기 버즈가 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB104/100001574953/,050-5462-7574,이자카야 한국 요리,"[하루 종일]
 11:00-24:00 L.O. 23:00
스프레드 방지와 같은 주요 조치로 인해 영업 시간은 다음과 같습니다.
[개막 시간]
11 : 00-21 : 00 (알코올 음료 없음)",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6F-B, 4-1-13 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 2 분 (87m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (140m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (310m)",예,110 석,없음,"예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,"[공식적인]
https://tonbuza-shinjuku.foodre.jp/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 쌀, 개인 실, 전적으로 냉장, 연회 및 음주 파티, 고기, 고기, 흡연 허용, 작별 파티, 환영 파티, 여자 밤, 그룹 파티, 약혼 저녁 파티, 연말 파티, 새해 파티, 술, 술, 술, 와인을 마시는 것
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
나이트 뷰를 볼 수 있습니다",,예,,,예,03-6380-5127,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001574953/archive/252064-617a50e010046.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, 전 All-You-Can-Drink Price 2000-2999 엔, 2 시간 동안 all-you-can-drink, 2 시간 반 동안 all-you-can-drink, 3 시간 이상 만난다.",,,,,,,
無制限食べ飲み 博多野菜巻きと炭火焼鳥&串揚げを喰らう！たまらん屋 新宿本店,"무제한 먹고 마시는 것은 하카타 야채 롤, 숯 구이 닭고기 및 튀긴 꼬치를 먹는다! Iranya Shinjuku 메인 매장",https://retty.me/area/PRE13/ARE1/SUB101/100001395972/,050-5304-3278,이자카야,"[태양, 월요일부터 금요일, 토요일]
 12:00-24:00 L.O. 23:30","일년 내내 문을 엽니 다 (골든 위크, 오본 및 새해 공휴일 동안 하루 종일 개방됩니다!)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Kabukicho Building 3F, 1-12-6 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (260m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 4 분 거리 (320m)
JR Yamanote Line / Shinjuku Station에서 도보 4 분 (320m)","예
근처 (할인 없음) 사용 가능","70 석
(우리는 또한 개인 예약을 받아들입니다.)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
최대 70 명을 임대 할 수 있습니다 (좌석)
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","[공식적인]
https://tamarannya-shinjyuku.foodre.jp/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 유기농 야채, 알레르기, 채식 메뉴, 어린이 메뉴, 소유자 chef 및 매장 준비가있는 고객에게 수용 할 수 있습니다.","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실 모두, 점심, 저녁 식사, 흡연, 모든 당신이 먹는 것, 온전한 파티, 환영 파티, 연회 및 음주 파티, 개인 객실, 전세, 캐주얼, 평화 예약, 온라인 예약 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
소믈리에가 있습니다","예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.","불가능합니다
상점 밖에서 사용할 수 있습니다",예 (무료),예,03-6328-0330,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001395972/archive/3236005-65b4f9dbde499.jpg,"Suica, Toica, Icoca, Hayakane, Quicpay, Au 지갑","예
(개인 실의 흡연 분리가 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 YEN 또는 ALL-YOU-CAN-DRINK 가격 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 1 시간 반 동안 all-you-can-drink, 2 시간 반 동안 모두 당신이 온전한 링크, 2 시간 반 동안 모두 3 시간 동안, 3 시간 동안, 3 시간 반 마감, 3 시간 반 마감, 3 시간 반 마감 3 시간 반 동안 만약을 모두 마시십시오",없음,,"프로젝터, TV 및 모니터, 오디오 장비, 휴대품 회의실",,,,
北海道炉端焼 石狩川,호카이도 로바타 야키 이시 카리 강,https://retty.me/area/PRE13/ARE1/SUB112/100000013063/,03-3342-4769,해산물과 해산물 요리 크랩 요리 사시미 로바 타야키,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00
마지막 순서
・ 음식 : 22:00
음료 : 22:20","매주 일요일
우리는 휴일 동안 일요일에 문을 엽니 다.","점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"4 층, 1-15-4 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (81m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (180m)",없음,85 석,"예
(좌석 20 석)","예
두 사람을 위해
4 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 85 명",https://xn--38jwa4c9fz53q4ef53mmzc2s2cqnlopnij5e.com/,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","우리는 야채 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"싱글 링크 파티 싱글 파티를위한 개인 방은 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 연말 파티를 마시는 새해 파티를 마시는 아이들과 함께 즐거운 저녁 식사를 할 수 있습니다.
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳",,예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000013063/archive/1019591-5d2c13c0ac3e0.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 2,000-2,999 엔, ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, ALL-YOU-CAN-DRINK 가격 5,000 엔 또는 2,999 YEN, ALL-YOU-CAN-DRINK COORS는 All-You-Can-Drink 또는 All-You-Can-Drink, All-You-Can-Drink Course. All-You-Can-Drink 코스에는 4,000-4,999 엔이 포함되며, 싱글 링크 코스에는 2 시간 동안 5,000 엔 이상, 2 시간 동안 싱글 링크가 포함되어 있습니다.",없음,,프로젝터 포함,,,,
新仙,신젠,https://retty.me/area/PRE13/ARE1/SUB101/100001622317/,03-5155-5688,볶음밥 식사,"[하루 종일]
 11:00-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F 신주쿠 EX 2 건물, 1-16-1 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (150m)
Jr Yamanote Line / Shinjuku Station에서 도보 2 분 (150m)
도쿄 메트로 마루치 라인 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (160m)",예,"35 석
(11 개의 카운터 좌석, 16 개의 테이블 시트, 8 개의 소파 좌석)",예,없음,예,https://www.shinsen-hk.com/,,,,,사용 가능한 예약,"점심 모든-냉담한 쿠폰 이용 가능하게 마실 수 있습니다. 술을 마실 수 있습니다. 아이들과 함께 즐기십시오
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",예,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001622317/archive/2639047-6221fe2f1c736.jpeg,,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/shinsenshinnjyuku/,,,,,,,,,
炉とマタギ 新宿店,로드와 마타기 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB101/100001235383/,050-5304-1003,Izakaya Robatayaki 게임 숯을 구운 노인 고기,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 15:00-23:00 L.O. 22:00
∎ 시작은 예약 시간에서 시작됩니다. 주목하십시오.
el 엘리베이터는 심도적일 수 있으므로 가능한 한 빨리 방문해 주셔서 감사합니다.
people 또는 시간이 변경되면 좌석을 변경할 수 있습니다. 주목하십시오.","불규칙한 휴일
[폐쇄 인사말]

지속적인 후원에 감사드립니다.
불편을 드려 죄송하지만 5 월 16 일에 매장을 폐쇄 할 것입니다.

우리는 매장을 방문한 많은 고객에게 진심으로 감사를 표하고 싶습니다.
미소로 다시 만나기를 기대합니다.

부활 할 때 다시 뵙겠습니다!

Rou 및 Matagi Kabukicho 매장의 모든 직원","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6f Ishizuka Building, 1-6-3 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 5 분 (380m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 5 분 거리 (400m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 6 분 (410m)",없음,"58 석
(최대 연회 수 : 30 (앉을 때) 40 (서있을 때))",예,"예
4 명
6 명
7 명 이상",,https://brands.olivedining.jp/rotomatagi/tokyo/9474701,LA Carte를 주문할 때만 배달을 위해 550 엔을 청구합니다.,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"엔터테인먼트, 개인 객실, 쌀, 고기, 어린이 저녁 식사, 쇼카, 날짜, 여자의 밤, 그룹 데이트, 성인 은신처, 개인 객실, 그룹 데이트, 개인 회의실, 급여 지불, 온라인 예약, 연말 파티, 새해 파티, 환영 파티, 환영 파티
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",,,,없음,03-6228-0632,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001235383/cover/16873-56679d4f4be75.jpg,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,https://www.facebook.com/rotomatagi.shinjuku/,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 점수 가격 : 2,000-2,999 엔, 그리고 모든 링크 코스에는 4,000-4,999 엔이 포함되며, 2 시간 동안 5,000 엔 이상에 5,000 엔 또는 더 많은 링크가 포함됩니다.",,,,,,,
健心流,켄신리,https://retty.me/area/PRE13/ARE1/SUB101/100000003420/,050-5303-9763,이자카야 해산물과 해산물,"[하루 종일]
 12:00-7:00
늦은 밤에 문을 엽니 다
첫 번째 열차까지 열립니다",새해 휴일 (확인하십시오),"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Lee 3 Building 2F, 2-11-4 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 후쿠토신 라인 / 히가시-신주쿠 역에서 도보 6 분 (450m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보로 7 분 거리 (530m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 8 분 (580m)","예
근처 (할인 없음) 사용 가능",32 석,예,예,예,"[공식적인]
https://kenshinryu.foodre.jp/",,,"우리는 야채 요리, 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"점심, 라이스, 개인 객실, 주차, 환영 파티, 엔터테인먼트, 새해 파티, 개인 점심, 지불금 지불 이용 가능, 성인 연말 파티, 퀵 엔드 파티, All-You-Can-Drink, 성인 새해 파티, Quick-End Party, Casual, Stylish
다른 사용 장면을 참조하십시오",숨는 곳,,,,,예,03-3205-0122,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000003420/archive/2825966-630c4c8d16ca3.jpeg,,"불가능합니다
흡연실 사용 가능
(4 월부터 상점 내부에서 흡연은 완전히 금지되지만 건물 내부에는 흡연 공간이 있으므로 직원에게 연락하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 온전한 링크",,,,,,,
個室で100種食べ飲み放題 牛衛門 新宿本店,개인 실에 100 품종이 모두 ushiemon shinjuku 메인 스토어,https://retty.me/area/PRE13/ARE1/SUB101/100001545475/,03-6273-8357,이자카야 꼬치 야키토리,"[하루 종일]
 12:00-24:00 L.O. 23:30
음식 L.O. 23:00, 음료 L.O. 23:30
*업무 시간 이외의 예약을 원하면 언제든지 저희에게 연락하십시오.",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Sankei Building 7f, 1-6-7 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 3 분 거리 (190m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Shinjuku Station에서 도보 3 분 (190m)","없음
근처 (할인 없음) 사용 가능",120 석,없음,"예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 120 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 120 명",,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 알레르기가있는 고객에게 수용 할 수 있으며 채식 메뉴를 수용 할 수 있으며 요리사는 해외에서 훈련합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",사용 가능한 예약,"점심 모든 당신이 먹는 여자의 밤 외출 전 아웃 all-you-can-drink 개인 실
다른 사용 장면을 참조하십시오","천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
상단에 있습니다","놀라운 응답 가능
축하 가능성",예,불가능합니다,예 (무료),예,,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001545475/archive/28750-6347B0572A02B.JPG,,"불가능합니다
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"999 엔 미만의 all-you-can-drink 가격, 2999 엔 미만의 all-you-can-drink, 3000-3999 엔, 4000-4999 엔, 1 시간 반 동안 모두-당신의 캐나다-링크, 2 시간 동안 모두 2 시간 동안 2 시간 동안 2 시간 동안 2 시간 동안 2 시간 동안 2 시간 동안 2 시간 동안 다진 것입니다. 3 시간 이상",없음,,"가라오케, 프로젝터, TV 및 모니터, 오디오 장비",,,,
