식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,요리 기능과 전문 분야,사용 장면,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,사적인,인스 타 그램,당신이 마실 수있는 모든 것,예약,서비스,강의,대기,마시는 기능과 세부 사항에 대한 관심,드레스 코드,발언,페이스 북,X (트위터),추가 장비,IC 카드 지불,맥주 제작자,인근 시설,key_1_営業時間,key_1_予算,key_1_クレジットカード,key_1_QRコード決済,key_1_ICカード決済,key_1_住所,key_1_アクセス,key_1_駐車場,key_1_座席,key_1_カウンター席,key_1_喫煙,key_1_個室,key_1_貸切,key_1_Instagram,key_1_Facebook,key_1_X(Twitter),key_1_備考,key_1_コース,key_1_飲み放題,key_1_料理の特徴・こだわり,key_1_ドリンクの特徴、こだわり,key_1_予約,key_1_利用シーン,key_1_雰囲気,key_1_サービス,key_1_ドレスコード,key_1_お子様連れ入店,key_1_ペット,key_1_電源利用,key_1_Wi-Fi利用,key_1_image,key_2_TEL,key_2_ジャンル,key_2_営業時間,key_2_定休日,key_2_予算,key_2_クレジットカード,key_2_住所,key_2_アクセス,key_2_カウンター席,key_2_個室,key_2_利用シーン
北海道 肉と鮮魚 しゃぶしゃぶ食べ放題 どさんこ屋 上野駅前店,hokkaido 고기와 신선한 생선은 모두 당신이 먹는 Shabu-Shabu Dosankoya Ueno Ekimae Branch,https://retty.me/area/PRE13/ARE9/SUB901/100001454153/,03-6635-6226,Izakaya Shabu Shabu Lamb Hokkaido 요리 현지 요리 야키토리,"[월요일, 화요일, 목요일, 금요일, 토요일]
 16:00-1:00
[태양, 수요일 및 휴일]
 16:00-24:00",가게가 닫히면 상점에 확인하십시오.,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"Plaza U Building 7f, 4-8-6 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keisei Main Line / Keisei Ueno 역에서 도보로 2 분 거리 (81m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (150m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (150m)","예
이웃 P (할인) 사용 가능, 이웃 (할인 없음)",160 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://farmtable-ueno.owst.jp/,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료 및 현지 농산물에 특히 중요합니다.","all-you-can-eat 날짜 소녀 파티 모든 당신이 싱크 링크 연회/음주 파티 개인 방 선별 파티를 위해 이용할 수있는 개인 방 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 음료 와인 주차장 아이들과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001454153/archive/1557491-5e7ddddd4d1d3a58.jpg,예,,"ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 모든 링크 가격 2,000-2,999 엔, 전산 된 링크 코스는 2,999 엔 아래에 포함될 수 있습니다. 2 시간 동안 1 시간 반 동안, 2 시간 반 동안 완전히 마실 때, 2 시간 반 동안 싱글 링크, 3 시간 이상 동안 모두 링크",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","풍경은 아름답습니다
개방성이 있습니다
차분한 분위기
숨는 곳","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大衆酒場 もつ焼き おとんば 御徒町店,인기있는 바 Motsuyaki Otonba Okachimachi 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001705854/,03-5817-8677,Izakaya Motsu 요리,,,,,,"Okachimachi Wise Building, 6-3-2 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 (17m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 1 분 (18m)
JR Yamanote Line / Okachimachi Station 1 분 도보 (48m)",,,,,,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36051941.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
居酒屋まこつ,Izakaya Makotsu,https://retty.me/area/PRE13/ARE9/SUB901/100001172004/,03-6240-1757,이자카야는 식사 세트,"[월요일부터 금요일까지]
점심 11:30-14:00
저녁 식사 17:00-23:00 L.O. 22:30
[토양]
저녁 식사 18:00-23:00 L.O. 22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"4-25-9 Taito, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukuba Express / Shin-Okachimachi Station에서 도보로 1 분 (30m)
도쿄 메트로 진 자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (520m)
도쿄 메트로 히비야 라인 / 나카 오카카 시마치 역에서 도보로 7 분 거리 (530m)",,40 석,예,,없음,,,"점심, 솔로, 스타일리시, 저녁, 쌀, 맛있고 싼 점, 세련된 점심, 바삭 바삭한 연말 파티, 선명한, 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9505913.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なまいき 上野店,나 마이키 우에노 스토어,https://retty.me/area/PRE13/ARE9/SUB901/100001505994/,050-5462-6048,이자카야 해산물과 해산물,"[하루 종일]
 11:00-24:00
전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",,"Plaza U Building 4f A, 4-8-6 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keisei Main Line / Keisei Ueno 역에서 도보로 1 분 (76m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (150m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (150m)","없음
근처 (할인 없음) 사용 가능",100 석,없음,"연기 분리
(전체 개인 실에서는 흡연 분리가 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","[공식적인]
https://namaiki-ueno.foodre.jp/","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료 및 매장 내에서 준비된 것입니다.","개인 객실, 점심, 점심 식사, a girl-eat, 여자 야간 파티, 고기, 쌀, 쌀, 엔터테인먼트, 싱글 객실, 성인을위한 은신처, 아름다운 나이트 뷰, 쿠폰, 술 마시기, 와인, 생일, 개인 객실 점심, 개인 객실 점심.
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,예,03-6635-1707,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001505994/archive/3441788-67289d9484d32.jpg,불가능합니다,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스를 이용할 수 있습니다. 2 시간 동안 all-you-can-drink, 3 시간 이상 동안 모두 당신을 마시고 있습니다.",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","풍경은 아름답습니다
천장이 높습니다
차분한 분위기
골목을 향합니다","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,전채 수수료 (코스 제외),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いいとこ鶏 上野店,굿 토코 치킨 Ueno 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001747620/,050-5462-6084,이자카야 해산물과 해산물 야키토리,"[하루 종일]
 10:00-24:00
전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",,"Central 21 Building, 8f, 2-12-1 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keisei Main Line / Keisei Ueno 역에서 도보로 1 분 (72m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (150m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (150m)",없음,130 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
7 명 이상","[공식적인]
https://iitokodori-ueno.foodre.jp/",,"개인 실, 점심 음주, 저녁 식사, 소녀의 밤 외출, 쌀, 모든 링크, 연말 파티, 새해 파티, all-you-can-eat, all-you-can-drink, farewell party, 환영 파티, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,예,03-6635-2662,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001747620/archive/3441793-6728a03141de0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都館,청두 홀,https://retty.me/area/PRE13/ARE9/SUB901/100001457398/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
成都館,청두 홀,https://retty.me/area/PRE13/ARE9/SUB901/100001457398/,050-5262-2153,중국 요리 사천 요리 gyoza 볶음밥라면 창조 요리,"[월요일부터 금요일, 토요일, 휴일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30
점심은 2024 년 12 월 31 일 화요일에만 문을 엽니 다
우리는 또한 평소와 같이 2025 년 1 월 2 일 목요일부터 개방 될 것입니다.","매주 일요일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"Hasegawa Building, 3-14-4 Higashiueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 3 분 거리 (170m)
도쿄 메트로 긴자 라인 / 도코 (도쿄) 역에서 도보 6 분 (420m)
도쿄 메트로 진 자 라인 / 우에노 히로 코지 스테이션 6 분 (420m)",예,"8 석
(좌석 7 ~ 8 개 이상의 좌석이있는 참가자는 무료로 임대 할 수 있습니다 (2 시간).",없음,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://seitokan.foodre.jp/",,"점심 모든 음식, 솔로 음료, 점심 시간, 온라인 예약 가능, 연말 파티, 새해 파티, 저녁 식사, 쌀, 캐주얼
다른 사용 장면을 참조하십시오",,,,예,03-4362-0704,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001457398/archive/347891-675B8E2BE68A0.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓国居酒屋 クニャンポチャ,한국 이자카야 쿠냐 포치,https://retty.me/area/PRE13/ARE9/SUB901/100001682810/,050-5462-1593,이자카야 한국 요리,"[하루 종일]
저녁 식사 17:00-23:30 L.O. 23:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다

자세한 내용은 상점에 문의하십시오.","매주 일요일
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시라 카와 빌딩, 2F, 3-35-9 유시마, 벙키-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보 1 분 (21m)
도쿄 메트로 진 자 라인 / 우에노 히로코지 스테이션 4 분 (290m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 4 분 (300m)",예,"40 석
(7 라운드 테이블, 12 개의 반 개인 객실)",없음,"(외부에 재떨이가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://kunyanpocha.foodre.jp/",,"어린이가있는 개인 객실 고기 마시는 점심 시간 식사 연말 파티 새해 파티 디너 지불 이용 가능 온라인 예약 이용 가능
다른 사용 장면을 참조하십시오",예,,,예,03-6284-4846,"한국인
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001682810/archive/2919227-637865e02cf96.jpg,예,,,사용 가능한 예약,,,"천장이 높습니다
활발한 상점",이용 가능한 맥주,없음,,,https://x.com/nyantonakupocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本酒処 地花,사케 장소 지하나,https://retty.me/area/PRE13/ARE9/SUB901/100001537233/,03-5846-8288,이자카야,"[월요일부터 금요일까지]
저녁 식사 16 : 30-23 : 00
점심 11:30-14:00 L.O. 13:30
[토양]
 12:00-21:00
마감 시간은 하루에 따라 다를 수 있습니다",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"3-14-5 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (190m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Okachimachi Station 4 분 도보 (250m)",,36 석,예,"불가능합니다
(상점 외부의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",https://chika.owst.jp/,,"점심 싱글 싱글 싱글 싱글 싱글을위한 개인 방
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001537233/archive/155865-5e80043d5ab46.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジェネシス インターナショナルバー,창세기 국제 바,https://retty.me/area/PRE13/ARE9/SUB901/100000044526/,050-5303-6890,술집,"[하루 종일]
 18:00-5:00
월요일부터 일요일, 공휴일 및 공휴일 전날 : 다음 날 오후 6 시부 터 오후 5시 (다음 날 오후 5시 요리 L.O. 5pm 다음 날.
다음 날 18:00-5:00
◆ 점심 시간도 개인 용도로 사용할 수 있습니다! 20 명 중 (참가자 수는 코스에 따라 논의 될 수 있음)
◆ 소녀의 밤은 2,980 엔 ♪ 오후 11 시까 지 무제한 무제한 음료를 위해 이용 가능합니다.
◆ 3,980 엔부터 시작하는 코스를위한 모든 것! 】 (+150 엔 팝콘/+300 엔 all-you-can-eat 감자!)",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"6-16-7 Ueno, Taito-Ku, 도쿄 D. B Ueno 24f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (47m)
Keisei Main Line / Keisei Ueno 역에서 도보 3 분 (230m)
도쿄 메트로 긴자 라인 / Ueno Hirokoji Station에서 도보로 4 분 거리 (320m)","예
근처 (할인 없음) 사용 가능","38 석
(예약을 해야하는 매우 인기있는 소파 좌석은 날짜, 소녀의 밤, 생일, 생일, 기념일 축하 행사 등에 적합합니다! 테이블 좌석은 약 50 명이며, 식탁 좌석은 약 100 명이며 식사를하는 경우 최대 100 명까지 ♪ 사전에 예약을 할 수 있으므로 원활한 지침을 제공 할 수 있으므로 24 시간 만 더 안내 할 수 있습니다.","예
(쾌활한 주인 인 Ed는 당신을 환영합니다.","예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://genesisinternationalbar.foodre.jp/",,"솔로 게스트 늦은 밤 날짜에 최초의 열차 작별 파티가 열리고 저렴한 레스토랑 연말 파티 온라인 예약 가능
다른 사용 장면을 참조하십시오",예,불가능합니다,불가능합니다,예,03-6803-2605,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000044526/archive/93379-5ce1e26513acb.jpeg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명",https://www.instagram.com/genesis___music__dart_bar_ueno/,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 3 시간 이상 동안 온 맨 링크",사용 가능한 예약,놀라운 응답 가능,,활발한 상점,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,,,,"가라오케, TV 및 모니터, 오디오 장비, 다트",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bar grandir,바 그랜드 라,https://retty.me/area/PRE13/ARE9/SUB901/100001695958/,03-6803-2230,술집,"[월요일부터 금요일과 토요일]
 17:00-2:00
[일요일과 휴일]
 17:00-23:30",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Duke Building B1F, 6-6-4 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (100m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (110m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (160m)","없음
근처 (할인 없음) 사용 가능",8 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"날짜, 웨딩 기념일, 성인 은신처, 와인, 주차, 개인 용도, 저녁 식사, 비 흡연, 생일, 1 주년, 심야, 급여 지불 지불, 세련된 지불금
다른 사용 장면을 참조하십시오",,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001695958/archive/302536-642bdf8866823.jpg,예,,,사용 가능한 예약,"놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,,"술, 쇼카, 와인, 칵테일",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
なか卯 秋葉原店,나카우 아키하바라 상점,https://retty.me/area/PRE13/ARE9/SUB901/100000025778/,0120-29-5770,우동 라이스 보울,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,PayPay,"3-2-1 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 2 분 거리 (160m)
도쿄 메트로 히비야 라인 / 나카 오카카 시마치 역에서 도보 6 분 (420m)
JR Yamanote Line / Akihabara 역에서 도보로 6 분 (460m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,독신자 OK 세련된 비 흡연 페이 페이 지불 가능,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14063921.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grill&Bar Porco Piatto,Grill & Bar Porco Piatto,https://retty.me/area/PRE13/ARE9/SUB901/100001458264/,03-5817-4288,"서양식 음식, 미트 바, 이자카야, 파스타, 햄버거","[월요일부터 금요일과 토요일]
아침 7:00-10:00 L.O. 9:30
[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 13:45
[월요일부터 금요일과 토요일]
저녁 식사 18:00-22:00 L.O. 21:00
또한 품목을 예약 할 수있는 경우가있을 수 있으므로 언제든지 저희에게 연락하십시오!","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.
또한 개인 품목이있을 수 있으므로 저희에게 연락하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3-1-6 Yushima, Bunkyo-Ku, 도쿄 APA 호텔 <Ochanomizu Station North> 1f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 6 분 (430m)
도쿄 메트로 마루치 노선 / 오차노미즈 역에서 도보 6 분 (440m)
JR Chuo Line (Rapid Express) / Ochanomizu Station (440m)에서 도보로 6 분","예
특별 P 사용 가능","20 석
(8 개의 카운터 시트, 2 개의 테이블 x 6 테이블)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간, 소유자 chef에 대해 특히 알고 있습니다.","점심, 여자 파티, 모든 링크, 연회 및 파티, 환영 파티, 새해 파티, 와인, 주차, 어린이와 함께 즐기기, 아침 식사, 저녁 식사, 쌀, 비영리, 생일, 점심, 여자 파티
다른 사용 장면을 참조하십시오",예,,예 (무료),예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001458264/archive/705694-5c64e54544a7.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) 12 명
최대 20 명까지 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 12 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 30 명",,"3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
호텔에 있습니다","맥주, 쇼카, 와인, 위스키, 칵테일",,주차 소개 : APA 호텔 고객 주차 (2 시간 무료),,,,"Suica, Nanaco, Rakuten Edy, Quicpay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日本酒処 地花,사케 장소 지하나,https://retty.me/area/PRE13/ARE9/SUB901/100001537233/,03-5846-8288,이자카야,"[월요일부터 금요일까지]
저녁 식사 16 : 30-23 : 00
점심 11:30-14:00 L.O. 13:30
[토양]
 12:00-21:00
마감 시간은 하루에 따라 다를 수 있습니다",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"3-14-5 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (190m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Okachimachi Station 4 분 도보 (250m)",,36 석,예,"불가능합니다
(상점 외부의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",https://chika.owst.jp/,,"점심 싱글 싱글 싱글 싱글 싱글을위한 개인 방
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001537233/archive/155865-5e80043d5ab46.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
