식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약
個室完備 和牛焼肉 食べ放題 炭治郎 新宿店,"이용 가능, 모든 일본 쇠고기 야키니 쿠 탄주 신주 지점",https://retty.me/area/PRE13/ARE1/SUB101/100001592076/,050-5303-2547,야키니쿠 호르몬 이자카야 고기 바,"[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Wada Hisa Building 2F, 1-17-5 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (100m)
JR Yamanote Line / Shinjuku Station에서 도보 3 분 (190m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)","없음
근처 (할인 없음) 사용 가능","60 석
(야간 전망, 커플 좌석, 소파 좌석 등이있는 시터)","없음
(혼자라도 사용할 수 있습니다.)","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 60 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) : 70 명","[공식적인]
https://tanjiro-shinjukuten.foodre.jp/
https://tanjiro-shinjyuku.com/","PayPay, Merpay 및 D-Payment를 사용할 수 있습니다.","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 채식 메뉴, 매우 매운 메뉴, 요리사는 해외 훈련 경험을 가지고 있으며, 요리사는 유명한 식당에서 훈련 경험을 가지고 있으며, 요리사가 준비하고, 요리사가 준비했으며, 매장에서 준비했습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",사용 가능한 예약,"고기 쌀, 저녁 식사, 생일, 엔터테인먼트, 개인 객실, 전산, 연회 및 음주 파티 및 음주 파티 이용 가능, 지불금 포인트, 온라인 예약, 연말 파티, 새해 파티, 작별 파티, 점심 음주, 인기있는 식당.
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능","예
어린이는 허용되고, 미취학 아동이 허용되고, 초등학생이 허용되고, 이유식을 가져올 수 있으며, 알레르기 음식을 수용 할 수 있습니다.",불가능합니다,,예,03-6273-9208,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001592076/archive/246417-612c6542a8a48.jpg,,"불가능합니다
(흡연 구역 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만의 all-you-can-drink, all-you-can-drink 코스, 3,000 엔 -3,999 엔, All-You-can-drink 코스를 이용할 수 있습니다. 5,000 엔, 1 시간 반 동안 온전한 링크, 2 시간 동안 완전히 흠뻑 젖고, 2 시간 반 동안 완전히 흠뻑 젖고, 3 시간 반 동안, 3 시간 반 동안 싱글 링크를 3 시간 반 동안 링크하면",평상복,,,
全席個室居酒屋 肉寿司食べ放題 肉ヤロー 新宿本店,"모든 좌석 전용 이자카야, 모든 고기 고기 초밥, 고기 야로 신주쿠 메인 스토어",https://retty.me/area/PRE13/ARE1/SUB101/100001595412/,050-5304-1764,이자카야 고기 바 이탈리아 바 야키토리 스테이크,"[하루 종일]
 11:00-24:00 L.O. 23:00
신주쿠 역에서 도보로 1 분! 우리의 자랑스런 맨 에이트와 음료!
완전히 개인 실은 2 ~ 70 명을 수용 할 수 있습니다.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
JCB",PayPay,"Wings Building 2F, 1-15-8 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 3 분 (200m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Shinjuku Station에서 도보로 3 분 거리 (210m)","없음
근처 (할인 없음) 사용 가능","60 석
((모든 좌석은 2 개의 개인 실, 30 명의 개인 손님입니다! 편안한 개인 실",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","[공식적인]
https://nikuyaro.foodre.jp/
https://nikuyaro.owst.jp/",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 식당에서 훈련을 받고 요리사가 훈련을받는 것에 대해 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 객실, 점심 시간, 날짜, 쌀 먹는 것, 쌀, 고기, 고기, 세련된 개인 실, 생일, 지불금 지불 이용 가능, 연말 파티, 새해 파티, 급여 지불 포인트 받기, 온라인 예약, 전후에, 모든 맨, 캔-캔-링크, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성","예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,예,080-9800-3340,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001595412/archive/2923847-63807455e7759.jpg,,,,,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 YEN 또는 ALL-YOU-CAN-DRINK 가격 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 2 시간 동안 온전한 링크, 2 시간 반 동안 싱글 링크, 3 시간 이상은 모두 3 시간 이상 만 담당합니다.",평상복,,"TV 및 모니터, 오디오 장비",
Saudade,사우디,https://retty.me/area/PRE13/ARE1/SUB104/100000002776/,050-5304-1338,스페인 와인 바,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 22:00","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
여름 방학은 한 달에 두 번 불규칙합니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3F Takamori Building, 3-9-3 신주쿠, 신주쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 3 분 거리 (200m)
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보로 7 분 거리 (530m)
JR Yamanote Line / Shinjuku Station에서 도보로 9 분 (710m)",없음,20 석,"예
(이 가게는 주로 카운터에서 다룹니다.)",없음,예,"[공식적인]
https://saudade-vinonatural.foodre.jp/
https://saudade.shinjuku3.com/","일반적으로 약 20 명을 위해 예약되어 있지만 3-4 명을 위해 예약 할 수 있습니다. ★
물론 추가 요금은 없습니다. 언제든지 저희에게 연락하십시오 to","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 알레르기, 주인 요리사 및 매장 내 준비를 수용 할 수 있습니다.",와인이 있습니다,사용 가능한 예약,"날짜, 성인 은신처, 엔터테인먼트, 저녁 식사, 비영리, 고기, 와인 음주 소녀 파티, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 성인 데이트, 성인 새해 파티, 크리스마스 2024, 성인 연말 파티, Fashional
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",불가능합니다,불가능합니다,예 (무료),없음,03-3356-3009,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000002776/archive/3562083-67e1906985738.jpg,,"불가능합니다
(상점 외부에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,
Italianbar ATTACHMENT〜アタッチメント〜 新宿西口店,이탈리아 바 첨부 파일 ~ 첨부 파일 ~ 신주쿠 웨스트 출구 매장,https://retty.me/area/PRE13/ARE1/SUB106/100001601278/,050-5304-3015,이탈리아 바 이자카야 식당 바 고기 바,"[월요일부터 금요일까지, 휴일 전]
 11:30-23:00 L.O. 22:00
[태양, 토요일, 휴일]
 11:00-23:00 L.O. 22:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Nishi-Shinjuku Building B1, 7-7-29 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (290m)
Jr Chuo / Sobu Line / Okubo (도쿄) 역에서 도보로 4 분 거리 (320m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (370m)","없음
근처 (할인 없음) 사용 가능","54 석
(그룹 및 개인 용도로 예약이 허용됩니다)",없음,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
예약 할 수있는 제한된 수의 사람들 : 60 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","[공식적인]
https://italianbarattachment-shinjukuz.foodre.jp/
https://kokoroodoru-inc.co.jp/brand/","*예약에 대한 변경 사항이나 추가가 있으면 온라인이 아닌 저희에게 전화하십시오.
변경이 온라인으로 이루어지면 예약이 취소됩니다.","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 알레르기가있는 고객을 수용 할 수 있고, 요리사는 해외에서 훈련을 받고, 요리사는 유명한 식당에서 훈련 경험을 가지고 있으며 요리사는 식당에서 훈련 경험을 가지고 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 저녁 식사, 저녁 식사, 와인, 소녀 파티, 연회 및 음주 파티, 연말 파티, 개인 객실, 엔터테인먼트, 지불금 지불 이용 가능, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티, 점심 음주, 세련된, 성인 새해 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기","놀라운 응답 가능
축하 가능성","예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,예,03-6908-9123,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001601278/archive/3356524-668dee167ccc41.jpg,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 3000-4999 엔, 2999999 YEN, ALL-YOU-CAN-DRINK PROPES의 ALL-YOU-CAN-DRINK 가격 5000 YEN 또는 ALL-YOU-CAN-DRINK 가격 3000-3999 엔, all-you-can-drink 코스에는 4000-4999 엔이 포함되며, 싱글 링크 코스에는 5000 엔 이상, 2 시간 동안 온전한 링크, 2 시간 반 동안 싱글 링크, 3 시간 이상은 모두 3 시간 이상 만 담당합니다.",평상복,,,
呑者家 末広通り店,Suehirodori 상점,https://retty.me/area/PRE13/ARE1/SUB104/100000094423/,050-5462-5674,이자카야,"[태양, 월요일부터 목요일까지]
저녁 식사 16 : 00-23 : 30 L.O. 23:00
[금요일, 토요일, 휴일 전]
저녁 식사 16:00-28:00 L.O. 27:30","하루 종일 개점
새해 공휴일 : 12 월 31 일 -1 월 4 일","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Todo Building 2F, 3-6-12 신주쿠, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 1 분 (64m)
JR Yamanote Line / Shinjuku Station에서 도보로 6 분 (420m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 6 분 (430m)",없음,65 석,없음,없음,,"[공식적인]
https://donjaka-suehirodoori.foodre.jp/
https://donjyaka1.owst.jp/map","[체류 시간]
좌석 전용 : 2 시간 30 분
2 시간 동안 모두 당신이 마시는 코스 예약",,,,,"독신 사람들을위한 저녁 식사 및 쌀 이용 가능 심야 열리는 연회 및 음주 파티 all-you-can-drink welcome 파티 파티를 마실 수 있습니다. 술을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,없음,03-3357-8090,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000094423/archive/3314511-664d543180b12.jpg,,,,,,,,,
オッティモ・シーフード・ガーデン 新宿店,오티모 해산물 정원 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB113/100000006518/,050-5461-3621,이탈리아 요리 해산물과 해산물,"[하루 종일]
점심 11:30-15:30 L.O. 15:00
저녁 식사 17:00-22:00 L.O. 21:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",,"점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"3f Avirex, 4-1-5 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보 1 분 (61m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (140m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (390m)",없음,48 석,없음,없음,예,"[공식적인]
https://ottimofoodgarden-shinjuku.foodre.jp/
https://ottimo-seafoodgarden-shinjuku.com/",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","우리는 생선 요리, 수입 재료 및 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁, 날짜, 여자 밤, 점심, 여자 밤, 와인, 와인, 와인, 와인, 와인, 와인, 성탄절 저녁 식사, 성인 은신처, 연말 파티, 새해 파티, 흡연 허용, 점심 날짜, 지불금 지불 가능
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
골목을 향합니다
테라스가 있습니다
정원이 있습니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,,,없음,03-5363-4631,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000006518/archive/291970-637acf46c16dc.jpeg,"Suica, Waon, Quicpay","예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com/ottimoseafoodgarden/,https://www.facebook.com/ottimoshinjuku/#_=_,"4,000 엔에서 4,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 모든 싱크 링크, 2 시간 동안 전세계 점점을 포함하는 코스가 포함되어있는 코스가 있습니다.",,https://x.com/ottimoshinjuku,,
ビーフキッチンスタンド 新宿歌舞伎町店,쇠고기 주방 스탠드 신주쿠 가부 치치 상점,https://retty.me/area/PRE13/ARE1/SUB101/100001505081/,050-5461-3739,이자카야 햄버거,"[하루 종일]
 11:30-4:30
다트와 가라오케는 23:00 이후에 구입할 수 있습니다.
23:00 이후 다트 또는 가라오케를 플레이하는 경우 추가 663 엔 (세금 포함)에 서비스를 사용할 수 있습니다.",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1F 신주쿠 빌딩, 1-17-11 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 2 분 (130m)
JR Yamanote Line / Shinjuku Station에서 도보 3 분 (190m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)",예,50 석,예,없음,,"[공식적인]
https://nikubarbeefkitchenstand-kabuki.foodre.jp/
https://beef-kitchen-stand-kabukicho.com/",이것은 흡연 상점이므로 20 세 미만의 고객은 입장 할 수 없습니다.,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",매우 매운 메뉴와 함께 특수 고기 요리,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"오픈 늦은 밤 저녁 식사를 마시는 점심 고기 여자의 밤 연회 및 음주 파티 지불 지불금 지불 이용 가능한 연말 파티 새해 파티 all-you-can-eat all-you-can-eat all-you-can-can-can-can-can-can-minpay points 온라인 예약 가능
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다
테라스가 있습니다",,불가능합니다,불가능합니다,,예,03-6233-8507,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001505081/archive/1751927-5f07d7d879c9e.png,Suica,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔, All-You-Can-Drink 코스에는 4,000-4,999 엔을위한 All-You-Can-Drink, All-You-Can-Drink Course는 5,000 Yen 이상으로 All-You-Can-Drink를 포함하여 All-You-Can-Drink를 포함합니다.",,,노래방과 다트,
九蔵 新宿西口店,Kuzo Shinjuku West Exit Branch,https://retty.me/area/PRE13/ARE1/SUB106/100001692872/,050-5462-2932,Kyushu Cuisine Izakaya Yakitori 해산물 및 해산물,"[태양, 월요일부터 금요일, 토요일]
 11:00-24:00 L.O. 23:30",,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Daiichi Seishin Building 4F, 1-16-12 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (99m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (190m)","없음
근처 (할인 없음) 사용 가능","80 석
(예약 할 수있는 최대 수의 사람들 : 앉을 때 100 명)",,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명","[공식적인]
https://kyuzou.foodre.jp/",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"전산 된 링크 애프터 파티 연회 및 음주 파티 개인 실
다른 사용 장면을 참조하십시오",활발한 상점,,,,,예,03-6380-4784,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001692872/archive/3314142-664c15536fb62.jpg,"Rakuten Edy, Quicpay","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"999 엔 미만의 all-you-can-drink 가격, 2000 엔에서 2999 엔",,,,
blanDouce bar&kitchen,Blandouce Bar & Kitchen,https://retty.me/area/PRE13/ARE1/SUB112/100001163080/,03-6304-0458,바 식당 바 바,"[하루 종일]
 18:00-29:00 L.O. 28:00
마감 시간은 하루에 따라 다를 수 있습니다
오후 11시에 손님이 없으면 문을 닫습니다.","하루 종일 개점
새해 휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"6F 다이 한 빌딩, 7-10-12 니시-신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (140m)
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 4 분 (300m)
JR Yamanote Line / Shinjuku Station에서 도보로 7 분 거리 (560m)","예
근처 (할인 없음) 사용 가능","25 석
((4 개의 반 개인 객실, 8 개의 카운터 좌석, 13 개의 테이블 좌석))))","예
(8 개의 카운터 좌석)","예
4 명","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명","[공식적인]
https://blandouce-bar-kitchen.foodre.jp/
http://blandouce.com/",,"5,000 ~ 5,999 엔 코스로 제공됩니다","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 요리사가 유명한 레스토랑, 주인 요리사 및 매장 내 준비에 대해 특히 다루고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"늦은 밤에 개장, 독신, 저녁 식사, 쌀, 작별 파티, 연회 및 음주 파티, 고기, 생일, 개인 실, 환영 파티, 모든 링크, 날짜, 연말 파티, 새해 파티, 첫 번째 열차까지 개장, 급여 지불 포인트, 온라인 예약이 허용됩니다.
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
숨는 곳
상단에 있습니다
골목을 향합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,불가능합니다,,예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001163080/archive/895459-5cc16ad683b00.jpg,,"흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"5,000 엔 이상으로 이용할 수있는 모든 금액 가격, 5,000 엔 이상, 2 시간 반 동안 온전한 점수",,,,
遊山 新宿店,유잔 신주쿠 지점,https://retty.me/area/PRE13/ARE1/SUB101/100001412269/,050-5462-7828,Izakaya 마름 고기 요리 일본 요리 kyushu cuisine teppanyaki sashimi,"[하루 종일]
 11:00-24:00 L.O. 23:00
*하루에 따라 일찍 문을 닫을 수 있으므로 방문시 확인을 위해 전화하십시오.
전화 : 050-5262-5112",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,PayPay,"3f, 3-34-11 신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (110m)
JR Yamanote Line / Shinjuku Station에서 도보 2 분 (160m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (170m)",예,"130 석
(~ 지불 방법 ~ PayPay는 현재 사용할 수 없습니다. 불편을 끼쳐 드려 죄송합니다. 이해에 감사드립니다.)",없음,"예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 150 명",,"~ 지불 방법에 대해 ~
PayPay는 현재 사용할 수 없습니다.
불편을 드려 죄송합니다. 이로 인해 귀하의 이해에 감사드립니다.",,우리는 야채 요리와 고기 요리에 대해 특별합니다,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"작별 파티 점심 점심 개인 방 점심 마시는 저녁 식사 all-you-can-drink sake sake drink all-can-eat 엔터테인먼트 연말 파티 새해 파티를 마시는 와인을 마시는 아이들과 함께 즐거운 와인을 마시고 흡연 허용 개인 객실 점심 여자 파티
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",예,,,예,080-3442-7306,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001412269/archive/3540192-67c9455add25f.jpg,,"예
완전히 흡연이 허용됩니다
(available 흡연 분리는 개인 실에서 이용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"2,999 엔 미만의 모든 링크, 3,000 ~ 3,999 엔을위한 all-you-can-drink, 4,000 ~ 4,999 엔을 포함하는 코스가 포함 된 코스가 포함되어있는 코스가 있습니다.",,,,
