식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자,온라인 예약
越後屋 三太夫,에키 고야 산타,https://retty.me/area/PRE13/ARE8/SUB806/100000449008/,03-6416-5552,이자카야 해산물과 해산물 사시미,"[하루 종일]
점심 11:00-17:00 L.O. 17:00
저녁 식사 17:00-23:30 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",새해 휴일 (확인하십시오),"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Unidogenzaka Building B1, 2-6-15 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (32m)",예,80 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인",사용 가능한 예약,"점심으로 점심으로 마시는 연회 및 음주 파티 성인 은신처 작별 파티를 환영 파티를 환영합니다. 체리 꽃보기와 레스토랑은 체리 꽃보기 연말 파티와 함께 ​​멋진 저녁 식사를 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",숨는 곳,,,예,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000449008/archive/2905046-6368508659db2.jpeg,,,,,,,,,,
焼肉いのうえ 渋谷店,Yakiniku Inoue Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB804/100000036252/,03-6427-0355,야키니쿠,"[하루 종일]
 17:00-24:00","불규칙한 휴일
12/31에서 1/4로 폐쇄되었습니다","점심:-
저녁 식사 : ~ 5,000 엔",예,PayPay,"Crossroad Building 3F, 1-29-1 Shoto, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 5 분 (360m)
JR Yamanote Line / Shibuya Station에서 도보로 5 분 거리 (370m)",,70 석,없음,"예
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"날짜, 개인 실, 성인 은신처, 연말 파티, 새해 파티, 술 마시기, 마시는 와인, 저녁 식사, 쌀, 고기, 흡연 허용, 개인 방 날짜, 세련된 개인 실, 개인 실 엔터테인먼트, 쇼치, 급여, 성인 날짜
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000036252/archive/535288-5b9635416b969.png,,,,,,,,,,
博多串焼き・野菜巻き工房 渋谷宮益坂のごりょんさん,하카타 꼬치와 야채 롤링 워크숍 시부야 미야 마수 자카 고리 론,https://retty.me/area/PRE13/ARE8/SUB805/100001274818/,03-6712-6700,꼬치,"[하루 종일]
 17:30-23:45 L.O. 23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"1-6-3 Shibuya, Shibuya-Ku, 도쿄 빌라 첫 번째 시부야 1f 지하
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 5 분 (360m)
도쿄 메트로 진 자 라인 / 오모 테산도 (710m)에서 도보로 9 분 거리",,15 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://teyandei.com/?page_id=3123,,,,,,,"날짜, 여자 파티, 전산 된 링크, 그룹 날짜, 연회 및 음주 파티, 개인 객실, 싱글 객실, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001274818/archive/1884140-5f72f29f398ae.jpg,,,,,,,,,,
もつやき 婁熊東京,Motsuyaki Rukuma 도쿄,https://retty.me/area/PRE13/ARE8/SUB805/100000005918/,03-3486-1129,이자카야 호르몬 야키토리 구운 쇠고기 요리 돼지 고기 요리 모스 요리 카레 쇠고기 혀,"[월요일부터 금요일과 토요일]
 17:00-24:00 L.O. 23:30",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
Amex
식당
JCB",,"Sumiho Shibuya Building 2F, 3-15-2 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 도보 2 분 (150m)",예,26 석,예,"예
(흡연은 모든 좌석에서 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,,,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"데이트 여자 파티 모든 링크 연회 및 음주 파티 싱글 싱글 파티 오크 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음료 술 세련된 저녁 식사 쌀 고기 흡연 허용 무료 Wi-Fi
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000005918/archive/241891-595B27B706D0D.JPG,,,https://www.facebook.com/rukuma.shibuya/,,,,,,,
渋谷南平台のごりょんさん,시부야 미나 미다이다이에서 온 리온,https://retty.me/area/PRE13/ARE8/SUB803/100001426398/,03-6416-4880,Izakaya 크리에이티브 요리 야키토리,"[하루 종일]
 17:30-23:45",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"30-18 Sakuragaokacho, Shibuya-Ku, 도쿄 Meisa 미나 미다이 1
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 4 분 거리 (270m)
Keio Inokashira Line / Shinsen Station에서 도보 7 분 (550m)",,"42 석
(음주 공간 유지)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://teyandei.com/,신용 카드 : 비자 및 마스터 이용 가능,,,,,,"여자 파티 전후 당신이 마시는 연회와 음주 파티 싱글 싱글은 괜찮아 성인 은신처 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음료 와인 음주 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001426398/archive/2025289-5f966046502e0.jpg,,,,,,,,,,
酢重 Indigo,Sushige Indigo,https://retty.me/area/PRE13/ARE8/SUB805/100001436165/,03-3400-8850,일본 소바 (소바) 야키토리 이자카야,"[하루 종일]
 11:00-23:30
음식 22:30 lo
마시는 23:00 lo",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,PayPay,"Shibuya Stream 2F, 3-21-3 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 1 분 (64m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.suju-masayuki.com/shops/indigo.php,,,,,,,"점심, 연회 및 음주 파티, 싱글 OK, FOREWELL PARTY, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 마시기, 세련된, 저녁 식사, 쌀, 비영리, 세련된 점심, 지불금 지불 가능, 세련된
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36422413.jpg,,,,,,,,,,
お好み焼き いまり 渋谷店,Okonomiyaki Imari Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB803/100001435256/,03-6416-4017,Okonomiyaki Teppanyaki Izakaya,"[월요일부터 금요일까지]
 18:00-1:00 L.O. 24:00
[태양, 토요일, 휴일]
 17:00-1:00 L.O. 24:00","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f M.C.D.Bld, 17-10 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station (190m)에서 도보로 3 분",없음,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"2,999 엔 미만의 코스",,,"맥주, 사케, 쇼치, 와인, 위스키, awamori",사용 가능한 예약,"연회 및 음주 파티 솔로 성인을위한 OK Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 와인을 마시는 와인 저녁 식사 쌀 비영리 쇼치.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","테이크 아웃 가능성
배송 가능",없음,예,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001435256/archive/171745-5eafd8f7cd75.jpeg,,,https://www.facebook.com/imarishibuya,,,,,,,
MICROCOSMOS,마이크로 코스 모스,https://retty.me/area/PRE13/ARE8/SUB805/100001418064/,03-3409-6581,카페,"[월요일부터 금요일과 토요일]
 12:00-4:00
[낮]
 12:00-24:00","하루 종일 개점
새해에 문을 닫았습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Shibuya Park Side Joint Building 8F, 1-25-6 Shibuya, Shibuya-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (67m)",예,44 석,예,"불가능합니다
(상점 내부에서는 흡연이 허용되지 않지만 테라스에서는 재떨이를 이용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사 식사) : 60 명",https://microcos mestokyo.com/,,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상을위한 All-You-Can-Drink가 포함되어 있습니다. 3 시간 넘게 만약을 만듭니다","그는 고기 요리, 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 매장 내에서 훈련했습니다.","맥주, 쇼카, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"점심으로 점심으로 마시는 연회 및 음주 파티 싱글 싱글 싱글 파티 환영 파티 연말 파티 연말 파티를 마시는 새해 파티를 마시는 어린이와 함께 와인을 즐기십시오.
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
활발한 상점
나이트 뷰를 볼 수 있습니다
상단에 있습니다","놀라운 응답 가능
축하 가능성",없음,"예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",불가능합니다,예 (무료),예,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001418064/archive/507355-5b761c8fd6adc.jpg,,,,,TV 및 모니터 사용 가능,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Waon, Au 지갑",,,
渋谷 てやん亭゛,시부야 테이 안테이,https://retty.me/area/PRE13/ARE8/SUB803/100001452658/,03-3462-6411,이자카야 오키나와 요리 오키나와 소바 일본 요리,"[하루 종일]
저녁 식사 17:00-23:30 L.O. 23:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
음식 마지막 순서 22:30
마지막 음료 주문 23:00",새해 휴일 (확인하십시오),"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex",PayPay,"Sakura Bloom 2F, No. 202, 16-2 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (160m)",없음,48 석,예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해",예,https://teyandei.com/?page_id=30,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 30 분 동안 만 살해, 2 시간 동안 싱글 링크, 2 시간 반 동안 모두 싱글 링크","우리는 야채 요리, 고기 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.",맥주와 awamori가 있습니다,사용 가능한 예약,"데이트 소녀 파티 전 만세 연회/음주 파티 솔로 손님을위한 개인 실 혼자 성인 숨겨진 작별 인사 파티를 환영 파티를 환영합니다. 체리 꽃보기/체리 꽃보기 크리스마스 저녁 식사 파티 새해 파티 마시는 와인
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",,예,불가능합니다,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001452658/archive/205446-5fa2e806d5661.jpeg,,,,,,https://www.instagram.com/shibuya_teyandei,,,,
TOKYO FISHERMAN'S WHARF 魚秀 渋谷店,도쿄 어부의 부두 우오시 시부야 상점,https://retty.me/area/PRE13/ARE8/SUB802/100001562784/,03-6416-0012,이자카야 해산물과 해산물,"[하루 종일]
 11:30-24:00 L.O. 23:15",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
JCB",,"35-6 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (310m)
Keio Inokashira Line / Shinsen 역에서 도보 8 분 (570m)",없음,,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",불가능합니다,,,,,생선 요리 전문,사케와 쇼치,사용 가능한 예약,"점심, 개인 실, 싱글 룸, 체리 꽃보기, 체리 꽃보기, 크리스마스 저녁 식사, 술, 세련된, 저녁, 쌀, 흡연 허용, 개인 실, 점심, 세련된, 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36278415.jpg,,,,,,,,,,
炭火焼ホルモン ぐう 渋谷,숯 구이 호르몬 구 시부야,https://retty.me/area/PRE13/ARE8/SUB805/100000748225/,03-3486-3729,쇠고기 혀 이자카야 야키 니쿠,"[하루 종일]
 17:00-23:00 L.O. 22:00","하루 종일 개점
새해 휴일 (12/31-1/4 매장 폐쇄)","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"보석 시부야, 9 층, 3-27-11 시부야, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 1 분 도보 (41m)",예,"70 석
(6 명을위한 개인 실, 4 명을위한 개인 실, 8 명을위한 개인 실, 카운터에서 8 석, 4 명을위한 8 개의 테이블, 6 명을위한 2 개의 테이블)","예
(8 석)","예
흡연실 사용 가능
(상점에서 흡연이없고 흡연 구역을 이용할 수 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",불가능합니다,https://www.gu-horumon.com/,서비스 요금 5% (2024 년 1 월부터),,2 시간 동안 당신이 다루는 것,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"날짜가 다조화, 그룹 날짜, 결혼 기념일, 개인 실, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 음료 술, 와인, 저녁 식사, 쌀, 흡연 허용, 개인 실, 데이트, 세련된 개인 실, 그룹 데이트, 개인 실, 개인 실, 엔터테인먼트, 무료 Wifi
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000748225/archive/124530-588721c136ed1.jpg,,,https://www.facebook.com/profile.php?id=170519449754619,,,,,,,
渋谷っ子居酒屋 とりとん,시부야이자 카야 토리 톤,https://retty.me/area/PRE13/ARE8/SUB805/100001324809/,03-6452-6827,이자카야 야키토리 해산물과 해산물 요리 스테이크 굴 바,"[하루 종일]
저녁 식사 17:00-29:00","하루 종일 개점
*우리는 새해 공휴일에 문을 닫을 수 있습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔",예,,"Shibuya Akabu Building 3F, 1-24-2 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 1 분 도보 (65m)",,66 석,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"독창적 인 연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/2979080.jpg,,,,,,,,,,
渋谷焼肉 金剛園,시부야 야키 니쿠 콩고 엔,https://retty.me/area/PRE13/ARE8/SUB806/100000030056/,03-6416-0297,Yakiniku 한국 요리 호르몬 쇠고기 혀 이자카야 고기 바 스테이크 야키토리,"[하루 종일]
저녁 식사 17:00-4:00 L.O. 3:00
마감 시간은 하루에 따라 다를 수 있습니다
*매일 예약이 허용됩니다.
*상황에 따라 변경 될 수 있습니다.
*시간 제한은 바쁜 시간에 설정 될 수 있습니다.
*2 명의 경우 90 분, 3 명 이상의 사람은 120 분",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Plaza dogenzaka 2f, 2-25-7 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (230m)
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (470m)","없음
근처 (할인 없음) 사용 가능",24 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 18 명
예약 할 수있는 제한된 수의 사람들 (앉음) : 34 명","[공식적인]
https://kongouen-shibuya.foodre.jp/
https://akr3977491973.owst.jp/",,"5,000 ~ 5,999 엔 코스로 제공됩니다",,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 연회 및 음주 파티 참여 단일 파티 엔터테인먼트 작별 파티를 환영하는 파티를 환영합니다. 체리 꽃보기와 레스토랑 체리 블로 솜 전망 크리스마스 저녁 식사 연말 파티를 마시는 새해 파티를 마시는 와인을 마시는 와인이 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"불가능합니다
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,없음,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000030056/archive/3474546-67555de5b6dde.jpg,,,https://www.facebook.com/japanease.beef.a5/,,,,,,,
Bistro Horitetsu,비스트로 호리 테츠,https://retty.me/area/PRE13/ARE8/SUB802/100000818968/,03-6427-0200,비스트로 프랑스 햄버거,"[월요일부터 금요일까지]
 12:00-14:00 L.O. 14:00
[월요일부터 금요일과 토요일]
 19:00-22:30 L.O. 22:30","매주 일요일
토요일에는 점심이 열리지 않습니다","점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Nakajima Building B1F, 42-15 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 8 분 (570m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (660m)
도쿄 메트로 치 요다 라인 / 요요 기 코엔 역에서 도보로 10 분 (780m)",,29 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 연회 및 음주 파티, 약혼 저녁 식사 파티, 싱글은 환영합니다
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000818968/archive/1737236-5efdabdeb23aa.jpg,,,https://www.facebook.com/bistro-horitetsu-366936760084108/,,,,,,,
焼肉 黒田,야키니쿠 쿠로다,https://retty.me/area/PRE13/ARE8/SUB806/100001491051/,03-6455-2600,야키 니쿠 쇠고기 혀 호르몬,"[하루 종일]
저녁 식사 17:00-4:00 L.O. 3:00
(Food L.O. 02:00 음료 L.O. 03:00)","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibumarukan 1-16 Maruyamacho, Shibuya-Ku, 도쿄 1st 및 2 층
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보 4 분 (300m)
JR Yamanote Line / Shibuya Station에서 도보로 5 분 거리 (380m)",없음,"32 석
(1 층에 20 석, 2 층 12 석 (개인 실) - 6 개 이상의 개인 실 (최대 10 명 이상의 사람들이 사용할 수 있음) *4 명을위한 완전 개인 실은 1 인당 500 엔을 청구합니다. 매장에 연락하십시오.)",,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(흡연 허용 (가열 담배 만 해당))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 16 명
최대 20 명까지 임대 할 수 있습니다",https://www.kuroda-tokyo.com/,,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 5,000 엔 이상, 2 시간 동안 온전한 링크",고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"날짜 연회 및 음주 파티 개인 방 참여 저녁 식사 파티 싱글 OK Entertainment 성인 은신처 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 어린이와 함께 즐거운 와인을 마시는 새해 파티
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
휴대품 룸이 있습니다
테이크 아웃 가능성",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,예,"영어 중국어 한국
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001491051/archive/3098007-64a794089b1a2.jpg,,,,,,https://www.instagram.com/yakiniku_kuroda/,"Suica, Quicpay",,,
~全席喫煙可~全席半個室焼肉やきごろ 渋谷肉横丁店,~ 모든 좌석은 흡연이 허용됩니다 ~ 모든 좌석은 반 개인입니다 Yakiniku Yakigoro Shibuya Niku Yokocho Branch,https://retty.me/area/PRE13/ARE8/SUB802/100001720663/,090-3684-1280,야키니 쿠이자 카야,"[하루 종일]
저녁 식사 17:00-3:00 L.O. 2:00",하루 종일 개점,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Chitose Kaikan 2f, 13-8 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",없음,15 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://nikuyokocho.jp/shop/yakigoro/,,"8,000 엔 이상의 코스",,고기 요리 전문,"맥주, 쇼카, 위스키, 칵테일",사용 가능한 예약,"날짜, 결혼 기념일, 연회 및 음주 파티, 개인 실, 엔터테인먼트, 연말 파티, 새해 파티, 개인 파티, 저녁 식사, 쌀, 흡연 허용, 생일, 개인 실, 개인 실, 엔터테인먼트, 늦은 밤 개막식, 지불금 지불 가능, 세련된, Merikriri
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,불가능합니다,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001720663/archive/328805-661cc553dde01.jpg,,,,https://x.com/yakigoro029,,https://www.instagram.com/yakigoro029,,,,
