restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,cooking_specialties,drinking_specialties,reservation,usage_scenes,child_friendly,wifi_available,phone_number,video,ic_card_payment,instagram,remarks,lecture,available_drinks,waiting,service,dress_code,pet_friendly,power_supply_available,additional_equipment,twitter,foreign_language_support,facebook,beer_maker,인근 시설
銀座焼肉 うっしっし,Ginza Yakiniku Ushishishi,https://retty.me/area/PRE13/ARE15/SUB1501/100000710459/,050-5461-3579,야키니쿠 호르몬,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 18 : 00-24 : 00 L.O. 23:00
[토양]
저녁 식사 15:00-22:00 L.O. 21:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
전화 예약은 토요일에만 허용됩니다.
오후 3시에 열고 오후 10시에 닫습니다
이벤트는 다 떨어지 자마자 끝납니다.
저희에게 연락하십시오.","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
전화 예약은 토요일에만 허용됩니다.
오후 3시에 열고 오후 10시에 닫습니다
이벤트는 다 떨어지 자마자 끝납니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kyobashi AK Building, 3-3-14 Kyobashi, Chuo-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 2 분 거리 (150m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보로 3 분 거리 (170m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (310m)","없음
근처 (할인 없음) 사용 가능",33 석,없음,"불가능합니다
(흡연은 상점 입구에서 이용 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",예,"[공식적인]
https://ginzayakiniku-usshisshi.foodre.jp/
http://ussissi.com/",우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"세련된 여자의 밤, 고기, 날짜, 개인 실, all-you-can-drink, 연말 파티, 크리스마스 저녁 식사, 술 마시기, 와인, 새해 파티, Paypay 지불 가능, 지불금 포인트, 온라인 예약, 작별 파티
다른 사용 장면을 참조하십시오","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",예,03-3245-4129,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000710459/archive/1735054-5efd3878550f8.jpg,,,,"6,000 엔에서 6,999 엔 코스, 7,000 엔에서 7,999 엔 코스, 8,000 엔 이상이 있습니다.",,차분한 분위기,"축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,불가능합니다,예 (무료),,,"영어 중국어
언어 지원 메뉴가 있습니다",https://www.facebook.com/yinzuoshaorousshisshi/,,
シュラスコ&ビアレストラン ALEGRIA kyobashi -アレグリア京橋-,Churrasco & Beer Restaurant Alegria Kyobashi -Alegria Kyobashi-,https://retty.me/area/PRE13/ARE15/SUB1501/100001591727/,050-5304-0451,Izakaya Churasco Yakiniku,"[하루 종일]
점심 11:00-14:30 L.O. 14:00
저녁 식사 17:00-22:30 L.O. 22:00
*우리는 감염을 예방하기 위해 취한 조치에 따라 사업에 개방 될 것입니다.

일요일에 열립니다

닫힌 날
새해 휴일/차단 된 건물 등","하루 종일 개점
시설과 동일합니다
12 월 31 일부터 1 월 3 일까지의 새해 공휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kyobashi Edgran B1F, 2-2-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 교오바시 (도쿄) 역 (120m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보 4 분 (290m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (320m)","없음
특별 P 사용 가능","78 석
(여러 테이블 좌석과 소파 시트가 있습니다. 개인 공간에서 Churrasco를 즐길 수있는 개인 실이 있습니다.)",없음,"불가능합니다
흡연실 사용 가능
(Kyobashi Edgran의 흡연 구역을 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 가능 (좌석) : 80 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수 (스탠딩 식사) 90 명","https://alegria-web.com/
https://alegria-kyobashi.owst.jp/","우리는 야채 요리, 고기 요리, 수입 재료 및 재료를 생산하며 알레르기가있는 고객에게 수용 할 수 있으며 어린이 메뉴에 사용할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"모든 당신이 먹는 엔터테인먼트의 작별 파티 파티 생일 개인 방 점심 연회/음료 파티 고기 고기 점심 음주 점심 음주 점심 음료 파티 파티 파티 파티 파티 엔터테인먼트 지불금 지불 이용 가능한 저녁 식사 all-you-can-eat all-you-can-drink 요리를위한 빠른 새해 파티 요리를위한 빠른 연말 파티 요리.
다른 사용 장면을 참조하십시오","예
아이들을 환영하고, 미취학 아동이 환영 받고, 초등학생은 환영 받고, 어린이 메뉴, 알레르기 음식을 이용할 수 있습니다.",예,03-6262-5236,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001591727/archive/3524046-67b2c04deb197.png,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay, Au 지갑",,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","999 엔 미만의 싱글 링크 가격, 1000 ~ 1999 엔, 1.5 시간 동안 온 올스크 링크, 2 시간 동안 완전히 링크 된 모든 링크, 2.5 시간 동안 완전히 링크 한 링크, 3 시간 이상은 3 시간 이상 링크","개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",평상복,,,,https://x.com/alegriakyobashi,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",,,
COCKTAIL WORKS 東京,칵테일 작업 도쿄 작품,https://retty.me/area/PRE13/ARE15/SUB1501/100001358004/,03-6262-7519,바 와인 바 이탈리아 비스트로,"[월요일부터 금요일과 토요일]
저녁 18 : 00-26 : 30
[월요일 ~ 금요일] (오전 2시에 마지막 참가)
[SAT] (오전 2시에 마지막 항목)
[마지막 날 또는 긴 주말]
18 : 00-23 : 30 (11시에 마지막 항목)",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F, 3-2-4 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 2 분 거리 (160m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (260m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (370m)","없음
근처 (할인 없음) 사용 가능","20 석
(7 개의 카운터 좌석, 14 개의 테이블 좌석)","예
(카운터 좌석 x 7)","불가능합니다
(우리는 흡연 지역을 분리하지 않습니다. 흡연에 대해 걱정하는 경우 상점에 들어가면 알려주십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명","[공식적인]
https://cocktailworks-tokyo.foodre.jp/
http://orchardknight.com/","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 알레르기가있는 고객을 수용 할 수 있으며 매장 내 준비에 특히 도움이됩니다.","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"날짜, 여자 파티, 모든 링크, 연회 및 음주 파티, 약혼 디너 파티, 솔로 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 주차, 유기농 요리, 영어권 사용 가능
다른 사용 장면을 참조하십시오",,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001358004/archive/621403-5bf3c78a0451b.png,,,,"5,000 ~ 5,999 엔 코스로 제공됩니다","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성",,,예 (무료),,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",,,
バンザイヴィーノ 京橋,반자이 비노 교구시,https://retty.me/area/PRE13/ARE15/SUB1501/100000812642/,03-5542-1889,서양식 이탈리아 음식 햄버거,"[월요일부터 금요일, 토요일, 휴일 전]
 11:00-28:00 L.O. 27:00
[일요일과 휴일]
 11:00-23:00 L.O. 22:00
새로운 코로나 바이러스의 확산을 방지하기 위해, 우리는 다음과 같이 업무 시간을 바꾸고 단축 할 것입니다.
우리는 당분간 알코올 음료를 제공하지 않을 것입니다. 우리는 당신의 이해를 요구합니다.

기간 : 당분간
■ 개장 시간
점심 : 11 : 30-14 : 00
카페 : 14 : 00-16 : 00
저녁 식사 : 16 : 00-21 : 00 (L.O. 20:00)",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,PayPay,"도쿄 스퀘어 가든 1f, 3-1 교오바시, chuo-ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 교오바시 (도쿄) 역 1 분 도보 (54m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome 역에서 도보로 4 분 (250m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (270m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 데이트, 모든 링크, 결혼 기념일, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 세련된, 첫 번째 기차, 저녁 식사, 저녁, 비영리
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36030163.jpg,,,,,,,,,,,,,,https://www.facebook.com/bannzai.vino/,,
ZION イタリアン＆スペイン 八重洲南口店,시온 이탈리아 및 스페인 야 에스 사우스 출구,https://retty.me/area/PRE13/ARE15/SUB1501/100001395128/,03-6263-0912,이탈리아 바 파스타,"[하루 종일]
저녁 식사 17:00-23:00
매장 내부의 청소 작업으로 인해 마감 시간이 일찍있을 수 있습니다.","하루 종일 개점
새해 휴일 (확인하십시오)
상점 청소로 인해 휴식을 취할 수 있습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-9-12 Kyobashi, Chuo-Ku, 도쿄, Nippon Kogyo Building 1 1f
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 2 분 거리 (110m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 3 분 거리 (210m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (470m)","없음
근처 (할인 없음) 사용 가능",34 석,없음,"연기 분리
(테라스에 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://zion-yaezuminami.foodre.jp/",매장 내 준비,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"아이들이 즐길 수있는 개인 객실, 식사, 결혼 기념일, 약혼 행사 저녁 식사 파티, 솔로 엔터테인먼트, 성인을위한 숨어있는 장소, 환영 파티, 크리스마스 저녁 식사, 새해 파티, 비 흡연, 생일, 기념일, 세련된, 성인 연도-엔드 파티
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001395128/archive/2081216-5facf17dda609.png,,,어린 아이들과 함께 방문 할 때 저희에게 연락하십시오.,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크","차분한 분위기
테라스가 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",없음,불가능합니다,불가능합니다,,,,,,
八重洲 steak & seafood 鉄板焼き 一心,Yaesu Steak & Seafood Teppanyaki Isshin,https://retty.me/area/PRE13/ARE15/SUB1501/100001669088/,03-6262-6617,"스테이크, 테파 냐키, 해산물 및 해산물 요리, 햄버거","[하루 종일]
점심 11:30-14:00
저녁 식사 16:00-24:00",불규칙한 휴일,"점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔",예,,"E-1 빌딩 B1F, 3-3-12 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (280m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (350m)",예,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"점심, 데이트, 결혼 기념일, 개인 실, 성인 숨겨울, 연말 파티, 새해 파티, 저녁 식사, 쌀, 고기, 비 흡연, 개인 객실 점심, 개인 객실 날짜, 점심 식사, 세련된 점심, 세련된 개인 실, 개인 객실 엔터테인먼트, 무료 Wifi, 기념일
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001669088/archive/28761-634a418f704d7.jpeg,,,,,,,,,,,,,,,,
ザ カーブ ド オイスター,곡선은 오이스터입니다,https://retty.me/area/PRE13/ARE15/SUB1501/100001181676/,03-3274-3455,굴 바 해산물과 해산물 이탈리아 바,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 15:00
저녁 식사 15:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
점심 11:00-16:00 L.O. 16:00
저녁 식사 16:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
Amex
JCB",PayPay,"Yaesu Underground Mall, 2-1 Yaesu Chuo-Ku, 도쿄 미나미 1
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (86m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (340m)",,90 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://theoyster.tokyo/,,,,"점심 모든-당신이 캔 먹은 데이트 날짜 all-you-can-drink 싱글 캔-마시는 성인 숨겨진 숨겨진 크리스마스 저녁 식사 마시는 와인 세련된 저녁 식사 쌀을 마시지 않는 점심 날짜 all-you-can-eat
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001181676/archive/2526956-6181043db5975.jpg,,,,,,,,,,,,,,,,
個室会席 北大路 京橋茶寮 東京駅店,개인 룸 카이세키 키타오 지키 쿄바시 사리오 도쿄 스테이션 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100001310517/,03-5205-7077,"일본 요리, 사시미, 푸구 요리, 일본 요리, 일본 요리, 일본 요리","[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 13:00
저녁 식사 17:00-22:30 L.O. 21:00
[토양]
점심 11 : 30-15 : 00 L.O. 13:00
저녁 식사 17:00-21:00 L.O. 19:00
[일요일과 휴일]
점심 11 : 30-17 : 00 L.O. 15:00",불규칙한 휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kyobashi Edgran 5 층, 2-2-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 교오바시 (도쿄) 역 1 분 도보 (66m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (280m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (310m)",예,"160 석
(모든 객실은 완전히 비공개입니다)",없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",불가능합니다,https://www.kitaohji.co.jp/kyobashi/,"우리는 야채 요리, 생선 요리 및 채식 메뉴에 대해 특별합니다.","맥주, 사케, 쇼치, 와인",,"점심 모든-냉담한 결혼식 기념일 연회/음주 파티 개인 방 약혼 저녁 식사 싱글 손님 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 파티 새해 파티 마시는 와인 세련
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001310517/archive/607110-5be38d5390603.jpg,,,"[Kyobashi Edgran 내부]
그것은 Meijiya 건물 옆에있는 Kyobashi Ed Grand South의 5 층에 있습니다.
전용 엘리베이터에서 Kyobashi Edgran Building의 중앙 근처 에스컬레이터 발 옆에서
5 층으로 가십시오. 에스컬레이터를 사용하여 5 층으로 올라갈 수는 없습니다.
교오바시 역에서 72m",,,,"놀라운 응답 가능
축하 가능성",,,,,,,,,
粋酔 日本橋東京店,Ikisyu Nihonbashi 도쿄 상점,https://retty.me/area/PRE13/ARE15/SUB1501/100001158804/,03-3273-4011,이자카야 연기 일본 요리 소바 (Soba),"[월요일부터 금요일까지]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[토양]
저녁 식사 17:00-22:00 L.O. 21:00
3 월 22 일 월요일부터 3 월 31 일 수요일까지 오후 9시에 문을 닫습니다.
알코올은 오후 8 시까 지 이용할 수 있습니다.","매주 일요일과 공휴일
새해 휴일 (확인하십시오)
food Food L.O는 닫히기 1 시간 전에 닫힙니다
l.O는 마실 30 분 전입니다
가게는 12/30에서 1/4로 문을 닫습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Tampei Nihonbashi Building B1F, 3-7-10 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 3 분 거리 (190m)
Toei Asakusa Line / Takaramachi (도쿄) 역 5 분 도보 (380m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (450m)",없음,"60 석
(반 개인 객실이 가능합니다.)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"우리는 야채 요리, 고기 요리, 생선 요리, 알레르기가있는 고객을 수용 할 수 있으며 매장 내에서 준비된 고객을 수용 할 수 있습니다.","맥주, 사케, 쇼치, 위스키",사용 가능한 예약,"싱글 엔터테인먼트와 파티 참여 저녁 식사 싱글 엔터테인먼트 작별 파티 환영 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 음주 세련된 저녁 식사 쌀 무료 와이파이 음주 쇼치
다른 사용 장면을 참조하십시오",불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001158804/archive/1782039-5f23db7b1f9fa.png,,,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","전적으로 마감 가격 : 2,000-2,999 엔, all-you-can-drink 가격 : 3,000-4,999 엔, 2 시간 동안 모두 당신이 싱글 링크, 2 시간 반 동안 싱글 링크, 3 시간 이상 싱글 링크","차분한 분위기
숨는 곳",,평상복,불가능합니다,예 (무료),,,,https://www.facebook.com/%E7%B4%94%E7%B1%B3%E9%85%92%E5%B0%82%E9%96-%E7%B2%8B %E9%85%94-%E6%97%A5%E6%9C%AC%E6%A9%8B%E6%9d%B1%E4%BA%AC%E5%BA%97-541398962632675/,,
京町個室居酒屋 はんなり邸 八重洲本店,Kyomachi 개인 실 Izakaya Hannarite Yaesu Main Branch,https://retty.me/area/PRE13/ARE15/SUB1501/100001191032/,03-4405-1740,이자카야 일본 요리 바 해산물 및 해산물 바 사시미 카이세키 요리 소바 (SOBA),"[하루 종일]
 16:00-23:30",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당",,"2F Imai Building, 1-7-10 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 3 분 (180m)
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (330m)","예
근처 (할인 없음) 사용 가능","70 석
(70 명 (앉을 때) 80 명 (서있을 때)",없음,"예
(흡연이 허용됩니다. 개인 실에서 별도의 흡연에 대한 정보를 요청하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
최대 70 명을 임대 할 수 있습니다 (좌석)
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)",https://hannari-tei.owst.jp,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"여자 파티 All-You-Can-Drink 연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인을 마시는 주차장이 있습니다.
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001191032/archive/944981-5cee79306483b.jpg,,,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 8,000 엔 또는 더 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔세를위한 All-You-Can-Drink가 포함되어 있습니다.",,축하 가능성,없음,불가능합니다,,,,,,,
山陰海鮮炉端かば 銀座店,Sanin Seafood Robata Kaba Ginza 매장,https://retty.me/area/PRE13/ARE15/SUB1501/100000860530/,03-6225-2260,이자카야 해산물과 해산물 요리 robata Yaki Soba (Soba),"[하루 종일]
점심 11:30-14:30
저녁 식사 17:00-21:00 L.O. 20:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",PayPay,"도쿄 스퀘어 가든 B1F, 3-1-1 Kyobashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 교오바시 (도쿄) 역 1 분 도보 (55m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome 역에서 도보로 3 분 거리 (210m)
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (280m)",없음,107 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,불가능합니다,https://robata-kaba.jp/,,,사용 가능한 예약,"점심 만세 연회/음주 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 술을 마시면 저녁 식사 쌀 흡연 허용 개인 방유물 리온 엔터테인먼트 Shochu는 술에 취할 수 있습니다.
다른 사용 장면을 참조하십시오",,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000860530/archive/13163333-5de4bbf306352.jpg,,,,,,,,,,,,,,,,
