restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,video,instagram,foreign_language_support,qr_code_payment,facebook,remarks,additional_equipment,twitter,beer_maker,온라인 예약
中国菜厨 エスサワダ 新丸ビル店,중국 야채 Ssawada Shinmaru 건물 상점,https://retty.me/area/PRE13/ARE15/SUB1504/100001758238/,03-6212-3300,중국 음식,"[하루 종일]
 11:00-15:00
 17:00-23:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",,,"신마루 빌딩 5F, 1-5-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (61m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (180m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (230m)",,42 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 저녁 식사, 쌀, 금연, 세련된 점심",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36512592.jpg,,,,,,,,,
過門香 丸の内トラストタワー店,Kammonka Marunouchi Trust Tower Store,https://retty.me/area/PRE13/ARE15/SUB1504/100000448884/,03-5288-7788,중국 음식,자세한 내용은 공식 웹 사이트를 확인하십시오.,하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 8,000 엔",예,,"Marunouchi Trust Tower N Building, 1-8-1 Marunouchi, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (77m)
JR Yamanote Line / 도쿄 역에서 도보 2 분 (93m)
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (230m)",,185 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,https://kamonka-tokyo.jp/,,,,,,"모든 당신이-먹은 날짜 모든 날짜 링크 연회/음료 파티 개인 방 약혼 저녁 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 파티를 마시는 새해 파티를 마시는 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000448884/archive/2124592-5fc6f0ac8226c.png,,,,,,,,,
銀平 KITTE丸の内店,Ginpei Kitte Marunouchi 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100001244657/,03-6256-0860,해산물과 해산물 카마 메일 일본 요리 카이세키 요리 일본 요리 사시미 소바 (Soba),"[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00
[축하 전]
점심 11:00-15:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB",,"JP Tower Kitte 6F, 2-7-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (74m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (310m)","예
특별 P 사용 가능",82 석,예,"예
(흡연 없음, 점심 식사. 저녁 식사를 위해 흡연.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,https://www.ginpei.shop,"3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 그렇습니다.,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 당신이 흠뻑 젖은 연회/음료 파티 개인 방 약혼 저녁 식사 싱글 손님 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 세련된 개인 객실
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
골목을 향합니다
상업용 시설에 위치합니다
운송 시설에 있습니다",,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001244657/photo/31848-5701daf3d14ab.jpg,,,,,,,,,
Plaiga TOKYO,플라이가 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100001546491/,03-3284-0030,프랑스 요리 크리에이티브 요리,"[월요일부터 수요일까지]
저녁 식사 17:30-22:30 L.O. 20:00
[목요일, 금요일, 토요일, 휴일]
점심 11 : 30-15 : 00 L.O. 13:00","매주 일요일
새해 휴일 (확인하십시오)
예약이 필요합니다

[업무 일]
월요일부터 토요일까지 그리고 휴일 17 : 30-20 : 00 (lo)
목요일, 금요일, 토요일 및 휴일 만 11 : 30-13 : 00 (lo)","점심 : ~ 20,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Nippon Life Marunouchi Garden Tower M2F, 1-1-3 Marunouchi, Chiyoda-Ku, 도쿄 (Trattoria Creatta, 1 층 입구)
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Tokyo Metro / Otemachi Station과 직접 연결 (D6)
JR Yamanote Line / 도쿄 역에서 도보로 10 분 (Marunouchi North Exit)","예
근처 (할인 없음) 사용 가능","16 석
(3 개의 식당 테이블, 3 개의 박스 좌석, 개인 실 1 개 (10 명 후))",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://plaigatokyo.jp/,"8,000 엔 이상의 코스",,"우리는 고기 요리, 생선 요리, 식품 생산 공간, 유기농 야채, 알레르기를 다룰 수 있으며 요리사는 해외에서 훈련 한 경험이 있습니다.","맥주, 술, 와인, 칵테일",예약이 필요합니다,"점심, 웨딩 기념일, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 성인 은신처, 체리 꽃보기, 벚꽃 전망, 크리스마스 저녁 식사, 주차 가능, 유기농 요리, 저녁, 쌀, 비영리
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳","축하 가능성
소믈리에가 있습니다
복장 규정 포함",반 공식,불가능합니다,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001546491/archive/3064208-64704aa3a9d82.jpg,https://www.instagram.com/plaigatokyo_official/,,,,,,,,
魚料理 渋谷 吉成本店 丸の内店,생선 요리 시부야 요시나리 메인 매장 마루치 가게,https://retty.me/area/PRE13/ARE15/SUB1504/100001521608/,03-6551-2901,해산물과 해산물 요리,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17 : 30-23 : 00 L.O. 22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB",,"Marunouchi Brick Square B1, 2-6-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (42m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (210m)",예,46 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,https://e533326.gorp.jp/,,,,,,"점심, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술, 와인, 세련된, 저녁, 비영리
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001521608/archive/1967344-5f865a7ecbf5c.png,,,,,,,,,
焼鳥・ジビエ・ワイン 鳥歐,"야키토리, 게임, 와인, 닭고기",https://retty.me/area/PRE13/ARE15/SUB1504/100001387964/,03-6269-9435,야키토리 게임 와인 바,"[하루 종일]
 11:00-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
 17:00-23:00 L.O. 22:30
[일요일과 휴일]
 17:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",예,,"Shinmaru Building의 5 층, 1-5-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (77m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (160m)에서 도보 2 분
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (230m)",,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://www.marunouchi.com/tenants/9703/
http://www.torio.tokyo/",,,,,,"점심, 데이트, 싱글, 엔터테인먼트, 아름다운 나이트 뷰, 크리스마스 저녁 식사, 술 마시기, 와인, 세련된, 저녁 식사, 저녁 식사, 비 흡연, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/37083539.jpg,,,,,,,,,
銀座船形 大手町,진 자 보트 모양 오타 마치,https://retty.me/area/PRE13/ARE15/SUB1504/100000747622/,03-6225-2988,해산물과 해산물 요리 이자카야 사시미,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:30-22:00 L.O. 21:30
팔리 자마자 끝납니다","매주 토요일마다 일요일 휴가
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",Amex,,"Otemachi Financial City South Tower B1F, 1-9-7 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 1 분 거리 (78m)
JR Yamanote Line / 도쿄 역에서 도보로 7 분 (530m)",,80 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://funakata.com/,,,,,,"점심 모든 란드 링크 연회/음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 음주 세련된 저녁 식사 쌀 비영리 개인 객실 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000747622/photo/47971-577f2ec820e29.png,,,,,,,,,
ぬる燗 佐藤 丸の内,미지근한 사토 마루치,https://retty.me/area/PRE13/ARE15/SUB1504/100001440224/,03-6273-4648,카포/작은 레스토랑 야키토리,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사가 닫혔습니다.

또한 앞으로 상황을 바꿀 수 있습니다.
이해 해주셔서 감사합니다.",매주 일요일마다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"Nijubashi Square, 3-2-3 Marunouchi, Chiyoda-Ku, 도쿄, B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (49m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 1 분 (65m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 2 분 거리 (91m)",예,"38 석
(일부 좌석은 침몰 한 Kotatsu)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://www.nurukan-sato.com/
https://nurukansato-marunouchi.com/",,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술 마시기, 와인, 쌀, 비 금연, 무료 Wi-Fi, Shochu
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001440224/archive/2099030-5fb4ac256d47c.png,,,,,,,,,
くし路 KITTE丸の内店,KUSHIJI KITTE Marunouchi 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100000817023/,03-6256-0817,해산물과 해산물 요리 쌀 그릇 초밥 카이세키 요리,"[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
새해 휴일 (확인하십시오)
건물 검사 날짜 6/29","점심 : ~ 3,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay","6 층, Kitte Marunouchi 매장, 2-7-2 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 3 분 (230m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보 5 분 (360m)
JR Yamanote Line / Yurakucho 역에서 도보로 7 분 거리 (500m)","예
이웃 P (할인) 사용 가능","60 석
(Sunken Kotatsu를위한 반 개인 공간 (3 ~ 22 명))",예,"불가능합니다
(Kitte의 5 층에있는 흡연 구역을 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",불가능합니다,https://kushiro-kitte-marunouchi.com/,"7,000 엔 ~ 7,999 엔 코스, 8,000 엔 코스 이상으로 구입할 수 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 고기 요리, 생선 요리, 알레르기가있는 고객을 수용 할 수 있으며 어린이 메뉴에 사용할 수 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 모든 링크, 연회 및 음주 파티, 개인 객실, 개인 방, 싱글, 엔터테인먼트, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
테라스가 있습니다
정원이 있습니다
상업용 시설에 위치합니다",축하 가능성,,예,불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000817023/archive/3582748-67fe504501aeb.jpg,https://www.instagram.com/kushiro_kitte/,"영어
직원과 함께 언어 지원 메뉴가 있습니다",PayPay,,,,,,
Tsubamesanjo Bit Tokyo,Tsubamesanjo 비트 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100001597226/,03-6262-3936,이탈리아 파스타,"[월요일부터 금요일과 토요일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-20:00 L.O. 19:00","매주 일요일
일요일에도 열릴 수 있습니다
일요일 이외의 휴일이있을 수 있습니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔",,,"도쿄 토치 토키와 바시 타워 1f, 2-6-4 오타 마치, Chiyoda-ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (56m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보 2 분 (120m)
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 3 분 거리 (200m)",,"70 석
(식당에서 40 석, 30 개의 테라스 좌석. 테라스 좌석은 악천후에는 이용할 수 없습니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명",,,,,,,,"점심, 개인 실, 약혼 저녁 식사, 싱글 OK, 스타일리쉬, 저녁 식사, 비 조화, 개인 실, 점심, 세련된 점심, 세련된 개인 실, 개인 실, 엔터테인먼트, 세련된, 메리쿠리, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27940393.jpg,,,,,,,,,
東京コトブキ,도쿄 코토 부키,https://retty.me/area/PRE13/ARE15/SUB1504/100001422897/,03-6551-2012,Izakaya Kyushu 요리,"[월요일부터 금요일과 토요일]
 11:00-14:30
 16:00-23:00
[일요일과 휴일]
 16:00-22:00
*개장 시간은 각 지방 정부의 정책과 귀하가 거주하는 상업 시설에 따릅니다.","하루 종일 개점
[월요일 ~ 토요일 및 휴일 전] 음식 L.O 22:00 음료 L.O 22:30
[Sun/Holidays] 음식 L.O 21:00 음료 L.O 21:30)","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,,"도쿄 역 Ichibangai Gourmet, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (52m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (340m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (460m)",,102 석,,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 객실, 싱글 룸, 크리스마스 저녁 식사, 술, 세련된, 저녁 식사, 쌀, 흡연, 개인 실, 점심, 세련된, 개인 실, 객실, 객실, 지불금 지불 가능, 세련된 지불금
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35971105.jpg,,,PayPay,,,,,,
RICOLO,리콜로,https://retty.me/area/PRE13/ARE15/SUB1504/100000281290/,03-3287-2230,Teppanyaki Steak Izakaya Bistro Okonomiyaki Hamburger,"[하루 종일]
 11:00-16:00
 16:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,,"1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (48m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (270m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (370m)",,"40 석
(24 테이블 좌석)","예
(카운터에서 16 석)","불가능합니다
(완전히 금연 (근처에서 담배를 피웠다))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 약혼식 저녁 식사, 솔로 환영, 엔터테인먼트, 크리스마스 저녁, 와인, 세련된, 저녁 식사, 쌀, 고기, 비 흡연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000281290/archive/425431-5ad878aace8c6.jpeg,,,,,,,,,
欧風小皿料理 沢村 丸の内,유럽 ​​스타일의 작은 접시 접시 Sawamura Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100000026009/,03-3240-0033,서양식 빵집 프랑스 음식,"[하루 종일]
점심 11:00-17:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-3:00
[일요일과 휴일]
저녁 식사 17:00-22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,,"신마루 빌딩 7F, 1-5-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (55m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (230m)",,58 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 데이트, 소녀의 밤, 연회 및 음주 파티, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 저녁 식사, 비 흡연, 점심 날짜, 점심 소녀 밤
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36764549.jpg,,,,,,,,,
サバティーニ・ディ・フィレンツェ 大丸東京店,Sabatini di Florence Daimaru 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000699030/,03-6895-2890,이탈리아 요리,"[하루 종일]
 11:00-22:00 L.O. 20:30
코스 LO : 20:30, 21:00 a la carte","하루 종일 개점
1/1.","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
Amex
식당
JCB",,"다이 마루 도쿄 스토어 12f, 1-9-1 마루치, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 4 분 (310m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 7 분 거리 (530m)
도쿄 메트로 진 자 라인 / 교오바시 (도쿄) 역 7 분 (550m)",,70 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,https://www.cardinal-japan.com/restaurant/sabatini_daimarutokyo/,,,,,,"여자 밤, 저녁 식사, 음료 와인, 저녁 식사, 데이트, 비영리, 생일, 점심, 점심, 여자 밤, 점심, 연말 파티, 크리스마스 저녁, 새해 파티, 성인 새해 파티, 크리스마스 2024 년 연말 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000699030/archive/2846109-632124a99d9a9.jpg,,,,,,,,,
est,est,https://retty.me/area/PRE13/ARE15/SUB1504/100001579594/,03-6810-0655,프랑스 요리,"[Sun, 화요일, 금요일, 토요일]
점심 12:00-15:30 L.O. 13:30
저녁 식사 18:00-22:00 L.O. 20:00
점심 12:00-15:00 코스 LO 13:30
저녁 18:00-22:00 코스 LO20 : 00",매주 월요일,"점심 : ~ 20,000 엔
저녁 식사 : ~ 60,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Four Seasons Hotel Toyo Otemachi 39F, 1-2-1 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (41m)
도쿄 메트로 토 자이 라인 / 테이크 바시 스테이션에서 도보로 5 분 (340m)","예
특별 P 사용 가능",72 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,https://www.est-tokyo.com/,,,"우리는 야채 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.",와인이 있습니다,사용 가능한 예약,"점심, 개인 객실, 소녀의 밤, 저녁 식사, 생일, 엔터테인먼트, 싱글 OK, 마시는 와인, 세련된, 고급스러운 크리스마스, 크리스마스 2024, 성인의 연말 파티, 성인 새해 파티, 아름다운 나이트 뷰 레스토랑
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
호텔에 있습니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다
복장 규정 포함
테이크 아웃 가능성",평상복,불가능합니다,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001579594/archive/3511902-67a09444f2978.jpg,https://www.instagram.com/esttokyo/,,,https://www.facebook.com/fourseasonshoteltokyootemachi/,"출구 C4 및 C5의 지하 통로를 통해 Otemachi 역에 직접 연결
(Marunouchi Line, Tozai Line, Chiyoda Line, Hanzomon Line, Toei Subway Mita Line)

● 복장 규정
스마트 캐주얼 마모를 권장합니다.
*우리는 티셔츠, 반바지, 탱크 탑, 샌들 등과 같은 가벼운 옷을 허용하지 않습니다. 미리 이해해 주셔서 감사합니다.
● 아이들과 함께
모든 시간 동안 12 세 이상의 고객에게 개방되어 있습니다.",,,,
