식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,영상,QR 코드 결제,주차,사적인,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,대기,서비스,아이들이 들어 오세요,맥주 제작자,추가 장비,페이스 북,당신이 마실 수있는 모든 것,애완 동물,Wi-Fi 사용,외국어 지원,IC 카드 지불,인스 타 그램,드레스 코드,전화 번호,발언,전원 공급 장치 사용,X (트위터),지역
FURON SAIKAN-福龍菜館-,Furon Saikan -Fukuryunakan -,https://retty.me/area/PRE13/ARE11/SUB1101/100001727334/,03-3527-1423,이자카야 중국 요리,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30","매주 일요일과 공휴일
우리는 토요일에 불규칙적으로 문을 닫습니다.","저녁 식사 : ~ 4,000 엔","비자
마스터 카드","1-18-31 Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (280m)",36 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"저녁 식사, 연회 및 음주 파티, 작별 파티, 환영 파티, 여자 파티, 개인 객실, 저녁 식사, 엔터테인먼트, 급여 지불 지불, 점심, 새해 파티, 캐주얼, 데이트, 마시기, 와인, 마시는 와인, 개인 공간과 함께 즐기십시오.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001727334/archive/3309383-664320fc2c598.png,PayPay,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 32 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)","3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 주인 chef 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",사용 가능한 예약,"조용한 가게
차분한 분위기
골목을 향합니다",,예,,,,2 시간 동안 당신이 다루는 것,,없음,,"Suica, Nanaco",https://www.instagram.com/furon_saikan,,,,,,칸다
大和屋 音次郎,야마토야 오토 지로,https://retty.me/area/PRE13/ARE11/SUB1101/100001307927/,03-5297-5440,이자카야 해산물과 해산물 뷔페,"[월요일부터 금요일까지]
 17:00-23:30 L.O. 22:30
[토양]
 17:00-22:30 L.O. 21:30","매주 일요일과 공휴일
점심은
11 시부 터 티켓이 다 떨어지 자마자 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,"2F, Jr 고도 교도 건물, 1-2-12 Kajicho, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (89m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (280m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (430m)",,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"개인 객실, 싱글 룸, 크리스마스 저녁 식사, 즐기기, 스타일리쉬, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 비 흡연, 세련된, 개인 실, 개인 객실 엔터테인먼트, 지불금 지불 가능, 세련된, 캐주얼, 성인 연말 파티, 빠른 연말 연말 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32952695.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,https://x.com/otojiro5,칸다
大衆中華酒場 ふくろう 神田店,인기있는 중국 바 올빼미 칸다 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001593161/,03-6260-9250,이자카야 중국 음식 gyoza,"[월요일부터 금요일과 토요일]
 11:30-24:00","매주 일요일
새해 휴일 (확인하십시오)
월요일이 국경일이라면, 우리는 일요일에 문을 열고 월요일에 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","사회 빌딩 2F, 3-19-10 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (45m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (450m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",57 석,없음,,"예
두 사람을 위해",,"점심 만세 연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 방을 환영 파티 연말 파티 새해 파티를 마실 수 있습니다. 와인을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001593161/archive/2634347-621c74f548703.jpg,PayPay,없음,예,,고기 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,활발한 상점,"놀라운 응답 가능
축하 가능성",,,,,"4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,없음,,,,,,,,,칸다
神田バンバール da Cicciolino,Kanda Bambal da Cicciolino,https://retty.me/area/PRE13/ARE11/SUB1101/100001278464/,03-3251-2822,바 이탈리아 요리 파스타 과자,"[월요일부터 금요일, 토요일, 휴일]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,"1f, Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 (140m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (400m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (400m)",,예,"예
완전히 흡연이 허용됩니다
(점심 시간 동안 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"아이들과 함께 즐길 수있는 점심 개인 객실 마시는 와인을 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17662343.jpg,,예,예,,,,사용 가능한 예약,테라스가 있습니다,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성",예,,,https://www.facebook.com/kanda bambal-cicciolino-1579520679026146/,,,,"영어
언어 지원 메뉴가 있습니다",,,,,,,,칸다
Big-Pig 神田カープ本店,Big-Pig Kanda 잉어 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100000026746/,03-3255-6262,Okonomiyaki Izakaya 현지 요리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:15
[태양, 토요일, 휴일]
점심 13:00-16:00
저녁 식사 16:00-21:00 L.O. 20:15
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
https://bigpig-kanda.com/","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
프로 야구는 일요일과 공휴일에 문을 열 수 있으므로 확인하려면 저희에게 전화하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","후지 엘리베이터 빌딩 B1F, 3-4-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 거리 (200m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 (500m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 7 분 거리 (540m)",120 석,예,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","[공식적인]
https://bigpigkandacarphonten.foodre.jp/
https://bigpig-kanda.com/",올스 잉크 링크 식사 연말 파티 새해 파티 연회 및 음주 파티 급여 지불 지불 이용할 수있는 작별 파티를 환영 파티 개인 객실 저녁 식사,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000026746/archive/2686295-6263cc08cac4a.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.",우리는 생산 영역에 대해 특히 그렇습니다. 매우 매운 메뉴가 있고 매장 내에서 준비된,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개방성이 있습니다
천장이 높습니다
활발한 상점","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",예,,"TV 및 모니터, 오디오 장비",https://www.facebook.com/bigpigkanda/,"3,000 엔에서 3,999 엔까지의 싱글 링크와 4,000 엔에서 4,999 엔까지의 코스가 포함 된 코스가 있습니다.",불가능합니다,예,"영어
언어 지원 메뉴가 있습니다",,,,,,,,칸다
隠れ房ねぎし,숨겨진 녹색 양파,https://retty.me/area/PRE13/ARE11/SUB1101/100001205072/,03-3526-2786,카포/작은 식당,"[월요일부터 금요일과 토요일]
 11:30-14:00
[월요일부터 금요일까지]
 17:00-23:30
[토양]
 17:00-22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,"야코 빌딩 1f, 3-7 칸다 카지치, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)",,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"점심, 연회 및 음주 파티, 개인 객실, 단일 방, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술 마시기, 세련된, 저녁 식사, 쌀, 흡연 허용, 개인 객실, 스타일리쉬 한 점심, 세련된 개인 객실
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11358563.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
焼肉トラジ 神田店,야키니 쿠 토라 지 칸다 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001284659/,03-5289-0129,야키니쿠,"[하루 종일]
 17:00-24:00 L.O. 23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,"3F Kanda West Exit NS Building, 3-12-10 Uchikanda, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (35m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 5 분 (390m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (540m)","58 석
(Suzuki Kotatsu : 7 개의 테이블, 28 석 / 카운터 : 22 석 / 소파 : 2 개의 테이블, 8 석)","예
(카운터 : 22 석)",,예,https://www.ebisu-toraji.com/,개인 룸 저녁 식사 용기 지불 가능,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13558245.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
フレンチビストロ Tchin-Tchin GORO 神田駅前店,프랑스 비스트로 Tchin-tchin Goro Kanda Ekimae 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001499459/,03-6206-0563,비스트로 프랑스 요리 와인 바 오코노미야키,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30
[토양]
저녁 식사 15:00-23:00 L.O. 22:00
[축하해요]
저녁 식사 15:00-23:00 L.O. 22:30","매주 일요일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"Lux Kanda A, 2-13-8 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (26m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (530m)",130 석,"예
(한 사람이 쉽게 사용할 수 있습니다.)","불가능합니다
(상점 외부에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://tchin-tchin-goro.owst.jp/,"데이트 all-you-can-drink, 그룹 날짜, 개인 실, 싱글 객실, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 실, 날짜, 세련된, 개인 실, 그룹 날짜, 개인 실, 엔터테인먼트, 애프터 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001499459/archive/2759973-62b6afc1d0d56.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
魚匠屋 神田本店,Uoshoya Kanda 메인 상점,https://retty.me/area/PRE13/ARE11/SUB1101/100001630947/,03-5577-5749,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 17:00-23:00 L.O. 22:00
점심 L.O. 13:30
저녁 식사 L.O. 음식 22:00 음료 22:30",매주 일요일마다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","뉴 칸다 빌딩 B1F, 3-3 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (98m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (380m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (380m)",43 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"급여 지불 지불, 싱글, 연말 파티, 새해 파티, 점심, 개인 실, 술 마시기, 와인 마시기, 어린이와 함께 즐기기, 개인 실, 쌀, 비 흡연, 개인 실, 점심, 세련된 개인 객실.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001630947/archive/2998906-6402feba62059.jpeg,PayPay,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,"우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,차분한 분위기,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",예,,,https://www.facebook.com/gyoshouyakanda,,불가능합니다,예,,,,없음,,"*매장은 금요일과 공휴일 전날에 문을 엽니 다.
임대에 대한 정보는 전화로 문의하십시오. 추정 임대료는 20 만 엔입니다.",예 (무료),,칸다
神田 味喜庵,칸다 아미키아,https://retty.me/area/PRE13/ARE11/SUB1101/100000873316/,03-3255-5777,소바 (Soba) Kaiseki Cuisine Izakaya 핫팟,"[월요일부터 금요일까지]
점심 11:30-14:30
저녁 식사 17:30-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB","Higashi-Kyudo Building, 1-6-17 Kajicho, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (210m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 5 분 (370m)",66 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,"점심, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술, 저녁 식사, 쌀, 비 흡연, 개인 실, 세련된 점심
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34404802.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
PRONTO 神田グランドセントラルホテル店,Pronto Kanda Grand Central Hotel 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001441781/,03-6260-8164,카페,"[월요일부터 금요일까지]
 6:30-23:00
[태양, 토요일, 휴일]
 6:30-18:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,"2-2 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (320m)",80 석,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://shop.pronto.co.jp/,"점심 개인 룸 브런치 아침 식사 이용 가능 저녁 식사 쌀 흡연 허용 전용 방 점심 야간 카페 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34794035.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
中むら,나카무라,https://retty.me/area/PRE13/ARE11/SUB1101/100000076822/,03-3255-1722,야키토리 이자카야,"[월요일부터 금요일까지]
 17:30-23:30",매주 토요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,"Uchikanda Kyodo Building B1F, 2-11-6 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 5 분 도보 (330m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (410m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (410m)",27 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,개인 룸 저녁 식사 쌀 흡연이 허용됩니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36290447.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
北京料理 東園,베이징 요리 동심,https://retty.me/area/PRE13/ARE11/SUB1101/100000498573/,03-3254-4598,중국 음식,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00 L.O. 15:00
저녁 식사 17:00-22:00 L.O. 22:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,"Higashien Building의 1 층 및 2 층, 2-9-5 Kajicho, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 (140m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (360m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (490m)",80 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, 개인 객실, 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36217496.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
千代,치유,https://retty.me/area/PRE13/ARE11/SUB1101/100000032145/,03-3291-0990,이자카야 쌀 그릇 해산물과 해산물 세트 식사,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:00
저녁 식사 17:00-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"신와 건물, 1-8 칸다 니시 치코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (140m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 2 분 거리 (140m)",22 석,"예
(4 석만.)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/32743270.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
天ぷら さいとう 神田本店,튀김 사이토 칸다 메인 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001251204/,03-5207-2789,이자카야 템포라 일본 음식 세트 식사 식당 바,"[월요일부터 금요일까지]
점심 11:30-14:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","1 층, 타자와 칸다 빌딩, 28 Kanda Toyamacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)","23 석
(15 개의 카운터 좌석/2 테이블)",예,"예
(모든 좌석은 점심 시간에 담배를 피우지 않습니다 (11 : 00-15 : 00))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.tenpura3110.jp/,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 싱글 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인 마시는 와인을 마시는 것은 아이들과 함께 즐거운 주차장이 있습니다. 세련된 개인 저녁 식사
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32129530.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능","예
최대 20 명까지 임대 할 수 있습니다","2,999 엔 미만의 코스","우리는 야채 요리, 고기 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"개방성이 있습니다
활발한 상점
차분한 분위기
골목을 향합니다",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,https://www.facebook.com/tenpura3110/,"999 엔 미만의 all-you-drink 가격, 2999 엔 미만의 싱크 링크, 1.5 시간 동안 모두-캔-링크, 2.5 시간 동안 모두 당신이 링크, 2.5 시간 동안 모두 당신을 다루는 링크, 3 시간 이상 싱글 링크",불가능합니다,없음,,,,없음,,,불가능합니다,,칸다
caiman table,카이만 테이블,https://retty.me/area/PRE13/ARE11/SUB1101/100001281891/,050-5303-6581,이탈리아 파스타 바,"[월요일부터 금요일까지]
점심 11:30-13:30
저녁 식사 18:00-23:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Kadokura Building 1f, 4-5-15 Nihonbashi Motoishicho, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Kanda (도쿄) 역 3 분 (240m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)","23 석
(카운터 좌석/17 석, 6 인 상자 좌석/1 좌석)",예,"불가능합니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://caiman-table.foodre.jp/
https://www.caiman-table.com","생일, 솔로 손님, 그룹 데이트, 저녁 식사, 점심 날짜, 맛있는 레스토랑 및 저렴한 레스토랑, 급여 지불 지불, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001281891/archive/940438-5ce7b97595a77.jpg,PayPay,"없음
근처 (할인 없음) 사용 가능",예,"5,000 ~ 5,999 엔 코스로 제공됩니다","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 요리사가 유명한 레스토랑에서 훈련을 받았으며 매장 내에서 준비했습니다.",맥주와 와인이 있습니다,저녁 식사 시간에만 사용할 수 있습니다,"차분한 분위기
숨는 곳",축하 가능성,,,,,"5,000 엔 이상을 사용할 수 있습니다",,예,,,,없음,03-3241-0151,"∎ 점심 코스 만 예약 할 수 있습니다.
・ 금요일에 많은 예약이 있으므로 일찍 예약하십시오.",예 (무료),,칸다
