식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,영상,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
ボンサイ,분재,https://retty.me/area/PRE13/ARE8/SUB802/100001745034/,050-5462-5792,이자카야 해산물과 해산물,"[월요일부터 금요일까지]
저녁 식사 17:00-24:00 L.O. 23:30
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 16:00-24:00 L.O. 23:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
[월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일, 공휴일 및 공휴일 전날]
점심 L.O. 요리 15:00 음료 15:30
저녁 식사 L.O. 음식 04:00 음료 04:30",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Chitose Hall 2F, 13-8 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)","없음
근처 (할인 없음) 사용 가능",43 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://bonnsai.foodre.jp/,"적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.
[개인 사용을위한 추가 정보]
개인 용도에 대한 자세한 내용은 당사에 문의하십시오.
[LO 표기법]
우리는 LO 레스토랑으로 LO 업무 시간으로 등록했지만 LO 음료는 30 분 전입니다.

12 월에는 코스 수수료와 별도로 1 인당 500 엔을 청구합니다.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","999 엔, 3,000 ~ 3,999 엔 미만의 all-can-drink 가격은 모두 당신의 링크 코스, 4,000 ~ 4,999 엔, all-you-can-drink 코스, 2 시간의 모든 링크를 포함합니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,,사용 가능한 예약,"점심 시간, 데이트, 저녁 식사, 쌀, 흡연 허용, all-you-can-eat, all-you-can-eat, all-you-can-drink, welcome party, casual, paypay points, 온라인 예약 가능
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",,불가능합니다,,예 (무료),예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001745034/archive/3327220-665ec004e4221.jpg,080-7539-7864,,,,,https://www.instagram.com/bonsai_shibuya/,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",,
いろどり 渋谷店,Irodori Shibuya 상점,https://retty.me/area/PRE13/ARE8/SUB802/100001690982/,050-5462-6054,이자카야 해산물과 해산물 요리 야키토리 사시미,"전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
JCB",,"세인트 루이스 빌딩 5F, 26-3 우다 가와치, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (32m)","없음
근처 (할인 없음) 사용 가능",100 석,없음,"연기 분리
(전체 개인 실에서는 흡연 분리가 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://namaiki-shibuya.foodre.jp/",,,,,,사용 가능한 예약,"점심 시간, 개인 객실, 여자 밤 밖으로, 모든 당신이 먹는 것, 모든 링크, 연말 파티, 새해 파티, 작별 파티, 환영 파티, PayPay 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,예,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001690982/archive/3357861-668f572460e91.jpg,03-6635-1881,,,,,,,,
自然派ワインとフランス郷土料理 シュシュ,천연 와인과 프랑스 요리 샤치,https://retty.me/area/PRE13/ARE8/SUB803/100001303665/,050-5304-1589,이자카야 쇠고기 요리,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 11:30-14:00
 17:30-24:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Aono Building 1f, 30-10 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 5 분 (340m)
Keio Inokashira Line / Shinsen Station에서 도보로 7 분 (530m)",예,23 석,"예
(카운터에서 7 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://shushu.foodre.jp/
https://www.chouchou-nature.com/",,"3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 한 시간 30 분 동안 만 살해 당하고 2 시간 동안 싱글 링크","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 주인 요리사 및 매장 준비에 특히 도움이됩니다.","맥주, 술, 와인, 위스키",사용 가능한 예약,"당신은 와인 데이트 엔터테인먼트를 마실 수 있습니다. 엔터테인먼트 마시는 주간 마시는 주간 고기 아이들과 함께 즐길 수있는 고기 작별 파티 개인 점심 날짜 새해 파티 환영 파티 점심 점심 식사 연말 파티 all-you-can-drink 세련된 성인 데이트 성인 새해 파티
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,예,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001303665/archive/3503154-6791e9e84418d.jpg,03-6416-3868,,,,,,,,
シンガポール ホリック ラクサ,싱가포르 홀릭 락사,https://retty.me/area/PRE13/ARE8/SUB802/100001609747/,050-5462-5540,싱가포르 요리 테이크 아웃 카페,"[하루 종일]
점심 11:30-17:00
저녁 식사 17:00-23:00 L.O. 22:00
수프가 다 떨어지는 날에 일찍 문을 닫을 수 있습니다.","불규칙한 휴일 : 매월 2 월 2 일; 매월 4 번째 월요일
매월 둘째, 넷째 월요일이 공휴일이라면 우리는 문을 열 것입니다.
다섯 번째 월요일에 휴가가있을 수 있습니다 (자세한 내용은 Instagram을 참조하십시오 ...)","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Aristo Shibuya 2f, 37-15 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 7 분 거리 (520m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (600m)
도쿄 메트로 치 요다 라인 / 요요 기 코엔 스테이션에서 도보 11 분 (830m)",없음,"22 석
(표 4 인승 2 석)","예
(카운터에서 15 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://singapore-holic-laksa.foodre.jp/
https://r.goope.jp/llcsngholiclaksa/",PayPay LinePay 결제 가능,,,"슈퍼 매운 메뉴, 요리사는 해외에서 훈련하고 매장 내 준비를 준비했습니다","맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 쌀, 자녀와 함께 즐기십시오. 지불금 지불 이용 가능한 야간 카페 연회 및 술을 마시는 파티 참여 저녁 식사 파티 싱글 OK 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,없음,예,불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001609747/archive/3298154-662b0d2e950a5.jpg,03-6804-1833,,,,,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,
肉バル Gottsu 渋谷店,고기 바 Gottsu Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB803/100001215921/,050-5462-7545,고기 바 이자카야 스테이크,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:00","불규칙한 휴일
・ 새해 공휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Higashimatsu 건물 1f, 24-18 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (250m)
Keio Inokashira Line / Shinsen 역에서 도보로 10 분 (800m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)","없음
이웃 P (할인) 사용 가능, 이웃 (할인 없음)",45 석,예,"불가능합니다
(상점 건너편에 흡연 공간이 있으므로 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 45 명","[공식적인]
https://gottsushibuya.foodre.jp/",,"4,000 엔 ~ 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔으로 인한 모든 코스와 5,000 엔 이상을위한 all-you-can-drink, 2 시간 동안, 2 시간 반 동안 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리, 채식 메뉴, 요리사가 유명한 식당에서 훈련을 받았으며 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"소녀의 밤, 저녁 식사, 쌀, 고기, 날짜, 모든 링크, 그룹 데이트, 결혼 기념일, 파티/음주 파티, 약혼 저녁 식사, 솔로 환영, 결혼식, 후 파티, 작별 파티, 환영 파티, 체리 블로 솜보기, 크리스마스 저녁 식사를 볼 수있는 레스토랑
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001215921/archive/1702646-5edb3ea2c5f66.jpg,03-6427-0481,,https://www.facebook.com/%E6%A1%9C%E4%B8%98%E8%82%89%E3%83%90%E3%83%AB-GOTTSU-1524402857884401/info,,,,,,
スズカフェ 神南,수즈 카페 진난,https://retty.me/area/PRE13/ARE8/SUB802/100000008926/,050-5303-7316,카페 과자 파스타 테이크 아웃,"[하루 종일]
점심 12:00-15:00 L.O. 15:00
저녁 식사 15:00-23:00 L.O. 22:30
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
새해 휴일 (확인하십시오)
12/31-1/1","점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-20-4 Jinnan, Shibuya-Ku, 도쿄 Vort Shibuya Briller 3f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (230m)",없음,"75 석
(푹신한 소파 좌석도 있습니다)",없음,"불가능합니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","[공식적인]
https://suzukafe-jinnan.foodre.jp/
https://www.completecircle.co.jp/suzucafe",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,"쇼 쿠, 와인, 칵테일",사용 가능한 예약,"어린이 생일 식사, 점심, 고기, 저녁 식사, 냉담한 링크, 와인 음료, 그룹 데이트, 혼자 마시기, 여자 밤, 쿠폰 이용 가능, 이용 가능, 작별 파티, 환영 파티, 인기있는 식당 예약을 즐기십시오.
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",,예,불가능합니다,,예,언어 지원 메뉴가 있습니다,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000008926/archive/2437871-610303fb28b34.jpg,03-5428-3739,,,,,https://www.instagram.com/suzucafejinnan/,,,
あくとり代官 鍋之進 渋谷,Akutori 치안 판사 Nabenoshin Shibuya,https://retty.me/area/PRE13/ARE8/SUB803/100000043674/,050-5262-8427,이자카야 쇠고기 혀,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 16:00-23:00 L.O. 22:00","하루 종일 개점
*새해 공휴일 동안 영업일 및 시간이 바뀔 수 있습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Shibuya Sede 3f, 1-5-2 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (220m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (670m)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",없음,"90 석
(몇 자리, 소파 좌석, 개인 실 및 쇼리 코타 츠가 있습니다)",예,"흡연실 사용 가능
(흡연 부스 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","불가능합니다
최대 86 명을 임대 할 수 있습니다","https://www.dd-holdings.jp/brands/akutoridaikan/
https://www.dd-holdings.jp/shops/nabenoshin/shibuya#/
https://www.dd-holdings.jp/brands?company=1","다른 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상에 대한 All-You-Can-Drink가 포함되어 있습니다.",알레르기로 수용 할 수 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실, 쌀, 점심, 날짜, 고기, 점심, 점심 날짜, 성인 은신처, 저녁 식사, 소녀의 밤, 그룹 날짜, 개인 실, 그룹 데이트, 개인 실, 작별 파티, 쿠폰 이용 가능, PayPay 포인트 받기, 온라인 예약, 새해 파티, 새해 파티
다른 사용 장면을 참조하십시오",차분한 분위기,"축하 가능성
테이크 아웃 가능성",,"예
유아, 미취학 아동, 초등학생 어린이를 환영합니다",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000043674/archive/3193915-6556f96f1b54a.jpeg,03-5458-4030,,https://www.facebook.com/akutoridaikan/,,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",,
ツク夜ノ白兎,쓰쿠 나이트 흰 토끼,https://retty.me/area/PRE13/ARE8/SUB806/100001683666/,050-5462-1650,이자카야 해산물과 해산물 야키토리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-28:30 L.O. 28:00
[태양, 토요일, 휴일]
저녁 식사 13:00-28:30 L.O. 28:00
마감 시간은 하루에 따라 다를 수 있습니다",하루 종일 개점,"저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f Nagashima Daiichi 건물, 1-22-12 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen 역에서 도보 3 분 (240m)
JR Yamanote Line / Shibuya Station에서 도보로 5 분 (340m)",예,"70 석
((실내] 20 개의 카운터 좌석, 22 개의 테이블 좌석, 20 개의 자리가있는 좌석 [외부] 8 개의 테라스 좌석)))",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tsukuyonosirousagi.foodre.jp/","카드가 허용됩니다
(비자, 마스터, JCB, AMEX)

전자 돈을 사용할 수 있습니다
(운송 전자 돈 (Suica 등), ID)

QR 코드 결제는 불가능합니다",,,생선 요리 전문,"맥주, 와인, 칵테일",,"흡연 허용 한 사람 OK Rice Dinner Paypay Points 온라인 예약 이용 가능 연말 파티 새해 파티 점심 점심 캐주얼 세련된 성인 데이트 성인 파티 성인 연말 파티
다른 사용 장면을 참조하십시오",,,,,"예
상점 밖에서 사용할 수 있습니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001683666/archive/2925701-63855df00cae1.jpg,03-5990-4950,,,,,,,,
渋谷文化進化,시부야 문화 진화,https://retty.me/area/PRE13/ARE8/SUB804/100001760085/,050-5462-7392,이자카야 gyoza 중국 음식 서있는 음주,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 18 : 00-9 : 00 L.O. 8:30
점심 (식사 세트) 11:00-15:00
저녁 식사 (이자카야) 18:00-9:00
마지막 음식 주문은 금요일, 토요일 및 휴일 전날 22:30, 2:00입니다.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Coeru Shibuya Dogenzaka 1f, 1-19-14 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (250m)
Keio Inokashira Line / Shinsen Station에서 도보 4 분 (280m)",없음,"36 석
(10 카운터, 18 개의 테이블, 8 개의 테라스 *개인 실 없음 *테라스 좌석은 계절에 따라 사용할 수 없습니다)",예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://shibuya-bunkashinka.foodre.jp/
https://bunkashinka.com/",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 점심, 음주, 싱글, 늦은 밤에 문을 연, 테라스, 개인 파티, 연회 및 음주 파티, 비 흡연, 세련된 점심, 급여 지불 지불, 캐주얼, 온라인 예약 가능
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성",,예,"예
상점 밖에서 사용할 수 있습니다",예 (무료),예,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001760085/archive/3538412-67c720f98107e.jpg,03-6416-3398,,,,"TV 및 모니터, 오디오 장비",https://www.instagram.com/shibuya_bunkashinka,,,
老麻火鍋房 薬膳火鍋専門店,ORAMA HOTPOT 병 - 지중해 핫팟을위한 전문 상점,https://retty.me/area/PRE13/ARE8/SUB804/100000854941/,050-5462-4359,이자카야 핫팟,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 18:00-27:00 L.O. 26:00
[태양, 토요일, 휴일]
저녁 식사 17:00-27:00 L.O. 26:00","하루 종일 개점
[새해 개막]","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Grand Est Building 2F, 15-3 Maruyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (88m)
JR Yamanote Line / Shibuya Station 10 분 도보 (790m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보 14 분 (1.1km)","없음
근처 (할인 없음) 사용 가능","38 석
(각 테이블에서 38 개의 스크린을 사용할 수 있습니다 (모든 좌석은 16 개의 소파 좌석, 12 개의 테이블 시트, 6 ~ 10 개의 개인 실)로 나뉩니다)",없음,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 35 명","[공식적인]
https://raomaahinabebou.foodre.jp/
http://raomaahinabebou.com/",,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 5,000 엔 이상, 2 시간 동안 all-you-can-drink가 포함됩니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 매우 매운 메뉴, 소유자 및 매장 준비에 특히 도움이됩니다.","맥주, 쇼카, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"늦은 밤, 저녁 식사, 개인 객실, 소녀 파티, 연회 및 음주 파티, 엔터테인먼트, 슈퍼 매운, 급여 지불 지불 가능, 약혼 저녁 식사 파티, 싱글, 결혼식, 애프터 파티, 작별 파티, 환영 파티, 크리스마스 저녁, 새해 파티, 술 마시기
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,예,불가능합니다,불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000854941/archive/232845-6079af8a17c4c.jpeg,03-6455-3500,,https://www.facebook.com/p/orama Hotpot Botan -100054418242649/,https://x.com/laotanhotpot,,https://www.instagram.com/raomaahinabebo/,,,
肉バル Gottsu 渋谷店,고기 바 Gottsu Shibuya 지점,https://retty.me/area/PRE13/ARE8/SUB803/100001215921/,050-5462-7545,고기 바 이자카야 스테이크,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:00","불규칙한 휴일
・ 새해 공휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Higashimatsu 건물 1f, 24-18 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (250m)
Keio Inokashira Line / Shinsen 역에서 도보로 10 분 (800m)
도쿄 도요코 라인 / 다이키 야마 역 13 분 도보 (1.0km)","없음
이웃 P (할인) 사용 가능, 이웃 (할인 없음)",45 석,예,"불가능합니다
(상점 건너편에 흡연 공간이 있으므로 사용하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 45 명","[공식적인]
https://gottsushibuya.foodre.jp/",,"4,000 엔 ~ 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스로 제공됩니다.","4,000 엔에서 4,999 엔으로 인한 모든 코스와 5,000 엔 이상을위한 all-you-can-drink, 2 시간 동안, 2 시간 반 동안 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리, 채식 메뉴, 요리사가 유명한 식당에서 훈련을 받았으며 매장 내에서 준비된 것입니다.","맥주, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"소녀의 밤, 저녁 식사, 쌀, 고기, 날짜, 모든 링크, 그룹 데이트, 결혼 기념일, 파티/음주 파티, 약혼 저녁 식사, 솔로 환영, 결혼식, 후 파티, 작별 파티, 환영 파티, 체리 블로 솜보기, 크리스마스 저녁 식사를 볼 수있는 레스토랑
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001215921/archive/1702646-5edb3ea2c5f66.jpg,03-6427-0481,,https://www.facebook.com/%E6%A1%9C%E4%B8%98%E8%82%89%E3%83%90%E3%83%AB-GOTTSU-1524402857884401/info,,,,,,
