식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,페이스 북,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,사용 장면,대기,서비스,Wi-Fi 사용,전화 번호,영상,IC 카드 지불,사적인,발언,예약,아이들이 들어 오세요,전원 공급 장치 사용,인스 타 그램,X (트위터),외국어 지원,드레스 코드,애완 동물,추가 장비
てんぷら魚料理 福しま,튀김 생선 요리 후쿠시마,https://retty.me/area/PRE13/ARE13/SUB704/100000011826/,03-6420-0815,튀김 해산물과 해산물 이자카야,"[월요일부터 금요일까지]
 11:30-14:00
[월요일부터 금요일과 토요일]
 17:30-23:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"Imamura Building, 5-1-16 Nishigotanda, Shinagawa-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보 2 분 (130m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (800m)
JR Yamanote Line / Gotanda Station 12 분 도보 (910m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"점심, 개인 객실, 싱글 룸, 크리스마스 저녁 식사, 저녁 식사, 저녁 식사, 흡연 허용, 개인 객실 점심, 개인 룸 엔터테인먼트, 급여 지불 지불, 캐주얼, 빠르고 쉬운 연말 파티, 빠르고 쉬운 새해 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/18269621.jpg,,,,,,,,,,,,
パセリ,파슬리,https://retty.me/area/PRE13/ARE13/SUB704/100000104362/,03-5487-2717,이탈리아 요리,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 17:00-24:00 L.O. 23:00",명확하지 않습니다,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔",Amex,,"2-26-5 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (85m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 역 16 분 (1.2km)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,와인 마실 수있는 저녁 식사 저녁 식사 비 흡연 성인 데이트 세련된 메리 쿠리 크리스마스 2024,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5712690.jpg,,,,,,,,,,,,
北海道 目黒西口店,"Meguro West Exit Store, Hokkaido",https://retty.me/area/PRE13/ARE13/SUB704/100001372374/,03-3495-1530,이자카야 해산물과 해산물,"자세한 내용은 공식 웹 사이트를 확인하십시오.
*영업일, 영업 시간 및 메뉴 내용은 통지없이 변경 될 수 있습니다. 방문하기 전에 확인하려면 사전에 상점에 전화하십시오.
*정부 또는 지방 정부의 요청으로, 상점에 들어가는 조건 및 알코올 조항은 통지없이 발생할 수 있습니다.","자세한 내용은 공식 웹 사이트를 확인하십시오.
시설과 동일합니다
*비즈니스 시간과 메뉴 내용은 변경 될 수 있습니다. 자세한 내용은 상점에 문의하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"San Ferista Meguro 4 층, 2-27-1 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 1 분 도보 (64m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (950m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 역 16 분 (1.2km)",,"232 석
(최대 연회 수 : 120)",없음,"불가능합니다
(모든 좌석은 금연이며 흡연실은 상점에서 이용할 수 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"all-you-can-eat all-you-can-drink private room 싱글 룸 크리스마스 저녁 식사 이용 가능한 세련된 비소 스모크 전후 당신이 흠뻑 젖은 세련된 전용 객실 엔터테인먼트 Shochu는 음주 급여 지불금을받을 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001372374/archive/342460-5A267B734870.jpg,,,,,,,,,,,,
食楽 太太太,쇼라 쿠 타이타,https://retty.me/area/PRE13/ARE13/SUB704/100001247375/,03-6721-9432,"일본 요리, 이자카야, 창의적인 요리","[월요일부터 금요일까지, 휴일]
 18:00-1:00
[토양]
 17:00-24:30",매월 첫 번째 월요일 매월 셋째 월요일마다 일요일마다,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Meguro Business Apartment B1F, 2-15-2 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro Station에서 1 분 거리 (78m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 13 분 도보 (1.0km)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)","없음
근처 (할인 없음) 사용 가능","24 석
(16 개의 테이블 좌석)","예
(8 개의 카운터 좌석)","불가능합니다
(상점 안에는 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/shokuraku.tatata/,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다",,,"맥주, 사케, 쇼치, 와인, 위스키, awamori","약혼 디너 파티, 솔로 환영, 엔터테인먼트, 크리스마스 저녁 식사, 음료수, 와인, 주차, 세련된, 저녁 식사, 쌀, 비 흡연, 급여 지불 지불, 세련된, 성인 데이트, 세련된, Merikuri
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
숨는 곳",,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001247375/archive/2285214-605c531d3d146.png,,,,사용 가능한 예약,,,,,,,,
シー メグロ,바다 메그로,https://retty.me/area/PRE13/ARE13/SUB704/100001600099/,03-6303-9441,Gyoza Auberge,"점심 세션 : 11 : 00-16 : 00 (L.O. 15:00)
야간 세션 : 17 : 00-23 : 00 (L.O. 21:30)",매주 화요일 매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",,PayPay,"4-5-31 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 6 분 (430m)
Tokyu Meguro Line / Fudomae 역에서 도보로 6 분 (480m)
JR Yamanote Line / Gotanda Station 10 분 도보 (790m)",,,예,,,https://shemeguro.com/,,,,,,"혼자서, 와인은 술에 취할 수 있습니다. 급여 지불 지불 이용 가능 캐주얼, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해-엔드 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29965399.jpg,,,,,,,https://www.instagram.com/shemeguro4531/,,,,,
炭火焼れん,숯이 구운,https://retty.me/area/PRE13/ARE13/SUB704/100001622558/,명확하지 않습니다,이자카야 야키토리,"[월요일부터 금요일, 토요일, 휴일]
 17:00-23:00 L.O. 22:30",매주 일요일,"점심:-
저녁 식사 : ~ 5,000 엔",,,"Terule 201, 1-5-4 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (400m)
도쿄 메 구로 라인 / 푸 도마 스테이션 도보 15 분 (1.1km)
JR Yamanote Line / Ebisu Station 15 분 도보 (1.2km)",,,,,,https://ren-meguro.com/,,,,,,"저녁, 저녁 식사, 성인 데이트, 캐주얼",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29247999.jpg,,,,,,,,,,,,
fours,넷,https://retty.me/area/PRE13/ARE13/SUB704/100001442521/,03-6421-7255,비스트로 이자카야 식당 바,"[tue-thu]
 18:00-24:00 L.O. 23:30
[금]
 17:30-24:00 L.O. 23:30
[Sun, Saturday, Holidays, 휴일 전]
 17:00-24:00 L.O. 23:30",매주 월요일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
JCB",,"NT 빌딩 B1, 1-4-11 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 3 분 (210m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (960m)
도쿄 메트로 Namboku 라인 / 시로 카네이이 스테이션 17 분 도보 (1.3km)",없음,35 석,예,"불가능합니다
(상점 외부에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,"연회 및 음주 파티 싱글을위한 개인 실
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001442521/archive/63469-5bff4d8c26d1a.jpg,,,,사용 가능한 예약,,,,,,,,
焼肉ギュービッグ 目黒店,야키 니쿠기구 빅 메 구로 지점,https://retty.me/area/PRE13/ARE13/SUB704/100000061480/,03-6303-9529,이자카야 야키니 쿠,"[Sun, 화요일, 금요일, 토요일]
저녁 식사 18 : 00-24 : 00 L.O. 23:00","매주 월요일
새해 휴일 (확인하십시오)
Covid-19의 행정 지침에 따라
영업일 및 시간이 바뀔 수 있습니다. 이해 해주셔서 감사합니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2f Cesar Meguro, 1-2-22 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 3 분 (190m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (920m)
JR Yamanote Line / Gotanda Station 17 분 도보 (1.3km)",없음,45 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.ac,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",,"우리는 고기 요리, 매우 매운 메뉴 품목, 매장 내에서 준비된 매우 매운 메뉴에 대해 특별합니다.","맥주, 쇼치, 와인, 위스키, 칵테일","데이트, 솔로, 솔로, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 마시기 와인, 저녁 식사, 저녁 식사, 쌀, 고기, 비 금연, 무료 와이파이, 마시는 쇼치, 요리, 요리, 요리, 요리, 새해 파티, 새해 파티
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성",예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000061480/archive/113288-5d8499e3b38c1.jpeg,,,,,"불가능합니다
유아, 유치원 어린이, 초등학생을 환영합니다",,,,,,,
和イタリアンmatsu,일본 이탈리아 마츠,https://retty.me/area/PRE13/ARE13/SUB704/100001402873/,03-6420-3747,이탈리아 바,"[tue-fri]
점심 11 : 30-15 : 00 L.O. 14:00
[tue-fri-sat]
저녁 식사 18:00-23:00 L.O. 22:00
[태양/토요일]
점심 12:00-15:30 L.O. 14:30
[낮]
저녁 식사 18:00-22:00 L.O. 21:00",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"5-12-6 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보로 1 분 (79m)
JR Yamanote Line / Meguro 역에서 12 분 거리 (910m)
JR Yamanote Line / Gotanda Station 14 분 도보 (1.1km)",,22 석,,,,,https://www.facebook.com/fudomae Restaurant-1963056270625802/,,,,,"점심, 연회 및 음주 파티, 싱글 OK OK, FOREWELL PARTY, Welcome Party, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된 저녁 식사, 쌀, 세련된 점심, 급여 지불 지불, 캐주얼, 연말 연말 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27713532.jpg,,,・ 카드는 밤에만 구입할 수 있습니다,,,,,,,,,
桜Dining 左馬 HIDARIUMA,사쿠라 식당 사마 히다리륨,https://retty.me/area/PRE13/ARE13/SUB704/100000051836/,03-6431-9099,말 고기 발 비스트로,"[tue-fri-sat]
 17:00-26:00
[일요일과 휴일]
 17:00-24:00",매주 월요일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"Meguro Daiichi Building B1F, 1-5-19 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 5 분 (350m)
Tokyu Meguro Line / Fudomae Station에서 도보 13 분 (990m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,12 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.hidariuma.net/,,,,,,"날짜는 성인, 성인을위한 숨겨진 장소, 체리 꽃보기 및 벚꽃 시청, 크리스마스 저녁 식사, 와인, 세련된, 저녁, 쌀, 고기, 비영리, 심야, 급여 지불 지불, 캐주얼 등의 레스토랑에 적합합니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31474920.jpg,,,,,,,,,,,,
日本酒 ほろよい党 目黒,Horoyoi 파티 메 구로를 산,https://retty.me/area/PRE13/ARE13/SUB704/100000047398/,03-3446-0641,Izakaya 일본 요리 가라이지,"[월요일부터 금요일까지]
 18:00-1:30 L.O. 1:00
자세한 내용은 공식 웹 사이트를 확인하십시오.
[토요일 및 공휴일] 민간 사업 만 제공됩니다.","매주 일요일
월요일이 공휴일이면 일요일에 문을 엽니 다","점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드",PayPay,"102 Green View Platinum 2-13-45 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (130m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 13 분 (980m)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)",예,"25 석
(표 : 20 석, 카운터 : 5 석)","예
(5 석)","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.horoyoitou.jp/,https://www.facebook.com/horoyoitou/,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","전산 된 점점 : 2,000-2,999 엔, all-you-can-drink 가격 : 3,000-4,999 엔","우리는 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치","연회 및 음주 파티, 솔로 작별 파티, 환영 파티, 연말 파티, 새해 파티, 음료수, 세련된, 개인 공간, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 흡연 허용, 무료 Wi-Fi, Shochu, Paypay Paylains
다른 사용 장면을 참조하십시오","활발한 상점
골목을 향합니다",배송 가능,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000047398/archive/3295205-662759724034e.jpg,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명",,사용 가능한 예약,,,https://www.instagram.com/horoyoitou/,https://x.com/meguro_horoyoi,,,,
ピッツェリア&トラットリア ゴンゾー 目黒店,Pizzeria & Trattoria Gonzo Meguro Branch,https://retty.me/area/PRE13/ARE13/SUB704/100001506656/,03-6721-6962,이탈리아 피자,"[하루 종일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",,PayPay,"Aqua Meguro 1f, 3-2-9 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (180m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (960m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 13 분 (980m)",,,,,,,,,,,,"점심, 데이트, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 음료 와인, 세련된 와인, 저녁 식사, 점심, 세련된 점심, 급여 지불 지불, 성인 날짜, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36813430.jpg,,,,,,,,,,,,
もんぱち,몬파치,https://retty.me/area/PRE13/ARE13/SUB704/100000735332/,03-6421-7660,이자카야,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 12:00-14:00
저녁 18 : 00-24 : 00","매주 월요일
(다 떨어지 자마자 끝납니다)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"5-1-16 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보 2 분 (130m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (800m)
JR Yamanote Line / Gotanda Station 12 분 도보 (910m)",,16 석,예,"예
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심 모든 당신이 마시는 연회와 음주 파티 싱글 싱글 OK 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 저녁 식사 쌀 흡연 허용 shochu 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000735332/archive/805906-5c9ddaef71f0c.jpg,,,,,,,,,,,,
羊や カブトII,양과 카 부토 II,https://retty.me/area/PRE13/ARE13/SUB704/100000919696/,03-6421-7239,Jingisu Khan Izakaya 훈제 양고기,"[tue-fri-sat]
 17:00-25:00 L.O. 24:00
[일요일과 휴일]
 17:00-24:00 L.O. 23:00",매주 월요일,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,,"Misuzu Building B1F, 2-25-12 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (110m)
Tokyu Meguro Line / Fudomae 역에서 도보로 12 분 (930m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 역 16 분 (1.2km)",,45 석,없음,,없음,https://kabuto.hungry.jp/,https://www.facebook.com/kabuto Main Store Kabuto II Kabuto III-286306321484447/,,,,,"혼자 크리스마스 저녁 식사 세련된 저녁 식사 쌀 고기 캐주얼 성인의 연말 파티 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13471218.jpg,,,,사용 가능한 예약,,,,,,,,
肉系居酒屋 肉十八番屋 目黒店,고기 이자카야 니쿠 주 차시 바니 메 구로 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001491387/,03-6431-8066,이자카야 야키 니쿠 호르몬,"[월요일부터 금요일, 토요일, 휴일]
 11:30-23:30
*Gurunavi, Tabelog 및 Hot Pepper가 최신 비즈니스 상황입니다. 확인하십시오.","매주 일요일
새해 휴일 (확인하십시오)
월요일이 공휴일이라면 일요일에는 문을 열고 월요일에 문을 닫습니다. 만일을 대비하여 상점에 직접 연락 해 주셔서 감사합니다.
*2023 년 4 월과 5 월 일요일에 개장 (13 : 00-23 : 30)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-5-16 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (290m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",없음,49 석,없음,"연기 분리
(흡연 좌석이 있습니다. 자세한 내용은 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://e185114.gorp.jp/,https://www.facebook.com/tanakachikusan.meguro,,"3,000 엔에서 3,999 엔으로 인한 모든 코스가 포함 된 코스와 4,000 엔에서 4,999 엔을위한 모든 코스를 포함하는 코스와 5,000 엔 (5,000 엔), 2 시간 동안 올스 링크를 포함하는 모든 코스를 포함하는 코스가 있습니다.",고기 요리 전문,"맥주, 사케, 칵테일","점심으로 점심으로 마시는 연회/음료 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다. 술을 마실 수 있습니다. 와인을 마실 수 있습니다. 아이들과 함께 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001491387/archive/1838592-5f546ca315852.jpeg,,예,,사용 가능한 예약,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,https://www.instagram.com/tokyo_tanakachikusan/,,,,,
博多劇場 目黒店,하카타 극장 메 구로 매장,https://retty.me/area/PRE13/ARE13/SUB704/100001354406/,03-6420-0600,이자카야,"[하루 종일]
 16:00-24:00","하루 종일 개점
새해 연말 연시","점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f, 1-3-28 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (280m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
JR Yamanote Line / Ebisu Station 18 분 도보 (1.4km)",,"88 석
(침몰 한 Kotatsu의 약 20 석)",,"예
(흡연이 허용됩니다 (테라스 허용되지 않음))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"싱글 링크 연회 및 음주 파티 싱글 싱글 파티 싱글 파티 환영 파티 연말 파티를 마시는 새해 파티 술 마시기 와인 저녁 식사 쌀 흡연 허용 shochu 지불 지불 이용 가능한 캐주얼 요리 연말 파티를위한 캐주얼 요리
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001354406/archive/138874-5aaf814120236.jpg,,,,,,,,,,,,
Laugh 目黒店,Meguro 상점을 웃으십시오,https://retty.me/area/PRE13/ARE13/SUB704/100001585687/,03-6303-0801,이탈리아 요리,"[태양, 월요일부터 금요일, 토요일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17:30-22:30 L.O. 21:30
[테이크 아웃] 반찬 및 점심 상자 판매 11 : 30-21 : 00 * 도망 갈 때 끝납니다.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",,PayPay,"3-4-3 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae Station에서 도보로 9 분 (720m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (770m)
Tokyu Meguro Line / Musashi-Koyama 역에서 도보 17 분 (1.3km)",,,,,,,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 쌀, 세련된 점심, 급여 지불 지불, 세련된, 성인 데이트, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28479126.jpg,,,,,,,,,,,,
BAR46,Bar46,https://retty.me/area/PRE13/ARE13/SUB704/100000724998/,03-5434-3999,바 오덴,"[월요일부터 금요일과 토요일]
저녁 19 : 00-27 : 00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",예,,"2F, 1-3-13 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (180m)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 16 분 (1.3km)",,14 석,예,,없음,http://www.bar46tulsa.com/,,,,,,"싱글은 괜찮고 세련된 저녁 식사, 늦은 밤, 캐주얼입니다",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33514035.jpg,,,,,,,,,,,,
teppan仁六,Teppan Jinroku,https://retty.me/area/PRE13/ARE13/SUB704/100000010945/,03-5496-0069,오코노미 야키이자 카야,"[월요일부터 금요일까지]
 18:00-1:00 L.O. 24:30
[토요일/휴일]
 18:00-24:00 L.O. 23:30","매주 일요일
월요일 전에 일요일에 문을 열고 월요일에 문을 닫습니다.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Myeongdong Building 7f, 1-6-16 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 6 분 (440m)
Tokyu Meguro Line / Fudomae 역에서 도보 13 분 (980m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://niroku26.com/,,,,,,"여자의 밤은 독신 성인, 크리스마스 저녁 식사, 세련된, 저녁, 쌀, 비 흡연, 급여 지불 지불, 캐주얼, 성인 연말 파티, Quick-End Party, 성인 새해 파티, 퀵 엔드 파티, Quick-End Party에 적합합니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5659115.jpg,,,,,,,,,,,,
