식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,주차,좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,QR 코드 결제,카운터 좌석,강의,당신이 마실 수있는 모든 것,IC 카드 지불,X (트위터),서비스,대기,발언,애완 동물,외국어 지원,전원 공급 장치 사용,드레스 코드,추가 장비,맥주 제작자
焼ジビエ罠 炭打 神田,구운 게임 트랩 숯-숨겨진 칸다,https://retty.me/area/PRE13/ARE11/SUB1101/100000782241/,03-3251-8899,게임 징지수 칸 옥수수 요리 야키니 쿠 자연 음식 숯 구운 양고기 야키토리,"[하루 종일]
 11:30-22:00",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔",Amex,"Tania Building 1f, 2-10-10 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 6 분 거리 (420m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (460m)",,"40 석
(테이블 좌석, 4 개의 좌석, 8 개 좌석, 좌석은 카운터에서 나머지는!)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,https://www.facebook.com/wana.gotanda.yumeya/,,,,"점심, 솔로, 크리스마스 저녁 식사, 음료수, 와인, 세련된, 저녁 식사, 쌀, 고기, 흡연 없음, 세련된 점심, 쇼치, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3279793.jpg,PayPay,"예
(신바시 함정과 같은 카운터!)",,,,https://x.com/kandawana,,,,,,,,,
塩生姜らー麺専門店 MANNISH 淡路町本店,"Salnish Awajicho Main Store, 소금에 절인 생강라면을위한 전문점",https://retty.me/area/PRE13/ARE11/SUB1101/100001463000/,03-6677-2922,라면 소금라면,"[태양, 월요일부터 금요일, 토요일]
 11:00-21:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"1F Magazin Kanda 2-2-8 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 3 분 거리 (230m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 3 분 거리 (230m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (230m)",,11 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 금연",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28435550.jpg,,예,,,,https://x.com/mannish0307,,,,,,,,,
VINOSITY magis,Vinosity Magis,https://retty.me/area/PRE13/ARE11/SUB1101/100000453717/,050-2018-2412,와인 바 프렌치 바 바 담배,"[태양, 월요일부터 목요일까지]
 15:00-23:00
[금]
 15:00-4:00
일요일에 열립니다",매주 토요일과 공휴일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 4,000 엔",예,"Onuki Building, 2-9-7 Kajicho, Chiyoda-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 3 분 (180m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 거리 (330m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 7 분 거리 (510m)",,20 석,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://charpente.jp/magis/,,,,,,"날짜, 소녀의 밤, 개인 실, 독신, 성인 은신처, 크리스마스 저녁 식사, 마시는 술, 와인, 세련된, 첫 번째 기차, 저녁 식사, 저녁 식사, 저녁 식사, 비영리, 개인 실, 세련된, 개인 실
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36633017.jpg,PayPay,예,,,,,,,,,,,,,
カレーノトリコ,카레 No Toriko,https://retty.me/area/PRE13/ARE11/SUB1101/100001424613/,사적인,카레 인도 카레 인도 요리 지중해 요리,"[월요일부터 금요일까지]
점심 11:00-14:00
저녁 18 : 00-21 : 00
[토양]
점심 11:00-15:00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"1f Ichihachi Building, 3-5 Kanda Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 (260m)
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 4 분 거리 (270m)",없음,10 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,https://www.facebook.com/currynotrico,,,,"점심, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 세련된, 저녁, 쌀, 비 조화, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29215783.jpg,,예,,,,https://x.com/currynotrico,,,,,,,,,
もつ焼きつみき 神田駅前店,Motsuyakitsu Miki Kanda Ekimae 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001312623/,03-6206-4165,Izakaya Motsu Cuisine Yakitori,"[월요일부터 금요일까지]
 17:00-23:00
[토양]
 13:00-22:00
[일요일과 휴일]
 13:00-22:00 L.O. 21:30
‼‼ 닐 골든 주간 정상적으로 개장합니다 !! 켈

Kanda Ekimae Store와 Kanda Kawara Store
예약 요청
Kanda Ekimae 매장
예약은 오후 5 시부 터 오후 5 시까 지 허용되며, 그 후 Kanda Kawara Store에서 알려줍니다.

Kanda Kawara 상점
예약은 시작부터 오후 6시 30 분까지 수락되며, 그 후 칸다 지역 내에서 같은 날에 예약이 이루어지고 ""오후 6시 30 분 이후의 무료 입장""[좌석은 이용 가능].

휴일, 토요일 및 일요일에 오후 1시에 오픈! 켈","하루 종일 개점
시설과 동일합니다
Kanda Ekimae Store와 Kanda Kawara Store
예약 
Kanda Ekimae 매장
예약은 오후 5 시부 터 오후 5 시까 지 허용되며, 그 후 Kanda Kawara Store에서 알려줍니다.

Kanda Kawara 상점
예약은 시작부터 오후 6시 30 분까지 수락되며, 그 후 당일 예약 및 당일 예약은 Kanda 지역 내에서 수락됩니다.","점심:-
저녁 식사 : ~ 2,000 엔",불가능합니다,"2-12-13 Kanda Kajicho, Chiyoda-Ku, 도쿄 1st and 2nd 층
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (79m)
Toei Shinjuku Line / Iwamotocho 역에서 도보 6 분 (430m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)",예,,,없음,,"https://www.tiktok.com/@sa_yann.sake/video/7273806054733942023?_t=8o0jikhkihq&_r=1
https://youtu.be/eyv3u6l8i58
https://youtu.be/olqu2vzds7m?si=qfyf517m95gdbg4y",https://www.instagram.com/reel/ckihoiqpbq6/?igsh=mm1jowrnm2s5czjn,https://www.facebook.com/kstumiki,,,,"점심, 연회 및 음주 파티, 싱글은 괜찮아요
다른 사용 장면을 참조하십시오",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32558502.jpg,,예,,,,,,,,,,,,,
YONA YONA BEER WORKS 神田店,Yona Yona Beer Works Kanda 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001194683/,03-5289-4747,맥주 바 이자카야 바,"[월요일부터 금요일까지]
 16:00-23:30
[태양, 토요일, 휴일]
 11:30-23:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB","1F Kanda Sudacho Building, 1-24-6 Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (13m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)",,65 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://yonayonabeerworks.com/,,https://www.facebook.com/yonayonabeerworkskanda/,,,,"점심으로 점심으로 마시는 연회와 음주 파티 싱글 싱글 OK 결혼식 애프터 파티의 작별 파티를 환영 파티 연말 파티 새해 파티 세련된 저녁 식사 세련
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35020354.jpg,,예,,,,,,,,,,,,,
ちえちゃんラーメン,Chie-chan라면,https://retty.me/area/PRE13/ARE11/SUB1101/100001544343/,03-6206-0324,라면 문신,"[월요일부터 금요일까지]
 10:00-28:00
[토양]
 11:00-28:00
[일요일과 휴일]
 11:00-21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",,"2-13-7 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (16m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (530m)",,,,,,,,,,,,"점심, 솔로, 브런치, 세련된, 첫 번째 기차, 저녁 식사, 쌀, 세련된, 점심, 늦은 밤에 오픈, 급여 지불 지불이 가능합니다.
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35969859.jpg,PayPay,,,,,,,,,,,,,,
神田 とりそば なな蓮,Kanda Torisoba Nanaren,https://retty.me/area/PRE13/ARE11/SUB1101/100001257290/,03-6206-0544,"라면, 소금에 절인라면, Tsukemen, Yakitori","[월요일부터 금요일까지]
 11:30-14:30
 18:00-22:00",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"1-7-1 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (78m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 4 분 거리 (260m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (410m)",,8 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.nanahasu.com/,,,,,,"점심, 솔로, 성인을위한 은신처, 술을 마시고, 세련된, 저녁 식사, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 세련된 점심, 공예 맥주
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28493077.jpg,,예,,,,,,,,,,,,,
タンドール料理 RB'sひつじや 神田店,Tandoor Cuisine RB의 Hitsujiya Kanda 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001695874/,050-5462-4170,이자카야,"[태양, 월요일부터 금요일, 토요일]
점심 11:00-15:00
저녁 식사 17:00-22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","Nishikicho Square Building 1f, 3-6-7 Kanda Nishikicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (280m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (280m)",없음,35 석,,없음,,https://hitujiya-kanda.foodre.jp/,https://www.instagram.com/hitsujiya.kanda/,,고기 요리 전문,맥주와 와인이 있습니다,사용 가능한 예약,"쌀, 점심, 저녁 식사, 고기, 점심, 비 흡연, 애프터 파티, 혼자, 결혼식, 급여 지불 지불, 급여 지불 포인트 받기, 온라인 예약 가능, 새해 파티, 인기있는 레스토랑, 예약, 캐주얼, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",예,예,03-6811-0888,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001695874/archive/31555546-651563989999e.jpg,PayPay,예,,,Suica,https://x.com/rbhitsujiya,,,,,,,,,
レモンサワー50円大衆酒場 炭火串焼ちから 神田駅前店,레몬 사워 50 엔 인기 바 숯불 그릴 꼬치 카라 칸다 ekimae 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001639311/,050-5462-7775,이자카야 야키토리,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
 11:00-24:00 L.O. 23:30
[금요일/휴가 전]
 11:00-29:00 L.O. 28:00
*비즈니스 시간 이외의 예약을 위해 전화로 미리 저희에게 연락하십시오.",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,"산코 빌딩 1-4F, 3-7-3 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (59m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 5 분 거리 (380m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 7 분 거리 (530m)","예
근처 (할인 없음) 사용 가능","100 석
(바다는 행사에 맞게 1 층에서 4 층에서 4 층에서 4 층에서 이용할 수 있습니다. 우리는 환영 및 작별 파티, 연말 파티 및 새해 파티와 같은 중형에서 대규모까지 다양한 연회에 대한 예약을 허용합니다. 각 층마다 임대 할 수 있습니다 [10 명을위한 라이센스!] 다른 개인 객실도 이용 가능합니다. [2 ~ 8 명]))))).","예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://chikara-kandaekimae.foodre.jp/",,,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"점심 시간, 저녁 식사, 늦은 밤, 모든 당신이 먹는 것, 온전한 링크, 연회 및 음주 파티, 개인 방, 연말 파티, 새해 파티, 술 마시기, 와인, 주차장, 어린이와 함께 즐기기, 첫 번째 기차까지 열려, 흡연이 허용됩니다.
다른 사용 장면을 참조하십시오",예,예,03-4323-8684,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001639311/archive/2822750-6306fa9bd5416.jpg,PayPay,없음,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 2,999 엔 미만의 모든 링크 코스, ALL-YOU-CAN-DRINK 코스, 3,000-3,999 엔, ALL-YOU-CAN-DRINK 코스를 이용할 수 있습니다. 2 시간 반 동안 all-you-can-drink, 3 시간 이상 만난다",,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다","개방성이 있습니다
천장이 높습니다
활발한 상점
골목을 향합니다",,불가능합니다,"영어 중국어
언어를 말할 수있는 직원이 있습니다",,없음,프로젝터 포함,
日本酒と創作糠漬 KURARA神田,Sake and Creative Syrup Pickles Kurara Kanda,https://retty.me/area/PRE13/ARE11/SUB1101/100001473701/,050-5303-9579,이자카야,"[월요일부터 금요일까지]
저녁 식사 17:00-2:00
[토양]
저녁 식사 17:00-24:00","매주 일요일과 공휴일
토요일에는 불규칙적으로 폐쇄되었습니다","점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",예,"36 Kanda Konyacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (290m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (430m)",,26 석,"불가능합니다
(외부에는 흡연 공간이 있지만 상점 내부에는 흡연이 금지됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://kurara-kanda.foodre.jp/
https://kurara-sake.com/",,https://www.facebook.com/kurara.kanda.sake/,,,,"Farewell Party, 솔로 손님이 이용할 수 있고, 늦은 밤에 오픈, 음료수, 고기, 연회 및 음료 파티, 급여 지불 지불, 저녁 식사, 쌀, 성인의 연말 파티, 세련된, 성인의 날짜, 새해 파티, 급여 판매 포인트를 얻으십시오.
다른 사용 장면을 참조하십시오",,,03-3525-8397,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001473701/archive/1167291-5d956820f1e1f.jpg,PayPay,예,,,,,,,,,,,,,
イタリアンバル ビータ,이탈리아 발 비타,https://retty.me/area/PRE13/ARE11/SUB1101/100001712029/,050-1018-8181,이탈리아 요리 이탈리아 바 파스타 바 창조적 요리,"[월요일부터 금요일까지]
점심 11 : 30-14 : 00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[토양]
저녁 식사 16:00-22:00 L.O. 21:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Uchikanda kg 빌딩 1f, 3-10-1 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (460m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (500m)",없음,27 석,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://italianbar-vita.foodre.jp/",,,,,,"저녁 식사, 소녀의 밤, 싱글, 성인의 은신처, 저녁 식사, 고기, 연회 및 음주 파티, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 작별 파티, 환영 파티, All-You-Can-Drink, 점심 음료, 사전 주문 인기 레스토랑, Paypay Points Get Paypay Points
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001712029/archive/3120519-64d209c486ccc44.jpg,,예,,,,,,,,불가능합니다,,,,,
東京餃子酒場,도쿄 Gyoza 바,https://retty.me/area/PRE13/ARE11/SUB1101/100001747716/,050-5462-6216,Izakaya Gyoza,"[하루 종일]
 10:00-24:00 L.O. 23:30",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB","Y- Works Yamamoto B1F, 2-10-8 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 6 분 거리 (430m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (440m)","없음
근처 (할인 없음) 사용 가능",30 석,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명","[공식적인]
https://tokyogyozasakaba.foodre.jp/",,,,,사용 가능한 예약,"점심, 점심, 솔로, 지불 수락, 지불금 포인트, 온라인 예약 이용 가능, 새해 파티, 모든 캔이 먹고, 냉담한, 작별 파티, 환영 파티
다른 사용 장면을 참조하십시오",불가능합니다,없음,03-6206-8388,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001747716/archive/3368240-66a7516d44d7d.jpg,PayPay,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 2000-2999 엔, 전산 점수 가격 3000-4999 엔, 전 ALL-YOU-CAN-DRINK 가격 5000 엔 이상, 2999 엔 미만의 전 만점에 링크 된 ALL-YOU-CAN-DRINK COURS는 3000-399 YEN, All-You-Can-Drink Course가 포함되어 있습니다. all-you-can-drink 코스에는 5000 엔 이상, 2 시간 동안 당신이 흠뻑 적시고, 3 시간 이상 씩 흠뻑 적신 것입니다.",,,,,,,,,,,
ボケリーア,Bokeria,https://retty.me/area/PRE13/ARE11/SUB1101/100000924782/,050-5461-6257,이자카야,"[월요일 ~ 목요일]
저녁 식사 18 : 00-26 : 00 L.O. 25:00
[금과 앉았다]
저녁 식사 17:00-26:00 L.O. 25:15
[축하해요]
저녁 식사 17:00-26:00 L.O. 25:00
마감 시간은 하루에 따라 다를 수 있습니다
우리는 오전 2 시까 지 열려 있습니다. 술을 마실 수 있습니다. 두 명 이상을 수용 할 수 있습니다.
상점 내부에서 흡연이 허용됩니다.
16 명 이상의 사람들을위한 연회를 예약하면 오후 5시 이전에도 문을 열게됩니다. 상점에 문의하십시오.","매주 일요일
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","2-12-8 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)","예
근처 (할인 없음) 사용 가능","20 석
(매장 내부 12, 외부 8 개)","예
완전히 흡연이 허용됩니다
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 16 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠딩 식사) 16 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 30 명","[공식적인]
https://boqueria.foodre.jp/
https://boqueria-kanda.gorp.jp/",,https://www.facebook.com/boqueriakanda/,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 요리사가 해외에서 훈련을 받고, 요리사는 유명한 레스토랑에서 훈련 경험을 가지고, 요리사가 훈련 경험, 주인 요리사 및 매장 내 준비를합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"테라스, 엔터테인먼트, 흡연 허용, 개인, 결혼 기념일, 연말 파티, 심야 개장, 여자 야간 파티, 데이트, 결혼, 애프터 파티, 그룹 데이트, 솔로 환영 파티, 작별 파티, 전산-신기자, 새해 파티, 급여 지불 포인트가 있습니다.
다른 사용 장면을 참조하십시오",예,없음,03-3525-8983,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000924782/archive/1847827-5f59a239cd4c1.png,PayPay,"예
(여러 좌석)","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간 all-you-can-drink, 2 시간 2 시간 만",,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다
소믈리에가 있습니다
테이크 아웃 가능성","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
활발한 상점
골목을 향합니다
테라스가 있습니다",,"예
상점 밖에서 사용할 수 있습니다","스페인 이탈리아어
언어를 말할 수있는 직원이 있습니다",예 (무료),,"TV 및 모니터, 오디오 장비, 휴대품 회의실",
焼肉 神田精肉店 東口店,야키니쿠 칸다 정육점 이스트 출구 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001763011/,050-5462-7191,이자카야 야키니 쿠,"[태양, 월요일부터 금요일, 토요일]
 16:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","2-12-11 Kajicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (110m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (390m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",없음,"45 석
((카운터에서 4 석, 테이블 10 개))","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://kandaseinikuten.foodre.jp/",,,고기 요리 전문,이용 가능한 맥주,사용 가능한 예약,"저녁 식사, 쌀, 고기, 환영 파티, 전산, 사적, 작별 파티, 첫 번째 열차까지 개장하고, 급여표 포인트, 온라인 예약 가능, 캐주얼
다른 사용 장면을 참조하십시오",예,예,03-3518-5275,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001763011/archive/3471169-67500d09924a7.jpg,,예,,,"Suica, Rakuten Edy, Waon, Quicpay",,,,"전자 돈을 사용할 수 있습니다

(운송 전자 자금 (Suica 등), Rakuten Edy, Nanaco, Waon, Id, Quicpay)

QR 코드 결제는 불가능합니다",,,,,,
