category_id,category_name,name_ja,name_ko,price,img_url
sushi,お寿司,手巻寿司　サーモンオニオンマヨネーズ巻,손으로 롤링 된 스시 - 연어 양파 마요네즈 롤,230円（税込248.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046531/104725CCE62FB1E1A8806B419B15B39A.jpg
sushi,お寿司,手巻寿司　まぐろたたきわさび醤油巻,손으로 롤링 된 스시 - 참치 타타키 와사비 콩 소스 롤,230円（税込248.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046530/85C11030256778F3299FDD53A1ED3982.jpg
sushi,お寿司,ふっくらお揚げのいなり　３個入り,"통통한 튀김 이나리, 3으로 가득",298円（税込321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046389/5F460F8B113943A6FB5F8D60CB67770F.jpg
sushi,お寿司,五目いなり　たけのこ入り,대나무 싹이있는 고모 쿠 이나리,178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046719/141F232B4E575F5206FDAC4BD3A772D3.jpg
sushi,お寿司,鶏唐揚げマヨネーズ巻５巻,프라이드 치킨 마요네즈 롤 5,460円（税込496.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/042491/99C873B66464B1271E1D11F66DE694D5.jpg
sushi,お寿司,助六寿司,Sukeroku Sushi,438円（税込473.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046724/38E54551B01F2805AE89BDD0593315DF.jpg
sushi,お寿司,サラダ巻（のり巻３巻・ごま巻２巻）,샐러드 볼륨 (3 권의 슬라이딩 및 2 권의 참깨),428円（税込462.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046722/0011909BE87B131B4751EDD3C310832E.jpg
sushi,お寿司,ひきわり納豆巻９巻,Hikiwari Natto 롤 9,298円（税込321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046721/46D6560C57E23864A705CAA1CF567343.jpg
bento,お弁当,どか盛り　タルタルチキン南蛮＆ナポリタン,Doka-Pation Chicken Tartare Nanban & Neapolitan,698円（税込753.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046821/49576E27B92EC88A78C9F983C2DE4EEA.jpg
bento,お弁当,紅鮭明太子ごはん,Sockeye Salmon Mentaiko Rice,390円（税込421.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046809/8965C49D4328B9D8FC5ADEB827C700B3.jpg
bento,お弁当,高菜チャーシューごはん,타카 나 숯 시우 라이스,320円（税込345.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/042608/35E5402C9A00459CD72918F1CAFF573C.jpg
bento,お弁当,おにぎりランチ,라이스 볼 점심,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046812/EEABE3D09A8CD6727168708EF0566F26.jpg
bento,お弁当,熟成だれの牛カルビ＆ねぎ塩豚カルビ弁当,노화 된 쇠고기 갈비와 녹색 양파 소금에 절인 돼지 고기 갈비 벤토,598円（税込645.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046234/509D5D7A947AEC288953C16490A21E7D.jpg
bento,お弁当,幕の内弁当,Makunouchi Bento,428円（税込462.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046121/F20C214FDD780752F26F10C5B977FD13.jpg
bento,お弁当,ふんわり玉子のオムライス,푹신한 계란 오믈렛 쌀,520円（税込561.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046815/D32DAA9DB6FD5D7A52A66B2CF4B31D56.jpg
bento,お弁当,麻婆丼,마포 보울,370円（税込399.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046286/B5D9C5A9FB23C26850CE98D99F28349E.jpg
bento,お弁当,味しみロースかつ丼,맛있는 허리 커틀 그릇,598円（税込645.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046284/9C6D389721C13EB4C5A4D1A04077A27C.jpg
bento,お弁当,親子丼,오야 코돈,480円（税込518.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/046282/D04638B757F7704D354CFE8CE86E2826.jpg
bento,お弁当,牛めし,쇠고기 쌀,498円（税込537.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/044905/7593A1972B0FB1D90E06A6829A796354.jpg
bento,お弁当,ポークカレー,돼지 고기 카레,550円（税込594円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/041450/5C28A67112CF086CA2A856C36186755B.jpg
sandwich,サンドイッチ・ロールパン,照焼チキンとたまごサンド,테루야키 치킨과 계란 샌드위치,320円（税込345.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052979/CAA9CC6BA06696789AC119FF3D2BBD72.jpg
sandwich,サンドイッチ・ロールパン,照焼チキンとたまごサンド,테루야키 치킨과 계란 샌드위치,320円（税込345.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052978/7EB0596F7182374BE3D1D23599584A5E.jpg
sandwich,サンドイッチ・ロールパン,２種のフルーツサンド,과일 샌드위치의 두 가지 유형,418円（税込451.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052988/367253D3D26F562335A3C92357631B03.jpg
sandwich,サンドイッチ・ロールパン,ジューシーハムサンド,육즙 햄 샌드위치,290円（税込313.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052883/083E938118527A970DA02D3B02462E12.jpg
sandwich,サンドイッチ・ロールパン,ジューシーハムサンド,육즙 햄 샌드위치,290円（税込313.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052844/0085410A9FFF7077A2CB1E6C41808EBC.jpg
sandwich,サンドイッチ・ロールパン,たまごサンド,계란 샌드위치,230円（税込248.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052884/97F0BF6FAD9FA6202D32CF74789E8A73.jpg
sandwich,サンドイッチ・ロールパン,たまごサンド,계란 샌드위치,230円（税込248.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052879/13F40F883A7EF918C3B2F126CE81F42A.jpg
sandwich,サンドイッチ・ロールパン,たまご＆ツナサンド,계란과 참치 샌드위치,250円（税込270円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052874/9E19ED4987AC69E0D0AFCBB230FC1559.jpg
sandwich,サンドイッチ・ロールパン,あしかが美人トマト使用　野菜ミックスサンド,Ashikaga 뷰티 토마토와 함께 만든 야채 믹스 샌드위치,350円（税込378円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052927/650D66D2326440D2F0B91D1A7C7ACF7A.jpg
sandwich,サンドイッチ・ロールパン,シャキシャキレタスサンド,바삭한 상추 샌드위치,310円（税込334.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052885/4B1DBD7DF4FAB01E11B9024C70E7765F.jpg
sandwich,サンドイッチ・ロールパン,ミックスサンド,혼합 모래,250円（税込270円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052890/9CBA90825B0D286F9B8E0AD1699582ED.jpg
sandwich,サンドイッチ・ロールパン,ミックスサンド,혼합 모래,250円（税込270円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052875/E7C3ECFBA65E55582990D5EC61D0A1C9.jpg
sandwich,サンドイッチ・ロールパン,たんぱく質が摂れるチキンコブサンド,단백질 주입 치킨 코브 샌드위치,370円（税込399.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052971/3BE7172D303D23810FA0E39B03A69EAB.jpg
sandwich,サンドイッチ・ロールパン,タルタル海老カツサンド,타르타르 새우 커틀릿 샌드위치,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052925/8E15C3B346A3B7AA840E404206D7B44D.jpg
sandwich,サンドイッチ・ロールパン,２種のハムカツサンド,두 가지 유형의 햄 커틀릿 샌드위치,258円（税込278.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/052892/F31A246BD7D224102BBAEE9829CD2951.jpg
bread,パン,７プレミアムゴールド　金の食パン　４枚入,7 프리미엄 골드 골드 빵 4 조각,298円（税込321.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290314/5407127E00F58488D77D970F1A721337.jpg
bread,パン,７プレミアムゴールド　金の食パン　２枚入,7 프리미엄 골드 골드 빵 2 조각,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290203/C8FE36C5348D73B2913D6D3DAE190EF9.jpg
bread,パン,７Ｐ　うるもち食パン　６枚入,"7p Urumochi 빵, 6 조각",158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290237/FF2EBECDCE200E1341B6B5B21891A2A7.jpg
bread,パン,パスコ　超熟　６枚スライス,파스코 슈퍼 익은 6 조각,198円（税込213.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290067/669BEA6EF85014245DAB50D75E2AD434.jpg
bread,パン,７プレミアムデニッシュブレッド３枚,7 프리미엄 덴마크 빵 3,148円（税込159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290559/6FBA48F78C2B0367C0566AFB189598B0.jpg
bread,パン,７Ｐ　うるもち食パン　３斤,7p Urumochi 빵 3 덩어리,478円（税込516.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290189/1963C1A83A00C06D47F6974568BB9145.jpg
bread,パン,７Ｐ　ハムチーズ４個入,7p 4 햄 치즈,188円（税込203.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290560/6B34C0B0129AB24E9CEE2C6DF5C0196A.jpg
bread,パン,７プレミアム　抹茶蒸しパン４個入,7 프리미엄 말차 찐 빵 4 조각,168円（税込181.44円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290333/76E2A74FF1EF5C527FA9B6463600F05A.jpg
bread,パン,ちょこのぱん,초콘의 팬,158円（税込170.64円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290563/74A5E5FB2F1AA41BCF9E8C60C3280FA0.jpg
bread,パン,７Ｐ　スティックメロンパン　６本入,"7p 막대기 멜론 빵, 6 조각",138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290460/8AFECB9EE2430FC4438ABC2CDA89E7A0.jpg
bread,パン,７Ｐマーガリン入り　　バターロール４個入,"7p 마가린 포함, 4 개의 버터 롤",138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290557/632595672A55E4F7795710EB2DE510B4.jpg
bread,パン,７Ｐ　マーガリン入り　レーズンバターロール,마가린을 곁들인 7p 건포도 버터 롤,148円（税込159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/290163/32357954FC9DE8C2043A04C08BE899DD.jpg
bread,パン,アップルカスタード,사과 커스터드,160円（税込172.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303178/8E051C2C591C3C4BE589ACD9F2B76F26.jpg
bread,パン,ランチパック　　深煎りピーナッツ,점심 팩 : 깊은 구운 땅콩,159円（税込171.72円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302970/9632E471DEA28FE2BB5FE60E098498F9.jpg
bread,パン,ふんわりしっとりつぶあんマーガリン,푹신하고 촉촉하며 바삭 바삭한 콩 페이스트 마가린,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303132/B5615F05B92243E13853D667C014EEEE.jpg
bread,パン,ふんわりしっとり　いちごジャム＆マーガリン,푹신하고 촉촉한 딸기 잼과 마가린,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303131/B64D9FD0C0BAEC508A4250E4BE8B2344.jpg
bread,パン,ゆめかおり使用つぶあん＆マーガリン,Yumekaori를 사용하여 금이 간 콩 페이스트와 마가린,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303127/92D9B3FB6B50DB9468A520F7729C728F.jpg
bread,パン,ゆめかおり使用いちごジャム＆マーガリン,Yume Kaori가 사용하는 딸기 잼과 마가린,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/300762/AF1D7629442A1B52910EDA2156EFF4EF.jpg
bread,パン,タルタルソースのフィッシュバーガー,타르타르 소스를 곁들인 생선 버거,248円（税込267.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303175/C17676772232710DAEBE277951336B4D.jpg
bread,パン,ジューシービーフメンチカツバーガー,육즙이 많은 쇠고기 멘치 커틀 버거,230円（税込248.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303177/B5B841B7A492829FD6624D6B1127FC83.jpg
bread,パン,北海道産じゃがいものコロッケパン,Hokkaido의 감자 크로켓 빵,178円（税込192.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303089/2C6FD8E9C921CC702D5592ACD65D5DF0.jpg
bread,パン,粗挽ポークソーセージマスタードマヨ使用,굵은 돼지 고기 소시지 겨자 겨자 마요네즈로 만들어졌습니다,188円（税込203.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302219/3D538A17B79508061FC1B365C051298B.jpg
bread,パン,欧風カレーパン,유럽 ​​카레 빵,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302191/3E371FB527977D96D87E65BA964C5175.jpg
bread,パン,つぶつぶコーンマヨネーズ,버섯 옥수수 마요네즈,170円（税込183.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303118/FE22513E241CD506F615EA57B0ED47CA.jpg
donut,ドーナツ,いちごのチョコケーキドーナツ,딸기 초콜릿 케이크 도넛,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/303169/C34EF965F49C77821032AD5A29D116A7.jpg
donut,ドーナツ,りんごのしっとりケーキ,축축한 사과 케이크,160円（税込172.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/301321/BE7F47450EB81825435654B1F82CCDAA.jpg
donut,ドーナツ,サックリ食感ベイクドリングチーズケーキ,바삭 바삭한 질감으로 베이커리 치즈 케이크,138円（税込149.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302926/AADB03F6AECD86410171F4B07164E24B.jpg
donut,ドーナツ,チョコオールドファッション,초콜릿 구식,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302300/B1CD0EC7989064C402F41A74962A0E0E.jpg
donut,ドーナツ,もちもち食感リングドーナツチョコ,질긴 질감 링 도넛 초콜릿,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302989/201BF905040A044FA541899BBFF07DB7.jpg
donut,ドーナツ,もちもち食感リングドーナツいちご,질긴 질감 링 도넛 딸기,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302287/CD909AA0500D613A52EC4C20F0604C88.jpg
donut,ドーナツ,こしあんドーナツ,코시 콩 도넛,148円（税込159.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302916/778D6E8DE02C6A0E9BA255D28D857180.jpg
donut,ドーナツ,ふわふわ食感シフォンケーキ,푹신한 시폰 케이크,238円（税込257.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302624/C5BD27F0F8DA065D4FE8CA929012540B.jpg
donut,ドーナツ,もちもちリング　シュガー,질긴 반지 설탕,128円（税込138.24円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/302303/BF53E51F8870E52AD3A4FAFF567BC99E.jpg
men,そば・うどん・中華麺,濃厚だし割りとろろの冷しぶっかけそば,풍부하고 약간 강판 된 차가운 Bukkake Soba,480円（税込518.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095507/A2C8CB50F1C01374AAE65AD7859D0D24.jpg
men,そば・うどん・中華麺,ざるそば,자루 소바,380円（税込410.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095452/6F6D8B188015389FBAD2D6437C8793DF.jpg
men,そば・うどん・中華麺,ざるそば,자루 소바,380円（税込410.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095451/44F8BC0059716296AC5A180884E0A909.jpg
men,そば・うどん・中華麺,ざるそば,자루 소바,380円（税込410.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095450/7DFB2DC9E8455E5BF594ADAC3295EE47.jpg
men,そば・うどん・中華麺,冷しとり天おろしそば,차갑고 강판 된 튀김 소바,580円（税込626.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095535/40152D93427002AF9D9D881CEB305AE4.jpg
men,そば・うどん・中華麺,さつまいもとかぼちゃの冷しバラ天そば,고구마와 호박 차가운 장미 튀김 소바,498円（税込537.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095526/B5B9EDCC9A0CCE002705DD34F6C0F81C.jpg
men,そば・うどん・中華麺,冷しぶっかけうどん,Cold Bukkake Udon,340円（税込367.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/090698/AF2724A79E3A00A7FBF4E74F52766CB3.jpg
men,そば・うどん・中華麺,明太クリームうどん,Mentai Cream Udon,498円（税込537.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095602/99389FE91CDF33788EE2BC53F6892F79.jpg
men,そば・うどん・中華麺,ごま汁うどん,참깨 수프 우동,438円（税込473.04円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095557/CEAE4B576255436AC7FE74E0DF747EFF.jpg
men,そば・うどん・中華麺,冷しちく玉天うどん,차가운 참치 우동,548円（税込591.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095510/B40AE7484AFE89E0708C19DF8CAA5AA5.jpg
men,そば・うどん・中華麺,麺たっぷり自家製揚げ玉の冷したぬきうどん,많은 국수를 가진 수제 프라이드 치킨 우동 국수,500円（税込540円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095455/861A0C71A7D19FD679A4D61179AD605D.jpg
men,そば・うどん・中華麺,カレーうどん,카레 우동,480円（税込518.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095106/62473A6CD063E3CC3F6CBD2A4170DA98.jpg
men,そば・うどん・中華麺,冷し煮干し醤油ラーメン,차가운 말린 정어리 간장라면,540円（税込583.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095631/2BCA379C85FE632C27B3770B1C36C48E.jpg
men,そば・うどん・中華麺,ニンニクたっぷり　　　マヨネーズまぜそば,"많은 마늘, 마요네즈 믹스 소바",580円（税込626.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095630/49C6EA154F030D877A229D494F302079.jpg
men,そば・うどん・中華麺,冷し中華,추운 중국어,530円（税込572.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095574/60C9A2F8DEC69B921FF5289278E82B59.jpg
men,そば・うどん・中華麺,ミニ冷し中華,미니 차가운 중국어,400円（税込432円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095563/D116DF0014212B96070767C804F95725.jpg
men,そば・うどん・中華麺,冷しまぜそば　魚介醤油味,차가운 소바 해산물 수프 맛,498円（税込537.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095605/DB75A4CEB92FD4EC728E692B7B57A538.jpg
men,そば・うどん・中華麺,辛味噌を溶いて食べる　ざる中華,용해 된 매운 된장을 먹고 Zaru Chinese를 먹습니다,370円（税込399.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095587/2F196BACEADB88979EACAC057DFC8CEB.jpg
men,そば・うどん・中華麺,麻婆豆腐焼そば,마포 두부 튀김 국수,530円（税込572.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095633/168B4943F39D8EE159D73B62F918480C.jpg
men,そば・うどん・中華麺,５種の重ねだし　手延べそうめん,"5 가지 종류의 층이있는 Dashi, 손이 닿는 소셜",380円（税込410.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095616/F9DF968516AB08D2228D650B2CAF997C.jpg
men,そば・うどん・中華麺,蒸し鶏の冷製フォー,찐 치킨 콜드 포,590円（税込637.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095595/9D534EC4954731633484AC8905B9A39C.jpg
men,そば・うどん・中華麺,香ばし麺の五目あんかけ焼そば,Gomoku-anankake Yakisoba와 향기로운 국수,580円（税込626.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095147/9A805B4F4151361131CBF430EBF66582.jpg
men,そば・うどん・中華麺,ソース焼そば,야키소바 소스,398円（税込429.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/094927/DD5FC832899DE8ED5387FB3C187528AC.jpg
men,そば・うどん・中華麺,だしの旨みと醤油香る焼うどん,맛있는 대시 맛과 간장 맛을 가진 야키 우동,460円（税込496.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095166/4EAA00EDC29EC560C1083BCA729A7EFA.jpg
pasta,スパゲティ・パスタ,ＺＥＮＢヌードル使用　デミソース仕立てのボロネーゼ,"젠브 국수로 만든 볼로냐, 데미 소스로 만든",598円（税込645.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095640/26A391214FD00F0CDECDC94723882E14.jpg
pasta,スパゲティ・パスタ,ベーコンとチーズのカルボナーラ,베이컨과 치즈 카르 보 나라,498円（税込537.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095636/1F666D6817B8F249D071950349866BCD.jpg
pasta,スパゲティ・パスタ,ベーコンとチーズのカルボナーラ,베이컨과 치즈 카르 보 나라,498円（税込537.84円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095635/D6F1E8AA6EFBF94E51CA9B1CF8EA5746.jpg
pasta,スパゲティ・パスタ,彩り野菜とピリ辛トマトパスタ,다채로운 야채와 매운 토마토 파스타,480円（税込518.40円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095196/CE1D8A2053C7BB30AEE22441B571DDCE.jpg
pasta,スパゲティ・パスタ,冷製パスタ海老のトマトクリーム,차가운 파스타 새우 토마토 크림,520円（税込561.60円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095441/FD5E0C3BE7D7307BE82ECB9DBFBFD1E3.jpg
pasta,スパゲティ・パスタ,太麺の大盛ナポリタン,두꺼운 국수 나폴리탄의 큰 부분,460円（税込496.80円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/095012/0955504A57C9D8CE365445ADA5C99975.jpg
pasta,スパゲティ・パスタ,昔なつかしナポリタン,구식 나폴리,390円（税込421.20円）,https://img-afd.7api-01.dp1.sej.co.jp/item-image/094449/64E64A254C3B5187AED01464C556DC67.jpg
