restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,wifi_available,phone_number,foreign_language_support,video,twitter,remarks,power_supply_available,additional_equipment,facebook,ic_card_payment,instagram,beer_maker,온라인 예약
パルテンツァ,partenza,https://retty.me/area/PRE13/ARE662/SUB66201/100000859160/,03-6310-7136,이탈리아 바,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 18:30-25:00",매주 일요일,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"15-7 미나미 마치, 이타 바시 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 카나마 마치 역에서 도보로 7 분 거리 (500m)
JR Yamanote Line / Ikebukuro Station 10 분 도보 (740m)",,10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"저녁 식사, 금연, 급여 지불 지불 가능",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/8462561.jpg,,,,,,,,,
GHIOTTONE,Ghiottone,https://retty.me/area/PRE13/ARE662/SUB66201/100000191187/,03-3985-4178,이탈리아 피자 테이크 아웃 젤라토 파스타,"[하루 종일]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-22:30 L.O. 21:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"웨스트 파크 빌딩 1F, 3-27-12 NISHI-KIKEBUKURO, TOSHIMA-KU, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro Station에서 1 분 도보 (35m)",,58 석,없음,"불가능합니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://ghiottone.gorp.jp/,,,,,,"점심, 솔로, 음료 와인, 세련된, 저녁 식사, 금연, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33431193.jpg,,,,,,,,,
オステリア・ピノ・ジョーヴァネ,오스테리아 피노 지오반,https://retty.me/area/PRE13/ARE662/SUB66202/100000007946/,03-6326-2263,이탈리아 음식 샌드위치 테이크 아웃 담배,"[월요일, 화요일, 목요일, 금요일]
점심 11:30-13:30 L.O. 12:30
[월요일부터 금요일과 토요일]
저녁 식사 18:00-22:30 L.O. 21:30",일요일마다 불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,,"2-36-8 Minamiikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라쿠코 라인 / 히가시-비스듬한 부쿠로 역에서 도보 3 분 (220m)
Toei Toden Arakawa Line / Toden Zoshigaya 역에서 도보로 4 분 거리 (250m)
Toei Toden Arakawa Line / Higashi-Kikebukuro 4-Chome Station에서 도보 6 분 (450m)",,10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.pino-giovane.com/,,,,,,"점심, 데이트, 여자 밤, 싱글, 엔터테인먼트, 성인 숨겨진, 크리스마스 저녁 식사, 와인, 세련된, 저녁, 저녁, 비 연소, 점심 날짜, 점심 소녀 야간 카페를 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29537603.jpg,,,,,,,,,
パレルモ 池袋店,팔레르모 이케부쿠로 매장,https://retty.me/area/PRE13/ARE662/SUB66202/100000050391/,03-3983-2844,이탈리아 요리 파스타 피자 서양 과자,"[태양, 월요일부터 금요일, 토요일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,,"Sumitomo Ikebukuro Ekimae Building 1f, 1-10-1 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 4 분 거리 (250m)
도쿄 메트로 유라 커코 라인 / 히가시 비크 부쿠로 역에서 도보로 7 분 거리 (530m)",,46 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.giraud.co.jp/palermo/shop/ikebukuro.html,,,,,,"점심, 개인 실, 싱글 룸, 음료 와인, 세련된, 저녁 식사, 쌀, 비 조화, 개인 실, 세련된 점심, 세련된 개인 실, 바삭 바삭한 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33711266.jpg,,,,,,,,,
ラシェット,Lachett,https://retty.me/area/PRE13/ARE662/SUB66202/100000955888/,03-5952-8600,이탈리아 요리 프랑스 요리 파스타,"[월요일부터 금요일과 토요일]
점심 11:30-14:30
저녁 18 : 00-22 : 00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",불가능합니다,,"마츠모토 빌딩 1f, 1-47-5 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 7 분 거리 (540m)
도쿄 메트로 유라 커코 라인 / 히가시-비케이부 쿠로 스테이션에서 도보 10 분 (780m)
Tobu Tojo Line / Kitaikebukuro Station에서 도보로 11 분 (880m)",,24 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31354558.jpg,,,,,,,,,
ブルーオーシャングリル,블루 오션 그릴,https://retty.me/area/PRE13/ARE662/SUB66201/100000869651/,03-6907-3083,이탈리아 요리 해산물 및 해산물 와인 바,"[태양, 월요일부터 금요일, 토요일]
점심 11 : 45-15 : 00 L.O. 14:00
 15:00-17:00
저녁 식사 17:00-23:45 L.O. 22:30",불규칙 휴일 매년 1 월 1 일 매년 1 월 2 일 매년 12 월 31 일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Ikebukuro Duplex Tower 1f, 1-9-2 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (150m)",,96 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,https://blue-ocean-grill.gorp.jp,,,,,,"점심, 데이트, 여자 밤, 개인 실, 약혼, 싱글, 엔터테인먼트, 크리스마스 저녁 식사, 마시는 와인, 세련된, 저녁 식사, 저녁 식사, 저녁 식사, 비 흡연, 개인 방 날짜, 개인 방 날짜, 점심, 점심 소녀 밤
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16556353.jpg,,,,,,,,,
ナポリの下町食堂 池袋店,나폴리 시마 마키 레스토랑 Ikebukuro 지점,https://retty.me/area/PRE13/ARE662/SUB66201/100000044697/,03-3988-8177,이탈리아 음식 파스타 피자,"[하루 종일]
 11:00-23:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",Amex,,"Yoshidai Building 2F, 1-15-5 Nishi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 1 분 (37m)",,64 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.giraud.co.jp/napoli/,,,,,,"점심, 솔로, 와인, 저녁 식사, 쌀, 금연",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14007867.jpg,,,,,,,,,
チーズ チーズ&ミート コンテ,치즈 및 고기 콩테,https://retty.me/area/PRE13/ARE662/SUB66202/100001426116/,03-5927-8757,이탈리아 요리 비스트로 카페 카레,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:00
[월요일 ~ 목요일]
저녁 식사 17:30-23:30 L.O. 22:30
[선, 금요일, 토요일, 휴일 및 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
 14:30-16:00","명확하지 않습니다
・ 새해 공휴일 (확인하십시오)
∎ 일요일과 마지막 날에 오후 11시에 문을 닫았습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Katei Building B1F, 2-27-5 미나미 이케부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 6 분 (470m)
Toei Toden Arakawa Line / Toden Zoshigaya 역에서 도보로 9 분 (660m)",없음,58 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","맥주, 와인, 칵테일",사용 가능한 예약,"점심, 솔로, 크리스마스 저녁 식사, 음료 와인, 어린이와 함께 즐길 수 있으며 개인 용도, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 이브닝 카페, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",,예,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36407698.jpg,,,,,,,,,
五感 ピッツア&ワイン 池袋西口店,5 개의 감각 피자와 와인 Ikebukuro West Exit Branch,https://retty.me/area/PRE13/ARE662/SUB66201/100000016801/,03-5391-6055,이탈리아 요리 테이크 아웃,"[월요일부터 금요일과 토요일]
 18:00-8:00 L.O. 7:15",매월 매월 셋째 일요일마다 일요일 휴가,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"Daifuku Building 1f, 2-1-3 Ikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Ikebukuro Station에서 1 분 거리 (34m)",,15 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"혼자서, 와인, 세련된, 첫 번째 열차, 저녁 식사, 쌀, 흡연, 심야, 애프터 파티, PayPay 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28376244.jpg,,,,,https://www.facebook.com/pages/%E4%BA%94%E6%84%9f-pizza-wine/119047381537749,,,,
タパス＆タパス 池袋店,타파스 & 타파스 이케부쿠로 지점,https://retty.me/area/PRE13/ARE662/SUB66202/100000787850/,03-3590-1238,이탈리아 요리,"[월요일부터 금요일과 토요일]
 11:30-23:00 L.O. 22:00
[낮]
 11:30-22:30 L.O. 21:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",Amex,PayPay,"Yangsville B1F, 1-12-10 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 4 분 거리 (260m)
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 6 분 (460m)
Toei Toden Arakawa Line / Toden Zoshigaya 역에서 도보로 9 분 (700m)",,55 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 저녁 식사, 저녁 식사, 금연, 급여 지불 제공, 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000787850/archive/1719264-5eec50bda6140.jpg,,,,,,,,,
キュイジーヌ エスト,요리 est,https://retty.me/area/PRE13/ARE662/SUB66201/100000451277/,03-3980-1111,이탈리아 프랑스 요리,"[하루 종일]
 11:30-15:00 L.O. 14:30
 17:30-22:00 L.O. 21:30",하루 종일 개점,"점심 : ~ 5,000 엔
저녁 식사 : ~ 15,000 엔",,,"1-6-1 Nishi-Kikebukuro, Toshima-Ku, 도쿄 25F 호텔 메트로폴리탄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro Station (190m)에서 도보로 3 분 거리",,42 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://ikebukuro.metropolitan.jp/restaurant/list/est/,,,,,,"점심, 개인 실, 아름다운 나이트 뷰 레스토랑, 저녁 식사, 쌀, 비 흡연, 개인 실, 럭셔리 점심, 세련된 점심, 세련된 개인 실, 개인 객실 엔터테인먼트, 럭셔리 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34428813.jpg,,,,,,,,,
イルキャンティ・エスト,Ilchianti est,https://retty.me/area/PRE13/ARE662/SUB66202/100000028866/,03-5391-7878,이탈리아 요리 피자 이자카야 와인 바 파스타,"[월요일부터 금요일까지]
아침 7:00-10:00
점심 11 : 30-16 : 00 L.O. 15:00
[하루 종일]
저녁 식사 17:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
점심 11:30-16:00 L.O. 14:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"2-30-14 Minami Ikebukuro, Toshima-Ku, 도쿄 호텔 Resol Ikebukuro 1f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 (160m)에서 도보로 2 분
Toei Toden Arakawa Line / Toden Zoshigaya 역에서 도보 5 분 (380m)
Toei Toden Arakawa Line / Higashi-Kikebukuro 4-Chome Station에서 도보 6 분 (480m)",,49 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.chianti.co.jp/,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인을 즐기고, 아침 식사, 저녁, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35506079.jpg,,,,,,,,,
COLORSOL RESORT,Colorsol 리조트,https://retty.me/area/PRE13/ARE662/SUB66202/100001216665/,03-6907-0420,이탈리아 요리 바 Izakaya 해산물과 해산물 스테이크 소바 (Soba),"[월요일부터 금요일과 토요일]
저녁 식사 17:00-27:00 L.O. 26:30
[낮]
저녁 식사 17:00-24:00 L.O. 23:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2F, 2-27-16 미나 디크 부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 3 분 거리 (230m)
도쿄 메트로 유라쿠코 라인 / 히가시-비스듬한 부쿠로 스테이션에서 도보 6 분 (430m)
TOEI TODEN ARAKAWA LINE / TODEN ZOSHIGAYA 역에서 도보 8 분 (640m)",,55 석,예,"연기 분리
흡연실 사용 가능
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://colorsol.jp/colorsol-resort/,,,,,,"all-you-can-drink banquets/drinks farewell 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인 저녁 식사를 마시십시오.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11399448.jpg,,,,,,,,,
TOMATO TOMATO DE LUCE,토마토 토마토 드 루체,https://retty.me/area/PRE13/ARE662/SUB66202/100000854657/,03-6914-1411,이탈리아 요리 카페 파스타,"[월요일부터 금요일과 토요일]
점심 11:30-14:30
저녁 식사 17:00-23:00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"2F, 1-13-13 Higashi-Kikebukuro, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 5 분 거리 (340m)
도쿄 메트로 유라 커코 라인 / 히가시-비스듬한 부쿠로 역에서 도보 5 분 (380m)
TOEI TODEN ARAKAWA LINE / TODEN ZOSHIGAYA 역에서 도보 8 분 (640m)",,10 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://tomato-de-luce.com,,,,,,"점심, 데이트, 솔로, 성인 은신처, 크리스마스 저녁 식사, 세련된, 저녁 식사, 비 흡연, 점심 날짜, 세련된 점심, 이브닝 카페, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17810386.jpg,,,,,,,,,
Ma-Bo＋ dining,Ma-Bo + 식사,https://retty.me/area/PRE13/ARE662/SUB66201/100001623342/,03-5926-6993,이탈리아 파스타 바,"[일요일, 월요일부터 목요일, 휴일 전, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
[금과 앉았다]
저녁 식사 17:00-25:00
마감 시간은 하루에 따라 다를 수 있습니다","불규칙한 휴일
월요일에는 불규칙하게 문을 닫았습니다","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Isami Building 1f, 1-19-3, Kanamecho, Toshima-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 카나마 마치 역에서 도보 2 분 (130m)
Seibu Ikebukuro Line / Shiinacho Station 11 분 도보 (830m)
도쿄 메트로 유라 커코 라인 / 센카와 역에서 도보로 11 분 (840m)",없음,"21 석
(5 개의 카운터 좌석, 4 개의 테이블, 4 석, 6 명, 절반 예약)",예,"불가능합니다
완전히 흡연이 허용됩니다
(상점 밖에서 이용 가능한 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
최대 20 명까지 임대 할 수 있습니다",,,,"우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료, 유기농 야채, 슈퍼 매운 메뉴, 주인 및 매장 준비에 특히 맞습니다.","맥주, 술, 와인, 위스키, 칵테일",사용 가능한 예약,"소녀의 밤, 연회 및 음주 파티, 솔로 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 음료수, 와인, 유기농 요리, 개인 저녁 식사, 쌀, 비 흡연, 무료 Wi-Fi
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기",음료를 가져올 수 있습니다,없음,불가능합니다,불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001623342/archive/2876316-6348ff634c402.jpeg,,,예 (무료),,,"Suica, Quicpay",https://www.instagram.com/mabou.20208,,
完全個室 本格和食と海鮮居酒屋 魚銀 池袋本店,완전히 개인 실 정통 일본 음식과 해산물 이자카야 우오 핀 이케부쿠로 메인 스토어,https://retty.me/area/PRE13/ARE662/SUB66202/100001726273/,050-5462-7334,이자카야 해산물과 해산물,"[하루 종일]
 11:00-24:00 L.O. 23:00
L.O. 음료 23:30
*사업 시간은 통지없이 변경 될 수 있으므로 자세한 내용은 상점에 문의하십시오.",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"5 층, Ikebukuro Dai 5 건물, 1-20-11 미나미 이키 부쿠로, 토시마 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ikebukuro 역에서 도보로 2 분 거리 (150m)
도쿄 메트로 유라쿠코 라인 / 히가시-비케이부 쿠로 스테이션에서 도보로 7 분 거리 (540m)",없음,60 석,없음,"예
(흡연은 개인 실에서 이용 가능합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
임대 가능 (좌석) : 127 명
최대 150 명이 예약 할 수 있습니다 (독점 식사)","[공식적인]
https://uogin.foodre.jp/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, All-You-Can-Drink 가격 3000-4999 엔, All-You-Can-Drink 가격 2999 엔, All-You-Can-Drink 코스를 포함하여 All-You-Can-Drink 가격 2999 엔세 3000-3999 엔 미만, All-You-Can-Drink 코스에는 4000-4999 엔, All-You-Can-Drink 코스에는 5000 엔 이상, All-You-Can-Drink 시간 또는 그 이상, 전적으로 신기한 시간 또는 더 많은 시간 또는 더 많은 시간 또는 1 시간 이상, 2 시간 이상 또는 2 시간 이상이 포함됩니다. 2 시간 이상 동안 끊임없이 살면서 3 시간 이상 동안 마감 할 수 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채 및 채식 메뉴에 특히 맞습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 객실 점심 소녀의 밤 출력 엔터테인먼트 생일 공급 페이 페이 포인트 온라인 예약 이용할 수있는 작별 파티 환영 파티 점심 마시는 캐주얼
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.","예
상점에서 구입할 수 있습니다",예,080-4159-3152,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001726273/archive/3222276-659cf557abe4a.png,,,,TV 및 모니터 사용 가능,,,,,
