restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,facebook,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,foreign_language_support,additional_equipment,video,qr_code_payment,store_website,instagram,remarks,인근 시설,twitter,beer_maker
完全個室居酒屋 炙り和牛肉寿司と博多野菜巻き 流石屋 八重洲店,"완전히 개인 Izakaya, 구운 일본 쇠고기 초밥 및 하카타 야채 롤 Asashiya Yaesu Branch",https://retty.me/area/PRE13/ARE15/SUB1503/100001683800/,03-4540-1060,이자카야 사샤 시미 해산물과 해산물,"[하루 종일]
 11:00-24:00 L.O. 23:00
예약은 11:00에서 16:00까지 수락됩니다.",불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
JCB",,"6F 테이트 빌딩, 2-2-15 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 니혼 바시 (도쿄) 역에서 도보 1 분 (61m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (320m)
JR Yamanote Line / 도쿄 역에서 도보로 5 분 (340m)",예,"60 석
(60 명 (최대 60 명이 연회가 될 수 있습니다. 대규모 연회를 위해 우리에게 맡기십시오.)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,,,,,,"점심 All-you-can-drink private rooms 새해 파티를 이용할 수있는 저녁 식사 쌀 비 스며 든 개인 방 점심 무료 와이파 음료 Shochu Casual
다른 사용 장면을 참조하십시오",,,,,,,예,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001683800/archive/2907365-6369c36e33a99.jpg,,,,,,,
目と鼻の先,돌이 던져,https://retty.me/area/PRE13/ARE15/SUB1503/100001257727/,03-5823-4157,이자카야 계절 요리 카포/작은 레스토랑,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
 17:00-24:00",매주 일요일,"점심:-
저녁 식사 : ~ 5,000 엔",불가능합니다,,"2-12-1 Higashi Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Bakurocho Station에서 도보로 3 분 거리 (190m)
Toei Asakusa Line / Higashi-Nihonbashi Station에서 도보로 3 분 거리 (190m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보로 3 분 거리 (190m)",,23 석,예,"불가능합니다
(외부에 재떨이가 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,이용 가능한 저녁 식사 저녁 식사 비 흡연,,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/19742283.jpg,,,,,,,
魚々十,10 물고기,https://retty.me/area/PRE13/ARE15/SUB1503/100001164463/,03-3516-6655,이자카야 쌀 그릇 해산물과 해산물,"[월요일 ~ 목요일, 토요일 및 휴일]
 11:00-23:00
[금요일/휴가 전]
 11:00-28:00
[낮]
 16:00-23:30","하루 종일 개점
점심 : 월요일 ~ 토요일, 11 : 00-14 : 00","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","Amex
식당
JCB",,"카토 빌딩 B1F, 2-1-14 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보 1 분 (52m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (320m)",,108 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 크리스마스 저녁, 술을 마시고, 세련되게, 세련되게, 첫 번째 기차, 저녁 식사, 쌀, 흡연 없음, 세련된, 늦은 밤, 음료 Shochu까지 문을 엽니 다.
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36217221.jpg,,https://www.sakanaya-group.com/10toto/index.html,,,,,
ちょっぷく 日本橋室町店,Choppu Nihonbashi Muromachi 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100000054266/,03-3270-1832,이자카야 해산물과 해산물 사시미,"[월요일부터 금요일까지]
 11:30-14:00
 16:30-22:30",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"Sakai Building 1f, 4-6-7, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 2 분 거리 (86m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 3 분 거리 (220m)
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (300m)",,80 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 세련된, 저녁, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 흡연 허용, 세련된 점심, Shochu는 술에 취할 수 있습니다
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11350580.jpg,,,,,,,
ビアカフェ ブルッグス ゾット コレド室町2,Beer Cafe Broogs Zotto Coredo Muromachi 2,https://retty.me/area/PRE13/ARE15/SUB1503/100000876934/,03-5204-1988,이자카야 맥주 바 카페 바,"[선, 월요일부터 목요일, 휴일]
 11:00-23:00 L.O. 22:00
[금요일, 토요일, 휴일 전]
 11:00-28:00 L.O. 27:00","불규칙한 휴일
시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"2-2F, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (88m)
Jr Sobu 메인 라인 / 신-니혼 바시 (Shin-Nihonbashi Station)에서 도보로 3 분 (240m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (430m)",예,110 석,예,"불가능합니다
(완전히 금연. 입구 근처에 Coredo Muromachi에 공동 흡연실이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
예약 할 수있는 제한된 수의 사람들 : 110 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수의 사람들 (독점 식사) 110 명",,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","5,000 엔 이상을 사용할 수 있습니다","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료 및 매장 내에서 준비된 것입니다.","맥주, 와인, 칵테일",사용 가능한 예약,"점심 싱글 싱글 엔터테인먼트 연회와 술을 마시는 파티 약혼 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,,,,예,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30176628.jpg,,"https://www.zato.co.jp/restaurant/brugsezot/brugsezot_nihonbashi/
https://mi-mo.jp/pc/store.php?iid=0018&tid=00000387",,,,,
XEX 日本橋 Salvatore Cuomo Bros.,XEX Nihonbashi Salvatore Cuomo Bros.,https://retty.me/area/PRE13/ARE15/SUB1503/100000086971/,03-3548-0065,이탈리아 바 초콜릿 쿠키 파스타,"[하루 종일]
점심 11:00-15:30 L.O. 14:30
저녁 식사 17:30-23:30 L.O. 22:30","불규칙한 휴일
- 건물이 폐쇄 된 날과 동일합니다
private 개인 용도로 인해 임시 폐쇄가 유지 될 수 있습니다","점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔",Amex,,"Yuito/Nihonbashi Muromachi Nomura Building 4F, 2-4-3, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 1 분 (38m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보로 2 분 거리 (140m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보 6 분 (480m)",,"110 석
(63 개의 테이블, 12 개의 긴 테이블, 4 명을위한 2 개의 반 개인 객실 등)","예
(카운터에서 12 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,,,,,,"점심, 데이트, 여자 야간 파티, 연회 및 음주 파티, 개인 객실, 약혼, 결혼식 저녁 식사, OK, 솔로 손님을위한 OK, 아름다운 야간 전망을 가진 레스토랑, 작별 파티, 환영 파티, 크리스마스 저녁, 새해 파티, 마시는 와인
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35965863.jpg,,https://www.xexgroup.jp:443/nihonbashi,,,,,
ピッツァバー ON 38TH マンダリンオリエンタル東京,38 번째 만다린 오리엔탈 도쿄의 피자 바,https://retty.me/area/PRE13/ARE15/SUB1503/100000876498/,03-3270-8188,이탈리아 피자,"[하루 종일]
점심 11:30-15:00
저녁 식사 17:30-22:00
점심 : 90 분, 첫 번째 세션은 11:30에 시작됩니다
　　　　　　두 번째 세션은 13:30에 시작됩니다
저녁 식사 120 분 저녁, 첫 번째 세션은 오후 5시 30 분에 시작됩니다
　　　　　　　두 번째 세션은 오후 8시에 시작됩니다","하루 종일 개점
가게가 닫히면 상점에 확인하십시오.","점심 : ~ 5,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"만다린 오리엔탈 도쿄 38 층, 2-1-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 1 분 (45m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 2 분 (150m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 6 분 거리 (420m)",예,8 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",,"점심, 데이트, 약혼, 싱글 파티, 엔터테인먼트, 아름다운 야간보기, 크리스마스 저녁 식사, 마시는 와인, 세련된, 영어권, 저녁 식사, 비 흡연, 생일, 점심 날짜
다른 사용 장면을 참조하십시오",,,,,,,예,,"영어
직원과 함께 언어 지원 메뉴가 있습니다",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000876498/archive/2476091-613B4FC05CA5C.JPG,,,,,,,
PIZZERIA PONTE CENTRO 日本橋店,Pizzeria Ponte Centro Nihonbashi 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100001561889/,03-6202-0095,이탈리아 요리,"[하루 종일]
 11:30-22:30 L.O. 21:30","매년 1 월 1 일, 매년 12 월 31 일","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",,,"1-7-1, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보로 1 분 (53m)
도쿄 메트로 긴자 라인 / Nihonbashi (도쿄) 역에서 도보로 4 분 거리 (250m)",,"126 석
(・ 개인 실 7)",,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 약혼 저녁 식사 파티, 싱글 OK, 스타일리쉬, 저녁 식사, 쌀, 흡연 허용, 개인 실, 점심, 세련된, 개인 실, 개인 실, 엔터테인먼트
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/28852415.jpg,,http://www.trattoria-allia.com/ponte_nihonbashi.html,,,,,
ボッソ 八重洲店,Bosso Yaesu 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100000066184/,03-3527-9474,이탈리아 바,"[월요일부터 금요일까지]
점심 11:00-14:30 L.O. 14:30
저녁 식사 17 : 30-23 : 00 L.O. 22:00
현재 개장 시간
Mon-Fri Lunch 11 : 00-15 : 00 (14:30 lo)",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"Yaesu, Chuo-Ku, 도쿄 1-4-16 Yaesu, Chuo-Ku, 도쿄 1F Yaesu Dining
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보 1 분 (80m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (180m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (270m)",없음,51 석,예,"예
(점심 시간 동안 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 51 명",https://www.facebook.com/kiln-fried Pizza and Wine Shop-Bosso-Yaesu Store-292543964238493/,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.",우리는 생산 영역에 대해 특히 알고 있습니다,와인이 있습니다,,"점심, 데이트, 여자 파티, 모든 링크, 연회 및 파티, 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 세련된, 영어권, 개인 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,없음,,영어,프로젝터 포함,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000066184/archive/1524792-5e6835bd3898d.jpg,,,,,,,
cillic,실릭,https://retty.me/area/PRE13/ARE15/SUB1503/100001332881/,03-5825-4379,이탈리아 와인 바,"[Sun, 화요일, 금요일, 토요일 및 휴일]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[태양, 토요일, 휴일]
점심 12:00-15:00","매주 월요일
∎ 공휴일에 문을 열고 다음날 문을 닫습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",Amex,,"2-11-3 Higashi Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Sobu Main Line / Bakurocho 역에서 도보로 3 분 거리 (210m)
Toei Asakusa Line / Higashi-Nihonbashi Station에서 도보로 3 분 거리 (210m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보로 3 분 거리 (210m)",,16 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://www.facebook.com/cillic-211215985961442/,,,,,,"점심, 개인 실, 와인 음료, 저녁 식사, 쌀, 금연, 개인 실 점심, 급여 지불 지불, 세련된, Merikuri Christmas 2024
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32327786.jpg,PayPay,,,,,,
トラットリア パパミラノ 八重洲店,Trattoria Papa Milano Yaesu 매장,https://retty.me/area/PRE13/ARE15/SUB1503/100000082803/,03-3517-3171,이탈리아 요리,"[월요일부터 금요일까지]
 11:00-23:00
[태양, 토요일, 휴일]
 11:00-22:00
*개장 시간은 각 지방 정부의 정책과 귀하가 거주하는 상업 시설에 따릅니다.","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,,"Yaesu First Financial Building B1F, 1-3-7 Yaesu, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 1 분 거리 (23m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (190m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 3 분 거리 (230m)",,50 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 와인 음료, 저녁 식사, 쌀, 흡연 허용, 개인 실, 점심, 세련된 점심, 세련된 개인 실, 개인 객실 엔터테인먼트, PayPay Paylainsable
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33400980.jpg,PayPay,,,,,,
フィンガーズ・クロスト,손가락이 십자가,https://retty.me/area/PRE13/ARE15/SUB1503/100000753177/,050-5462-7503,이탈리아 요리,"[월요일부터 금요일까지]
 11:30-22:00
<점심>
11 : 30-15 : 00
<카페>
15 : 00-17 : 00
<디너>
17 : 00-22 : 00 (Food L.O. 21 : 00/음료 L.O. 21:20)",매주 토요일마다 일요일 휴가,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Quicpay","Hisey Nihonbashi Building 1f, 9-9 Kodenmacho, Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보 2 분 (140m)
Jr Sobu Main Line / Bakurocho 역에서 도보로 6 분 (410m)
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 6 분 (420m)","없음
근처 (할인 없음) 사용 가능","50 석
(소파 좌석, 카운터, 테라스 (8 ~ 10 명을위한 개인 실)))",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,"맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 쌀, 저녁 식사, 와인, 전적으로 살아남는 파티, 환영 파티, 개인 실, 약혼 디너 파티, 솔로, 성인 은신처, 세련된, 개인 실, 세련된 점심, 세련된 개인 실, 무료 와이파이
다른 사용 장면을 참조하십시오","차분한 분위기
테라스가 있습니다","놀라운 응답 가능
축하 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,없음,03-5645-8181,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13340473.jpg,PayPay,,https://www.instagram.com/fingers_crossed_italy,PayPay는 사용할 수 없습니다.,,,
Trattoria Suno,트라 토리아 수노,https://retty.me/area/PRE13/ARE15/SUB1503/100001721932/,03-6265-1811,이탈리아 음식 파스타 피자,"[월요일부터 금요일까지]
점심 11:30-14:00
저녁 식사 17:30-22:00 L.O. 21:30
영업 시간은 하루에 따라 다를 수 있습니다
*토요일에 저녁 식사 예약을 할 때 열려 있으므로 언제든지 저희에게 연락하십시오.","매주 일요일마다
다른 사람들은 불규칙한 휴일입니다
*토요일에 저녁 식사 예약을 할 때 열려 있으므로 언제든지 저희에게 연락하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",,,"Takematsu Building 2F, 1-9-9, Nihonbashi Murachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 2 분 (160m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보로 5 분 거리 (340m)",,"20 석
(스탠드 업 식사에서 최대 40 명이 제공됩니다)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 비 연소, 개인 실, 점심, 개인 룸 엔터테인먼트, 급여 지불 지불 가능",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33824623.jpg,PayPay,,,,,,
ヴィハージュ,vihage,https://retty.me/area/PRE13/ARE15/SUB1503/100000082824/,03-3669-8148,이탈리아 파스타,"[월요일부터 금요일과 토요일]
 11:30-13:30
 17:30-21:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,,"1 층, Mimatsu Building, 4-14-2 Nihonbashi Honmachi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 3 분 (170m)
도쿄 메트로 히비야 라인 / 코 덴 마흐 코 스테이션에서 도보 3 분 (190m)
도쿄 메트로 진 자 라인 / 미츠코시마 역에서 도보 6 분 (440m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 저녁, 저녁 식사, 금연, 급여 지불 지불 가능",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27441199.jpg,PayPay,,,,,,
シロッコ,열풍,https://retty.me/area/PRE13/ARE15/SUB1503/100000870000/,03-3272-6337,이탈리아 요리 스페인 요리 이자카야 바 피자 파스타 카페,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:30 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 21:30
[태양, 토요일, 휴일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:30-22:00 L.O. 20:30
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","하루 종일 개점
Coredo Nihonbashi와 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Rakuten Edy, Quicpay","4 층, Coredo Nihonbashi, 1-4-1 Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보 1 분 (26m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 3 분 거리 (220m)","예
특별 P 사용 가능","136 석
(104 테이블 좌석)",예,"불가능합니다
(바 카운터 만 담배를 피우고 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 70 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 70 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 120 명",https://www.facebook.com/scirocco-289248468077100/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 5,000 엔 이상을 포함한 코스, 2 시간, 2 시간, 3 시간 동안 완전히 흠집",채식 메뉴 사용 가능,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 모든 란드 링크 연회/음료 파티 개인 방 약혼 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영합니다.
다른 사용 장면을 참조하십시오","보기가 좋습니다
개방성이 있습니다
천장이 높습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,예 (무료),없음,,언어 지원 메뉴가 있습니다,프로젝터 및 사운드 장비,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000870000/archive/266489-599a756995415.jpg,PayPay,https://scirocco-tokyo.jp/,https://www.instagram.com/scirocco_nihonbashi/,,,,
トラットリア リンシエメ,트라 토리아 링키엠,https://retty.me/area/PRE13/ARE15/SUB1503/100001358483/,03-6264-8253,이탈리아 요리,"[월요일부터 금요일, 토요일, 휴일]
점심 11:30-14:30
저녁 식사 17:30-23:00",매주 일요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",Amex,,"Sank Building, 3-9-2 Higashi-Nihonbashi, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Shinjuku Line / Bakuro Yokoyama Station에서 도보 1 분 (36m)
Jr Sobu Main Line / Bakurocho Station에서 1 분 거리 (36m)
Toei Asakusa Line / Higashi-Nihonbashi Station에서 도보로 2 분 거리 (120m)",,27 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 비 흡연, 개인 실, 점심",,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36578436.jpg,,,,,,,
