restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,instagram,twitter,usage_scenes,child_friendly,wifi_available,phone_number,video,qr_code_payment,drinking_specialties,waiting,dress_code,remarks,ic_card_payment,private,facebook,lecture,available_drinks,cooking_specialties,reservation,service,power_supply_available,foreign_language_support,pet_friendly,additional_equipment,쇼핑 직무 정보,온라인 예약,beer_maker
うさぎと亀 銀座店,토끼와 거북이 진 자 상점,https://retty.me/area/PRE13/ARE2/SUB201/100001436700/,03-6263-8880,카포/작은 레스토랑 hokkaido 요리,"[월요일부터 금요일까지]
 18:00-23:00","매주 토요일마다 일요일 휴가
・ 예약이 필요합니다","점심:-
저녁 식사 : ~ 20,000 엔",Amex,"2F, Ginza 7-7-6 Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 4 분 (300m)
도쿄 메트로 히비야 라인 / 히가시 지간 자 역에서 도보 5 분 (340m)
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 거리 (380m)",,"22 석
(반 개인 객실 이용 가능)",,"예
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"연회 및 음주 파티 작별 파티를 환영 파티 연말 파티 새해 파티 저녁 식사 흡연 허용 Shochu는 음주 지불금 지불 이용 가능한 고급 크리스마스 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001436700/archive/187648-5f6dbcb56a0df.png,PayPay,,,,,,,,,,,,,,,,,,,
銀座 涵梅舫,Ginza Plum Hot,https://retty.me/area/PRE13/ARE2/SUB201/100001167035/,03-3566-8078,딤섬 베이징 중국 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17 : 30-23 : 00 L.O. 22:30
[태양, 토요일, 휴일]
 11:30-22:30 L.O. 22:00","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB","Belvia Building의 8 층, 2-4-6 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (120m)
도쿄 메트로 히비야 라인 / 히가시 기샤 지인 스테이션에서 도보로 3 분 거리 (210m)
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (220m)",,66 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,"점심 모든 란드 링크 연회/음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 음주 세련된 저녁 식사 쌀 비영리 개인 객실 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001167035/archive/2685398-6262699e5d09e.jpg,,,,,,,,,,,,,,,,,,,,
割烹 きむら,카포 키무라,https://retty.me/area/PRE13/ARE2/SUB201/100000449037/,03-3541-9311,일본 요리 kaiseki 요리 사시미 카포/작은 레스토랑,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:00 L.O. 21:30
토요일 저녁은 전날까지 예약 할 수 있습니다",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB","7-15-4 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tsukiji Market Station에서 도보로 4 분 거리 (270m)
도쿄 메트로 히비야 라인 / 히가시 기샤 기지 (Higashi Ginza Station)에서 도보로 4 분 (310m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 5 분 (400m)",예,"30 석
(점심 : 코스 식사가 3,000 엔 또는 5,000 엔의 손님을 위해 개인 실에서 준비 할 것입니다. 저녁 식사 : 모두 개인 실에서 준비됩니다.",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
7 명 이상",http://kappou-kimura.com/freepage_3_1.html,,,"점심, 개인 실, 약혼 저녁 식사 파티, 독신자, 엔터테인먼트, 크리스마스 저녁 식사, 어린이, 세련된, 개인 실, 저녁 식사, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 객실과 함께 즐기십시오.
다른 사용 장면을 참조하십시오",예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000449037/archive/2087984-5faf46ea5d51b.jpg,PayPay,,"조용한 가게
차분한 분위기",,신용 카드 : 저녁 식사 만 가능합니다,,예,,,,우리는 생선 요리에 대해 특히 알고 있으며 알레르기가있는 고객에게 수용 할 수 있습니다.,사용 가능한 예약,축하 가능성,예 (무료),,불가능합니다,,,,
寿司と日本料理 銀座 一,초밥과 일본 요리 진 자 1,https://retty.me/area/PRE13/ARE2/SUB201/100001391531/,03-6264-5997,일본 요리 일본 요리 스시 해산물 및 해산물 요리,"[월요일부터 금요일까지, 휴일 전]
점심 11:30-15:00
저녁 식사 17:00-23:30
[태양, 토요일, 휴일]
 11:30-23:30",하루 종일 개점,"점심:-
저녁 식사 : ~ 20,000 엔",예,"Daiwa Ginza Building B2F, 6-2-1 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 3 분 거리 (220m)
JR Yamanote Line / Yurakucho 역에서 도보로 3 분 거리 (220m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 3 분 거리 (220m)",,44 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,https://x.com/ninomae_ginza,"점심, 개인 객실, 엔터테인먼트, 성인의 은신처, 연말 파티, 새해 파티, 마시는 와인, 마시기 와인, 저녁 식사, 저녁 식사, 쌀, 비소화, 개인 객실, 점심, 세련된 점심, 세련된 개인 객실, 개인 객실, 엔터테인먼트, 세련된
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001391531/archive/2006492-5f8ea1203ba49.png,,,,,,,,,,,,,,,,,,,,
銀座 志翠,Ginza Shisui,https://retty.me/area/PRE13/ARE2/SUB201/100001566763/,03-5962-8053,"일본 요리, 카포 및 작은 레스토랑","[월]
 18:00-21:00
[tue-fri-sat]
점심 12:00-14:00
저녁 18 : 00-21 : 00
마지막 입학 시간 : 오후 7:30",매주 일요일과 공휴일,"점심 : ~ 20,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB","8f Matsuoka Ginryokukan, 6-12-14 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (190m)
도쿄 메트로 히비야 라인 / 히가시 기샤 지인 스테이션에서 도보로 3 분 거리 (210m)","없음
근처 (할인 없음) 사용 가능",10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",https://ginza-kousui.jp/,https://www.instagram.com/ginzakousui/,,"점심, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사 파티, 싱글은 환영합니다
다른 사용 장면을 참조하십시오",불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001566763/archive/220059-600a19be78d74.jpg,,"맥주, 사케, 쇼치, 와인, 위스키","조용한 가게
차분한 분위기",반 공식,,,예,,"8,000 엔 이상의 코스",,"우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.",예약이 필요합니다,"축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다",불가능합니다,,불가능합니다,휴대품 룸이 있습니다,,,
銀座 貴 和彩美酒,Ginza Taka Wasaimi Sake,https://retty.me/area/PRE13/ARE2/SUB201/100001425161/,03-6228-4564,이자카야 해산물 및 해산물 요리 카포/작은 레스토랑 사시미 계절 요리 와인 바 일본식 요리,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 22:00","매주 일요일과 공휴일
*우리는 잠시 폐쇄 될 것입니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","3-13-6 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 히가시 기샤 지인 스테이션에서 도보로 3 분 거리 (200m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 4 분 (310m)
도쿄 메트로 유라 커코 라인 / 신토 미코 (도쿄) 역에서 도보로 5 분 거리 (330m)","없음
근처 (할인 없음) 사용 가능","20 석
(8 명 이상으로 예약 할 수 있습니다 * *는 하루에 한 그룹으로 만 예약 할 수 있으며 코스 예약이 필요합니다 *는 좌석에만 예약 할 수 있습니다.",,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://ginzataka.gorp.jp/,,,"점심 모든 당신이 마시는 연회와 음주 파티 싱글 OK 성인 은신처 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인 주차장 아이들과 함께 즐기십시오
다른 사용 장면을 참조하십시오",예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001425161/archive/530565-5b8f423c3b22a.jpg,PayPay,"사케, 쇼치, awamori","차분한 분위기
골목을 향합니다",,"{지불 방법에 대해}
신용 카드는 10,000 엔 이상의 청구서에 사용할 수 있습니다.

{서비스 요금 소개}
3%의 서비스 요금이 청구됩니다.",,"불가능합니다
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
최대 20 명까지 임대 할 수 있습니다",,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 전산 점수 가격 : 2,000-2,999 엔, 전산 된 가격 : 3,000-4,999 엔, 5,000 엔 이상, 2 시간 동안 모든 잉크 링크가 포함됩니다.","그는 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 요리사가 유명한 레스토랑에서 훈련을 받았으며 주인이 있습니다.",저녁 식사 시간에만 사용할 수 있습니다,"놀라운 응답 가능
축하 가능성",예 (무료),,불가능합니다,,,,
すし 晴海,스시 하루미,https://retty.me/area/PRE13/ARE2/SUB201/100001293943/,03-6228-5424,초밥,"[월요일부터 금요일과 토요일]
 17:30-24:00","일요일마다 불규칙한 휴일, 공휴일
22:00에 마지막 항목","점심:-
저녁 식사 : ~ 15,000 엔",Amex,"Soirée de Ginza Yayoi Building, 7-6-19 Ginza, Chuo-Ku, Tokyo의 4 층
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 4 분 (260m)
도쿄 메트로 히비야 라인 / 히가시 긴자 역에서 도보 5 분 (330m)
JR Yamanote Line / Yurakucho 역에서 도보로 5 분 (380m)",,10 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,http://www.sushiharumi.jp/,,,"혼자 당신을 즐겁게 할 수 있습니다, 크리스마스 저녁 식사, 세련된 저녁, 저녁, 쌀, 흡연, 고급스러운, 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/24969353.jpg,,,,,,,,,,,,,,,,,,,,
創作和食 圭,창조적 인 일본 요리 케이,https://retty.me/area/PRE13/ARE2/SUB201/100001549898/,03-3564-0316,이자카야 해산물과 해산물 사시미,"[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:00-23:00 L.O. 22:00
*저녁 식사는 금요일에 오후 5 시까 지 예약이 이루어지는 경우에만 일요일에 문을 엽니 다.
영업 시간은 CovID-19 감염을 예방하기위한 조치가 변경 될 수 있습니다.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex","1f Ikeda Building, 1-23-2 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 유라 커코 라인 / 신티모 코 (Tokyo) 역 (160m)에서 도보로 2 분
Toei Asakusa Line / Takaramachi (도쿄) 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 5 분 (360m)",없음,"12 석
(제한된 수의 좌석이 있기 때문에 그룹당 최대 4 명이 있습니다.)","예
(개인 사람은 카운터 좌석에 우선 순위를 부여받습니다)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"솔로 손님, 성인 은신처, 음료 와인, 유기농 요리, 개인 용도, 저녁 식사, 쌀, 비 연소, 무료 Wi-Fi, 음료 Shochu, 스타일리쉬 제공 가능
다른 사용 장면을 참조하십시오",불가능합니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001549898/archive/2258650-60409d7324934.jpg,,"맥주, 사케, 쇼치, 와인, 위스키","조용한 가게
차분한 분위기
숨는 곳",평상복,"기본적으로 미성년자는 상점에 들어갈 수 없습니다.
자녀가있는 손님에게 미리 요청해야합니다.",,"예
예약 할 수있는 사람의 수에 대한 최저 한도 9 명
예약 할 수있는 제한된 수의 사람들 : 10 명",,"6,000 엔에서 6,999 엔으로 구입할 수 있습니다",,"우리는 야채 요리, 생선 요리, 식품 생산 공간, 유기농 야채, 주인 및 매장 준비에 특히 중요합니다.",사용 가능한 예약,"축하 가능성
음료를 가져올 수 있습니다",예 (무료),,불가능합니다,,,,
笑座こんぱる,Shoza Konparu,https://retty.me/area/PRE13/ARE2/SUB201/100000027743/,050-5262-5428,"이자카야, 술집, 식당","[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 18 : 00-24 : 00","매주 일요일
우리는 현재 매주 일요일마다 문을 닫습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
JCB","Kaneharu Building B1, 8-7-5 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 6 분 (420m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 6 분 (470m)
Toei Oedo Line / Shiodome 역에서 도보로 7 분 거리 (560m)",없음,"88 석
(70 개의 테이블 좌석, 18 개의 타타미 좌석)",예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",https://show-the-konparu.com/,,,"연회 및 음주 파티 전후 당신이 사기꾼 개인 실이 없어지지 않는 개인 실 애프터 파티 후 연말 파티 새해 파티 작별 파티를 환영 파티를 환영합니다.
다른 사용 장면을 참조하십시오",예,없음,03-6215-8593,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000027743/archive/3039469-6443a7c15602c.jpeg,PayPay,"맥주, 사케, 쇼치, 와인, 칵테일",,,"서비스 요금 : 20% 청구 : ¥ 4,000",,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 가능 (좌석) : 88 명",,,"5,000 엔 이상을 사용할 수 있습니다",,사용 가능한 예약,"놀라운 응답 가능
축하 가능성",,,,,,,
銀座 Sun‐mi本店 フランス料理EMU,Ginza Sun-Mi 메인 상점 프랑스 요리 Emu,https://retty.me/area/PRE13/ARE2/SUB201/100000728734/,050-5461-3394,프랑스 요리,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
[하루 종일]
저녁 식사 17:00-22:00 L.O. 20:00
[태양, 토요일, 휴일]
점심 11:00-15:30 L.O. 14:30",하루 종일 개점,"점심 : ~ 30,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB","Sun-Mi Takamatsu 7f, 6-3-9 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / Ginza 역에서 도보로 5 분 (350m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (390m)
JR Yamanote Line / Yurakucho 역에서 도보로 8 분 (570m)",예,120 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","http://www.takamatsu-inc.co.jp/
https://ginzasunmi.thebase.in/",https://www.instagram.com/ginzasunmi/,https://x.com/ginzasunmi,"개인 실 개인 실 점심, 점심, 저녁 식사, 어린이 크리스마스 저녁 식사, 저녁 식사, 데이트, 연말 파티, 기념일, 세련된 점심, 여자 파티, 싱글 링크, 와인, 개인 공간
다른 사용 장면을 참조하십시오","예
유아 및 어린이, 유치원 어린이, 초등학생 및 어린이 메뉴 이용 가능",예,03-5568-3300,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000728734/archive/3510595-679f23f54ac1b.jpg,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",차분한 분위기,,"PayPay


예약을 취소하려면 다음 취소 규정이 적용됩니다.

손님 수에 대한 변경 사항은 최대 3 일 전에 사전에 구성 될 수 있으며 그 후에 변경 사항을 용서하십시오.

[취소 수수료]
100%

【비고】
취소 수수료는 다음과 같습니다.
■ 1 개월 ~ 2 주 전에, 요리 수수료의 30% x 인민 x 소비세 ■ 2 주 내에, 요리 수수료의 50% x 소비세 x 소비세 ■ 1 주일 이내에 요리 수수료의 100% x 소비 세
(10 명 이상을 가진 사람들의 수도 위와 같이 줄어 듭니다.)
■ 좌석에 대한 예약을 취소하면 2,000 엔을 청구합니다.",,,https://www.facebook.com/people/sanmi-main 스토어/100063467293668/,,,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 알레르기가있는 고객을 수용 할 수 있으며, 어린이 메뉴에 사용할 수 있으며 매장 내에서 준비된 것입니다.",,"놀라운 응답 가능
축하 가능성",,,불가능합니다,,,,
神戸牛炉釜炭焼ステーキ銀座一宮,고베 쇠고기 로스트 카마 숯 구이 스테이크 진 자 이치노미야,https://retty.me/area/PRE13/ARE2/SUB201/100001487716/,050-5462-7352,스테이크,"[월요일부터 금요일과 토요일]
저녁 식사 18:00-23:00 L.O. 21:00","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB","Sunlit Ginza Building III 8F, 5-14-14 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 히가시 긴자 역에서 도보 2 분 (150m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보로 5 분 (330m)
Tsukiji Market Station에서 도보로 5 분 거리 (370m)",없음,"14 석
(개인 객실 2 개와 4 명이 있습니다. 최대 8 명까지 2 명을위한 개인 실",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","[공식적인]
https://ichimiya.foodre.jp/
https://www.steak-ichimiya.com/",https://www.instagram.com/chef_ichimiya_hiroyuki/,,"개인 객실, 엔터테인먼트, 식사, 날짜, 저녁 식사, 고기, 와인, 개인 용도, 영어권, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,예,03-5565-8083,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001487716/archive/3489851-676e758cf40da.jpg,,와인이 있습니다,"차분한 분위기
숨는 곳",,,,"예
임대 가능 (좌석) : 18 명",,"8,000 엔 이상의 코스",,"우리는 고기 요리와 재료의 생산 공간에 대해 특히, 주인 요리사와 매장 준비가 가능합니다.",예약이 필요합니다,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",,"영어
언어 지원 메뉴가 있습니다",,,,,
REIKASAI GINZA,Reikasai Ginza,https://retty.me/area/PRE13/ARE2/SUB201/100001286036/,050-5462-3194,중국 음식 베이징 음식,"[Sun, 월요일, 화요일, 목요일, 금요일, 토요일 및 공휴일]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30
[태양, 토요일, 휴일]
 15:30-17:00 L.O. 16:30
마감 시간은 하루에 따라 다를 수 있습니다","매주 수요일
새해 휴일 (확인하십시오)
예약이 필요합니다
2025 년 7 월 1 일부터 정기적 인 마감일이 없습니다","점심 : ~ 8,000 엔
저녁 식사 : ~ 20,000 엔","비자
마스터 카드
Amex
식당
JCB","9 층, Pola Ginza Building, 1-7-7 Ginza, Chuo-Ku, 도쿄
큰지도를보십시오","● 스테이션에서 접근
도쿄 메트로 유라쿠코 라인 / 진 자 1- 체 스테이션 (현재 입구 7)
Toei Asakusa Line / Takaramachi Station (A4) 도보 6 분 (340m)
도쿄 메트로 진 자 라인 / 교오 바시 역 (입구 및 출구) 도보 3 분 (440m)
도쿄 메트로 진 자 라인 / 진 자 스테이션 (출구 A9) 도보 6 분 (480m)
도쿄 메트로 마루치 라인 / 진 자 스테이션 (출구 A9) 6 분 도보 (480m)
도쿄 메트로 히비야 라인 / 진 자 스테이션 (출구 A9) 도보 6 분 (480m)
JR ""Yurakucho Station""Kyobashi 출구 티켓 게이트 6 분 도보

● 버스 정류장에서 접근 할 수 있습니다
도쿄 공항 운송 도쿄 역/니혼 바시 지역에서 나리타 공항 라인 야 에스 후지야 호텔 도보 4 분 (280m)
Toei Bus Industry 10 Ginza 4 6 분 도보 (480m)

● IC의 액세스
메트로폴리탄 고속도로 도쿄 메트로폴리탄 루프 라인 히가시 긴자 출구 1 분 씩 자동차 (290m)
Yaesu Shuto Expressway 라인 1 분 드라이브 (340m)의 Marunouchi IC
메트로폴리탄 고속도로 메트로폴리탄 루프 라인 Kyobashi IC 2 분 자동차 (540m)

● 공항 주차에서 접근
Haneda 공항 주차 OK 주차 25 분 자동차 (10.1km)
Tsubasa 주차 주차 하네다 공항 29 분 자동차 (11.4km)
도쿄 국제 공항 주차 35 분 자동차 (13.9km)",없음,"40 석
(좌석 2 개, 테이블 2 개, 좌석 3 개, 테이블 3 개, 좌석 3 개, 테이블 3 개, 테이블 3 개, 반 개인 객실, 8 개의 개인 실, 6 개의 개인 실, 10 명)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","[공식적인]
https://reikashi-ginza.foodre.jp/
https://reikasai.jp/",https://www.instagram.com/reikasai_ginza177/,,"저녁 식사, 데이트, 여자 밤, 개인 실, 저녁 식사, 점심 날짜, 엔터테인먼트, 크리스마스 저녁 식사, 연말 파티, 음료 와인, 비 흡연, 개인 실 점심, 여자 밤, 개인 룸 엔터테인먼트, PayPay Point, PayPay Points
다른 사용 장면을 참조하십시오",,예,03-6228-6218,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001286036/archive/3057969-646703bd4b972.png,PayPay,"맥주, 와인, 위스키, 샤 옥싱 와인",,,우리는 10%의 서비스 요금을 청구합니다.,"Suica, Quicpay",,,,2 시간 동안 당신이 다루는 것,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.",예약이 필요합니다,"축하 가능성
휴대품 룸이 있습니다
복장 규정 포함",,중국인,불가능합니다,,,,
