restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,instagram,lecture,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,wifi_available,phone_number,video,available_drinks,service,dress_code,child_friendly,pet_friendly,power_supply_available,foreign_language_support,additional_equipment,qr_code_payment,facebook,twitter,remarks,ic_card_payment,쇼핑 직무 정보,beer_maker,온라인 예약
ESSENTIAL COOKING,필수 요리,https://retty.me/area/PRE13/ARE2/SUB1601/100000715744/,03-5408-3257,이탈리아 요리 바 미트 바,"[하루 종일]
저녁 식사 17:00-24:00 L.O. 23:00",불규칙한 휴일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","1F, 신바시 교도 건물, 3-11-5, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 3 분 거리 (230m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (270m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (330m)",없음,"32 석
(16 개의 카운터 좌석과 16 개의 테이블 시트가 있습니다.)",예,"불가능합니다
(모든 좌석은 금연합니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.",야채 요리에 중점을 둔 채식 메뉴를 사용할 수 있습니다.,"맥주, 와인, 칵테일",사용 가능한 예약,"여자 파티 전후 당신이 마시는 연회와 음주 파티 싱글 싱글은 괜찮아 성인 은신처 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인 세련된 개인 공간 저녁 식사 저녁 식사 비 스며
다른 사용 장면을 참조하십시오",숨는 곳,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000715744/archive/132342-5de8948bd7d78.jpg,"4,000 엔에서 4,999 엔으로 인한 all-you-can-drink와 5,000 엔 이상을위한 all-can-drink 및 2 시간 동안의 싱글 링크가 포함 된 코스가 있습니다.","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,,,,,,PayPay,https://www.facebook.com/essential-cooking%E3%82%A8%E3%83%E3%82%BB%E3%83%B3%E3%82% B7%E3%83%A3%E3%83%AB%E3%82%AF%E3%83%83%E3%82%AD%E3%83%B3%E3%82%B0-4231435418184184/,,"서비스 요금 및 요금
500 엔 코스 및 당사자에 대한 요금 없음",,,,
Cassie L.D.K,Cassie L.D.K,https://retty.me/area/PRE13/ARE2/SUB1601/100000007518/,03-5401-1013,이탈리아 와인 바,,명확하지 않습니다,"점심:-
저녁 식사 : ~ 15,000 엔","Amex
식당
JCB","Ohashi Building, 3-9-4 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (250m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (310m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (350m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,금연,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/378816.jpg,,,,,,,,,,,,,,,,
カフェ&バーカスピタ,카페 & 바 카스피타,https://retty.me/area/PRE13/ARE2/SUB1601/100000089127/,03-3508-9908,이탈리아 카페 바,"[월요일부터 금요일과 토요일]
 11:00-17:00
[월요일 ~ 목요일]
 17:00-23:30
[금요일/휴가 전]
 17:00-28:00
[토양]
 17:00-23:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,"Tanaka Tamuracho Building, 2-12-15 Shinbashi, Minato-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 2 분 거리 (120m)
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 (330m)
Toei Oedo Line / Shiodome 역에서 도보로 7 분 거리 (490m)",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,첫 번째 기차 저녁 식사까지 점심 영업,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17645779.jpg,,,,,,,,,,,,,,,,
Cantina,칸 티나,https://retty.me/area/PRE13/ARE2/SUB1601/100000082741/,03-3503-4500,이탈리아 파스타 와인 바,"[월요일부터 금요일까지]
점심 11:30-13:30 L.O. 13:30
[월요일 ~ 목요일]
저녁 식사 18:00-22:00 L.O. 22:00
[금요일/휴가 전]
저녁 식사 18 : 00-26 : 00 L.O. 26:00
[토양]
저녁 식사 17:00-22:00 L.O. 22:00","매주 일요일과 공휴일
(점심은 4 명 이상의 사람들을위한 예약을 위해서만 열려 있습니다)","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Kameda Building B1F, 1-16-9 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (130m)
Toei Mita Line / Uchisaicho 역에서 도보로 2 분 거리 (160m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (360m)",,22 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://cantina-sinbasi.com/,,,,,,"점심, 와인, 저녁 식사, 금연, 심야, 급여 지불 지불, 성인 날짜",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16798614.jpg,,,,,,,,,PayPay,,,,,,,
Attivo,아티 보,https://retty.me/area/PRE13/ARE2/SUB1601/100001681249/,080-9431-0708,이탈리아 와인 바 바,"[월요일부터 금요일과 토요일]
 18:00-3:00 L.O. 1:00
*21:00부터 이용할 수있는 LA Carte 메뉴
오마 카세 코스 만 오후 9 시까 지 이용할 수 있습니다.
자세한 내용은 공식 SNS를 확인하십시오.","매주 일요일
다른 사람들은 주로 수요일에 불규칙적으로 폐쇄됩니다.","점심:-
저녁 식사 : ~ 20,000 엔","비자
마스터 카드
Amex
식당
JCB","Uetake Building 1f, 3-2-2 Nishishinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 토라노몬 힐즈 역에서 도보 5 분 (380m)
Toei Mita Line / Onarimon Station에서 도보로 6 분 (470m)
도쿄 메트로 진 자 라인 / 토라노몬 역에서 도보로 7 분 거리 (510m)",없음,"15 석
(테이블 좌석, 그룹의 최대 10 명)","예
(7 석이 있습니다.)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,https://www.instagram.com/attivo_toranomon,"8,000 엔 이상의 코스",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,맥주와 와인이 있습니다,사용 가능한 예약,"늦은 밤, 저녁 식사, 금연, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 세련된, 데이트, 성인 은신처, 음료 와인, 어린이와 함께 즐길 수 있습니다. 임대 할 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001681249/archive/3438776-672350ed98cb9.jpeg,,"놀라운 응답 가능
축하 가능성",평상복,"예
초등학생들은 환영합니다",,예 (무료),,,,,,"Copert 수수료 : 1,000 엔 / 서비스 수수료 없음",,,,
MI CASA,미 카사,https://retty.me/area/PRE13/ARE2/SUB1601/100000721232/,03-6274-6922,이탈리아 푸드 바 젤라토,"[월요일부터 금요일과 토요일]
 17:00-23:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 4,000 엔",Amex,"2F, Building 1, Shinbashi Ekimae Building, 2-20-15, Minato-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (22m)
Toei Oedo Line / Shiodome 역에서 도보로 1 분 (74m)",,50 석,"예
(4 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://mikasa-bar.com/wp/,https://www.instagram.com/micasa_shinbashi/,,,,,"날짜는 독신 사람들을위한 괜찮습니다. 크리스마스 저녁 식사는 와인 세련된 저녁 식사 저녁 식사를 즐기지 않습니다.
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36798556.jpg,,,,,,,,,PayPay,,,,,,,
ピアット デル ベオーネ,Piatt del Beone,https://retty.me/area/PRE13/ARE2/SUB1601/100000033400/,03-6402-8883,이탈리아 과자 파스타,"[하루 종일]
 18:00-22:00","매주 일요일과 공휴일
토요일에는 예약 만 열립니다","점심:-
저녁 식사 : ~ 6,000 엔","Amex
식당
JCB","오카자키 빌딩 2F, 3-9-2 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (260m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (300m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (360m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,http://www.pd-beone.com/,,,,,,"연회 및 음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인 저녁 식사 저녁 식사 비 스모킹 개인 룸 엔터테인먼트 나이트 카페 세련
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/18265244.jpg,,,,,,,,,,,,,,,,
ア テ ノッテ,아테네 토트,https://retty.me/area/PRE13/ARE2/SUB1601/100000735266/,03-6450-1122,이탈리아 바 바,"[월요일부터 금요일과 토요일]
 17:00-26:00 L.O. 25:00",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex","사토 빌딩 1F, 3-10-7 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (250m)
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (280m)
Toei Oedo Line / Shiodome 역에서 도보로 5 분 (360m)",,22 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,와인 음주 저녁 식사 흡연은 늦은 밤 지불을 허용했습니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28746206.jpg,,,,,,,,,PayPay,https://www.facebook.com/pages/athenotte/426224227415527,,,,,,
橘鮨,타치 바나 스시,https://retty.me/area/PRE13/ARE2/SUB1601/100000085910/,03-3571-8336,초밥 사시미,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00","매주 일요일과 공휴일
공휴일 전날","점심 : 비즈니스 시간
저녁 식사 : ~ 8,000 엔",예,"2-19-7 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (29m)
Toei Oedo Line / Shiodome 역에서 도보로 2 분 거리 (95m)",,30 석,"예
(약 10 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"개인 룸 저녁 식사, 금연 페이 페이 지불 가능",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34588870.jpg,,,,,,,,,PayPay,,,,,,,
和田鮨,와다 초밥,https://retty.me/area/PRE13/ARE2/SUB1601/100000723244/,03-5401-1770,초밥 서있는 해산물과 해산물 사시미를 마신다,"[월요일부터 금요일까지]
 11:30-14:00
 17:00-23:00
[토양]
 11:30-20:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"3-17-6 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (93m)
Toei Oedo Line / Shiodome Station에서 도보로 3 분 거리 (200m)",,20 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 음료수, 세련된, 저녁, 맛있고, 싸고, 저렴하고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34114616.jpg,,,,,,,,,,,,,,,,
鮨 楽一,스시 라쿠 이치,https://retty.me/area/PRE13/ARE2/SUB1601/100001747169/,03-6550-9455,초밥,1630-2045,매주 토요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 6,000 엔",,"Hori Building 1f, 3-3-3 Shinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 (400m)
Toei Oedo Line / Shiodome 역에서 도보로 7 분 거리 (510m)",,9 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,술을 마실 수 있습니까? 와인을 마실 수 있습니다.,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35880345.jpg,,,,,,,,,PayPay,,,,,,,
一番回転寿司 本店,가장 인기있는 컨베이어 벨트 스시 메인 매장,https://retty.me/area/PRE13/ARE2/SUB1601/100000085962/,03-3431-6946,초밥 컨베이어 벨트 초밥,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"3-16-4 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (75m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (190m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (380m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,싱글은 맛이 좋고 저렴한 레스토랑이 금연합니다,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30881435.jpg,,,,,,,,,,,,,,,,
すし旬彩 鷹の羽 新橋店,스시 슈사이 타카 노하 신 바시 지점,https://retty.me/area/PRE13/ARE2/SUB1601/100000008052/,050-5462-1400,초밥 해산물과 해산물,"[월요일부터 금요일까지, 휴일 전]
 11:30-14:00
[월요일 ~ 목요일]
 17:00-23:30 L.O. 23:00
[금요일/휴가 전]
 17:00-4:30 L.O. 4:00
[토요일/휴일]
 17:00-22:30 L.O. 22:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB","Aoiyama Building, 3-6-1 Shinbashi, Minato-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 5 분 거리 (370m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (370m)
Toei Oedo Line / Shiodome 역에서 도보로 9 분 (670m)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 쌀, 엔터테인먼트, 저녁 식사, 음료수, 모든 사람이 먹는 개인 실, 한 사람이 즐길 수 있으며, 와인, 금연, 개인 실, 점심, 연말 파티, 새해 파티를 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,,03-3592-3711,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/10000008052/archive/2873869-634674dc20447.png,,,,,,,,,,,,,,,,
みこ寿司,미코 스시,https://retty.me/area/PRE13/ARE2/SUB1601/100001616311/,사적인,초밥,,명확하지 않습니다,"점심 : ~ 15,000 엔
저녁 식사 : ~ 15,000 엔",예,"신바시, 미나토 쿠, 도쿄 (비공개)",,,,"예
(7 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,https://www.instagram.com/mikosushi2021/,,,,예약이 필요합니다,"혼자, 성인 은신처, 크리스마스 저녁 식사, 음료수, 세련된, 비 흡연",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36594390.jpg,,,,,,,,,,,https://x.com/mikosushi2021,주소가 공개되지 않았습니다,,,,
すし処 小鰭,초밥 고 작은 지느러미,https://retty.me/area/PRE13/ARE2/SUB1601/100000845909/,03-3434-7885,초밥 쌀 그릇,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-14:30
저녁 식사 17:00-22:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔",예,"2F Shinshodo Daiichi Building, 5-1-3, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Onarimon Station에서 도보 6 분 (410m)
Toei Mita Line / Uchisaicho 역에서 도보로 6 분 (470m)
JR Yamanote Line / Shinbashi Station에서 도보로 7 분 거리 (510m)",,,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 저녁, 쌀, 흡연 허용",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/22029350.jpg,,,,,,,,,,,,,,,,
新橋鶴八,신바시 츠루 하치,https://retty.me/area/PRE13/ARE2/SUB1601/100001207671/,03-6206-6886,초밥,"[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:00 L.O. 22:00
[금요일과 토요일까지]
점심 11 : 30-13 : 00 L.O. 13:00","매주 일요일과 공휴일
월요일이 공휴일이라면 월요일도 마감됩니다.","점심 : ~ 10,000 엔
저녁 식사 : ~ 15,000 엔",Amex,"204 New Shinbashi Building, 2-16-1-204, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (81m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (180m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (330m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로 환영, 크리스마스 저녁, 세련된 저녁 식사, 저녁 식사, 쌀, 비 조화, 세련된 점심, 고급스러운 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31297062.jpg,,,,,,,,,,,,,,,,
魚がし日本一 新橋駅前店,일본의 1 위 신바시 스테이션 매장 낚시,https://retty.me/area/PRE13/ARE2/SUB1601/100000704516/,03-5472-0641,초밥 해산물과 해산물 이자카야,"[월요일부터 금요일까지]
 11:00-23:00
[토양]
 11:00-21:30
[일요일과 휴일]
 11:00-21:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"신바시 야마기 빌딩, 3-21-10, 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (53m)
Toei Oedo Line / Shiodome 역에서 도보로 2 분 (140m)",,15 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.susinippan.co.jp/,,,,,,"점심, 연회 및 음주 파티, 싱글, 싱글, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 즐기기, 스타일리쉬, 저녁 식사, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 세련된 점심, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32018566.jpg,,,,,,,,,PayPay,,,,,,,
鮨処 たけだ,스시 도코로 다케다,https://retty.me/area/PRE13/ARE2/SUB1601/100000085870/,03-3591-3588,초밥,"[월요일부터 금요일까지]
점심 11:30-13:00
저녁 식사 17:30-22:00
・ 마감 시간은 다릅니다 (매장에 확인하십시오)",매주 토요일마다 일요일 휴가,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",Amex,"2-2-2 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 1 분 (42m)
JR Yamanote Line / Shinbashi Station에서 도보로 4 분 거리 (280m)
도쿄 메트로 마루치 노선 / 카스 수미 제지 역에서 도보 6 분 (470m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 저녁 식사, 저녁 식사, 맛있는/저렴한 레스토랑, 비 조화, 개인 객실 점심",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/21314342.jpg,,,,,,,,,,,,,,,,
立食い寿司 根室花まる エキュートエディション新橋店,스탠딩 스시 니무로 Hanamaru Ecute Edition Shinbashi Branch,https://retty.me/area/PRE13/ARE2/SUB1601/100001625528/,080-5369-5437,초밥,"[하루 종일]
 11:00-15:00 L.O. 14:30
 17:00-23:00 L.O. 22:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",,"2-17-14 Shinbashi, Minato-Ku, 도쿄, Jr East Shinbashi Station 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보로 1 분 (34m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (170m)
Toei Mita Line / Uchisaicho 역에서 도보로 5 분 (340m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://www.sushi-hanamaru.com/store/details/shinbashi.html
https://www.ecute.jp/edition_shimbashi/shop/3359",,,,,,"점심, 솔로, 크리스마스 저녁, 음료수, 저녁 식사, 쌀, 비소, 세련된 점심
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36741490.jpg,,,,,,,,,,,,,,,,
新橋 弥助鮨,신바시 야스케 스시,https://retty.me/area/PRE13/ARE2/SUB1601/100000085952/,03-3433-7930,초밥 해산물과 해산물,"[월요일부터 금요일까지]
 11:30-13:30
 17:00-22:00",매주 일요일마다 매주 토요일 불규칙한 휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔",Amex,"3-23-7 신바시, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinbashi Station에서 도보 2 분 (140m)
Toei Oedo Line / Shiodome 역에서 도보로 3 분 거리 (210m)",,12 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.yasuke-sushi.com/,,,,,,"점심 식사 음료 저녁 식사 저녁 식사 식당/저렴한 레스토랑이 아닌 흡연 쇼 쿠는 이용 가능한 급여 지불 지불을 구입할 수 있습니다.
다른 사용 장면을 참조하십시오",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11208479.jpg,,,,,,,,,PayPay,,,,,,,
鮨 うみから,초밥 우미카라,https://retty.me/area/PRE13/ARE2/SUB1601/100000877307/,03-3502-3434,초밥 해산물 그릇,"[월요일 ~ 목요일]
 18:00-2:00
[금]
 18:00-3:00
*24 시간 표기법",매주 일요일마다,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,"1f, Jesspele Building, 1-17-1 Nishishinbashi, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Uchisaicho 역에서 도보로 2 분 거리 (110m)
도쿄 메트로 마루치 노선 / 카스 수미 제지 역에서 도보 6 분 (410m)
JR Yamanote Line / Shinbashi Station에서 도보로 6 분 (430m)",,13 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"저녁 식사, 금연, 늦은 밤에 영업합니다",,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4607203.jpg,,,,,,,,,,,,,,,,
