식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,영상,인스 타 그램,외국어 지원,QR 코드 결제,발언,페이스 북,X (트위터),추가 장비,온라인 예약,맥주 제작자
マンゴーツリートウキョウ,망고 트리 도쿄,https://retty.me/area/PRE13/ARE15/SUB1504/100000000087/,03-5224-5489,태국 음식 식당 바 점심 뷔페 뷔페 pak chi 음식,"[월요일부터 금요일까지, 휴일]
점심 11:00-15:00 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:00 L.O. 21:30
[태양/토요일]
점심 11:00-15:30 L.O. 14:30
[일요일과 휴일]
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
새해 휴일 (확인하십시오)
시설과 동일합니다
marubiru의 정기 휴일과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Marunouchi Building 35F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (21m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (200m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (240m)","예
이웃 P (할인) 사용 가능","100 석
(서리가 달린 유리로 분리 될 수있는 반 개인 객실이 있습니다 (자세한 내용은 상점에 문의))",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,"[공식적인]
https://mangotreetokyo-marunouchi.foodre.jp/
https://www.arclandservice.co.jp/mangotree/
https://www.tablecheck.com/ja/shops/mangotreetokyo/reserve","8,000 엔 이상의 코스",,,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"데이트 여자 야간 파티 전까지 마시는 연회 및 음료 아름다운 야간보기 레스토랑 크리스마스 저녁 식사 연말 파티 새해 파티 세련된 아침 식사 비 스며 든 개인 방 점심 날짜 점심 소녀 파티
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다","축하 가능성
소믈리에가 있습니다
테이크 아웃 가능성
배송 가능",없음,"예
초등학생들은 환영합니다",불가능합니다,불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/10000000087/archive/2802135-62eb9d1882366.jpg,,"영어
언어 지원 메뉴가 있습니다",PayPay,,,https://x.com/mangotree_jp,,,
酒蔵レストラン宝 東京国際フォーラム店,Sake Brewery Restaurant Takara Tokyo International Forum Store,https://retty.me/area/PRE13/ARE15/SUB1504/100000002089/,03-5223-9888,Izakaya 일본 요리 Kaiseki 요리,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 17:00-22:00 L.O. 21:00
[토양]
점심 11:30-15:00 L.O. 14:30","매주 일요일
12/31에서 1/4로 폐쇄되었습니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",예,,"도쿄 국제 포럼 B1F, 3-5-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (110m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (140m)
JR Yamanote Line / Yurakucho Station에서 도보 2 분 (160m)",,"120 석
(10 명 이상이 사용할 수 있습니다.)",예,"예
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.musshu.jp/takara/,,,,,,"엔터테인먼트, 솔로, OK, 쌀, 점심, 개인 실, 음료수, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 쿠폰 이용 가능, 크래프트 맥주, PayPay Payment, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/10000002089/archive/109632-5861d6279ca1a.jpg,,,PayPay,,,,,,
The Lobby Lounge 東京ステーションホテル,로비 라운지 도쿄 역 호텔,https://retty.me/area/PRE13/ARE15/SUB1504/100001198347/,050-5303-0953,카페 과자 파르페,"[선, 월요일부터 목요일, 휴일]
 8:00-19:00 L.O. 18:30
[금요일, 토요일, 휴일 전]
 8:00-20:00 L.O. 19:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",하루 종일 개점,"점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",Suica,"도쿄 역 호텔 1F, 1-9-1 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (61m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (390m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 5 분 거리 (390m)","예
특별 P 사용 가능","76 석
( *좌석이 가득 차면 서비스 시간은 최대 90 분 (주말과 휴일에 최대 60 분)입니다.",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://thelobbylounge-tokyosta.foodre.jp/
https://www.tokyostationhotel.jp/restaurants/lobbylounge/",,,,,,"소녀의 밤, 아침 식사 이용 가능, 브런치, 세련된, 비영리, 페이 페이 포인트, 작별 파티, 환영 파티, 성인 데이트, 크리스마스 2024, 스타일리시
다른 사용 장면을 참조하십시오","천장이 높습니다
차분한 분위기
호텔에 있습니다",,,"예
초등학생들은 환영합니다",불가능합니다,,예,03-5220-1260,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001198347/archive/276363-62bbaa33ba97d.jpg,,,,,,,,,
やきとん酒場 大手町とら八,야키톤 바 오타 마치 토라히,https://retty.me/area/PRE13/ARE15/SUB1504/100000952138/,050-5262-7027,이자카야,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
저녁 식사 16 : 30-23 : 20 L.O. 22:40
[토양]
저녁 식사 16 : 30-23 : 00 L.O. 22:15
자세한 내용은 공식 웹 사이트를 확인하십시오.","매주 일요일과 공휴일
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-5-9 Otemachi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (120m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보 4 분 (250m)
도쿄 메트로 긴자 라인 / 미츠코시마 역에서 도보로 4 분 거리 (300m)","없음
근처 (할인 없음) 사용 가능",200 석,예,"연기 분리
흡연실 사용 가능
(담배를 피울 수있는 흡연실이 있습니다/먹을 수있는 흡연실이 있으며, 층 층에서 담배를 피울 수있는 흡연실이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",불가능합니다,,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔, 2 시간 동안 온전한 링크, 2 시간 반 동안 싱글 링크를 포함하는 코스가 있습니다.","우리는 고기 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심, 개인 실, 점심, 저녁 식사, 연회, 마시는 파티, 날짜, 여자의 밤, 그룹 데이트, 솔로 환영 파티, 음료수, 개인 실, 점심 날짜, 점심 날짜, 여자의 밤, 그룹 데이트, 개인 객실, 지불금 지불 가능
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
골목을 향합니다",,없음,예,불가능합니다,,예,03-3271-0388,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000952138/archive/2136232-5fcdb12f0cf93.jpg,https://www.instagram.com/torahachi_official,,PayPay,,,,,,
MARUNOUCHI BASE,마루 우치베이스,https://retty.me/area/PRE13/ARE15/SUB1504/100001555587/,050-5262-5425,"스테이크, 햄버거, 이자카야","[하루 종일]
점심 11:00-15:00 L.O. 14:30
저녁 식사 15:00-28:00 L.O. 27:00
*마지막 음료 주문은 마감 시간 30 분 전입니다.
유휴 시간이 없습니다

*개장 시간 전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Nanaco, Rakuten Edy, Waon, Quicpay","Marunouchi Terrace 1 및 2F, 1-3-4 Marunouchi, Chiyoda-Ku, 도쿄, 리셉션 1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 오타 마시 스테이션의 B1B 출구에 직접 연결
JR 도쿄 역에서 도보 3 분 (Marunouchi North 출구)
Toei Mita 라인의 Otemachi 역에 직접 연결, B1B 출구

■ 버스 정류장에서 접근
Ryobi Holdings Mamakari 라이너 Kurashiki/Okanama-Tokyo 역 Yaesu-Dori Line Tokyo Office 2 분 도보 (150m)
Hocho Transportation Hagi, Yamaguchi, Hofu, Hofu, Tokuyama, Iwakuni, 도쿄에서 2 분 동안 도코 도코, 도쿄 스테이션에서 도보로 2 분
코난 버스 애플 도쿄 역",,"333 석
(150 명 [좌석] 200 명 [스탠딩] - 개인 (개인 수 : 28-150 명 / 80-200 명) - 개인 실 (1 객실, 최대 15 명) - 테이블 좌석 사용 가능 - 테라스 좌석 사용 가능 - 방벽이없는 - 소파 좌석 이용 가능)",예,"불가능합니다
(완전히 금연 (흡연 부스 : 상점 내부))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://marunouchibase.foodre.jp/
https://marunouchibase.dkdining.com/",,,,,,"연회 및 음주 파티 점심 저녁 식사 고기 페이 페이 지불 이용 가능 PayPay Point 온라인 예약 이용 가능 연말 파티 새해 파티 개인 방 작별 파티를 환영하는 인기있는 식당 마시는 파티
다른 사용 장면을 참조하십시오",,,,예,,,,050-2018-8952,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001555587/archive/317282-6539d5d561353.jpg,,,PayPay,"dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id/운송 IC
아이들을 데려 올 수 있습니다

사용 가능한 지불
dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id

좌석 수수료가 있습니다. (코스 당시 가격에 포함)",,,,,
Ryukyu Chinese Dining TAMA MARUNOUCHI,Ryukyu Chinese Dining Tama Marunouchi,https://retty.me/area/PRE13/ARE15/SUB1504/100000048924/,03-3213-2277,식당 바이자카야 소바 (Soba) 오키나와 요리,"[월요일부터 금요일과 토요일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[일요일과 휴일]
점심 11:00-14:30 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Marunouchi Brick Square B1, 2-6-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Yurakucho 역에서 도보로 6 분 (420m)
JR Yamanote Line / 도쿄 역에서 도보로 6 분 (420m)",없음,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://tama-marunouchi.foodre.jp/
https://www.tama2007.jp/pages/1373408/page_201710250208",,,,,사용 가능한 예약,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 쌀, 흡연, 세련된 점심, 성인 연말 파티, 바삭 바삭한 연말 파티, 성인 새해-엔드 파티, 바삭한 새 연해 말단 파티
다른 사용 장면을 참조하십시오",,,,,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000048924/archive/3480396-675f95af4b900.jpg,,,,,,,,,
アンティカ・オステリア・デル・ポンテ,Antica Osteria del Ponte,https://retty.me/area/PRE13/ARE15/SUB1504/100000055567/,03-5220-4686,이탈리아 요리 서부 요리 프랑스 요리,"[하루 종일]
점심 11:30-15:00 L.O. 13:30
저녁 식사 17 : 30-22 : 00 L.O. 19:30","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 10,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Rakuten Edy, Quicpay, AU 지갑","Marunouchi Building 36F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (190m)
JR Yamanote Line / 도쿄 역에서 도보 4 분 (280m)
JR Yamanote Line / Yurakucho 역에서 도보로 9 분 (650m)","예
이웃 P (할인) 사용 가능",50 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"[공식적인]
https://antickaosteriadelponte-marunouchi.foodre.jp/
https://www.anticaosteriadelponte.jp/","8,000 엔 이상의 코스",,"우리는 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 알레르기가있는 고객을 수용 할 수 있으며, 요리사가 해외에서 훈련을 받고, 요리사가 유명한 레스토랑에서 훈련을 받고, 유명한 요리사가 준비했으며, 요리사가 매장 내 요리사를 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 저녁 식사, 와인 마시는 크리스마스 저녁 식사, 비 흡연, 개인 점심, 개인 객실, 점심 날짜, 기념일, 개인 실, Paypay Points 온라인 예약 가능, 연말 파티, 새해 파티, 크리스마스 2024
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
천장이 높습니다
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다","축하 가능성
휴대품 룸이 있습니다
소믈리에가 있습니다
복장 규정 포함",반 공식,불가능합니다,,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/10000055567/archive/2840003-631949bddf6b3.jpg,https://www.instagram.com/antica_osteria_del_ponte_tokyo,"영어 이탈리아어
직원과 함께 언어 지원 메뉴가 있습니다",,,https://www.facebook.com/profile.php?id=100006362484847439,,,,
板前バル 東京駅店,메이 바루 도쿄 스테이션 상점,https://retty.me/area/PRE13/ARE15/SUB1504/100001427465/,03-6551-2680,스시 소바 (소바) 이자카야,"[하루 종일]
 11:00-23:00 L.O. 22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB","Suica, Rakuten Edy, Waon","2F, 도쿄 역 Ichibangai M, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (66m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (320m)
도쿄 메트로 긴자 라인 / 니혼 바시 (도쿄) 역에서 도보 6 분 (480m)",없음,"50 석
(테이블 좌석 : 44 석)","예
(카운터 좌석 : 6 석)","불가능합니다
흡연실 사용 가능
(같은 바닥에 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",불가능합니다,,"5,000 ~ 5,999 엔 코스로 제공됩니다","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",우리는 야채 요리와 생선 요리에 대해 특히 알고 있습니다,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심 모든 당신이 마시는 연회/음료 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티 환영 파티 크리스마스 저녁 파티 새해 파티를 마시는 와인 어린이와 함께 즐거운 영어 이용 가능
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",놀라운 응답 가능,,"예
초등학생들은 환영합니다",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001427465/archive/3508292-679a50654edb.jpg,,"영어
언어 지원 메뉴가 있습니다",PayPay,저녁 식사 : 432 엔 요금,,,,,
Cantinetta Buzz 丸の内,칸 티 네타 버즈 마루치,https://retty.me/area/PRE13/ARE15/SUB1504/100000746160/,050-5304-2425,이탈리아 요리 카페 와인 바 이탈리아 바,"[하루 종일]
점심 11:00-15:00 L.O. 14:00
[월요일부터 금요일까지]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 17:00-22:00 L.O. 21:00","불규칙한 휴일
시설과 동일합니다
임시 폐쇄 : 8 월 1 일 (월), 8 일 (월), 15 일 (월), 22 번째 (월), 29th (월), 2022 (월)","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Quicpay","Marunouchi Building 5F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (58m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (170m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (210m)",없음,"54 석
(테이블 시트를 사용할 수 있습니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://cantinettabuzz-marunouchi.foodre.jp/
https://www.aquaplannet.com/brands/cantinetta-buzz/shops/marunouchi/","5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"저녁 식사, 저녁 식사, 저녁 식사, 와인, 개인 실, 비영리 방, 생일, 사립 객실 점심, 개인 실 날짜, 점심 날짜, 점심, 쿠폰 이용 가능, 급여표 포인트, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",,,불가능합니다,,예,03-6269-9155,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000746160/archive/3305029-663adc0b2a01a.jpg,,,,,,,,,
六厘舎 東京ラーメンストリート,로쿠린 샤 도쿄 라멘 스트리트,https://retty.me/area/PRE13/ARE15/SUB1504/100000003771/,03-3286-0166,Tsukemen Ramen Rice,"[하루 종일]
 7:30-9:45 L.O. 9:30
 10:30-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"도쿄 역 Ichibangai B1F, 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄 라멘 거리 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (49m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 5 분 거리 (400m)
도쿄 메트로 진 자 라인 / 키오바시 (도쿄) 역에서 도보로 6 분 거리 (420m)","없음
근처 (할인 없음) 사용 가능",25 석,"예
(10 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,,,,"점심은 단일 용도에 적합합니다. 아이들과 함께 즐기십시오 세련된 아침 식사 저녁 식사 쌀 비 조화 세련된 점심 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,,예,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36041638.jpg,,,PayPay,,,,,,
インデアンカレー 東京丸の内店,인도 카레 도쿄 마루치 지점,https://retty.me/area/PRE13/ARE15/SUB1504/100000004846/,03-3216-2336,카레 파스타 인디언 카레 이자카야,"[하루 종일]
 11:00-22:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"도쿄 건물 Tokia B1F, 2-7-3 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (71m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보로 5 분 (340m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 5 분 (350m)","없음
이웃 P (할인) 사용 가능","21 석
(카운터 만)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://www.indiancurry.jp/,,,,,,"점심, 단일 용도, 주차장, 아이들과의 재미, 세련된, 저녁 식사, 비 조화, 세련된 점심, 슈퍼 매운
다른 사용 장면을 참조하십시오",,,,예,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35752354.jpg,,,,,,,,,
東京駅 斑鳩,도쿄 역 Ikarugata,https://retty.me/area/PRE13/ARE15/SUB1504/100000006491/,03-3286-3586,"라면, 츠케멘, 아리소바, 해산물 및 해산물","[하루 종일]
 9:30-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"도쿄 역 Ichibangai Underground Minami-Dori 도쿄라면 거리 1-9-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (65m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 5 분 (380m)
도쿄 메트로 진 자 라인 / 교오바시 (도쿄) 역에서 도보 6 분 (440m)",,24 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.ikaruga.tokyo/map-add-page,,,,,,"점심, 솔로, 브런치, 세련된, 저녁 식사, 쌀, 맛있고, 싸고, 금연, 세련된, 점심
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33469241.jpg,,,,,https://www.facebook.com/profile.php?id=100009150065902,https://x.com/ikarugakudan,,,
リゴレット ワインアンドバー,리고 레토 와인과 바,https://retty.me/area/PRE13/ARE15/SUB1504/100000741938/,03-6270-0520,이탈리아 요리 햄버거 카페,"[월요일부터 금요일, 토요일, 휴일 전]
 11:00-24:00
[일요일과 휴일]
 11:00-22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","불규칙한 휴일
시설과 동일합니다
신 마루 빌딩과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"1-5-1 Marunouchi, Chiyoda-Ku, 도쿄, 신 Marunouchi 건물, 7f Marunouchi House
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (45m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (220m)",,115 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://www.huge.co.jp:443/restaurant/rigoletto,,,,,,"점심, 데이트, 여자 야간 파티, 연회 및 음주 파티, 솔로 손님을위한 OK, 아름다운 야간 전망, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 금연
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000741938/archive/2101891-5fb4f576f3c4b.png,,,PayPay,,,,,,
