식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원
龍祥軒 芝浦店,Ryushoken Shibaura 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001341167/,050-5462-7023,중국 음식 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 식사 17:00-23:00
[태양, 토요일, 휴일]
점심 11:00-14:00
저녁 식사 17:00-21:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",Amex,PayPay,"Utsumi Building 1f, 3-6-8 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (280m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 5 분 거리 (390m)
Toei Asakusa Line / Sengakuji 역에서 도보로 12 분 (890m)",,60 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"[공식적인]
https://shibaura-ryushohken.foodre.jp/",,,,,,"점심, 저녁 식사, 쌀, 개인 실, 흡연 허용, 개인 실, 점심, 점심, 지불금 지불 수락, 급여 지불 포인트, 온라인 예약 가능, 전적으로 당신이 먹는 것, 모든 당신이 먹고, 모든 당신이 먹고, 모든 당신이 먹고, 새해 파티 요리, 요리 연말 파티, farewell 파티 요리
다른 사용 장면을 참조하십시오",,,,03-6809-6301,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001341167/archive/3444827-672c5f89f1bb2.jpg,,,,,,,,,,,
個室居酒屋 炉端焼き ととしぐれ 田町店,개인 실 Izakaya Robatayaki Totoshigure Tamachi 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001770588/,050-5462-7961,이자카야,"[하루 종일]
 12:00-22:00 L.O. 21:30","하루 종일 개점
불규칙한 휴일","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Higashi-Yui Building 4F, 5-23-13 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (150m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (650m)",없음,100 석,없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
제한된 수의 사람들이 임대 할 수있는 (좌석) : 100 명","[공식적인]
https://totoshigure-tamachi.foodre.jp/","4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","전산 된 점점 : 1,000-1,999 엔, 모든 링크 가격 : 2,000-2,999 엔, 그리고 온전한 링크 코스에는 4,000-4,999 엔이 포함되며, 싱글 링크 코스에는 5,000 엔 또는 2 시간 동안 2 시간, 2 시간, 2 시간, 2 시간, 2 시간, 2 시간, 2 시간, 2 시간 동안 포함됩니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"점심, 점심, 개인 객실, 저녁 식사, 저녁 식사, 엔터테인먼트, 환영 파티, 작별 파티, 음료 쇼치, 음료수, 모든 당신이 살면서, 페이 페이 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","예
이유식을 가져올 수 있습니다",예,03-6635-1719,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001770588/archive/3595240-680fbd8c17f5d.jpg,,,,,,"놀라운 응답 가능
축하 가능성",,,,프로젝터 포함,언어 지원 메뉴가 있습니다
HIBINO,히비노,https://retty.me/area/PRE13/ARE16/SUB1302/100001244237/,050-5462-2014,와인 바 야채 요리 닭 요리 테이크 아웃 파스타,"[월요일부터 금요일까지]
 11:30-22:30
[토양]
 15:00-22:30 L.O. 21:30
[축하해요]
저녁 식사 15:00-22:30 L.O. 21:30","매월 셋째 토요일 매주 일요일
새해 휴일 (확인하십시오)","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Katerina Mita Tower Suite W101, 4-16-1 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (370m)
Toei Mita Line / Shibakoen Station 10 분 도보 (740m)","예
근처 (할인 없음) 사용 가능","30 석
(카운터 좌석 10 (주방 측면의 2 윈도우) 테이블 시트 4x5, 개인 20-50)",예,"불가능합니다
(모든 좌석은 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 39 명",,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 5,000 엔 이상, 1 시간 반 동안 싱글 링크","우리는 야채 요리, 고기 요리, 생선 요리, 알레르기가있는 고객을 수용 할 수 있으며 매장 내에서 준비된 고객을 수용 할 수 있습니다.","맥주, 쇼치, 와인, 위스키, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"어린이와 함께 즐길 수있는 점심 지불금 지불 이용 가능 새해 파티 성인의 연말 파티 성인 새해 파티 세련된 성인 날짜 환영 파티 온라인 예약 가능
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
개방성이 있습니다
조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다",예,없음,03-6435-2255,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001244237/archive/3420103-6707c4198d742.jpg,https://www.instagram.com/?hl=ja,https://www.facebook.com/bisxbarhibino/,,Suica,,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",,불가능합니다,,,"영어
언어를 말할 수있는 직원이 있습니다"
LICOT,LICOT,https://retty.me/area/PRE13/ARE16/SUB1302/100001177511/,050-5462-3298,이탈리아 요리 이자카야,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:30-22:00 L.O. 21:00
*우리는 현재 토요일에 일시적으로 문을 닫습니다.","매주 일요일과 공휴일
가게가 닫히면 상점에 확인하십시오.
티켓을 예약하려면 저희에게 연락하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"4-19-18 미타, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Sengakuji 역에서 도보로 1 분 (80m)
JR Yamanote Line / Takanawa Gateway Station 7 분 도보 (550m)
도쿄 메트로 Namboku Line / Takanawa Shirokane에서 도보로 9 분 (680m)",없음,30 석,예,"연기 분리
(Ashtrays는 상점 외부에 설치됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://licot-mita.foodre.jp/
https://cafe-dining-licot.com/","3,000 엔 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스로 구입할 수 있습니다.","5,000 엔 이상의 모든 금액 가격, 2.5 시간의 모든 링크",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 엔터테인먼트, 데이트, 싱글, 비 흡연, 점심 날짜, 야간 카페, 크리스마스 저녁 식사, 새해 파티, 성인 연말대 파티, All-you-can-drink, 성인 새해 파티, 세련된, 성인 데이트, 환영 파티, 점심 음주
다른 사용 장면을 참조하십시오",차분한 분위기,예,없음,03-6277-2969,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001177511/archive/3063602-64700d4fb8039.jpg,https://www.instagram.com/licot.dining_bar/,https://www.facebook.com/licot18/,,,,축하 가능성,,,,프로젝터 및 사운드 장비,"영어
직원과 함께 언어 지원 메뉴가 있습니다"
ツラとキモ 炭火焼肉いわしげ,숯 구이 야키 니쿠 정어리,https://retty.me/area/PRE13/ARE16/SUB1302/100001543529/,03-6876-3579,야키 니쿠 쇠고기 혀,"[하루 종일]
저녁 식사 16:00-22:30 L.O. 22:00
팔리 자마자 끝납니다",새해 휴일 (확인하십시오),"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"5-26-1 시바, 미나토 쿠, 도쿄 건물입니다
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (330m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (700m)",없음,33 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tsuratokimoiwashige-mita.foodre.jp/",,한 시간 반 동안 당신이 다루는 것,고기 요리 전문,,,"혼자 마시는 OK 고기 쌀 생일 엔터테인먼트 급여 지불 지불 이용 가능 새해 파티 환영 파티 저녁 식사 성인 연말 파티 All-You-Can-Drink 성인 새해 파티 캐주얼 페이 페이 포인트 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001543529/archive/1876412-5f6db8a41e846.png,,,https://x.com/tsula_to_kimo,,,,,,,,
野菜巻き串×焼き鳥ともつ鍋 笑門 田町店,야채 구르는 꼬치 x Yakitori Tomotsunabe Shomon Tamachi Branch,https://retty.me/area/PRE13/ARE16/SUB1302/100001770037/,050-5462-7850,이자카야 야키토리,"[하루 종일]
 12:00-2:00 L.O. 1:00
음료 : lo 01:30",불규칙한 휴일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당",,"3 층, 5-23-13 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (150m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (650m)",없음,52 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,예,"[공식적인]
https://shyomon-tamachi.foodre.jp/",,,,,사용 가능한 예약,"점심, 점심, 개인 실, 저녁 식사, 늦은 밤 개막, 환영 파티, 작별 파티, 음료 쇼치, 음료수, 파티, 급여 판매 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,예,090-9135-0420,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001770037/archive/3550145-67d41a10b6021.jpg,,,,,,,,,,,
沖縄料理 うるま食堂,오키나와 요리 우루마 쇼쿠도,https://retty.me/area/PRE13/ARE16/SUB1302/100001158129/,050-5462-5909,오키나와 요리 이자카야,"[월요일부터 금요일까지]
저녁 식사 17:30-24:00
[tue-fri]
점심 11:30-14:00
[토요일/휴일]
저녁 식사 17:30-23:00
*점심은 다 떨어지 자마자 끝납니다",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,,"White Building B1F, 3-14-17 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (350m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 6 분 (420m)
Toei Asakusa Line / Sengakuji Station 도보 10 분 (760m)",예,28 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",불가능합니다,"https://urumasyokudo.foodre.jp/
https://page.line.me/qpo4863h",,,,,,"점심, 개인 실, 저녁 식사, 싱글 룸, 저녁 식사, 저녁, 저녁, 저녁, 저녁 식사, 저녁 식사, 흡연 허용, 와인, 엔터테인먼트 파티, 작별 파티, 작별 파티, 새해 파티, 개인 객실 점심, 점심 소녀의 밤, 성인 숨기기, 개인 방 날짜, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오",,,예,03-6435-4002,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001158129/archive/3049185-6459f2c0230fb.jpeg,https://www.instagram.com/uruma_syokudou/,https://www.facebook.com/okinawa cuisine and Pakchi -Uruma Shokudo -Tamachi Branch -291804084715958/,,,,,,,,,
二代目 魚屋町,2 세대 Uoyacho,https://retty.me/area/PRE13/ARE16/SUB1302/100000036414/,03-6435-0477,이자카야 해산물 및 해산물 요리 Motsunabe Sashimi 쇠고기 혀 햄버거,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:30 L.O. 23:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",PayPay,"5-24-12 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (340m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (680m)",없음,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://nidaime-uoyamachi.foodre.jp/","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",2 시간 동안 당신이 다루는 것,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 밤, 그룹 날짜, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사 파티, 솔로 손님, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 개인 파티, 이용 가능
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
단독 주택 레스토랑
골목을 향합니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000036414/archive/2642092-6226fb6f22800.png,,https://www.facebook.com/uoyamachi/,https://x.com/uoyamachi,,,,,불가능합니다,,,
淮香苑,Huai Xiaoen,https://retty.me/area/PRE13/ARE16/SUB1302/100001595638/,050-5462-7686,이자카야 중국 요리,"[하루 종일]
점심 11:00-15:00
저녁 식사 15:00-23:00 L.O. 22:30
불규칙한 휴일

*연초의 영업일에 관한
1/1 (sat), 1/2 (Sun) → 닫힙니다",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"5 층, Etani Building, 3-11-10 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (370m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (500m)
Yurikamome / Shibaura Pier Station에서 도보로 11 분 (880m)","없음
근처 (할인 없음) 사용 가능",60 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,"[공식적인]
https://waikoen.foodre.jp/","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스 및 8,000 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","슈퍼 매운 메뉴, 요리사는 해외에서 훈련했습니다",Shaoxing Wine 포함,,"점심, 저녁 식사, 쌀, 개인 실, 엔터테인먼트, 모든 링크, 연회 및 음주 파티, 약혼 저녁 식사 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 마시 구이, 아이들과 함께 즐기십시오.
다른 사용 장면을 참조하십시오",,예,예,03-3456-6611,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001595638/archive/2497019-615e9510b27a8.jpg,,,,,,"테이크 아웃 가능성
배송 가능",,불가능합니다,예 (무료),,중국인
龍祥軒 三田店,Ryushoken Mita 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001533760/,050-5462-7025,중국 음식,"[월요일부터 금요일까지]
 11:00-15:00
 17:00-23:00
[토요일/휴일]
점심 11:00-15:00
저녁 식사 17:00-21:00",매주 일요일마다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"YK 건물, 5-14-16 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (400m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (670m)",없음,70 석,,"연기 분리
(흡연은 정규 시간 동안 이용할 수 있으며 점심이나 저녁 식사 흡연은 허용되지 않습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://mita-ryushohken.foodre.jp/",,,,,,"점심, 저녁, 저녁 식사, 저녁 식사, 연회, 음료, 모든 링크, 점심, 지불금 지불, 급여 지불 포인트, 온라인 예약 가능, 작별 파티, 환영 파티, 인기있는 레스토랑
다른 사용 장면을 참조하십시오",,,예,03-6809-4809,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001533760/archive/3444900-672c68b5aed39.jpg,,,,,,,,,,,
ホルモン まさる,호르몬 마사루,https://retty.me/area/PRE13/ARE16/SUB1302/100000737154/,03-6435-1990,호르몬 Yakiniku 차가운 국수 Sukiyaki Yakitori 닭 요리,"[하루 종일]
 12:00-22:30 L.O. 22:00
점심 시간 : 12 : 00-13 : 00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",불가능합니다,,"5-21-14 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (150m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (260m)
Toei Mita Line / Shibakoen Station 7 분 도보 (560m)",,25 석,없음,,없음,,,,,,,사용 가능한 예약,"점심, 솔로, 세련된, 저녁 식사, 쌀, 맛있고 저렴한 레스토랑, 고기, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3455482.jpg,,,,,,,,,,,
中華そば むらさき山,중국 소바 무라 사키 야마,https://retty.me/area/PRE13/ARE16/SUB1302/100000722907/,03-3455-8966,"라면, 쓰키 멘, 쌀 그릇, Tonkotsu라면","[하루 종일]
 11:30-23:30","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"5-23-8 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (130m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (260m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (620m)",없음,"14 석
(카운터 좌석 만)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,,,,"점심, 솔로, 스타일리쉬, 저녁, 쌀, 맛있고, 싸고, 저렴하지 않은, 세련된, 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34927489.jpg,https://www.instagram.com/murasakiyama12/,https://www.facebook.com/murasakiyama12/,https://x.com/murasakiyyama12,,,,,,,,
ラーメン二郎 三田本店,라면 지로 미타 메인 스토어,https://retty.me/area/PRE13/ARE16/SUB1302/100000000029/,사적인,라면 지로 스타일라면,"월-프리/토요일
8 : 30-15 : 00
17 : 00-20 : 00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"2-16-4 미타, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 7 분 거리 (530m)
JR Yamanote Line / Tamachi (도쿄) 역에서 도보로 9 분 거리 (690m)
Toei Oedo Line / Akabanebashi Station 11 분 도보 (820m)","없음
근처 (할인 없음) 사용 가능",13 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,,,,,,,"싱글을 환영합니다. 벚꽃 시청과 체리 꽃을 볼 수있는 레스토랑. 주차 가능. 세련되고 맛있고 저렴한 레스토랑. 금연.
다른 사용 장면을 참조하십시오",,예,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30188609.jpg,,,,,,음료를 가져올 수 있습니다,평상복,불가능합니다,불가능합니다,,
パスターヴォラ,파스타 볼라,https://retty.me/area/PRE13/ARE16/SUB1302/100000008163/,03-5442-9588,이탈리아 요리 파스타 테이크 아웃 야채가 훈제되었습니다,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 11:00-14:30 L.O. 14:00
 17:30-23:30 L.O. 23:00",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,PayPay,"102 Katerina Mita West, 4-16-1 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (180m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (290m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (580m)",,12 석,"예
(매장 내 카운터 좌석 전용)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://pastavola.com/,,,,,,"점심, 데이트, 솔로, 체리 꽃보기, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 점심 날짜, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3233348.jpg,,https://www.facebook.com/pastavola-17229039490792/,,,,,,,,,
威南記海南鶏飯 日本本店,Weinan Ki Kainan Chicken Rice Japan Main Store,https://retty.me/area/PRE13/ARE16/SUB1302/100001223996/,03-5439-9120,싱가포르 요리 식당식 바 테이크 아웃 치킨 요리,"[하루 종일]
점심 11:00-14:30 L.O. 14:30
저녁 식사 17:00-21:30 L.O. 21:30","하루 종일 개점
・ 새해 공휴일 (확인하십시오)
・ 시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",예,,"Tamachi Grand Park, 3-4-1 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (250m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (320m)
Toei Asakusa Line / Sengakuji 역에서 도보로 9 분 (670m)",,"92 석
(상점에서 64 석, 테라스의 28 석)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://weweamkee.jp/,,,,,,"점심, 데이트, 모든 링크, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술 마시기, 와인, 세련된 저녁, 쌀, 비 흡연, 점심 날짜
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35972541.jpg,,,,,,,,,,,
中国家庭料理 大連,중국 가정 요리 달리안,https://retty.me/area/PRE13/ARE16/SUB1302/100000002821/,03-5443-0488,중국 요리 Gyoza Yakisoba Salt Ramen,"[월요일부터 금요일, 토요일, 휴일]
점심 11:30-14:00
[월요일부터 금요일까지]
저녁 식사 17:00-23:30
[토요일/휴일]
저녁 식사 17:00-21:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔",예,,"Dalen Building, 5-15-3 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (240m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (370m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (590m)",,44 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 매우 매운",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36969665.jpg,,,,,,,,,,,
