식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,아이들이 들어 오세요,Wi-Fi 사용,전화 번호,영상,인스 타 그램,페이스 북,X (트위터),IC 카드 지불,발언,서비스,드레스 코드,애완 동물,전원 공급 장치 사용,추가 장비,외국어 지원,지역,온라인 예약,맥주 제작자,쇼핑 직무 정보
ツラとキモ 炭火焼肉いわしげ,숯 구이 야키 니쿠 정어리,https://retty.me/area/PRE13/ARE16/SUB1302/100001543529/,03-6876-3579,야키 니쿠 쇠고기 혀,"[하루 종일]
저녁 식사 16:00-22:30 L.O. 22:00
팔리 자마자 끝납니다",새해 휴일 (확인하십시오),"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"5-26-1 시바, 미나토 쿠, 도쿄 건물입니다
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (190m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (330m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (700m)",없음,33 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tsuratokimoiwashige-mita.foodre.jp/",,한 시간 반 동안 당신이 다루는 것,고기 요리 전문,,,"혼자 마시는 OK 고기 쌀 생일 엔터테인먼트 급여 지불 지불 이용 가능 새해 파티 환영 파티 저녁 식사 성인 연말 파티 All-You-Can-Drink 성인 새해 파티 캐주얼 페이 페이 포인트 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001543529/archive/1876412-5f6db8a41e846.png,,,https://x.com/tsula_to_kimo,,,,,,,,,타마 치,,,
三田魚介センター,미타 해산물 센터,https://retty.me/area/PRE13/ARE16/SUB1302/100000726969/,050-5462-6422,이자카야 해산물과 해산물,"[월요일부터 금요일까지, 휴일 전]
 17:00-24:00
[태양, 토요일, 휴일]
 17:00-23:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",PayPay,"1f, 5-16-13 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (330m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (580m)",없음,"50 석
(테라스 좌석 이용 가능)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://mita-gyokaisenta.foodre.jp/
http://mita-gyokai.com/index.html","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔, 2 시간 동안 전세계 점점, 3 시간 이상 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",생선 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 OK DINNER DINNER DIRCH DIRK WIRE WELCING 파티 All-You-Can-Drink 흡연 허용 연말 파티 약혼 디너 파티 세련된 새우 세련된 점심 급여 지불 지불 이용 가능한 성인 연말 파티 요리 빠른 연말 연말 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
테라스가 있습니다",예,예,03-3454-9989,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000726969/archive/338840-66d1229a11f22.jpg,https://www.instagram.com/mitagyokai.c/,https://www.facebook.com/mita 해산물 센터 -409076845813177/,https://x.com/mitagyokai_c,,,,,,,,언어 지원 메뉴가 있습니다,타마 치,,,
二代目 魚屋町,2 세대 Uoyacho,https://retty.me/area/PRE13/ARE16/SUB1302/100000036414/,03-6435-0477,이자카야 해산물 및 해산물 요리 Motsunabe Sashimi 쇠고기 혀 햄버거,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[월요일부터 금요일과 토요일]
저녁 식사 17:00-23:30 L.O. 23:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",PayPay,"5-24-12 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (340m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (680m)",없음,35 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명","[공식적인]
https://nidaime-uoyamachi.foodre.jp/","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.",2 시간 동안 당신이 다루는 것,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 여자 밤, 그룹 날짜, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사 파티, 솔로 손님, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 개인 파티, 이용 가능
다른 사용 장면을 참조하십시오","활발한 상점
차분한 분위기
단독 주택 레스토랑
골목을 향합니다",,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000036414/archive/2642092-6226fb6f22800.png,,https://www.facebook.com/uoyamachi/,https://x.com/uoyamachi,,,,,불가능합니다,,,,타마 치,,,
新荘園 田町ステーションタワーS店,신 마노 엔 타마 마이 스테이션 타워의 상점,https://retty.me/area/PRE13/ARE16/SUB1302/100001445029/,03-6459-4858,이자카야 중국 요리 Xiaolongbao,"[월요일부터 금요일까지]
 11:00-23:00 L.O. 22:30
[태양, 토요일, 휴일]
 11:00-22:30 L.O. 22:00","하루 종일 개점
새해 휴일 (확인하십시오)
새해 공휴일 제외","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"3-1-21 Shibaura, Minato-Ku, 도쿄 MSB Tamachi Station Tower S 2f
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Tamachi (도쿄) 역 3 분 (190m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 4 분 거리 (270m)
Toei Mita Line / Shibakoen Station에서 도보 11 분 (820m)",예,130 석,,"불가능합니다
(건물에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,"https://shinsouen.jp/
https://www.msb-tamachi.net/",,2 시간 동안 당신이 다루는 것,"우리는 야채 요리, 고기 요리, 생선 요리 및 슈퍼 매운 메뉴에 대해 특별합니다.","맥주, 쇼치, 와인, 위스키, 칵테일",,"점심, 데이트, 여자 파티, 싱글 파티, 연회 및 음주 파티, 개인 객실, 싱글, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 마시기 와인, 저녁 식사, 쌀, 비영리 방, 점심, 점심
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001445029/archive/128599-5dd3536b65dd8.jpg,,,,,,놀라운 응답 가능,,,,,,타마 치,,,
和食ダイニング 糸,일본 식사 이토,https://retty.me/area/PRE13/ARE16/SUB1302/100001386593/,03-3451-7776,이자카야 해산물과 해산물 일본 요리,"[하루 종일]
 17:00-23:00 L.O. 22:00","매주 토요일마다 일요일 휴가
가게가 닫히면 상점에 확인하십시오.
전화로 미리 예약하면 휴일에도 문을 열 것입니다.
전화로 직접 저희에게 연락하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",예,PayPay,"5-11-13 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 4 분 거리 (280m)
JR Yamanote Line / Tamachi (도쿄) 스테이션 6 분 도보 (410m)
Toei Mita Line / Shibakoen Station 7 분 도보 (540m)",,26 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,"전산 된 링크 연회/음주 파티 개인 방 엔터테인먼트 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 저녁 식사 저녁 식사 저녁 식사 비 스틸리쉬 개인 실
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001386593/archive/3401157-66e3f4af847e5.jpg,,,,,,,,,,,,타마 치,,,
対馬居酒屋 こんね,Tsushima Izakaya 안녕하세요,https://retty.me/area/PRE13/ARE16/SUB1302/100001296845/,03-6809-6045,Izakaya Kappo/Kikaya 현지 요리,"[tue-fri-sat]
 18:00-26:00
[낮]
 18:00-24:00","매주 월요일과 공휴일
2F 후드 L.O. 24:30
3F 바 L.O. 25:30","점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"5-24-7 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (320m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (660m)",,22 석,예,"예
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://konne-tsushima.favy.jp/,,,,,사용 가능한 예약,"연회 및 음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment 성인 숨겨져있는 작별 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 마시는 와인을 마시는 와인 저녁 식사
다른 사용 장면을 참조하십시오",,예,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001296845/archive/2066092-5fa8d5029f029.png,,https://www.facebook.com/tsushimakonne/,,,,,,"예
상점 밖에서 사용할 수 있습니다",,,,타마 치,,,
海鮮問屋 地魚屋 三田店,해산물 도매업 현지 생선 상점 미타 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100000756214/,03-5442-1791,해산물과 해산물 이자카야 사시미 핫팟 소바 (Soba),"[하루 종일]
점심 11:30-14:30
[월요일부터 금요일까지]
저녁 식사 16 : 30-23 : 00
[태양, 토요일, 휴일]
저녁 16 : 30-21 : 30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Tamachi Center Billpiatta, 5-34-7 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 1 분 거리 (31m)
JR Yamanote Line / Tamachi (도쿄) 역 1 분 도보 (54m)
Toei Mita Line / Shibakoen Station 10 분 도보 (740m)",예,110 석,,,"예
4 명
6 명
7 명 이상",예,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔, 2 시간 동안 전세계 점점, 3 시간 이상 싱글 링크를 포함하는 코스가 포함 된 코스가 있습니다.",생선 요리 전문,"술, 쇼카, 와인, 칵테일",사용 가능한 예약,"점심 만세 연회/음료 파티 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 와인 세련된 개인 객실 저녁 식사
다른 사용 장면을 참조하십시오",나이트 뷰를 볼 수 있습니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000756214/archive/584608-5bd2ad1a76010.jpg,,,,,,,없음,,,,,타마 치,,,
焼鳥 嘉とう,야키토리 카토,https://retty.me/area/PRE13/ARE16/SUB1302/100001270415/,03-6722-0977,"야키토리, 닭 요리, 와인 바, 일본 요리","[Tue-Fri, Sat, Holidays, 축하 전]
저녁 식사 18:00-22:00 L.O. 21:00
팔리 자마자 끝납니다
자세한 내용은 공식 FB를 확인하십시오.","매주 일요일마다
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : 비즈니스 시간
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2 층, Mita Toyota Building, 3-3-2, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 4 분 거리 (300m)
JR Yamanote Line / Tamachi (도쿄) 스테이션 6 분 (460m)
Toei Oedo Line / Akabanebashi Station 11 분 도보 (840m)",없음,15 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"4,000 엔에서 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스, 8,000 엔 이상이 있습니다.",,"우리는 야채 요리, 고기 요리, 수입 재료 및 현지에서 생산 된 재료에 대해 특히 그렇습니다. 요리사는 유명한 레스토랑, 주인 요리사 및 매장 내 준비에서 훈련을 받았습니다.","맥주, 사케, 쇼치, 와인",사용 가능한 예약,"날짜, 약혼식 저녁 식사, 솔로 손님, 엔터테인먼트, 크리스마스 저녁 식사, 음료, 와인, 세련된, 저녁 식사, 쌀, 흡연, 세련된 데이트, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오","보기가 좋습니다
조용한 가게
차분한 분위기",불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001270415/archive/163818-5e9a5db2192dd.jpeg,https://www.instagram.com/yakitorikato,https://www.facebook.com/yakitorikato/,,,,음료를 가져올 수 있습니다,,불가능합니다,불가능합니다,,,타마 치,,,
焼肉だるま 田町本館,Yakiniku Daruma Tamachi 본관,https://retty.me/area/PRE13/ARE16/SUB1302/100001693499/,03-6665-8885,야키니 쿠이자 카야,"[Sun, 월요일부터 목요일, 토요일 및 휴일]
저녁 식사 16 : 30-24 : 00 L.O. 23:15
[금]
저녁 식사 16 : 30-30 : 00 L.O. 29:00
*위에 나열된 것 이외의 시간에 열 수 있습니다.
우리는 상담을 받으므로 언제든지 저희에게 연락하십시오.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"5-24-7 시바, 미나토 쿠, 도쿄 데이지 칸 키이
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (180m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (330m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (660m)",없음,24 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,고기 요리 전문,"맥주, 쇼치, 와인",사용 가능한 예약,"쌀, 고기, 저녁 식사, 생일, 엔터테인먼트, 파티, 파티 파티, 흡연 허용, 급여 지불 지불, 연말 파티, 새해 파티, 세련된, 성인 새해 파티, 성인 연말 파티, 작별 파티, 환영 파티, 날짜, 여자 파티, 와인, 와인.
다른 사용 장면을 참조하십시오",활발한 상점,"예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001693499/archive/2991879-63fef587be3ad.jpg,https://www.instagram.com/yakiniku_daruma_tamachi/,,,,,,없음,,,,,타마 치,,,
日本酒 焼酎 手抜き料理の店 和酒BAR 途なり。,"일본인 술, 쇼치 및 느슨한 요리 일본 술 바는 일본 술 바를 제공하는 식당입니다.",https://retty.me/area/PRE13/ARE16/SUB1302/100001489837/,03-6453-9350,Sake Bar Izakaya,"[월요일부터 금요일과 토요일]
 19:00-4:00
*24 시간 표기법",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"B1, 5-26-4 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (140m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (280m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (660m)",없음,17 석,예,"예
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"솔로 손님을위한 연회 및 음주 파티 OK 파티를 환영합니다. 파티 크리스마스 저녁 식사 연말 파티 새해 파티는 첫 번째 기차 저녁 식사 흡연이 허용 될 때까지 세련된 열린 개방을 이용할 수 있습니다.
다른 사용 장면을 참조하십시오",,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001489837/archive/208985-5fb1e2a2aeaa5.png,https://www.instagram.com/tonari_konne/,https://www.facebook.com/tonarikonne/,,,,,,,,,,타마 치,,,
GUARDIAN DINING BAR AND SOUL,가디언 식당 바와 영혼,https://retty.me/area/PRE13/ARE16/SUB1302/100000768358/,,서양식 파스타 이탈리아 음식 피자 햄버거,"[월요일부터 금요일까지]
점심 11:00-14:30 L.O. 14:00","매주 토요일마다 일요일 휴가
개인 파티도 정기 휴일에 허용됩니다.","점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",,"5-36-7 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 3 분 거리 (180m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (310m)
Toei Asakusa Line / Sengakuji 역에서 도보로 9 분 (700m)","없음
근처 (할인 없음) 사용 가능","80 석
(좌석 용량을 가진 약 80 명과 약 120 명이 서있을 수 있습니다)",예,"불가능합니다
(모든 좌석은 점심을 위해 금연합니다 (흡연 구역 IQOS에만 사용할 수 있음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,https://bulls-eye.jp/guardian/what/,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",,"맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 전후-점화, 약혼 저녁 식사 파티, 솔로 환영, 엔터테인먼트, 결혼식, 애프터 파티, 크리스마스 저녁 식사, 주차장, 다트 사용 가능, 세련된, 개인, 식사, 비영리, 세련된 점심, 성인 날짜
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/6642993.jpg,,https://www.facebook.com/guardian.diningbar,,,,축하 가능성,없음,불가능합니다,,"프로젝터, TV 및 모니터, 오디오 장비, 다트",,타마 치,,,
大餃子酒場 田町店,위대한 Gyoza Bar Tamachi 지점,https://retty.me/area/PRE13/ARE16/SUB1302/100001592699/,050-3613-0445,이자카야 야키토리,"[월요일부터 금요일까지, 휴일 전, 휴일 전]
점심 11:30-15:00
[Sun, 월요일부터 목요일, 토요일 및 휴일]
저녁 식사 16:00-0:30
[금요일/휴가 전]
저녁 식사 16:00-1:00 L.O. 0:30
자세한 내용은 공식 웹 사이트를 확인하십시오.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"렉스 빌딩 1 층에서 2 층, 5-16-13 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (Tokyo) 역에서 도보로 3 분 거리 (210m)
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (340m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (580m)","없음
근처 (할인 없음) 사용 가능","80 석
(70 명 (앉을 때) 80 명 (서있을 때)",없음,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","전적으로 마감 가격 : 2,000-2,999 엔, all-you-can-drink 가격 : 3,000-4,999 엔, 2 시간 동안 모두 당신이 싱글 링크, 2 시간 반 동안 싱글 링크, 3 시간 이상 싱글 링크","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"점심, 여자 파티, 싱글 링크, 연회 및 음주 파티, 개인 객실, 싱글, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 음료수, 와인, 주차, 개인과 함께 즐기십시오.
다른 사용 장면을 참조하십시오","조용한 가게
활발한 상점
차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다
테라스가 있습니다","예
초등학생들은 환영합니다",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001592699/archive/2642715-6227f0c34fe6d.jpg,https://www.instagram.com/gyozasakaba_tamati_mita/,,,,,,,불가능합니다,예 (무료),,"중국인
언어를 말할 수있는 직원이 있습니다",타마 치,,,
田町にセンバネ,타마치의 센보,https://retty.me/area/PRE13/ARE16/SUB1302/100001727308/,03-6665-8175,창조적 인 요리 이자카야,"[월요일부터 금요일까지, 휴일 전]
 16:30-23:45
[토양]
 15 : 30 ~ 23 : 45
[일요일과 휴일]
 15:30-23:00
[월요일부터 금요일까지, 휴일 전]
16 : 30-23 : 45 (Food L.O. 23:00 음료 L.O. 23:15)
【   토양    】
15 : 30-23 : 45 (Food L.O. 23:00 음료 L.O. 23:15)
[일요일과 공휴일]
15 : 30-23 : 00 (Food L.O. 22:00 음료 L.O. 22:30)","닫힌 날
없음/우리는 송장 시스템을 지원합니다.","점심:-
저녁 식사 : ~ 5,000 엔",,PayPay,"UNIKA TAMACHI 건물 1F, 5-23-11 Shiba, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 2 분 거리 (140m)
JR Yamanote Line / Tamachi (도쿄) 역 4 분 (280m)
Toei Mita Line / Shibakoen Station에서 도보 8 분 (620m)",,,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명",,,,,,,,"개인 객실 저녁 식사, 흡연 허용, 세련된 개인 실, 개인 실, 개인 실, 급여 지불 지불 수락 된 성인 연말 파티 성인 새해 파티 세련된 성인 날짜 캐주얼
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34484294.jpg,,,,,,,,,,,,타마 치,,,
芝の浦,Shiba no ura,https://retty.me/area/PRE13/ARE16/SUB1302/100000037133/,03-3769-2038,Izakaya Rice Bowl Sashimi Shirasu Rice Bowl,"[월요일부터 금요일과 토요일]
점심 11:30-13:30
저녁 식사 17:00-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","Amex
식당
JCB",PayPay,"사쿠라 빌딩 1f, 3-14-4 시바 바라, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Tamachi (도쿄) 역 5 분 도보 (350m)
Toei Asakusa Line / Mita (도쿄) 역에서 도보로 6 분 거리 (460m)
Toei Asakusa Line / Sengakuji 역에서 도보로 11 분 (870m)",,50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://www.shibanoura.co.jp/,,,,,,"점심, 솔로, 크리스마스 저녁, 술을 마실 수 있습니다
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13820756.jpg,,,,,,,,,,,,타마 치,,,
