restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,remarks,cooking_specialties,reservation,usage_scenes,wifi_available,video,ic_card_payment,facebook,lecture,available_drinks,drinking_specialties,waiting,service,dress_code,child_friendly,pet_friendly,power_supply_available,phone_number,instagram,foreign_language_support,additional_equipment,twitter,beer_maker,인근 시설
Trattoria Cicci Fantastico,Trattoria cicci fantastico,https://retty.me/area/PRE13/ARE16/SUB1602/100001261422/,050-5304-6058,이탈리아 파스타,"[월요일부터 금요일, 토요일, 휴일]
점심 11:30-14:00
[월요일부터 금요일까지, 휴일]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[토양]
저녁 식사 17:30-23:00","매주 일요일
∎ 공휴일에 문을 열고 다음날 문을 닫습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"보석 Daimon 1f, 2f, 1-15-3 Shibadaimon, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 2 분 거리 (92m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (410m)
Toei Mita Line / Onarimon Station에서 도보로 7 분 거리 (520m)",예,90 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","[공식적인]
https://trattoriaciccifantastico.foodre.jp/
https://tabelog.com/tokyo/a1314/a131401/13192431/",,"우리는 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특히",사용 가능한 예약,"날짜, 여자 밤, 고기, 저녁 식사, 점심, 저녁 식사, 급여 지불 지불 가능, 급여표, 온라인 예약 가능, 연말 파티, 크리스마스 저녁 식사, 새해 파티, 세련된, 성인 데이트, 성인 새해 파티, 크리스마스 2024
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001261422/archive/212412-592913603f222.jpg,,https://www.facebook.com/ciccifantastico/,"5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상의 싱글 링크 가격, 2 시간 동안 온전한 점수","맥주, 와인, 칵테일","보기가 좋습니다
개방성이 있습니다
활발한 상점
차분한 분위기
골목을 향합니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성",,,,,03-6435-9365,,,프로젝터 및 사운드 장비,,,
ブラチェリア バーヴァ,Bracheria Bava,https://retty.me/area/PRE13/ARE16/SUB1602/100000751576/,03-3436-6580,이탈리아 요리 숯 구이 이자카야 식당 바 카페,"[월요일부터 금요일까지]
점심 11:00-14:30 L.O. 14:00
저녁 식사 18:00-23:00 L.O. 22:00
[토양]
저녁 식사 17:00-22:00 L.O. 21:00
*개구부 및 마지막 주문 시간은 상점의 상황에 따라 변경되지만 고객의 요구를 최대한 충족시키기 위해 최선을 다할 것입니다.","매주 일요일
*우리는 일요일과 공휴일에 개인 사업을 위해 개방되어 있습니다. 저희에게 연락하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex",PayPay,"알파 빌딩 1-4-7 Shibadaimon, Minato-Ku, 도쿄 1 층에서 2 층
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 2 분 거리 (120m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (370m)
Toei Mita Line / Onarimon 역에서 도보로 6 분 (430m)","없음
근처 (할인 없음) 사용 가능","55 석
(1 층에는 5 석, 2 층에 50 석)",예,"예
(점심 시간 동안 완전히 금연, 흡연 지역이 이용 가능합니다. 수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.braceriabava.com/,,"우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.",사용 가능한 예약,"점심, 데이트, 여자 파티, 모든 링크, 연회 및 파티, 파티, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 주차장, 아이들과 함께 즐기기, 세련된, 개인 공간
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000751576/archive/1889158-5f743fe3d6c35.png,,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",맥주와 와인이 있습니다,"개방성이 있습니다
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,예 (무료),,,,프로젝터 포함,,,
リストランテ サルーテ竹芝,Ristorante Salute 대나무 잔디,https://retty.me/area/PRE13/ARE16/SUB1602/100000725276/,03-5402-3042,이탈리아 요리,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
[tue-fri]
저녁 식사 17:00-22:00 L.O. 21:00
[태양, 토요일, 휴일]
 11:00-22:00 L.O. 21:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"3F, New Pier Takeshiba South Tower, 1-16-1 Kaigan, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Yurikamome / Takeshiba 역에서 도보로 1 분 (78m)
Yurikamome / Hinode Station에서 도보로 8 분 (610m)
JR Yamanote Line / Hamamatsucho Station에서 도보로 9 분 (650m)",,80 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.salute-takeshiba.jp/,,,,"점심, 솔로, 세련된, 저녁 식사, 금연, 세련된, 점심, 급여 지불 지불 가능",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36223510.jpg,,,,,,,,,,,,,,,,,,
Hamachan55,Hamachan55,https://retty.me/area/PRE13/ARE16/SUB1602/100000030581/,03-5405-1393,이탈리아 식당,"[하루 종일]
점심 11 : 30-16 : 00
저녁 18 : 00-23 : 00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",불가능합니다,PayPay,"Hamamatsucho 55 빌딩 1f, 1-9-11 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (270m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (370m)
Toei Mita Line / Onarimon Station에서 도보로 7 분 거리 (510m)",,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인 마실 수있는 저녁 식사, 저녁 식사, 금연, 성인 날짜
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30972303.jpg,,,,,,,,,,,,,,,,,,
GENEROSO,generoso,https://retty.me/area/PRE13/ARE16/SUB1602/100000726617/,03-3769-1040,이탈리아 요리 해산물과 해산물 파스타,"[월요일부터 금요일까지]
 11:30-15:00 L.O. 14:00
[월요일부터 금요일과 토요일]
 18:00-23:00 L.O. 22:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-16-12 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Shibakoen Station 4 분 도보 (280m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 6 분 (450m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 8 분 거리 (630m)",,"22 석
(카운터 좌석의 8 개)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로 환영, 크리스마스 저녁 식사, 저녁 식사, 쌀, 금연",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36097002.jpg,,,,,,,,,,,,,,,,,,
チサンホテル浜松町カジュアルダイニング ラヴェンナ,Chisun Hotel Hamamatsucho 캐주얼 식당 라벤나,https://retty.me/area/PRE13/ARE16/SUB1602/100000089133/,03-3452-6511,이탈리아 요리,"[하루 종일]
 11:30-14:00 L.O. 14:00",,"점심:-
저녁 식사 : ~ 4,000 엔",,,"Chisun Hotel Hamamatsucho, 1-3-10 Shibaura, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Yurikamome / Hinode Station에서 도보로 5 분 (380m)
JR Yamanote Line / Hamamatsucho Station 7 분 도보 (560m)
Toei Mita Line / Shibakoen Station에서 도보로 9 분 (720m)",,,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,"점심, 개인 실, 싱글 룸, 크리스마스 저녁 식사, 세련된 쌀, 흡연 허용, 개인 실, 점심, 세련된 점심, 세련된 개인 실, 개인 실, 엔터테인먼트
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4620325.jpg,,,,,,,,,,,,,,,,,,
オステリア ドロミーティ,Osteria doromity,https://retty.me/area/PRE13/ARE16/SUB1602/100001319728/,03-6459-0021,이탈리아 파스타,"[월요일부터 금요일과 토요일]
점심 11:30-14:00
저녁 식사 17:30-23:00",매주 일요일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"1-16-5 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Hamamatsucho Station 3 분 도보 (200m)
Toei Oedo Line / Shiodome 역에서 도보로 8 분 (610m)",,,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://dolomiti.jp/,,,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 저녁 식사, 흡연 허용, 지불금 지불 가능, 세련된 Merikuri Christmas 2024
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16968157.jpg,,,,,,,,,,,,,,,,,,
La Cucina del Nacchero,La Cucina del Nacchero,https://retty.me/area/PRE13/ARE16/SUB1602/100001673906/,03-6665-8988,이탈리아 요리,"[tue-fri-sat]
점심 11:30-14:30 L.O. 14:00
저녁 식사 18:00-22:00 L.O. 21:00
[일요일과 휴일]
점심 11 : 30-17 : 00 L.O. 16:00
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","매주 월요일
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
불규칙한 휴일","점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1F, 2-24-2 시바, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Shibakoen Station 4 분 도보 (260m)
Toei Asakusa Line / Mita (Tokyo) 역에서 도보 5 분 (360m)
JR Yamanote Line / Tamachi (도쿄) 역에서 도보로 9 분 (700m)","없음
근처 (할인 없음) 사용 가능",20 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
최대 20 명까지 임대 할 수 있습니다
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 30 명",,,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 요리사가 해외에서 훈련을 받고, 요리사는 유명한 식당에서 훈련 경험을 가지고, 요리사가 훈련 경험, 주인 요리사 및 매장 내 준비를합니다.",사용 가능한 예약,"점심 전 만-캔-마주
다른 사용 장면을 참조하십시오",예,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001673906/archive/2918083-63760f90ad8b3.jpg,,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","전산 된 가격 : 2,000-2,999 엔, 2 시간의 싱글 링크","맥주, 술, 와인, 칵테일","조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,,불가능합니다,예 (무료),,https://www.instagram.com/la_cucina_del_nacchero/,"이탈리아 사람
언어를 말할 수있는 직원이 있습니다",,,,
伊酒屋 CARLOTTA,Isakeya Carlotta,https://retty.me/area/PRE13/ARE16/SUB1602/100001256500/,03-6435-8301,이탈리아 요리 파스타 해산물과 해산물 피자 카레 이탈리아 바 햄버거,"[월요일부터 금요일까지]
점심 11:30-14:30
[월요일부터 금요일과 토요일]
저녁 식사 17:30-23:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Takae Building 2F, 1-23-4 Hamamatsucho, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 2 분 거리 (89m)
JR Yamanote Line / Hamamatsucho Station에서 도보 2 분 (130m)
Yurikamome / Takeshiba 역에서 도보로 9 분 (660m)","없음
근처 (할인 없음) 사용 가능","26 석
((카운터의 6 석, 다른 테이블의 좌석. 최대 36 명이 임대 할 수 있습니다.) 모든 좌석은 반 개인 객실입니다. 예약을하십시오.)",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
제한된 수의 사람들이 임대 할 수있는 제한된 수 (좌석) : 36 명",,,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 유기농 야채 및 소유자가 특히 그렇습니다.",저녁 식사 시간에만 사용할 수 있습니다,"점심 모든 당신이 마시는 연회/음료 파티 개인 방 작별 파티를 환영 파티 연말 파티 새해 파티 주차 이용 가능 어린이와 함께 즐기십시오 개인 방 저녁 식사 쌀 흡연 허용 개인 방 점심
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001256500/archive/236482-59533327c213c.jpg,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.","맥주, 쇼치, 와인, 위스키, 칵테일",활발한 상점,"놀라운 응답 가능
축하 가능성",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,예 (무료),,,,"프로젝터, TV 및 모니터 사용 가능",,,
青いイタリアン,블루 이탈리아어,https://retty.me/area/PRE13/ARE16/SUB1602/100001534869/,03-6809-1224,이탈리아 요리 파스타 식당 바 바 테이크 아웃 미트 바 Izakaya,"[하루 종일]
 11:30-15:00 L.O. 14:30
[Sun, 월요일부터 목요일, 토요일 및 휴일]
 17:30-22:30 L.O. 22:00
[금]
 17:30-23:00 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다","하루 종일 개점
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2F Takizawa Building, 2-13-1 Shibadaimon, Minato-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Shibakoen Station 4 분 도보 (320m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 5 분 거리 (380m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (470m)","없음
근처 (할인 없음) 사용 가능",50 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,,,,사용 가능한 예약,"점심, 여자 파티, 모든 링크, 연회 및 음주 파티, 약혼 디너 파티, 한 사람, 엔터테인먼트, 성인 가이성, 작별 파티, 환영 파티, 크리스마스 저녁, 새해 파티, 와인, 주차, 어린이와 함께 즐기십시오.
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001534869/archive/1513986-5e60e40e08a05.jpg,,,,,,,,,예,,,,,,,,,
イタリアーナ エノテカ ドォーロ 汐留,Italiana Enoteca Doolo Shiodome,https://retty.me/area/PRE13/ARE16/SUB1602/100000037163/,03-6383-1522,이탈리아 피자 와인 바,"[월요일부터 금요일, 토요일, 휴일]
 11:00-15:00 L.O. 14:30
[월요일부터 금요일까지]
 17:30-23:00 L.O. 22:00
[토요일/휴일]
 17:00-22:00 L.O. 21:00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,PayPay,"Shiodome Building 1f, 1f-20 Kaigan, Minato-Ku, 도쿄, Hamasite Gourmet 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station 4 분 도보 (250m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 4 분 거리 (270m)
Yurikamome / Takeshiba Station에서 도보로 6 분 (410m)",,52 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 쌀, 비 흡연, 세련된 점심, 지불금 지불, 성인 날짜
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30128198.jpg,,,,,,,,,,,,,,,,,,
立喰い鮨 浩也,서있는 초밥 히로야,https://retty.me/area/PRE13/ARE16/SUB1602/100001739332/,03-5843-8775,초밥,"[월요일부터 금요일까지]
점심 12:00-14:00
저녁 식사 17:00-22:00
[태양, 토요일, 휴일]
 12:00-22:00",불규칙한 휴일,"점심 : ~ 8,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-4-4 Shibadaimon, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Hamamatsucho Station 6 분 도보 (410m)
Toei Mita Line / Onarimon Station에서 도보 6 분 (410m)",없음,11 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://tachiguisushi-hiroya.foodre.jp/","전자 자금 이용 가능 : (운송 전자 돈 (Suica 등), Rakuten Edy, Nanaco, Waon, Id, Quicpay)
이용 가능한 QR 코드 지불 : (PayPay, DPay, Rakuten Pay, AU Pay)",생선 요리 전문,사용 가능한 예약,"점심, 저녁, 싱글, 라이스 페이 페이 지불 이용 가능 크리스마스 2024 고급스러운 크리스마스 연말 파티 새해 파티 get paypay points 온라인 예약 가능 인기 상점
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001739332/archive/3375984-66b3748de2219.jpg,,,,,,,,,,,,,,,,,,
築地魚河岸 まぐろ一代 浜松町店,Tsukiji Uogashigashi Tuna Ichidai Hamamatsucho 지점,https://retty.me/area/PRE13/ARE16/SUB1602/100001174858/,080-3728-4331,초밥 세트 식사,"[월요일부터 금요일까지]
 7:00-22:30 L.O. 22:15
[태양, 토요일, 휴일]
 11:00-22:00 L.O. 21:45",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",Amex,,"1-3-1 Kaigan, Minato-Ku, 도쿄, Jr Hamamatsucho Station의 남쪽 출구
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Hamamatsucho Station 1 분 도보 (38m)
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (170m)
유리 카메 메 (Yurikamome) / Takeshiba 역에서 도보로 7 분 (530m)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,"점심, 솔로, 브런치, 세련된, 아침 식사, 저녁, 쌀, 맛있고, 저렴하고, 금연, 세련된 점심
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17635310.jpg,,,,,,,,,,,,,,,,,,
大門武鮨,Daimon Takeshi Sushi,https://retty.me/area/PRE13/ARE16/SUB1602/100000085705/,03-3437-6655,초밥 쌀 그릇 해산물과 해산물 요리 카포/작은 레스토랑,"[월요일부터 금요일과 토요일]
점심 11:30-14:00
저녁 식사 17:00-22:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"1-7-14 시바 쿠엔, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 3 분 거리 (220m)
Toei Mita Line / Onarimon 역에서 도보로 5 분 (330m)
Toei Mita Line / Shibakoen Station 5 분 도보 (370m)",,40 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,,,,"점심, 개인 객실, 싱글 룸, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사, 맛있는 레스토랑, 저렴한 레스토랑, 비 흡연, 개인 실, 점심, 세련된 방, 개인 실, 엔터테인먼트
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13735939.jpg,,,,,,,,,,,,,,,,,,
寿司処 五徳 東京プリンスホテル,스시 도코로 도쿄 프린스 호텔,https://retty.me/area/PRE13/ARE16/SUB1602/100001181634/,03-3432-1111,초밥 사시미,"[월요일부터 금요일까지, 휴일 전]
점심 11:00-14:30 L.O. 14:30
[하루 종일]
저녁 식사 17:00-22:00 L.O. 21:30
[태양, 토요일, 휴일]
점심 11:00-17:00 L.O. 14:30",하루 종일 개점,"점심 : ~ 6,000 엔
저녁 식사 : ~ 15,000 엔",Amex,,"3-3-1 시바코엔, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Mita Line / Onarimon Station에서 도보로 4 분 거리 (270m)
Toei Mita Line / Shibakoen Station 7 분 도보 (510m)
도쿄 메트로 Hibiya Line / Kamiyacho Station 7 분 도보 (530m)",,36 석,"예
(카운터에서 10 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.princehotels.co.jp/tokyo/restaurant/shimizu/,,,,"점심, 개인 실, 약혼 저녁 식사, 싱글, 엔터테인먼트, 크리스마스 저녁, 저녁 식사, 저녁 식사, 저녁 식사, 비 흡연, 개인 실 점심, 개인 실, 럭셔리 크리스마스, 크리스마스 2024
다른 사용 장면을 참조하십시오",,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/13205417.jpg,,,,,,,,,,,,,,,,,,
浩也 東京前,히로야 도쿄 전선,https://retty.me/area/PRE13/ARE16/SUB1602/100001745597/,03-5843-8725,초밥 해산물과 해산물,"[월요일부터 금요일까지]
저녁 18 : 00-23 : 00
[태양, 토요일, 휴일]
점심 12:00-15:00
저녁 식사 17:00-23:00",불규칙한 휴일,"점심 : ~ 15,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-4-4 Shibadaimon, 미나토 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Daimon (도쿄) 역에서 도보로 2 분 거리 (160m)
JR Yamanote Line / Hamamatsucho Station 5 분 도보 (400m)
Toei Mita Line / Onarimon Station에서 도보 6 분 (410m)",없음,10 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,"[공식적인]
https://hiroya-tokyomae.foodre.jp/",,,사용 가능한 예약,"점심, 저녁, 싱글, 크리스마스 2024 고급스러운 크리스마스, 연말 파티, 새해 파티, 세련된, 온라인 예약 가능
다른 사용 장면을 참조하십시오",없음,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001745597/archive/3437861-6722d4da8728b.jpg,,,,,,,,,,,,,,,,,,
