restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,ic_card_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,private,store_website,instagram,lecture,available_drinks,cooking_specialties,drinking_specialties,reservation,usage_scenes,waiting,service,dress_code,child_friendly,wifi_available,phone_number,foreign_language_support,video,pet_friendly,power_supply_available,remarks,twitter,facebook,additional_equipment,beer_maker,쇼핑 직무 정보,온라인 예약
LUXURY LOUNGE MILAS ミラス恵比寿店,고급 라운지 Milas Ebisu 매장,https://retty.me/area/PRE13/ARE7/SUB701/100001572140/,050-5462-8314,이자카야,"[하루 종일]
저녁 18 : 00-29 : 00
*예약은 11:00에서 18:00까지 열립니다.",하루 종일 개점,"점심 : ~ 5,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"New Life Ebisu 2f, 1-7-8 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (110m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (750m)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 15 분 도보 (1.2km)",없음,80 석,예,"연기 분리
(전자 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 30 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명",,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","999 엔 미만의 모든 금액 가격, All-You-Can-Drink 가격 1000-1999 엔, All-You-Can-Drink Price 2000-2999 엔, 전 ALL-YOU-CAN-DRINK 가격 3000-4999 YEN, All-You-Can-Drink 가격 5000 Yen 또는 3000-3999 YEN, All-You-Drink kurs 포함 4000-4999 엔, 5000 엔 이상을위한 모든 링크 코스 코스, 1 시간 반 동안의 싱글 코스 코스, 1 시간 반, 싱글 링크 시간, 2 시간 반, 3 시간 반 동안, 3 시간 동안, 3 시간 반, 3 시간 반, 3 시간 동안 다듬어","우리는 야채 요리, 고기 요리, 유기농 야채, 채식 메뉴, 요리사가 유명한 레스토랑에서 훈련을 받았으며, 유명한 요리사, 주인 요리사 및 매장 내 준비에 대해 특히 알고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리",사용 가능한 예약,"마시는 점심 시간 개인 객실 저녁 식사 늦은 밤에 열린 마실 개인 실
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
단독 주택 레스토랑
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
배송 가능",,,없음,03-5708-5528,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001572140/archive/2541896-61956da9891f9.jpg,불가능합니다,예 (무료),,,,"가라오케, TV 및 모니터, 오디오 장비, 다트",,,
えびす呑み場 やました,Ebisu 음주 지점이 여기에있었습니다,https://retty.me/area/PRE13/ARE7/SUB701/100001347604/,03-5708-5987,이자카야 일본 요리 해산물과 해산물 요리 핫 포트 바,"[월요일부터 금요일, 토요일, 휴일]
 11:30-14:30
 16:00-23:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"Keijo Building 3F, 1-8-9 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (98m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (670m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 14 분 (1.1km)",없음,"26 석
(서있는 음주 공간이 있습니다. 8 ~ 10 명.","예
(7 명)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다",,,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상을위한 All-You-Can-Drink가 포함되어 있습니다. 3 시간 넘게 만약을 만듭니다",그는 생선 요리에 대해 특히 유명한 식당에서 훈련을 받았습니다.,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심 만세 연회와 음주 파티 싱글 싱글 싱글 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음주 음료 와인 어린이 세련된 저녁 식사
다른 사용 장면을 참조하십시오","개방성이 있습니다
차분한 분위기",,없음,예,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35589492.jpg,불가능합니다,예 (무료),,,,,,,
博多満月 恵比寿店,Hakata Mangetsu Ebisu 매장,https://retty.me/area/PRE13/ARE7/SUB701/100000088939/,03-6408-9460,Izakaya Gyoza Yakitori,"[월요일부터 금요일까지]
점심 11:30-14:30
[월요일 ~ 목요일]
저녁 식사 17:00-23:30
[금요일, 토요일, 휴일 전]
저녁 식사 17:00-5:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"Daikoku Building, 1-8-14 Ebisu, Shibuya-Ku, 도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (57m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (720m)
JR Yamanote Line / Shibuya Station 14 분 도보 (1.1km)",없음,92 석,없음,"예
(점심은 오전 11시 30 분에서 오후 1시 사이에 완전히 금연합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명",,,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2,999 엔 미만으로 이용할 수 있으며, 모든 링크 코스는 3,000 엔 -3,999 엔, 2 시간 동안 All-You-Can-Drink에서 구입할 수 있습니다.",,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,"점심으로 점심으로 마시는 연회/음료 작별 파티를 환영 파티 연말 파티 새해 파티를 마실 수 있습니다
다른 사용 장면을 참조하십시오",,,,예,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36281531.jpg,불가능합니다,,,,,,,,
上越やすだ 恵比寿店,Joetsu Yasuda Ebisu 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000878883/,03-6452-3707,Izakaya tonkatsu 해산물 및 해산물 일본 요리 술 바 테이크 아웃 배달/배달 사시미 카레 돼지 요리 요리,"[월요일부터 금요일까지]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[토요일/휴일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17 : 30-22 : 00 L.O. 21:00
마감 시간은 하루에 따라 다를 수 있습니다","매주 일요일
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 5,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, AU 지갑","후쿠 타카 빌딩 1f, 1-14-10 ebisu minami, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Ebisu 역에서 도보로 3 분 거리 (180m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (820m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 16 분 (1.2km)","없음
근처 (할인 없음) 사용 가능","57 석
(반 개인 방 (3-4 명) 1 객실, 개인 실 (4-8 명) 2 룸)","예
(17 석)","(흡연은 상점 내부에서 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","불가능합니다
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",https://www.joetsu-yasuda-ebisu.com/,,"8,000 엔 이상의 코스","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 한 시간 반 동안 싱글 링크, 2 시간 동안 all-you-can-drink","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"점심, 쌀, 음료수, 저녁 식사, 쿠폰 이용 가능, 비영리, 개인 점심, 개인 객실 엔터테인먼트, 데이트, 개인 객실 날짜, Paypay Payment, 연말 파티, 새해 파티, 점심 시간 음주, 개인 실
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다","축하 가능성
음료를 가져올 수 있습니다
배송 가능",평상복,"예
유아, 유치원 어린이, 초등학생을 환영합니다",없음,,"영어 중국어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000878883/archive/669931-5c342a1b3b05c.jpeg,불가능합니다,,PayPay Alipay를 사용할 수 있습니다.,https://x.com/ ebisuyasuda,https://www.facebook.com/yasudaebisu/,,,,
和食個室居酒屋 響き 恵比寿本店,일본 개인 실 IZAKAYA HIBIKI EBISU 메인 매장,https://retty.me/area/PRE13/ARE7/SUB701/100001325029/,03-6628-8318,Izakaya 해산물/해산물 kyushu 요리 일본 요리 Shabu-Shabu,"[하루 종일]
저녁 식사 16:00-24:00 L.O. 23:30
영업 시간은 하루에 따라 다를 수 있습니다
평일 점심을 예약하려면 전화로 문의하십시오.","하루 종일 개점
새해 휴일 : 12/31 ~ 1/1","점심 : ~ 4,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",PayPay,,"Gourmand Building 4F, 1-7-3 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (49m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 8 분 (600m)
JR Yamanote Line / Shibuya Station 13 분 도보 (1.0km)",,"120 석
(개인 객실 이용 가능! 언제든지 저희에게 연락하십시오.)",,"예
(흡연 분리는 개인 실에서 이용할 수 있습니다. 언제든지 저희에게 연락하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,,,,,,,"all-you-can-drink 결혼 기념일 연회 및 음주 파티 개인 방 참여 저녁 식사 파티 싱글 파티 파티 연말 파티를 환영합니다. 새해 파티를 마시는 새해 파티를 마시는 세련된 식당/저렴한 레스토랑 흡연 허용 생일
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001325029/archive/3551411-67d6a06c2680e.jpg,,,,,,,,,
達磨,Datsuma,https://retty.me/area/PRE13/ARE7/SUB701/100000113102/,03-3792-1636,이자카야,,,"점심:-
저녁 식사 : ~ 3,000 엔",,PayPay,,"1-2-12 에비 수 미나미, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (41m)
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (580m)
도쿄 메트로 히비 야 라인 / 나카 메 구로 스테이션 13 분 (1.0km)",,,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,맛있는 레스토랑과 저렴한 식당 흡연은 급여 지불 지불이 가능합니다.,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/21900557.jpg,,,,,,,,,
らんまん食堂 恵比寿店,Ranman Shokudo Ebisu 지점,https://retty.me/area/PRE13/ARE7/SUB701/100000014924/,03-5489-4129,이자카야는 식사 카라우스 테이크 아웃 세트,"[월요일부터 금요일까지]
 11:30-14:30
 18:00-23:00
[토요일/휴일]
 12:00-14:30
 17:00-21:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,,"1f Uchino Building, 1-4-1 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Ebisu Station에서 도보로 3 분 거리 (190m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (520m)
JR Yamanote Line / Shibuya Station에서 도보로 12 분 (890m)",,24 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.rangmang.com/shop/rangmang-shokudo/ebisu.html,,,,,,,점심 맛있고 저렴한 레스토랑 급여 지불 지불 이용 가능한 연말 파티 새해 파티 all-you-can eat and drink casual,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000014924/archive/2717215-6287736063a51.jpeg,,,,,,,,,
酒処 おやっとさぁ。,알코올.,https://retty.me/area/PRE13/ARE7/SUB701/100001299876/,03-6416-5283,이자카야,"[하루 종일]
 17:00-24:00",명확하지 않습니다,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,,,"2f Ebisu Kato Building, 1-7-15 Ebisu Nishi, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 1 분 (78m)
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (580m)
JR Yamanote Line / Shibuya 역에서 도보 13 분 (990m)",,,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"저녁, 쌀, 맛있고 저렴한 식당, 흡연 허용, Shochu는 취할 수 있습니다.",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32152517.jpg,,,,,https://www.facebook.com/oyattosa.jp/,,,,
きのこ,버섯,https://retty.me/area/PRE13/ARE7/SUB701/100000049753/,03-5420-0108,이자카야 야채 오리,"[월요일부터 금요일, 토요일, 휴일]
 17:00-29:00",매주 일요일,"점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,,"Ebisu Yokocho, 1-7-4 Ebisu, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (120m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (820m)
JR Yamanote Line / Shibuya Station 15 분 도보 (1.1km)",,15 석,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"싱글은 첫 번째 기차 저녁 식사 저녁 식사 저녁 식사 식당/저렴한 레스토랑까지 흡연 할 때까지 흡연 할 때까지 늦은 밤 지불 가능 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/4928196.jpg,,,,,,,,,
えびす駄菓子バー,에비 수 캔디 바,https://retty.me/area/PRE13/ARE7/SUB701/100000053249/,03-5458-5150,이자카야 바 식당 바 야키토리,"[월요일부터 금요일, 토요일, 휴일 전]
 18:00-4:30 L.O. 4:00
[일요일과 휴일]
 17:00-24:00 L.O. 23:30",불규칙한 휴일,"점심:-
저녁 식사 : ~ 3,000 엔",불가능합니다,,,"1-13-7 에비 수 니시, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (490m)
JR Yamanote Line / Shibuya Station 13 분 도보 (1.0km)",,38 석,예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://servicemart.co.jp/dagashi/shoplist.html,,,,,,,"연회 및 음주 파티 솔로 작별 파티를위한 OK 파티 연말 파티 새해 파티 새해 파티 첫 번째 기차 저녁 식사 디너 맛있는 레스토랑과 저렴한 레스토랑이 흡연 할 때까지 세련된 오픈 오픈 애프터 파티
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36209769.jpg,,,,https://x.com/ebisudagasibar,https://www.facebook.com/dagashibar.ebisu,,,,
Porto Bello,포르토 벨로,https://retty.me/area/PRE13/ARE7/SUB701/100001158926/,03-6447-7557,이탈리아 요리,"[하루 종일]
 11:30-15:00 L.O. 14:30
 17:30-23:00 L.O. 22:00
[코로나 바이러스 대책 진행]
- 알코올 소독제가 입구에 설치됩니다. 손을 소독하십시오.
- 우리는 상점 내부에서 철저한 환기를 보장하기 위해 창문을 열었습니다.","하루 종일 개점
새해의 휴일과 Obon 제외","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex",PayPay,,"1-27-19 에비 수, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu Station 7 분 도보 (540m)
도쿄 메트로 히비야 라인 / 히로 스테이션에서 도보로 11 분 (830m)
도쿄 도요코 라인 / 다이키 야마 역 18 분 도보 (1.4km)","없음
근처 (할인 없음) 사용 가능",25 석,예,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 25 명까지 임대 할 수 있습니다
예약 할 수있는 사람 수에 대한 최저 한도 (스탠드 스탠드 식사) 25 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",,,"2,999 엔, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","4,000 엔에서 4,999 엔으로 인한 싱글 링크와 5,000 엔 이상을위한 모든 싱크 링크, 2 시간 동안 전세계 점점을 포함하는 코스가 포함되어있는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 요리사가 해외에서 훈련, 주인 요리사 및 매장 준비에 대해 특히 알고 있습니다.","맥주, 와인, 칵테일",사용 가능한 예약,"점심, 데이트, 여자 파티, 모든 링크, 결혼 기념일, 연회 및 음주 파티, 성인의 은신처, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인, 주차장, 유기농 요리, 개인 접시, 개인
다른 사용 장면을 참조하십시오","천장이 높습니다
조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",평상복,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001158926/archive/530278-5b8f142a4fa11.jpg,"불가능합니다
상점 밖에서 사용할 수 있습니다",,,,,,,,
Trattoria L'astro,Trattoria l 'Astro,https://retty.me/area/PRE13/ARE7/SUB701/100001451600/,03-3446-7998,이탈리아 바 테이크 아웃,"[월요일부터 금요일과 토요일]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00",매주 일요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",Amex,PayPay,,"Maison de Perle 1f, 1-22-13 Ebisu, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 6 분 (420m)
도쿄 메트로 히비야 라인 / 히로 스테이션에서 도보 13 분 (970m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 16 분 (1.3km)",,32 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.soh-corporation.co.jp/restaurants/,,,,,,,"점심, 솔로, 음료 와인, 세련된, 저녁 식사, 금연, 세련된, 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30622846.jpg,,,,,,,,,
Bacio di Giulietta 恵比寿ガーデンプレイス店,Bacio di Giulietta Ebisu Garden Place 상점,https://retty.me/area/PRE13/ARE7/SUB701/100000715010/,03-3473-9187,이탈리아 피자 파스타,"[월요일부터 금요일까지]
점심 11 : 30-16 : 00 L.O. 15:00
저녁 식사 17:00-22:00 L.O. 21:00
[토요일/휴일 전]
 11:00-22:30 L.O. 21:30
[일요일과 휴일]
 11:00-22:00 L.O. 21:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.
시설과 동일합니다
폐쇄 일은 Google 및 Tabelog에 나열되어 있습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,,"Ebisu Garden Terrace Bubankan, 4-20-2 Ebisu, Shibuya-Ku, 도쿄 1f
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 8 분 (620m)
JR Yamanote Line / Meguro 역에서 도보로 12 분 (940m)
도쿄 메트로 히비야 라인 / 히로 스테이션 16 분 도보 (1.2km)",,40 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 데이트, 솔로, 크리스마스 저녁 식사, 세련된, 저녁, 쌀, 금연, 점심 날짜, 세련된 점심
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34515703.jpg,,,,,,,,,
Aponte,aponte,https://retty.me/area/PRE13/ARE7/SUB701/100000007378/,03-5773-0580,이탈리아 요리 숯 구이 훈제 서부 요리 해산물과 해산물 파스타,"[월요일부터 금요일과 토요일]
 18:00-25:00 L.O. 25:00
[일요일과 휴일]
 18:00-22:00 L.O. 22:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 8,000 엔",Amex,PayPay,,"1-12-26 Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu Station 7 분 도보 (500m)
JR Yamanote Line / Meguro 역에서 도보 13 분 (990m)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",,33 석,"예
(카운터에서 25 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.aponte-ebisu.net/,,,,,,,"날짜, 소녀의 밤, 솔로 엔터테인먼트, 성인 은신처, 크리스마스 저녁 식사, 와인 음료, 세련된, 저녁 식사, 쌀, 금연, 생일, 지불금 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30016386.jpg,,,,,,,,,
タベルナクアーレ　恵比寿,"Tabernaquare, ebisu",https://retty.me/area/PRE13/ARE7/SUB701/100000023527/,03-5773-5556,이탈리아 요리 테이크 아웃 치즈 요리 치즈 퐁듀 파스타 서부 요리 와인 바,"[하루 종일]
점심 11:30-14:30 L.O. 14:00
[Sun, 월요일부터 목요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 18:00-23:00 L.O. 22:00
[금]
저녁 식사 18 : 00-23 : 30 L.O. 22:30","하루 종일 개점
갑작스런 영업일의 변화는 Facebook에서 발표됩니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
Amex
식당
JCB",,,"Paiza Ebisu Building 1f, 2-3-1 Ebisu Minami, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ebisu 역에서 도보로 2 분 거리 (87m)
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (590m)
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 13 분 (980m)",,20 석,"예
(2 석)","불가능합니다
(주중 오후 9시 이후에 흡연이 허용됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 날짜, 연회 및 음주 파티, 싱글 OK, 엔터테인먼트, 엔터테인먼트, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인, 세련된, 저녁, 쌀, 비 흡연, 점심 날짜
다른 사용 장면을 참조하십시오",,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/32605617.jpg,,,,,https://www.facebook.com/tavernaquale.jp,,,,
