restaurant_name,translated_restaurant_name,url,tel,genre,business_hours,closed_days,budget,credit_card,qr_code_payment,address,entrance,parking,seats,counter_seats,smoking,private_room,store_website,remarks,lecture,available_drinks,cooking_specialties,drinking_specialties,usage_scenes,waiting,service,child_friendly,pet_friendly,power_supply_available,wifi_available,phone_number,foreign_language_support,video,private,reservation,dress_code,twitter,facebook,additional_equipment,ic_card_payment,instagram,beer_maker
世界中の料理×貸切 秋葉原旅食ダイニングJourney×Journey,전 세계 음식 x 개인 아키하바라 여행 식당 여행 x 여행,https://retty.me/area/PRE13/ARE11/SUB1102/100001204017/,080-4096-5577,이자카야 국제 요리 마늘 요리,"[월요일부터 금요일까지]
점심 11 : 45-14 : 30
[월요일부터 금요일과 토요일]
저녁 18 : 00-23 : 00","매주 일요일
우리는 일반적으로 일요일에 문을 닫았지만 개인 서비스를 사용하는 경우 언제든지 문의하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-13-9 Taito, Taito-Ku, 도쿄 브리드 아키하바라
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 5 분 (360m)
도쿄 메트로 히비야 라인 / Nakaokachimachi Station에서 도보로 7 분 거리 (520m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 8 분 (600m)",없음,28 석,예,"예
(흡연은 두 번째 상점에서 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://journeyxjourney.world/,,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스가 있습니다.","4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 위스키","점심 식사를위한 점심 사라진 연회 및 음료 솔로 손님을위한 음식 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 어린이와 함께 즐거운 세련된 개인 공간 저녁 식사 쌀 흡연 세련된 점심
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",예,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001204017/archive/228968-6061a2ab27dd.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 10 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠딩 식사) 10 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)",사용 가능한 예약,,,https://www.facebook.com/pages/akihabara 여행 식당 Journeyjourney/1580065845610662,,,https://www.instagram.com/jj_akihabara/,
trattoria SATOMI Fooding,Trattoria satomi 음식,https://retty.me/area/PRE13/ARE11/SUB1102/100000015896/,03-3863-8233,이자카야 이탈리아 요리 와인 바 노인 고기 이탈리아 바,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30
[토양]
저녁 식사 17:00-23:00
당분간, 우리는 저녁 시간에만 열릴 것입니다.",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"대만 건물 2F, 1-3-3 Kanda Izumicho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara Station 3 분 도보 (200m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 6 분 (470m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 7 분 거리 (530m)",없음,"50 석
(타타미 좌석 이용 가능)",예,"불가능합니다
완전히 흡연이 허용됩니다
(외부 및 외부의 흡연 구역이 있습니다)))))))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://satomifooding.owst.jp,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 이상을위한 모든 싱크 링크를 포함하는 코스가 포함 된 코스가 포함되어 있습니다.","우리는 야채 요리, 고기 요리, 유기농 야채 및 매장 내 준비에 특히 도움이됩니다.","맥주, 와인, awamori","날짜 all-you-can-drink banquets/drink parties 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 술을 마시는 세련된 유기농 요리를 예약 할 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",,불가능합니다,불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000015896/archive/2178543-5ff47790a8281.jpeg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 50 명",사용 가능한 예약,없음,,,,,,
貸切専門蕎麦処陸人,개인 전문가 소바 국수,https://retty.me/area/PRE13/ARE11/SUB1102/100001436220/,03-5825-4484,이자카야 소바 (소바) 바,"[일요일, 월요일부터 금요일, 휴일 전, 휴일 전]
점심 11:30-14:00
[월요일부터 금요일까지, 휴일 전]
저녁 식사 16:00-23:00
[일요일과 휴일]
저녁 식사 17:30-22:00
마감 시간은 하루에 따라 다를 수 있습니다",매주 토요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"3-14-2 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보 4 분 (270m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (300m)
Jr Chuo / Sobu Line / Asakusabashi Station에서 도보로 7 분 거리 (550m)","예
이웃 P (할인) 사용 가능","10 석
(카운터 좌석 만)","예
(두 사람을위한 카운터가 있습니다.)","불가능합니다
(상점 외부에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",https://page.line.me/565zma?oat_content=url&openqrmodal=true,"・ 우리는 당신이 모두 먹고 온전한 마감에 대한 현금 만 청구합니다.

・ 6 명을 위해 예약 할 수 있습니다","6,000 엔에서 6,999 엔으로 구입할 수 있습니다","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",매장 내 준비,"맥주, 사케, 쇼치, 와인, 위스키","점심 모든 당신이 점심-링크 연회/음주 파티 개인 실
다른 사용 장면을 참조하십시오","보기가 좋습니다
조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001436220/archive/1079833-5d5f7be1bd805.jpeg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (4 명
예약 할 수있는 제한된 수의 사람들 : 10 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 4 명
예약 할 수있는 제한된 수 (스탠드 스탠딩 식사) 15 명",저녁 식사 시간에만 사용할 수 있습니다,없음,,,,,https://www.instagram.com/requt_requt/,
魚や藤海,물고기와 후지해,https://retty.me/area/PRE13/ARE11/SUB1102/100001240299/,050-5303-2515,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일과 토요일]
 17:00-23:00
업무 시간에 대한 최신 정보는 트위터에서 확인하십시오.",매주 일요일과 공휴일,"점심:-
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1 번째 지하실 바닥, Dainichi Kanda Building, 2-13-7 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역 (300m)에서 도보로 4 분
JR Chuo Line (Rapid Express) / Ochanomizu Station에서 도보로 7 분 거리 (550m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 8 분 (570m)",없음,40 석,"예
(카운터에서 9 석)","불가능합니다
(흡연 구역은 별도로 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,,"5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000 엔 -2,999 엔, 5,000 엔 이상, 2 시간 동안 온전한 링크",우리는 생선 요리와 식품 생산 공간에 특히 그렇습니다. 요리사는 유명한 식당에서 훈련을 받았으며 주인 요리사와 매장 내 준비가 가능합니다.,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리","엔터테인먼트 개인 룸 개인 실
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성","예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,없음,03-3526-5583,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001240299/archive/527039-5b88f4c8e6226.jpg,예,사용 가능한 예약,없음,,,,,,
すし土風炉 秋葉原店,스시도 푸로 아키하바라 상점,https://retty.me/area/PRE13/ARE11/SUB1102/100000698585/,03-3865-0880,이자카야 해산물/해산물 요리 일본 소바 (Soba),자세한 내용은 공식 웹 사이트를 확인하십시오.,하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3-37 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara Station 3 분 도보 (170m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (270m)
Jr Chuo / Sobu Line / Asakusabashi Station에서 도보로 9 분 (660m)",없음,247 석,없음,"예
흡연실 사용 가능
(모든 좌석은 금연이지만 식당 안에는 흡연실이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",https://tofuro-shop.com/akihabara/,Pasmo와 Kitaka 지불 가능,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink Course에는 5,000 엔 이상, All-You-Can-Drink","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리","개인 객실, 싱글, 크리스마스 저녁 식사, 어린이와의 재미, 세련된, 영어를 구사할 수있는, 흡연 허용, 세련된 개인 객실, 개인 엔터테인먼트, 무료 Wi-Fi, 세련된, 캐주얼, 성인 연말 파티, Quick-End Party
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
테이크 아웃 가능성",예,불가능합니다,예 (무료),예,,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000698585/archive/3112018-64c0cfb3eeeb5.jpg,,사용 가능한 예약,평상복,,,"프로젝터, TV 및 모니터 사용 가능","Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca",,
串よし お茶の水,꼬치 Ocha 물 없음,https://retty.me/area/PRE13/ARE11/SUB1102/100000076768/,03-5256-0254,Yakitori Izakaya 숯 구이 치킨 요리,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 23:00","매주 일요일과 공휴일
폐쇄 요청으로 인해 4 월 25 일부터 6 월 20 일까지 마감됩니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Hosho Building 1f, 2-1-6 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (150m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역 (160m)에서 도보로 2 분
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 3 분 거리 (170m)",없음,45 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔, 4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.","우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리","all-you-can-drink 연회 및 음주 파티 싱글 싱글 싱글 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티를 마시는 새해 파티를 마시는 와인 영어 사용 가능한 개인 공간 저녁 식사 쌀 흡연 허용 쇼치 캐주얼
다른 사용 장면을 참조하십시오","보기가 좋습니다
골목을 향합니다","놀라운 응답 가능
축하 가능성",불가능합니다,불가능합니다,예 (무료),없음,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000076768/archive/2045661-5f9f66d172df5.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
최대 40 명을 임대 할 수 있습니다
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",사용 가능한 예약,없음,https://x.com/myohdera,,TV 및 모니터 사용 가능,,,
バーブレス,수들,https://retty.me/area/PRE13/ARE11/SUB1102/100000777676/,03-3253-0707,바 식당 바,"[하루 종일]
 17:00-1:00 L.O. 1:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Fujii Building 1f, 2-1-4 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 2 분 (130m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역 (150m)에서 도보로 2 분
Tokyo Metro Chiyoda Line / Shin-Ochanomizu Station에서 도보로 2 분 거리 (150m)",,25 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"연회 및 음주 파티 솔로 손님을위한 OK FOREWELL 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인 세련된 저녁 식사를 마시는 세련
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16657627.jpg,,,,,,,,,
Pasta Bar MAKITA,파스타 바 마키타,https://retty.me/area/PRE13/ARE11/SUB1102/100000759782/,03-3252-4488,파스타 이탈리아 식당 바 햄버거,"[Sun, 화요일, 금요일, 토요일 및 휴일]
점심 11:30-14:30
[tue-fri]
저녁 식사 17 : 30-23 : 00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 17 : 30-22 : 00 L.O. 21:00",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"2-10-6 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 4 분 거리 (290m)
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 6 분 (470m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",없음,19 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"5,000 ~ 5,999 엔 코스로 제공됩니다","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 재료 및 주인 요리사 및 매장 준비에 특히 도움이됩니다.","맥주, 와인, 위스키, 칵테일","점심 모든 당신이 마시는 연회와 음주 파티 싱글 싱글 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 아이들 세련된 영어 사용 가능한 저녁 식사
다른 사용 장면을 참조하십시오",차분한 분위기,"축하 가능성
테이크 아웃 가능성","예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,,없음,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000759782/archive/1807410-5f3b74110a234.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) 12 명
최대 20 명까지 임대 할 수 있습니다",사용 가능한 예약,평상복,,https://www.facebook.com/pastabarmakita/,,"Suica, Icoca, Nanaco, Rakuten Edy, Waon",,
盤古殿 秋葉原UDX店,Pankodono Akihabara UDX 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100001256708/,03-6206-9797,중국 요리 딤섬 / 딤섬 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30
[태양, 토요일, 휴일]
 11:00-22:00 L.O. 21:30
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","매주 일요일
공휴일이라면 다음날 문을 닫습니다.
긴 휴가의 경우 마지막 날은 문을 닫습니다.
우리는 2023 년 5 월부터 일요일에 문을 닫을 것입니다.
또한 월요일이 공휴일이라면 휴가의 마지막 날은 문을 닫습니다.","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"4-14-1 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Akihabara Station 4 분 도보 (260m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (560m)",예,80 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://akbudx.bankogroup.jp/,,"3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 5,000 엔 이상, 2 시간 동안 온 All-You-Can-Drink",,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인","점심 모든 당신이 마시는 연회/음주 파티 개인 방 약혼 저녁 파티 싱글 파티 파티를 환영합니다. 연말 파티 연말 파티 새해 파티 아이들과 함께 즐길 수있는 새해 파티 세련된 개인 방 저녁 식사 비 흡연 개인 객실 점심 스타일리쉬 한 점심
다른 사용 장면을 참조하십시오",상업용 시설에 위치합니다,"테이크 아웃 가능성
배송 가능",예,불가능합니다,,예,,중국인,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001256708/archive/256993-61B1738496551.jpg,예,사용 가능한 예약,,,,프로젝터 및 사운드 장비,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",,
かぐらや 秋葉原店,Kaguraya Akihabara 상점,https://retty.me/area/PRE13/ARE11/SUB1102/100001296295/,03-5835-3758,Izakaya 핫팟 크리에이티브 요리 소바 (Soba),"[하루 종일]
점심 11:00-15:00 L.O. 14:40
[월요일부터 금요일, 토요일, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:30
[일요일과 휴일]
저녁 식사 17:00-22:00 L.O. 21:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-1 Kanda Sakumacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (42m)
Toei Shinjuku Line / Iwamotocho Station에서 도보로 3 분 거리 (170m)
JR Yamanote Line / Kanda (도쿄) 역 9 분 도보 (660m)",없음,61 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",http://www.tori-tetsu.com/shop/1046p/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일","점심 만세 연회/음료 파티 솔로 작별 파티에 이용할 수있는 개인 방 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시십시오.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳",,예,,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001296295/archive/859756-5cb7c93126e63.jpg,"예
최대 40 명을 임대 할 수 있습니다",사용 가능한 예약,,,,,,,
クラフトビールタップ ヨドバシAkiba店,크래프트 맥주 탭 Yodobashi Akiba 매장,https://retty.me/area/PRE13/ARE11/SUB1102/100001229600/,03-3526-3248,이자카야 맥주 바 함부르크 카페,"[하루 종일]
점심 11:00-14:00 L.O. 13:30
저녁 식사 14:00-23:00 L.O. 22:00","불규칙한 휴일
시설과 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
식당
JCB",,"Yodobashi Akiba 8f, 1-1 Kanda Hanaokacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Akihabara 역에서 도보로 1 분 (55m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 진 자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 7 분 거리 (550m)",예,"58 석
(48 테이블 좌석)","예
(10 카운터 좌석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"https://www.zato.co.jp/restaurant/craftbeertap/craftbeertap_akihabara/
http://www.world-liquor-importers.co.jp/craftbeertap/teezer.html",,"2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을 포함한 코스와 5,000 엔 또는 그 이상을위한 모든 코스를 포함하는 코스가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료 및 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 칵테일, 아와 모리","점심 만세 연회 및 술 파티 약혼 저녁 식사 독신자 엔터테인먼트 작별 파티 환영 파티 크리스마스 저녁 파티 새해 파티 술을 마시는 와인을 마시는 와인 세련
다른 사용 장면을 참조하십시오",개방성이 있습니다,"놀라운 응답 가능
소믈리에가 있습니다
테이크 아웃 가능성",예,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34343897.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 50 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 58 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 58 명",사용 가능한 예약,,,,,,,
キオッチョラ・ピッツェリア,Chiocciola Pizzeria,https://retty.me/area/PRE13/ARE11/SUB1102/100000449105/,03-3258-5671,이탈리아 요리 피자 이탈리아 바 이자카야 와인 바,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 식사 17:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
점심 11:00-16:00
[토양]
저녁 식사 16 : 00-23 : 30 L.O. 22:30
[일요일과 휴일]
저녁 식사 16:00-22:30 L.O. 21:30","불규칙한 휴일
불규칙한 휴일 (Akihabara UDX와 동일)","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"Akiba_ichi 1f, Akihabara Udx, 4-14-1 Sotokanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 / 수에 히로 코 (도쿄) 역에서 도보로 4 분 거리 (260m)
JR Yamanote Line / Akihabara Station 4 분 도보 (260m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 7 분 거리 (560m)",,100 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://pizzeria.jp/,,,,,,"점심, 데이트, 여자의 밤 외출, 솔로, 크리스마스 저녁 식사, 음료 와인, 세련된, 저녁 식사, 비 흡연, 점심 데이트, 여자의 밤 외출, 세련된 점심, 지불금 지불 가능, 세련된
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33872209.jpg,,,,,,,,,
