식당 이름,번역된 식당 이름,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
創作和食春秋 文化村通り,창조적 인 일본 요리 봄과 가을 빈 카무라 거리,050-5304-7154,"일본 요리, 해산물, 사시미, 테이크 아웃","[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 13:00
저녁 식사 17:00-22:30 L.O. 21:30
[태양, 토요일, 휴일]
점심 11 : 30-15 : 00 L.O. 13:00
저녁 식사 17:00-22:00 L.O. 21:00
*토요일, 일요일 및 공휴일에 오후 10시에 문을 닫습니다 (L.O. 21:00)","1 월 1 일, 1 월 2 일, 1 월 3 일, 12 월 31 일
*정부 또는 지방 정부의 요청으로 인해 영업 시간이 변경 될 수 있습니다. 예약을하거나 상점을 방문 할 때 상점에 확인하십시오.","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1F Fontis Building, 2-23-12 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 6 분 (410m)
JR Yamanote Line / Shibuya 역에서 도보로 8 분 (610m)
도쿄 메트로 치 요다 라인 / 요요기 코엔 역에서 도보 16 분 (1.3km)","없음
근처 (할인 없음) 사용 가능","70 석
(서있는 식사를 위해서만 거의 80-100 명이 사용할 수 있습니다.)","예
(부엌을 향한 자유 의식이있는 개방형 주방 카운터)","불가능합니다
(개정 된 건강 증진법의 시행으로 인해 상점 내부에서 흡연은 완전히 금지 될 것입니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 30 명
예약 할 수있는 제한된 수의 사람들 : 60 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점적 인 식사) 50 명
최대 80 명이 예약 할 수 있습니다 (스탠드 식사 식사)","https://shunju-bunkamuradori.foodre.jp/
https://shunju.com/shibuya","*음료를 가져 오면 요금이 부과됩니다. 가격이 합리적이라면 직원에게 연락하십시오. (예 : 와인 1 병 @ 4,500)","5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","5,000 엔 이상의 링크, 2 시간 동안 온 All-You-Can-Drink, 2 시간 반 동안 온 All-You-Can Drink가 포함 된 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간, 유기농 야채, 알레르기가있는 고객에게 수용 할 수 있으며 매장 내 준비에 대해 특히","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"술, 그룹 날짜, 엔터테인먼트, 쌀, 개인 실, 와인, 개인 실, 엔터테인먼트, 생일, 페이 페이 포인트 받기, 온라인 예약 가능, 새해 파티, 점심 시간 음주, 점심, 저녁 식사를 마실 수 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳","축하 가능성
음료를 가져올 수 있습니다
휴대품 룸이 있습니다",평상복,"예
초등학생들은 환영합니다",불가능합니다,,예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",03-3770-0019,,https://www.facebook.com/shunjubunkamura,,휴대품 룸이 있습니다,,,,
ボンサイ,분재,050-5462-5792,이자카야 오덴 해산물과 해산물,"[월요일부터 금요일까지]
저녁 식사 17:00-24:00 L.O. 23:30
[Sun, Saturday, Holidays, 휴일 전]
저녁 식사 16:00-24:00 L.O. 23:30
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
[월요일, 화요일, 수요일, 목요일, 금요일, 토요일, 일요일, 공휴일 및 공휴일 전날]
점심 L.O. 요리 15:00 음료 15:30
저녁 식사 L.O. 음식 04:00 음료 04:30",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Chitose Hall 2F, 13-8 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)","없음
근처 (할인 없음) 사용 가능",43 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://bonnsai.foodre.jp/,"적격 송장 (송장)에 대해 영수증을 발행 할 수 있습니다.
*최신 등록 상태의 경우, 국가 세금 기관의 송장 시스템 자격 송장 발행 회사를 확인하거나 매장에 문의하십시오.
[개인 사용을위한 추가 정보]
개인 용도에 대한 자세한 내용은 당사에 문의하십시오.
[LO 표기법]
우리는 LO 레스토랑으로 LO 업무 시간으로 등록했지만 LO 음료는 30 분 전입니다.

12 월에는 코스 수수료와 별도로 1 인당 500 엔을 청구합니다.","3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","999 엔, 3,000 ~ 3,999 엔 미만의 all-can-drink 가격은 모두 당신의 링크 코스, 4,000 ~ 4,999 엔, all-you-can-drink 코스, 2 시간의 모든 링크를 포함합니다.",우리는 야채 요리와 고기 요리에 대해 특별합니다,,사용 가능한 예약,"작별 파티, 점심 시간 음주, 저녁 식사, 데이트, 모든 싱크 링크, 모든 당신이 먹고, 모두 먹고, 모든 당신이 먹고, 온전한 파티, 캐주얼, 페이 페이 포인트 받기, 온라인 예약 가능
다른 사용 장면을 참조하십시오",차분한 분위기,"놀라운 응답 가능
축하 가능성",,불가능합니다,,예 (무료),예,,080-7539-7864,,,,,https://www.instagram.com/bonsai_shibuya/,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay",,
近江うし焼肉 にくTATSU 渋谷店,OMI USHI YAKINIKU NIKU TATSU SHIBUYA 지점,050-5304-3472,스테이크 야키 니쿠,"[월요일 ~ 목요일]
저녁 식사 16:00-23:00 L.O. 22:30
[금과 앉았다]
 11:30-23:00 L.O. 22:30
[일요일과 휴일]
 11:30-22:00 L.O. 21:00",새해 휴일 (확인하십시오),"점심 : ~ 4,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-20-15 Jinnan, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)","없음
근처 (할인 없음) 사용 가능",51 석,,"불가능합니다
(상점의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,"[공식적인]
https://nikutatsu-shibuya.foodre.jp/
https://nikutatsu-shibuya.com/","PayPay, DPay, AuPay 지불이 가능합니다","7,000 엔 ~ 7,999 엔 코스, 8,000 엔 코스 이상으로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 한 시간 반 동안 온 맨 링크","우리는 고기 요리에 대해 특히, 알레르기가있는 고객을 수용 할 수 있으며, 어린이를위한 메뉴, 매우 매운 메뉴, 매장 내에서 준비된 메뉴를 갖추고 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 어린이, 개인 실, 솔로 손님, 개인 실, 세련된 점심, 지불금 지불, 새해 파티, 작별 파티, 환영 파티, 점심 음주, 크리스마스 2024, 성인 연말 파티, 스타일리쉬
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,"예
아이들은 환영합니다, 유치원 어린이는 환영 받고, 초등학생을 환영하고, 이유식을 가져오고, 어린이 메뉴를 이용할 수 있고, 알레르기 음식을 수용 할 수 있습니다",불가능합니다,예 (무료),예,언어를 말할 수있는 직원이 있습니다,03-5489-2911,,,,,,"Suica, Manaca, Toica, Icoca, Hayakaken, Nimoca, Sugoca, Quicpay",,
俺のビストロ渋谷,내 비스트로 시부야,050-5462-7888,비스트로 파스타,"[월요일부터 금요일까지, 휴일 전]
 16:00-23:00 L.O. 22:30
[토양]
 11:30-23:00 L.O. 22:30
[일요일과 휴일]
 11:30-22:00 L.O. 21:30",,"점심 : ~ 4,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Sede Building B1F, 1-5-2 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (77m)",없음,"92 석
(80 개의 테이블 좌석, 12 개의 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",예,https://www.oreno.co.jp/restaurant/bistro_shibuya,,"5,000 ~ 5,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, all-you-can-drink 가격 : 2,000 엔 -2,999 엔",,"맥주, 와인, 칵테일",사용 가능한 예약,"Farewell Party 점심 개인 룸 저녁 식사 용 라이스 와인 음료 페이 페이 지불 가능 PayPay Points Get Paypay Points
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다",없음,예,,,예,,03-5489-8819,,,,,https://www.instagram.com/https://www.instagram.com/oreno_bistro_shibuya/?hl=ja,"Suica, Nanaco, Rakuten Edy, Quicpay",,
筋肉食堂 RAYARD MIYASHITA PARK,근육 레스토랑 Rayard Miyashita Park,050-5462-7646,"스테이크, 테이크 아웃, 햄버거, 쇠고기 요리, 식당 바, 와인 바","[월요일부터 금요일까지]
점심 11:00-15:00 L.O. 14:30
[태양, 토요일, 휴일]
 11:00-23:00 L.O. 22:00
마지막 순서
음식 LO22 : 00 / 음료 LO22 : 30
그랜드 메뉴는 주말과 휴일에 하루 종일입니다.","불규칙한 휴일
자세한 내용은 공식 웹 사이트를 확인하십시오.
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"6-20-10 Jingumae, Shibuya-Ku, 도쿄, 3 층, Miyashita Park South
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (170m)",예,"48 석
(40 개의 테이블 좌석, 8 개의 카운터 시트)","예
(8 개의 카운터 좌석)","불가능합니다
(가게 밖으로 나간 후 시설 내부에 흡연 부스가 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 48 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 40 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명","https://kinnikushokudo.jp/
https://mitsui-shopping-park.com/urban/miyashita/store/1568850.html","Jr Shibuya Station의 Hachiko 출구에서 도보 3 분
Rayard Miyashita Park의 3 층
(시설 내 반쯤 지점에 있습니다.)
비 베이 요코 코 입구 근처의 엘리베이터
또는 에스컬레이터를 사용하여 쉽게 할 수 있습니다.
모른다면 자유롭게 전화하십시오!","3,000-3,999 엔 코스, 4,000-4,999 엔 코스, 5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스가 있습니다.","3,000 엔에서 3,999 엔으로 인한 싱글 링크와 4,000 엔에서 4,999 엔을위한 all-you-can-drink를 포함하는 코스와 5,000 엔 이상에 대한 싱글 링크를 포함하는 코스가 포함 된 코스가 있으며, 2 시간 반에 걸쳐 두 번의 링크를 포함하는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리 및 현지 재료에 대해 특히 알고 있으며, 알레르기가있는 고객을 수용하고 매장 내에서 준비 할 수 있습니다.","맥주, 쇼치, 와인, 위스키",사용 가능한 예약,"점심, 저녁 식사, 저녁 식사, 저녁 식사, 와인, 와인, 연말 파티, 새해 파티, 개인 실, 작별 파티, 환영 파티, 점심 음주, 급여표 포인트, 온라인 예약 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
어린이는 환영하고, 미취학 아동은 환영하고, 초등학생은 환영하며, 알레르기 식품을 환영합니다.",불가능합니다,예 (무료),예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",03-6712-5229,,https://www.facebook.com/kinnikushokudo/,https://x.com/kinnikushokudo,,https://www.instagram.com/kinikushokudo/,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay, Au Wallet",,
渋谷 HIGHBALL BAR,시부야 하이볼 바,050-5304-9931,바 크래프트 맥주 바,"[월요일부터 금요일까지]
 16:00-29:00 L.O. 28:00
[토양]
 15:00-29:00 L.O. 28:00
[일요일과 휴일]
 15:00-23:00 L.O. 22:00
*마지막 음료 주문은 마감 시간 30 분 전입니다.
*업무 시간 이전에도 연회를 이용할 수 있습니다!
*공식 웹 사이트에는 이해하기 쉽고 큰 거래가 포장되어 있습니다! 아래의 ""홈페이지""를 방문하십시오",하루 종일 개점,"점심:-
저녁 식사 : ~ 2,000 엔",예,,"23-10 Udagawacho, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 도보 (32m)",,69 석,,"연기 분리
흡연실 사용 가능
(좌석 외에도 상점 안에는 흡연 공간이 있습니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://highballbar-shibuya.com/,dpay/aupay/line pay/rakuten pay/merpay/alipay/wechat pay/paypay/id,,,,,,"고기 쌀 후-파티 연회/음주 파티 저녁 식사 날짜 연말 파티 쿠폰 이용 가능 PayPay Point 온라인 예약 가능 전부-마시 링크 작별 파티 환영 파티 캐주얼
다른 사용 장면을 참조하십시오",,,,,,,,,050-2018-8953,,,,,,,,
俺のやきとり渋谷,내 야키토리 시부야,050-5462-7885,야키토리,"[월요일부터 금요일까지]
저녁 식사 17:00-23:30 L.O. 22:30
[태양, 토요일, 휴일]
점심 11:30-14:30
[토양]
저녁 식사 16 : 00-23 : 30 L.O. 22:30
[일요일과 휴일]
저녁 식사 16:00-22:30 L.O. 21:30",불규칙한 휴일,"점심 : ~ 3,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"3 층, 에메랄드 빌딩, 12-7 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (240m)",예,65 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://orenoyakitori-shibuya.foodre.jp/",,,,,,,"작별 파티 점심 저녁 식사 라이스 all-you-can-drink banquets/drink parties paypay points 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,예,,03-6416-3486,,,,,,,,
塩・酒・肴 中井商店,"소금, 알코올, 간식 Nakai Shoten",050-5462-7034,일본 요리 이자카야,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 식사 17:00-22:00
[태양, 토요일, 휴일]
 11:00-22:00",,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Shibuya Axch 2F, 2-17-1 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)",예,46 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심 만세 연회/음료 작별 파티 Rice Dinner Entertainment 환영 파티 급여 지불 지불 이용 가능 Paypay Point 온라인 예약 이용 가능한 점심 마시는 캐주얼 개인 객실
다른 사용 장면을 참조하십시오",,,,,,,예,,03-6427-4558,,,,,,,,
黒毛和牛と焼肉食べ放題 牛丸 渋谷店,all-you-eat kuroge kuroge wagyu 쇠고기와 Yakiniku Ushimaru Shibuya 지점,050-5462-2356,이자카야 야키 니쿠 쇠고기 혀 한국 요리,"[하루 종일]
 15:00-23:30 L.O. 23:00
전화 문의 (11 : 00-23 : 00)
*우리는 전화를 순서대로 응답 할 것이므로 전화를 걸지 않고 기다리십시오. (더 이상 23:00부터 연결할 수 없습니다)
*수의 사람들의 변경에 관한 취소 정책에 대해 통지 할 때는 위 시간 내에 확실히 알려주십시오.",하루 종일 개점,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"8F 시부야 JOW 빌딩, 30-5 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (180m)
Keio Inokashira Line / Shinsen Station에서 도보 8 분 (620m)",예,70 석,없음,"예
완전히 흡연이 허용됩니다
(흡연은 개인 실에서 분리됩니다. 저희에게 연락하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"[공식적인]
https://gyumaru-shibuya.foodre.jp/",,,,,,사용 가능한 예약,"모든 당신이 마시는 연회 및 음주 파티 라이스 점심 음료 생일 흡연 all-you-can-eat all-kan-eat meat meat/cheap 레스토랑 연말 파티 지불 지불 쿠폰 이용 가능한 쿠폰 온라인 예약 가능 새해 파티 이용 가능 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,예,,03-6635-1039,,,,,,,,
青山ガパオ食堂,오오야마 갭 파오 레스토랑,03-3797-9937,이자카야 테이크 아웃 태국 음식,"[하루 종일]
점심 11:30-15:00 L.O. 14:30
저녁 식사 18:00-23:00 L.O. 22:00
도쿄의 확산 방지와 같은 주요 조치를 해제하면서
3 월 22 일 화요일부터 우리는 다음과 같이 정상적인 영업 시간으로 돌아갑니다.
점심 : 11 : 30-15 : 00 (lo/14 : 30)
저녁 식사 18 : 00-23 : 00 (Lo/Food 22:00, 음료 22:30)
*테이크 아웃은 오후 9시 50 분까지입니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
JCB",PayPay,"Aoyama FM Building 1f, 2-8-10 Shibuya, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 9 분 (720m)
도쿄 메트로 진 자 라인 / 오모 테산도 (750m)에서 도보로 10 분
도쿄 메트로 치 요다 라인 / 메이 지 징 투마 역에서 도보 13 분 (1.0km)","없음
근처 (할인 없음) 사용 가능","45 석
(테라스 좌석, 12 석)","예
(8 개의 카운터 좌석)","(점심 시간에 테라스 좌석 만)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (좌석) : 15 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 30 명
예약 할 수있는 사람의 수에 대한 최저 한도 (독점 식사) 15 명
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 50 명",https://www.gapao-shokudo.com/,AuPay를 사용할 수 있습니다,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","3,000 엔에서 3,999 엔으로 인한 모든 코스가 포함 된 코스와 4,000 엔에서 4,999 엔을위한 모든 코스를 포함하는 코스와 5,000 엔 (5,000 엔), 2 시간 동안 올스 링크를 포함하는 모든 코스를 포함하는 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 매우 매운 메뉴, 요리사가 해외에서 훈련하고 매장 내 준비를했습니다.","맥주, 쇼카, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",사용 가능한 예약,"개인 실, 생일, 점심, 저녁, 점심, 테라스와 함께, 싱글 링크, 날짜, 연말 파티, 새해 파티, 개인 객실 점심, 개인 방 날짜, 점심 날짜, 기념일, 쿠폰 이용 가능, 급여 지불 포인트, 급여표 포인트
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
차분한 분위기
숨는 곳
골목을 향합니다
테라스가 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성
배송 가능",없음,예,"예
상점 밖에서 사용할 수 있습니다",예 (무료),예,영어,,,https://www.facebook.com/gapaoshokudo/,,,https://www.instagram.com/gapaoshokudo/,"Suica, Quicpay",Aoyama Gakuin University Children 's Castle United Nations University Image Forum,선 토리 등
カラオケの鉄人 渋谷道玄坂店,가라오케 Tetsujin Shibuya Dogenzaka 매장,03-6416-5681,식당 바,"[하루 종일]
 11:00-30:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-29-11 Dogenzaka, Shibuya-Ku, Tokyo 6th Central Building
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (74m)
Keio Inokashira Line / Shinsen 역에서 도보로 7 분 (510m)",없음,256 석,없음,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,,"PayPay 지불 가능. PayPay 포인트를 얻습니다. 온라인 예약 가능. 연말 파티. 새해 파티. 작별 파티. 파티를 환영합니다. 개인 실. 점심 음주. 평상복.
다른 사용 장면을 참조하십시오",,,,,,,예,,,,,,,,,,
あくとり代官 鍋之進 渋谷,Akutori 치안 판사 Nabenoshin Shibuya,050-5262-8427,이자카야 쇠고기 혀,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 16:00-23:00 L.O. 22:00","하루 종일 개점
*새해 공휴일 동안 영업일 및 시간이 바뀔 수 있습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Shibuya Sede 3f, 1-5-2 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 3 분 거리 (220m)
Keio Inokashira Line / Shinsen 역에서 도보로 9 분 (670m)
도쿄 도요코 라인 / 다이키 야마 역 15 분 도보 (1.2km)",없음,"90 석
(몇 자리, 소파 좌석, 개인 실 및 쇼리 코타 츠가 있습니다)",예,"흡연실 사용 가능
(흡연 부스 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","불가능합니다
최대 86 명을 임대 할 수 있습니다","https://www.dd-holdings.jp/brands/akutoridaikan/
https://www.dd-holdings.jp/shops/nabenoshin/shibuya#/
https://www.dd-holdings.jp/brands?company=1","기타 지불 방법
카드 : UnionPay
전자 돈 : ID
QR 지불 : Paypay, Rakuten Pay, DPay, Aupay, Merpay, Wechatpay, Alipay, Bank Pay","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink 코스에는 5,000 엔 이상에 대한 All-You-Can-Drink가 포함되어 있습니다.",알레르기로 수용 할 수 있습니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실, 쌀, 점심, 날짜, 고기, 점심, 점심 날짜, 성인 은신처, 저녁 식사, 소녀의 밤, 그룹 날짜, 개인 실, 그룹 데이트, 개인 실, 작별 파티, 쿠폰 이용 가능, PayPay 포인트 받기, 온라인 예약, 새해 파티, 새해 파티
다른 사용 장면을 참조하십시오",차분한 분위기,"축하 가능성
테이크 아웃 가능성",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",,,없음,,03-5458-4030,,https://www.facebook.com/akutoridaikan/,,,,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Waon, Quicpay",,
