category,attraction,description,address,image,date,price
자연,다카오산자연동식물원,다카오산 산기슭에서 지역의 동식물에 대해 배울 수 있는 자연 뮤지엄,"2179 Takaomachi, Hachioji City, Tokyo 193-0844, Japan","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935372/tokyo/Tokyo2386_1",,300
역사,담배소금박물관,"담배와 소금의 역사와 문화를 폭넓게 다룹니다. 일본뿐 아니라 세계 각국의 관련 유물과 자료, 체험형 전시, 흥미로운 특별전 등으로 누구나 흥미롭게 관람할 수 있는 명소","1-16-3 Yokokawa, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517748194/tokyo/Tokyo2772_1",,100
역사,도검박물관,"일본도를 비롯한 전통 무기와 금속공예의 예술, 역사, 기술을 깊이 있게 체험할 수 있는 전문 박물관","1-12-9, Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1519784645/tokyo/Tokyo2815_3",,600
자연,도도로키계곡,도쿄에서 유일한 계곡에서 즐기는 시원한 그늘과 길들여지지 않은 본래 자연의 모습,"1-1-22 Todoroki, Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938651/tokyo/Tokyo2338_6",,
랜드마크,도요스 시장,도쿄의 역사적인 랜드마크를 위한 새로운 최첨단 시설,"6-6-1 Toyosu, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1580799690/tokyo/2034_1",,
역사,도쿄 국립근대미술관,고쿄 경내에 전시된 최첨단 미술 작품,"3-1 Kitanomaru Koen, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1650345642/tokyo/H_00490_001",,500
역사,도쿄 돔과 그 주변,"야구, 콘서트, 엔터테인먼트의 중심지 및 인근의 고풍스러운 17세기 정원","1-3-61 Koraku, Bunkyo City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1635746309/tokyo/H_00548_003",,
자연,도쿄 수도권,"멋진 등산 코스와 놀이공원, 사케 양조장, 원숭이를 만날 수 있는 도쿄 외곽 의외의 명소","2-8-1 Nishishinjuku, Shinjuku City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945700/tokyo/Tokyo2368_5",,
자연,도쿄 수족관,도쿄 디즈니 리조트 근처의 세계적인 수족관,"6-2-3 Rinkai-cho, Edogawa-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1675342282/tokyo/Tokyo_s_id24_1",,
축제,도쿄 재즈 페스티벌,도쿄 최대 규모의 재즈 페스티벌에서 더위 식히기,"2-34-6 Umegaoka, Setagaya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1518100073/tokyo/Tokyo2787_1",9.1-9.3,
랜드마크,도쿄 타워와 그 주변,"도쿄를 상징하는 랜드마크, 밝은 조명이 비추는 중심지, 풍부한 문화와 평화로운 에도 시대의 유산","4-2-8 Shibakoen, Minato City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938197/tokyo/Tokyo2260_1",,
역사,도쿄국립박물관,일본의 과거와 문화를 연대기 순으로 보여주는 특별한 박물관,"13-9 Ueno Park, Taito-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646308634/tokyo/M_01301_003",,1000
역사,도쿄국립신미술관,몸과 마음에 모두 최고의 시각적 자극을 선사하는 세계 최고의 전시 공간,"7-22-2 Roppongi, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1654228225/tokyo/H_00605_006",,500
축제,도쿄국제영화제,"10일간 유명 스타와 영화, 심포지엄 등 다양한 프로그램으로 롯폰기를 점령하는 국제영화제","Hibiya, Ginza, and Yurakucho in Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646307248/tokyo/M_01118_001",10.25-11.3,
랜드마크,도쿄국제포럼,"유리와 강철로 만들어 하늘 높이 솟은 내륙의 배, 다양한 행사의 무대 겸 현대 미술의 중심지","3-5-1 Marunouchi, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935309/tokyo/Tokyo2254_12",,
역사,도쿄도사진미술관,전 세계에서도 찾아보기 힘든 '사진 및 영상' 전문 미술관입니다,"Yebisu Garden Place 1-13-3 Mita, Meguro-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934961/tokyo/Tokyo2255_2",,500
랜드마크,도쿄도정원미술관,"현재의 도쿄도 정원 미술관은, 아사카노미야 야스히코 왕이 1930년에 프랑스에서 귀국한 후에 건설한 역사 깊은 대저택입니다.","5-21-9 Shirokanedai, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935316/tokyo/Tokyo2341_1",,1100
랜드마크,도쿄도청,도쿄에서 가장 붐비는 복합 시설에서 감상하는 도시의 장관,"2-8-1 Nishishinjuku, Shinjuku-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936431/tokyo/Tokyo2323_2",,
역사,도쿄도현대미술관,"일본 최대 규모의 현대미술 전문 미술관으로, 1945년 이후 일본과 세계의 현대미술을 폭넓게 소개하는 대표적인 문화 명소","4-1-1 Miyoshi, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1668486615/tokyo/Tokyo_t_id306_1",,500
랜드마크,도쿄돔,도쿄 중심부의 거대한 경기장와 엔터테인먼트 단지,"1-3-61 Koraku, Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1635746309/tokyo/H_00548_003",,
축제,도쿄마라톤,"세계 최고의 육상 선수, 괴짜 시합 마니아를 비롯한 수만 명의 참가자가 몰리는 아시아 유일의 대규모...",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646305609/tokyo/M_01103_004",3.3,
액티비티,도쿄모터쇼,"자동차 마니아의 천국, 특별 시운전 체험까지","3-11-1 Ariake, Koto-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1653021050/tokyo/M_01093_002",,
액티비티,도쿄소라마치,도쿄 스카이트리 타운 내에 위치한 대형 복합 쇼핑몰,"1-1-2 Oshiage, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1517682122/tokyo/Tokyo2309_6",,
액티비티,도쿄수상버스,제임스 본드풍 선박부터 알록달록한 선박까지 다양한 종류의 배를 타고 도쿄 물길을 탐험해보세요.,"2-2-11 Kaigan, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513935785/tokyo/Tokyo2310_3",,1000
축제,도쿄스모경기,도쿄에서 스모를 직관할 수 있는 절호의 기회,"1-3-28 Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513933954/tokyo/Tokyo2293_8",1.13-1.27,3800
랜드마크,도쿄스카이트리,일본에서 가장 높은 건물에서 보는 도쿄 시내 조감도,"1-1-2 Oshiage, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936454/tokyo/Tokyo2307_1",,2100
역사,도쿄역,겉으로 보기에 전통을 고수하는 도쿄역 안에 숨은 최첨단 쇼핑몰과 맛집,"1-9 Marunouchi, Chiyoda-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936386/tokyo/Tokyo2258_24",,
랜드마크,도쿄예술극장,"콘서트, 연극, 무용 등을 위한 세계적인 수준의 예술 공연장","1-8-1 Nishiikebukuro, Toshima-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936790/tokyo/Tokyo2306_4",,
자연,도쿄의 섬들,남쪽으로 갈수록 점점 더 아름다운 장관이 펼쳐지는 화산섬 행렬,"1-1-1 Kozushima-mura, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934422/tokyo/Tokyo2383_8",,
랜드마크,도쿄증권거래소,The engine that drives Tokyo's great economy,"2-1 Nihonbashi Kabuto-cho, Chuo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1692850096/tokyo/Tokyo_t2023_M_01117_1_edit3",,
랜드마크,도쿄타워,드넓은 대도시 한가운데 빛나는 불빛,"4-2-8 Shibakoen, Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646014276/tokyo/H_00658_001",,1200
자연,레인보우브리지,오다이바와 시바우라 부두를 연결하며 관광 명소로 자리 잡은 레인보우 브리지와 조명,"Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945790/tokyo/Tokyo2358_1",,
랜드마크,롯폰기,"도쿄 시내 고급 첨단 문화의 중심지에서 시각 미술 감상, 밤놀이 문화 탐방","Minato-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646047672/tokyo/pixta_66466545_M",,
랜드마크,롯폰기 & 아카사카,재일 외국인들이 많이 찾는 도쿄 최고의 유흥 및 문화생활의 중심지,"6-10-1 Roppongi, Minato City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513936599/tokyo/Tokyo2247_9",,
역사,료고쿠,스모의 고향이자 복고의 매력으로 유명한 곳,"1-3-28 Yokoami, Sumida City, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934437/tokyo/Tokyo2293_10",,
액티비티,료코쿠국기관,"일본 전통 스포츠인 스모를 가장 가까이에서, 그리고 가장 생생하게 체험할 수 있는 대표적인 명소입니다.","1-3-28 Yokoami, Sumida-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513934437/tokyo/Tokyo2293_10",,3800
자연,리쿠기엔 정원,에도 시대 대표 다이묘 정원의 아름다움과 일본 전통 조경의 정수를 느낄 수 있는 도쿄의 명소,"6-16-3 Honkomagome, Bunkyo-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513938072/tokyo/Tokyo2290_5",,300
역사,메이지진구신궁,도쿄의 최신 대중문화와 유구한 역사가 만나는 곳,"1-1 Yoyogikamizono-cho, Shibuya-ku, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1513945803/tokyo/Tokyo2331_8",,
랜드마크,모리미술관,"도쿄 롯폰기 힐즈의 모리 타워 53층에 위치한 일본을 대표하는 현대미술관으로, 국제적인 현대미술 전시, 야경 전망, 늦은 개관 시간 등 다양한 매력으로 예술 애호가와 여행객 모두에게 추천받는 명소","53F, Roppongi Hills Mori Tower, 6-10-1 Roppongi, Minato-ku, Tokyo","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1636941192/tokyo/M_00596_001",,2000
액티비티,미야케섬(미야케지마),"아열대 화산섬에서 즐기는 하이킹, 온천, 다이빙과 돌고래 관찰",Tokyo-to,"https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1646732908/tokyo/M_00521_010",,
자연,미타케산,인상적인 신사와 이끼로 덮인 돌 정원을 볼 수 있는 인기 하이킹 명소,"Ome-shi, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1543475790/tokyo/1631_1",,
자연,미하라산,"일본의 이즈 제도 이즈오섬에 솟아있는 화산으로, 성층 화산이다. 한국어로는 삼원산으로 불린다.","Izu Oshima Island, Tokyo-to","https://res.cloudinary.com/jnto/image/upload/w_670,h_450,c_fill,fl_lossy,f_auto//w_670,h_450,c_fill,fl_lossy,f_auto/v1516447512/tokyo/Tokyo2236_2",,
